Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4288266215,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4047184754,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.400158387,0.0,0.0,0.0,15.863942322,29.242365,6.08812629066,0.0,3.20568,2.88244629066
 01/01  04:00:00,55.3943684554,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,56.4917970236,0.232840079919,0.660230830042,0.0,15.863942322,29.242365,3.54788605596,0.322206055958,3.20568,0.02
 01/01  06:00:00,62.0762034864,1.76156301769,4.73649090783,0.0,15.863942322,29.242365,9.01652213025,2.92836344323,3.20568,2.88247868702
 01/01  07:00:00,60.8374628758,1.50238644612,3.74807139613,0.0,15.863942322,29.242365,6.49293925211,3.26725925211,3.20568,0.02
 01/01  08:00:00,53.98893054,1.61880648608,3.99061492652,0.0,15.863942322,29.242365,6.17432712294,2.94864712294,3.20568,0.02
 01/01  09:00:00,49.860223058,0.809403243039,2.06240799806,0.0,15.863942322,29.242365,6.94149777247,0.852037573856,3.20568,2.88378019861
 01/01  10:00:00,47.0516236535,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.0786546595,0.0,0.0,0.0,15.863942322,29.242365,6.08948141466,0.0,3.20568,2.88380141466
 01/01  12:00:00,47.7977790353,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.1262632623,0.0,0.0,0.0,15.863942322,29.242365,6.089370814,0.0,3.20568,2.883690814
 01/01  14:00:00,47.1924807113,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.2293406196,0.0,0.0,0.0,15.863942322,29.242365,6.08805714227,0.0,3.20568,2.88237714227
 01/01  16:00:00,47.2224766038,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
