Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6042946484,2.20891761738,0.0,0.0,1.85583932782,5.577,36.3953348028,31.6554255567,3.0011,1.73880924617
 01/01  02:00:00,9.52773910552,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.55880691557,0.0,0.0,0.0,0.618613109274,5.0,3.59317548962,0.0,3.0011,0.592075489622
 01/01  04:00:00,9.57039683196,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.71507785179,0.0,0.0,0.0,0.618613109274,5.0,3.59318138758,0.0,3.0011,0.592081387582
 01/01  06:00:00,13.7310505958,2.20891761738,0.0,0.0,1.85583932782,5.577,46.7076324057,42.1859824057,4.50165,0.02
 01/01  07:00:00,28.1986851787,2.20891761738,0.0,0.0,3.71167865564,18.077,51.7539959038,37.0840364598,13.50495,1.16500944398
 01/01  08:00:00,25.6259735778,2.20891761738,0.0,0.0,3.71167865564,18.077,54.8854090091,32.1398997181,21.0077,1.73780929094
 01/01  09:00:00,20.6574166338,2.20891761738,0.0,0.0,3.71167865564,13.077,41.625513782,25.4547542189,15.0055,1.16525956303
 01/01  10:00:00,20.7107191267,2.20891761738,0.0,0.0,3.71167865564,13.077,31.412611564,15.2418699074,15.0055,1.16524165661
 01/01  11:00:00,25.7424822729,2.20891761738,0.0,0.0,3.71167865564,18.077,42.0908530219,5.61549477214,33.0121,3.46325824979
 01/01  12:00:00,26.910152317,2.20891761738,0.0,0.0,3.71167865564,18.077,44.8286520053,0.276729618787,40.51485,4.03707238648
 01/01  13:00:00,26.0815964107,2.20891761738,0.00255962926894,0.0,3.71167865564,18.077,38.9000386294,0.0,36.0132,2.88683862944
 01/01  14:00:00,25.8890843817,2.20891761738,0.0,0.0,3.71167865564,18.077,34.3984228942,0.0,31.51155,2.88687289415
 01/01  15:00:00,20.9123306902,2.20891761738,0.0,0.0,3.71167865564,13.077,23.3506651585,0.0302105199227,21.0077,2.31275463856
 01/01  16:00:00,20.8920749078,2.20891761738,0.0,0.0,3.71167865564,13.077,21.8197187872,0.0,19.50715,2.31256878719
 01/01  17:00:00,20.7882315563,2.20891761738,0.0,0.0,3.71167865564,13.077,24.8208038315,0.0,22.50825,2.3125538315
 01/01  18:00:00,27.6321374026,2.20891761738,0.0,0.0,3.71167865564,18.077,29.6541638012,1.25720554069,25.50935,2.88760826048
 01/01  19:00:00,28.2150410389,2.20891761738,0.0,0.0,3.71167865564,18.077,32.622973728,3.65040097546,25.50935,3.4632227525
 01/01  20:00:00,28.3353156423,2.20891761738,0.0,0.0,3.71167865564,18.077,37.2533251024,7.70737963769,25.50935,4.0365954647
 01/01  21:00:00,23.3045413533,2.20891761738,0.0,0.0,3.71167865564,13.077,37.6554231554,12.2601347359,22.50825,2.88703841949
 01/01  22:00:00,23.2242325651,2.20891761738,0.0,0.0,3.71167865564,13.077,39.1329914628,14.6633266305,21.0077,3.46196483235
 01/01  23:00:00,23.1090729747,2.20891761738,0.0,0.0,3.71167865564,13.077,38.1368208977,17.2435847804,18.0066,2.88663611721
 01/01  24:00:00,24.2765941717,2.20891761738,0.0,0.0,3.71167865564,13.077,24.8079760798,20.0686059615,3.0011,1.73827011834
 01/02  01:00:00,13.814241285,2.20891761738,0.0,0.0,1.85583932782,5.577,32.1779255696,27.4388247648,3.0011,1.73800080484
 01/02  02:00:00,9.55398882161,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.58584171365,0.0,0.0,0.0,0.618613109274,5.0,3.59318405265,0.0,3.0011,0.592084052653
 01/02  04:00:00,9.60040454771,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.74874431206,0.0,0.0,0.0,0.618613109274,5.0,3.59318993702,0.0,3.0011,0.59208993702
 01/02  06:00:00,13.7662298514,2.20891761738,0.0,0.0,1.85583932782,5.577,37.0801134676,32.5584634676,4.50165,0.02
 01/02  07:00:00,28.224187554,2.20891761738,0.0,0.0,3.71167865564,18.077,43.8880799302,29.2179967856,13.50495,1.16513314455
 01/02  08:00:00,25.645485485,2.20891761738,0.0,0.0,3.71167865564,18.077,51.4706280439,25.8492938633,21.0077,4.61363418068
 01/02  09:00:00,20.673172048,2.20891761738,0.0,0.0,3.71167865564,13.077,38.6534195559,19.6094035894,15.0055,4.03851596652
 01/02  10:00:00,20.7075766992,2.20891761738,0.0,0.0,3.71167865564,13.077,31.4249300841,12.9572960042,15.0055,3.46213407993
 01/02  11:00:00,25.7166876553,2.20891761738,0.0,0.0,3.71167865564,18.077,42.6389551974,6.73928923668,33.0121,2.88756596075
 01/02  12:00:00,26.8501338992,2.20891761738,0.0,0.0,3.71167865564,18.077,46.0321626768,2.05542049198,40.51485,3.46189218487
 01/02  13:00:00,25.9898501997,2.20891761738,0.0,0.0,3.71167865564,18.077,38.9007285134,0.0,36.0132,2.88752851344
 01/02  14:00:00,25.8039923355,2.20891761738,0.0,0.0,3.71167865564,18.077,33.82470786,0.0,31.51155,2.31315786
 01/02  15:00:00,20.8019837031,2.20891761738,0.0,0.0,3.71167865564,13.077,25.0106557708,1.69049202488,21.0077,2.31246374588
 01/02  16:00:00,20.7833206445,2.20891761738,0.0,0.0,3.71167865564,13.077,24.3813656608,2.56177680982,19.50715,2.31243885096
 01/02  17:00:00,20.6956529232,2.20891761738,0.0,0.0,3.71167865564,13.077,28.2038713445,3.38320497361,22.50825,2.31241637088
 01/02  18:00:00,27.5872816358,2.20891761738,0.0,0.0,3.71167865564,18.077,31.5838501848,3.18715615534,25.50935,2.88734402951
 01/02  19:00:00,28.2180461952,2.20891761738,0.0,0.0,3.71167865564,18.077,33.2002392155,3.65367962321,25.50935,4.03720959233
 01/02  20:00:00,28.3581951551,2.20891761738,0.0,0.0,3.71167865564,18.077,33.9335075565,3.81088278681,25.50935,4.61327476966
 01/02  21:00:00,23.341647444,2.20891761738,0.0,0.0,3.71167865564,13.077,30.9005219894,4.9298003394,22.50825,3.46247165002
 01/02  22:00:00,23.2725222277,2.20891761738,0.0,0.0,3.71167865564,13.077,30.4879244579,5.44261917068,21.0077,4.03760528726
 01/02  23:00:00,23.1765713748,2.20891761738,0.0,0.0,3.71167865564,13.077,27.5152752919,6.0471871509,18.0066,3.46148814097
 01/02  24:00:00,24.3321642666,2.20891761738,0.0,0.0,3.71167865564,13.077,11.6218283841,6.88234141507,3.0011,1.73838696908
 01/03  01:00:00,13.9078733391,2.20891761738,0.0,0.0,1.85583932782,5.577,16.1469840519,11.4077585654,3.0011,1.73812548651
 01/03  02:00:00,9.65631740849,0.0,0.0,0.0,0.618613109274,5.0,3.59317323666,0.0,3.0011,0.592073236664
 01/03  03:00:00,9.69217179926,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.70336986334,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  05:00:00,10.3912459612,0.0,0.0,0.0,0.618613109274,5.0,3.5931791382,0.0,3.0011,0.592079138203
 01/03  06:00:00,14.4236277942,2.20891761738,0.0,0.0,1.85583932782,5.577,15.7044200826,11.1827700826,4.50165,0.02
