Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,183.610068147,2.50654563426,62.7371733742,0.0,43.513341876,52.539744,8.4357506752,3.5814906752,4.83426,0.02
 01/01  02:00:00,231.710220518,4.7915439837,107.912145486,0.0,43.513341876,52.539744,16.5312543292,11.6769943292,4.83426,0.02
 01/01  03:00:00,218.580064299,4.55135456524,95.1622426163,0.0,43.513341876,52.539744,19.8176138053,14.9633538053,4.83426,0.02
 01/01  04:00:00,226.377451368,5.16327963016,102.214839748,0.0,43.513341876,52.539744,25.8279372239,20.9736772239,4.83426,0.02
 01/01  05:00:00,210.710465942,4.55135456524,86.9654367256,0.0,43.513341876,52.539744,29.7300574073,24.8757974073,4.83426,0.02
 01/01  06:00:00,217.770258789,5.16327963016,93.3371362291,0.0,43.513341876,52.539744,40.8082107237,35.9539507237,4.83426,0.02
 01/01  07:00:00,203.013041002,4.55135456524,79.367183487,0.0,43.513341876,52.539744,53.1321949113,39.6882493249,4.83426,8.60968558642
 01/01  08:00:00,198.619229989,5.16327963016,89.2597335337,0.0,43.513341876,52.539744,40.8856929109,36.0314329109,4.83426,0.02
 01/01  09:00:00,190.748278632,4.55135456524,84.9887776467,0.0,43.513341876,52.539744,27.230531932,22.376271932,4.83426,0.02
 01/01  10:00:00,212.807154709,4.97741180693,106.228617659,0.0,43.513341876,52.539744,20.9597924528,16.1055324528,4.83426,0.02
 01/01  11:00:00,157.630438737,2.18751907024,54.6200811692,0.0,43.513341876,52.539744,10.661360673,5.80710067296,4.83426,0.02
 01/01  12:00:00,100.976166116,0.0,0.0,0.0,43.513341876,52.539744,13.4506396684,0.0,4.83426,8.6163796684
 01/01  13:00:00,100.13475674,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.256175288,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.315226422,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.287745738,0.0,0.0,0.0,43.513341876,52.539744,13.4446002986,0.0,4.83426,8.61034029856
 01/01  17:00:00,100.062079148,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,114.897660795,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.792658638,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.179723811,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.119341223,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,117.873864713,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.551183376,0.0,0.0,0.0,43.513341876,52.539744,13.4446131548,0.0,4.83426,8.61035315478
 01/01  24:00:00,118.48077158,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,159.15121838,1.57926891002,39.4899856515,0.0,43.513341876,52.539744,6.97724902147,2.12298902147,4.83426,0.02
 01/02  02:00:00,215.569481119,3.86962273699,92.8655388928,0.0,43.513341876,52.539744,11.3177624437,6.46350244374,4.83426,0.02
 01/02  03:00:00,231.153664984,4.7915439837,107.290638797,0.0,43.513341876,52.539744,24.3445046032,10.8938268648,4.83426,8.61641773833
 01/02  04:00:00,226.311817053,4.79917832955,102.482498619,0.0,43.513341876,52.539744,17.776275631,12.922015631,4.83426,0.02
 01/02  05:00:00,222.351757605,4.7915439837,98.1580594767,0.0,43.513341876,52.539744,21.2809850154,16.4267250154,4.83426,0.02
 01/02  06:00:00,221.397185647,4.9230902117,97.1090335831,0.0,43.513341876,52.539744,23.4432048294,18.5889448294,4.83426,0.02
 01/02  07:00:00,194.218960113,73.1610967121,0.0,0.0,43.513341876,53.238744,2119.84695897,2106.39645517,4.83426,8.61624379312
 01/02  08:00:00,356.253488234,73.1610967121,0.0,0.0,220.879908,53.238744,1557.5919398,1535.25797215,4.83426,17.4997076444
 01/02  09:00:00,445.450092195,73.1610967121,0.00361861810041,0.0,220.879908,145.652643033,1096.39715707,1033.74305887,36.25695,26.3971481965
 01/02  10:00:00,444.665811534,73.1843771664,0.00269994817556,0.0,220.879908,145.652643033,767.756987224,695.985271669,36.25695,35.5147655549
 01/02  11:00:00,450.670734728,73.4789773578,0.00170761610568,0.0,220.879908,151.653867033,630.544870825,546.647913591,48.3426,35.5543572346
 01/02  12:00:00,452.397594897,74.373919153,0.0,0.0,220.879908,151.653867033,485.437276291,401.427579491,48.3426,35.6670968005
 01/02  13:00:00,452.06019613,74.9986389195,0.0,0.0,220.879908,151.653867033,398.908687212,305.874950442,48.3426,44.6911367694
 01/02  14:00:00,445.435684362,74.3442336245,0.0,0.0,220.879908,145.652643033,343.281230933,274.351765266,24.1713,44.7581656665
 01/02  15:00:00,445.130422347,74.0464065501,0.0,0.0,220.879908,145.652643033,337.090927136,277.396288079,24.1713,35.5233390563
 01/02  16:00:00,437.7561206,74.5333925804,0.0,0.0,220.879908,137.835547516,256.489102415,216.075258189,4.83426,35.5795842263
 01/02  17:00:00,431.613677906,73.4497020649,0.0,0.0,220.879908,133.019064,161.676469723,130.337193127,4.83426,26.5050165966
 01/02  18:00:00,366.498904777,73.1610967121,0.0,0.0,220.879908,53.238744,333.197579809,293.030683104,4.83426,35.3326367051
 01/02  19:00:00,369.516303659,73.1610967121,0.0,0.0,220.879908,53.238744,380.124658015,339.846282104,4.83426,35.4441159113
 01/02  20:00:00,369.918964342,73.1610967121,0.0,0.0,220.879908,53.238744,363.871092204,350.360029635,4.83426,8.67680256897
 01/02  21:00:00,369.891202377,73.1610967121,0.0,0.0,220.879908,53.238744,377.974217731,364.472375349,4.83426,8.6675823815
 01/02  22:00:00,117.909056183,0.0,0.0,0.0,43.513341876,52.539744,13.5015991277,0.0,4.83426,8.66733912775
 01/02  23:00:00,117.696247252,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  24:00:00,118.689396487,0.0,0.0,0.0,43.513341876,52.539744,13.462606559,0.0,4.83426,8.62834655901
 01/03  01:00:00,117.77804601,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,117.797664996,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,117.801968453,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,117.788051763,0.0,0.0,0.0,43.513341876,52.539744,13.4506058655,0.0,4.83426,8.61634586549
 01/03  05:00:00,119.97476588,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,119.649742799,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,259.309131183,73.1610967121,64.9863392747,0.0,43.513341876,53.238744,557.208522971,552.354262971,4.83426,0.02
 01/03  08:00:00,388.048997489,73.1610967121,31.4221187542,0.0,220.879908,53.238744,445.862098449,423.526278419,4.83426,17.5015600304
 01/03  09:00:00,473.085428721,73.1610967121,26.0944312133,0.0,220.879908,145.652643033,298.987943412,236.328692635,36.25695,26.4023007775
 01/03  10:00:00,485.146618626,73.1610967121,38.0631168902,0.0,220.879908,145.652643033,296.178964125,224.403747075,36.25695,35.5182670492
 01/03  11:00:00,488.522800835,73.1790077812,34.7875974619,0.0,220.879908,151.653867033,315.209237866,225.776462109,48.3426,41.0901757577
 01/03  12:00:00,521.410249261,73.2945969843,66.156102842,0.0,220.879908,151.653867033,258.605633949,171.231135667,48.3426,39.0318982814
 01/03  13:00:00,593.207448928,73.4839536699,137.856496402,0.0,220.879908,151.653867033,207.140870874,114.107635463,48.3426,44.6906354106
 01/03  14:00:00,730.352911585,74.1674741957,279.342225721,0.0,220.879908,145.652643033,110.160773436,41.2299591897,24.1713,44.759514246
 01/03  15:00:00,830.109515834,75.4475847257,377.496695748,0.0,220.879908,145.652643033,61.6948236199,1.99614662324,24.1713,35.5273769967
 01/03  16:00:00,652.386241584,75.0775721858,209.503030668,0.0,220.879908,137.835547516,86.9103491379,46.4943034463,4.83426,35.5817856917
 01/03  17:00:00,502.786751804,73.3714329993,68.0452348219,0.0,220.879908,133.019064,66.4987630046,35.1623115394,4.83426,26.5021914651
 01/03  18:00:00,370.015116571,73.1610967121,5.92711366775,0.0,220.879908,53.238744,215.072589519,174.903484218,4.83426,35.3348453011
 01/03  19:00:00,369.54178355,73.1610967121,0.0,0.0,220.879908,53.238744,300.950245855,269.52550427,4.83426,26.5904815846
 01/03  20:00:00,369.519056954,73.1610967121,0.0,0.0,220.879908,53.238744,314.028676171,300.518320217,4.83426,8.67609595382
 01/03  21:00:00,369.539329964,73.1610967121,0.0,0.0,220.879908,53.238744,360.736773133,347.234883733,4.83426,8.66762940077
 01/03  22:00:00,117.635670196,0.0,0.0,0.0,43.513341876,52.539744,13.5017134853,0.0,4.83426,8.66745348528
 01/03  23:00:00,117.692299491,0.0,0.0,0.0,43.513341876,52.539744,13.4717562648,0.0,4.83426,8.63749626476
 01/03  24:00:00,118.667333565,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  01:00:00,117.724490555,0.0,0.0,0.0,43.513341876,52.539744,13.4505773905,0.0,4.83426,8.6163173905
 01/04  02:00:00,117.709388096,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  03:00:00,117.697928184,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  04:00:00,117.68403376,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  05:00:00,118.094400147,0.0,0.0,0.0,43.513341876,52.539744,13.4507048991,0.0,4.83426,8.6164448991
 01/04  06:00:00,118.055885495,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  07:00:00,193.399683469,73.1610967121,0.0,0.0,43.513341876,53.238744,1427.06519897,1422.21093897,4.83426,0.02
 01/04  08:00:00,355.943163699,73.1610967121,0.0,0.0,220.879908,53.238744,1084.50606075,1062.17122129,4.83426,17.5005794619
 01/04  09:00:00,445.355322296,73.1610967121,0.00191715256207,0.0,220.879908,145.652643033,918.872814083,856.217492873,36.25695,26.3983712102
 01/04  10:00:00,445.413813872,73.1610967121,0.00234780766423,0.0,220.879908,145.652643033,890.294671525,818.522437486,36.25695,35.5152840398
 01/04  11:00:00,451.207158346,73.1610967121,0.00176212310411,0.0,220.879908,151.653867033,856.747197525,772.850269609,48.3426,35.5543279161
 01/04  12:00:00,451.730301652,73.1610967121,0.0,0.0,220.879908,151.653867033,744.516932536,651.590937678,48.3426,44.5833948573
 01/04  13:00:00,450.619035318,73.1610967121,0.0,0.0,220.879908,151.653867033,709.883190469,616.846938896,48.3426,44.6936515739
 01/04  14:00:00,444.664633048,73.171124717,0.0,0.0,220.879908,145.652643033,710.005342729,650.021138223,24.1713,35.8129045063
 01/04  15:00:00,444.665187116,73.1821627197,0.0,0.0,220.879908,145.652643033,711.917316714,650.717241223,24.1713,37.0287754916
 01/04  16:00:00,436.889535047,73.18167956,0.0,0.0,220.879908,137.835547516,680.81706674,633.008748756,4.83426,42.9740579847
 01/04  17:00:00,431.885348735,73.1610967121,0.0,0.0,220.879908,133.019064,565.466442044,534.127554036,4.83426,26.5046280086
 01/04  18:00:00,364.050275425,73.1610967121,0.0,0.0,220.879908,53.238744,645.0144036,613.673204476,4.83426,26.5069391232
 01/04  19:00:00,370.034699397,73.1610967121,0.0,0.0,220.879908,53.238744,663.506704986,623.224428241,4.83426,35.4480167444
 01/04  20:00:00,370.786761221,73.1610967121,0.0,0.0,220.879908,53.238744,727.076877258,713.566034777,4.83426,8.67658248059
 01/04  21:00:00,371.255979993,73.1610967121,0.0,0.0,220.879908,53.238744,816.10209824,802.602241068,4.83426,8.6655971719
 01/04  22:00:00,117.776875648,0.0,0.0,0.0,43.513341876,52.539744,13.5020752805,0.0,4.83426,8.66781528049
 01/04  23:00:00,117.543684252,0.0,0.0,0.0,43.513341876,52.539744,13.4715797043,0.0,4.83426,8.63731970433
 01/04  24:00:00,118.594260362,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  01:00:00,117.598759031,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  02:00:00,117.587346439,0.0,0.0,0.0,43.513341876,52.539744,13.4505999167,0.0,4.83426,8.6163399167
 01/05  03:00:00,117.569174705,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  04:00:00,117.555548932,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  05:00:00,137.577009896,2.04509133666,16.8739536133,0.0,43.513341876,52.539744,5.43409681321,0.579836813207,4.83426,0.02
 01/05  06:00:00,198.875953636,4.52963582238,74.9226653133,0.0,43.513341876,52.539744,14.9538749341,1.50314020405,4.83426,8.61647473004
 01/05  07:00:00,193.901776311,73.1610967121,0.0,0.0,43.513341876,53.238744,1773.11581395,1768.26155395,4.83426,0.02
 01/05  08:00:00,356.176313426,73.1610967121,0.0,0.0,220.879908,53.238744,1549.90861656,1527.57238767,4.83426,17.5019688932
 01/05  09:00:00,445.512597922,73.1610967121,0.0019260564334,0.0,220.879908,145.652643033,1194.05051689,1131.39184489,36.25695,26.4017219951
 01/05  10:00:00,445.494013184,73.1682800446,0.00294578495245,0.0,220.879908,145.652643033,943.451217576,871.671252024,36.25695,35.5230155524
 01/05  11:00:00,450.892617615,73.4179522853,0.00195914502659,0.0,220.879908,151.653867033,711.15487044,627.25512718,48.3426,35.5571432598
 01/05  12:00:00,452.393100678,74.2650398498,0.0,0.0,220.879908,151.653867033,535.848175837,442.918458688,48.3426,44.5871171496
 01/05  13:00:00,488.448120503,75.3832452319,35.208495653,0.0,220.879908,151.653867033,348.235414935,264.132623515,48.3426,35.7601914208
 01/05  14:00:00,519.305812134,76.4685283374,69.227207922,0.0,220.879908,145.652643033,245.471011607,176.535743451,24.1713,44.7639681566
 01/05  15:00:00,542.411335782,77.4162789123,91.0824738034,0.0,220.879908,145.652643033,172.251682453,112.547278276,24.1713,35.5331041764
 01/05  16:00:00,571.31017096,77.5629550229,127.545712907,0.0,220.879908,137.835547516,116.01983461,66.7104691528,4.83426,44.4751054573
 01/05  17:00:00,531.225561456,74.6479579034,95.7308180801,0.0,220.879908,133.019064,62.0399771273,30.6955573028,4.83426,26.5101598245
 01/05  18:00:00,380.708920074,73.2482875897,16.3420610055,0.0,220.879908,53.238744,197.354417801,166.010403357,4.83426,26.5097544436
 01/05  19:00:00,369.584320011,73.1616295414,0.0,0.0,220.879908,53.238744,403.739980356,363.457954306,4.83426,35.4477660499
 01/05  20:00:00,370.367521093,73.1610967121,0.0,0.0,220.879908,53.238744,627.004428523,613.493944123,4.83426,8.67622440035
 01/05  21:00:00,370.706722285,73.1610967121,0.0,0.0,220.879908,53.238744,703.297878349,689.796008522,4.83426,8.66760982735
 01/05  22:00:00,117.825279157,0.0,0.0,0.0,43.513341876,52.539744,13.5022692747,0.0,4.83426,8.6680092747
 01/05  23:00:00,117.600743238,0.0,0.0,0.0,43.513341876,52.539744,13.4718299276,0.0,4.83426,8.63756992761
 01/05  24:00:00,118.633490966,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  01:00:00,117.632565036,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  02:00:00,117.608029191,0.0,0.0,0.0,43.513341876,52.539744,13.4504382668,0.0,4.83426,8.61617826677
 01/06  03:00:00,117.602012184,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  04:00:00,117.629789139,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  05:00:00,119.77539706,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  06:00:00,119.453547734,0.0,0.0,0.0,43.513341876,52.539744,13.4506281707,0.0,4.83426,8.61636817073
 01/06  07:00:00,193.472206821,73.1610967121,0.0,0.0,43.513341876,53.238744,1114.55086597,1109.69660597,4.83426,0.02
 01/06  08:00:00,355.236250301,73.1610967121,0.0,0.0,220.879908,53.238744,968.963916036,946.628081558,4.83426,17.5015744777
 01/06  09:00:00,444.440971167,73.1610967121,0.00229886369869,0.0,220.879908,145.652643033,740.478281529,677.821836463,36.25695,26.3994950659
 01/06  10:00:00,444.30384411,73.1610967121,0.00388291550957,0.0,220.879908,145.652643033,491.552201093,419.772270067,36.25695,35.5229810262
 01/06  11:00:00,484.376209515,73.1815231779,31.0508670324,0.0,220.879908,151.653867033,330.665978861,246.76255982,48.3426,35.5608190408
 01/06  12:00:00,521.591427363,73.5523266371,66.5823971694,0.0,220.879908,151.653867033,187.751228446,94.8177746708,48.3426,44.5908537752
 01/06  13:00:00,622.267572058,74.5713577665,166.674647209,0.0,220.879908,151.653867033,90.5782128155,6.46953396726,48.3426,35.7660788483
 01/06  14:00:00,677.638231796,74.6583278678,227.720788291,0.0,220.879908,145.652643033,68.9592471226,0.0219807247569,24.1713,44.7659663979
 01/06  15:00:00,693.675818482,74.956463508,243.178887198,0.0,220.879908,145.652643033,59.7051788667,0.0,24.1713,35.5338788667
 01/06  16:00:00,686.399928512,75.7042022513,242.820195311,0.0,220.879908,137.835547516,53.1196340582,3.80569043474,4.83426,44.4796836235
 01/06  17:00:00,604.883602328,73.5569120829,169.016303231,0.0,220.879908,133.019064,44.3599227501,13.0148244975,4.83426,26.5108382527
 01/06  18:00:00,463.961329744,73.1701680991,97.0069069964,0.0,220.879908,53.238744,85.9381540379,54.5950844022,4.83426,26.5088096357
 01/06  19:00:00,420.781523318,73.1610967121,48.4406415009,0.0,220.879908,53.238744,134.522407504,94.2390347195,4.83426,35.4491127848
 01/06  20:00:00,378.951685759,73.1610967121,8.55839224033,0.0,220.879908,53.238744,168.635649556,155.12508991,4.83426,8.67629964556
 01/06  21:00:00,369.551993904,73.1610967121,0.0,0.0,220.879908,53.238744,211.032750088,197.530807306,4.83426,8.66768278223
 01/06  22:00:00,117.718590991,0.0,0.0,0.0,43.513341876,52.539744,13.5017408588,0.0,4.83426,8.66748085875
 01/06  23:00:00,117.751519791,0.0,0.0,0.0,43.513341876,52.539744,13.4718846337,0.0,4.83426,8.63762463374
 01/06  24:00:00,118.718779152,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
