Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.148235445,5.63148365793,0.950761733129,0.0,12.925468867,10.100111941,25.8293441059,25.8093441059,0.0,0.02
 01/01  02:00:00,36.7726899598,5.58556804802,0.593252634726,0.0289723495863,12.925468867,10.100111941,35.1390601301,29.3833683073,0.0,5.75569182273
 01/01  03:00:00,32.1351743899,5.56626458214,0.313818064453,0.309237939325,8.34152022915,10.0650221343,29.5077250848,29.4877250848,0.0,0.02
 01/01  04:00:00,32.3333840939,5.56696365566,0.165088779881,0.65546906492,8.34152022915,10.0650221343,36.4955323407,30.7396039055,0.0,5.75592843512
 01/01  05:00:00,34.629979906,5.59952347643,0.0604101178053,1.41758786029,8.34152022915,11.6705166398,32.8414143551,32.8214143551,0.0,0.02
 01/01  06:00:00,39.9560195391,5.66600409932,0.0313026368447,2.54795887924,8.80141237637,15.3678112995,40.4513393034,34.6854488438,0.0,5.76589045966
 01/01  07:00:00,59.9474027864,5.66342149911,0.0723065104558,2.52434478812,18.5082010057,25.6353820695,40.6660898283,34.8900152438,0.0,5.77607458447
 01/01  08:00:00,68.9084155702,5.73543972017,1.35844947302,1.20848611823,19.4926561212,41.1001056674,43.0892164709,31.5077643034,0.0,11.5814521675
 01/01  09:00:00,95.699156776,6.05554892267,4.94491725215,0.335321478925,26.3286599382,57.9988325916,47.9738991401,18.529430721,0.0,29.4444684191
 01/01  10:00:00,82.5830683984,6.03682857196,7.26303177399,0.193185778479,26.2443270014,42.8153538416,57.1785252271,9.840408441,18.025,29.3131167861
 01/01  11:00:00,58.260733685,5.96016498772,6.92968507207,0.155432950132,21.7447113004,23.4437158914,46.3476812225,4.92988840984,18.025,23.3927928127
 01/01  12:00:00,57.2366667719,6.11040465139,8.29541587973,0.0174059122854,19.3449162599,23.4437158914,37.4531665437,1.90991494273,18.025,17.518251601
 01/01  13:00:00,58.3391123855,6.22871769258,9.15475935808,0.0,19.190480192,23.7425572507,36.9949444433,1.48850125375,18.025,17.4814431896
 01/01  14:00:00,58.8886707283,6.29768560592,9.60923160462,0.0,19.260583323,23.698576057,41.3291547855,0.0,18.025,23.3041547855
 01/01  15:00:00,59.2229267406,6.330893153,9.91027948792,0.0,19.260583323,23.698576057,35.509911845,0.0,18.025,17.484911845
 01/01  16:00:00,58.6190142249,6.29734790826,9.62986003591,0.0,19.260583323,23.4086260847,35.5119076461,0.0,18.025,17.4869076461
 01/01  17:00:00,61.3573224216,6.19135017813,8.02285334114,0.0,19.260583323,27.8781056672,23.7847636876,0.0,18.025,5.75976368764
