Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,82.6823494274,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,81.2104807976,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,80.4826668474,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,79.9630772337,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553708956,0.0,1.75125,1.16428708956
 01/01  05:00:00,85.8998409845,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,84.7295712067,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,121.899253113,25.3947286312,0.0,0.0,6.98738001645,14.1499734587,425.327146493,420.660346053,3.5025,1.16430044014
 01/01  08:00:00,118.324426633,25.3947286312,0.0,0.0,6.98738001645,14.1499734587,395.412505752,391.890005752,3.5025,0.02
 01/01  09:00:00,155.499596012,25.3947286312,0.0,0.0,6.98738001645,14.1499734587,318.408134361,313.741291193,3.5025,1.16434316819
 01/01  10:00:00,132.877112356,25.3947286312,0.0,0.0,6.98738001645,14.1499734587,264.373342234,260.850842234,3.5025,0.02
 01/01  11:00:00,169.655926134,25.3947286312,0.0,0.0,27.9495200658,27.7759469175,202.978048917,194.808375025,7.005,1.16467389261
 01/01  12:00:00,204.054211623,25.3947286312,0.0497100945694,0.0,27.9495200658,27.7759469175,160.38276621,153.35776621,7.005,0.02
 01/01  13:00:00,216.350784156,25.3947286312,0.468077996749,0.0,41.9242800987,36.8599292233,126.030332362,115.525500535,9.34,1.16483182716
 01/01  14:00:00,216.426664786,25.3947286312,1.04189813183,0.0,41.9242800987,36.8599292233,100.973939733,90.4691603149,9.34,1.16477941813
 01/01  15:00:00,213.011120824,25.3947286312,1.39484160927,0.0,41.9242800987,36.8599292233,83.0585545819,72.5538844425,9.34,1.16467013939
 01/01  16:00:00,207.84878509,25.3947286312,1.67670584874,0.0,41.9242800987,36.8599292233,78.9665986465,69.6065986465,9.34,0.02
 01/01  17:00:00,205.070199383,25.3947286312,1.68628524624,0.0,41.9242800987,36.8599292233,88.4020004067,77.8971710617,9.34,1.16482934496
 01/01  18:00:00,181.091594062,25.3947286312,0.455417685348,0.0,27.9495200658,27.7759469175,141.262631084,133.092912411,7.005,1.16471867353
