Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.505240585,3.9422731135,0.0,0.0,4.58992532963,8.1892,60.5082003396,50.8185494735,3.33988,6.34977086607
 01/01  02:00:00,14.7681718269,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7875631843,0.0,0.0,0.0,1.52997510988,7.4902,3.93195330144,0.0,3.33988,0.592073301445
 01/01  04:00:00,14.7959278991,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9448332606,0.0,0.0,0.0,1.52997510988,7.4902,3.93195920288,0.0,3.33988,0.592079202881
 01/01  06:00:00,22.6424962382,3.9422731135,0.0,0.0,4.58992532963,8.1892,63.496333321,55.126633321,8.3497,0.02
 01/01  07:00:00,38.6176854992,3.9422731135,0.0198999928481,0.0,9.17985065927,19.4245,71.2948667816,50.5579576569,16.6994,4.03750912472
 01/01  08:00:00,41.8571709242,3.9422731135,0.0178626544156,0.0,9.17985065927,26.9147,65.4623980093,36.3756012817,25.0491,4.03769672768
 01/01  09:00:00,41.8626860498,3.9422731135,0.00502202422731,0.0,9.17985065927,26.9147,72.3233487154,34.3127558601,33.3988,4.61179285531
 01/01  10:00:00,34.3774411898,3.9422731135,0.0,0.0,9.17985065927,19.4245,69.1224090737,40.035443625,25.0491,4.03786544872
 01/01  11:00:00,41.8972354258,3.9422731135,0.0189014223159,0.0,9.17985065927,26.9147,88.9332067124,34.4292054597,41.7485,12.7555012527
 01/01  12:00:00,42.6089847059,3.9422731135,0.0,0.0,9.17985065927,26.9147,85.2417513063,30.7385152162,41.7485,12.7547360901
 01/01  13:00:00,41.9414662187,3.9422731135,0.0,0.0,9.17985065927,26.9147,77.3680527511,24.6276659626,41.7485,10.9918867885
 01/01  14:00:00,34.4330549025,3.9422731135,0.0,0.0,9.17985065927,19.4245,65.4389003768,21.6268879028,33.3988,10.4132124741
 01/01  15:00:00,34.4458046214,3.9422731135,0.0,0.0,9.17985065927,19.4245,55.1766835852,22.6182154343,25.0491,7.50936815096
 01/01  16:00:00,34.4393502393,3.9422731135,0.0,0.0,9.17985065927,19.4245,64.1305683948,22.6473494129,33.3988,8.08441898198
 01/01  17:00:00,41.8796355766,3.9422731135,0.0212543128929,0.0,9.17985065927,26.9147,78.8815833306,20.6978431896,50.0982,8.08554014104
 01/01  18:00:00,46.0974825712,3.9422731135,0.0,0.0,9.17985065927,26.9147,81.0941557079,20.5822389454,50.0982,10.4137167625
 01/01  19:00:00,46.086817549,3.9422731135,0.0,0.0,9.17985065927,26.9147,84.4297529547,21.576664145,50.0982,12.7548888097
 01/01  20:00:00,38.7018030228,3.9422731135,0.0,0.0,9.17985065927,19.4245,77.7826013702,31.050275266,33.3988,13.3335261042
 01/01  21:00:00,38.6563126428,3.9422731135,0.0,0.0,9.17985065927,19.4245,82.4715670839,38.6586299873,33.3988,10.4141370966
 01/01  22:00:00,38.5701337531,3.9422731135,0.0,0.0,9.17985065927,19.4245,87.3180651025,49.5156555523,25.0491,12.7533095502
 01/01  23:00:00,38.4544057286,3.9422731135,0.0,0.0,9.17985065927,19.4245,81.5087723792,54.3961414286,16.6994,10.4132309506
 01/01  24:00:00,39.2381095439,3.9422731135,0.0,0.0,9.17985065927,19.4245,69.3204685461,55.2044302243,8.3497,5.7663383218
 01/02  01:00:00,22.4967250631,3.9422731135,0.0,0.0,4.58992532963,8.1892,71.3388657234,62.8072592536,3.33988,5.19172646978
 01/02  02:00:00,14.7306972366,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.7591565397,0.0,0.0,0.0,1.52997510988,7.4902,3.93192599777,0.0,3.33988,0.592045997767
 01/02  04:00:00,14.7693402837,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.9221610697,0.0,0.0,0.0,1.52997510988,7.4902,3.93193194266,0.0,3.33988,0.592051942662
 01/02  06:00:00,22.6270620651,3.9422731135,0.0,0.0,4.58992532963,8.1892,70.842977249,62.473277249,8.3497,0.02
 01/02  07:00:00,38.6005370976,3.9422731135,0.0195511631392,0.0,9.17985065927,19.4245,77.4395538663,56.7023357707,16.6994,4.03781809551
 01/02  08:00:00,41.8508093641,3.9422731135,0.0260804517436,0.0,9.17985065927,26.9147,86.1352805224,45.3993572143,25.0491,15.6868233081
 01/02  09:00:00,41.8577700106,3.9422731135,0.00601880125489,0.0,9.17985065927,26.9147,88.6005342733,40.6914090946,33.3988,14.5103251787
 01/02  10:00:00,34.3819304075,3.9422731135,0.0,0.0,9.17985065927,19.4245,73.6677015669,37.0355287034,25.0491,11.5830728634
 01/02  11:00:00,41.8869724058,3.9422731135,0.013267454244,0.0,9.17985065927,26.9147,89.8609838696,37.6971491354,41.7485,10.4153347342
 01/02  12:00:00,42.6005108285,3.9422731135,0.0,0.0,9.17985065927,26.9147,84.289972056,30.9578879389,41.7485,11.5835841171
 01/02  13:00:00,41.9299742639,3.9422731135,0.0,0.0,9.17985065927,26.9147,74.7524516798,22.5899792255,41.7485,10.4139724543
 01/02  14:00:00,34.4109343601,3.9422731135,0.0,0.0,9.17985065927,19.4245,65.9696500972,23.320704293,33.3988,9.25014580423
 01/02  15:00:00,34.4158414899,3.9422731135,0.0,0.0,9.17985065927,19.4245,60.2473304674,27.1141646364,25.0491,8.08406583107
 01/02  16:00:00,34.403793841,3.9422731135,0.0,0.0,9.17985065927,19.4245,72.1891642082,30.7048977685,33.3988,8.08546643972
 01/02  17:00:00,41.8405033246,3.9422731135,0.019001424892,0.0,9.17985065927,26.9147,87.5898624491,29.9835682257,50.0982,7.50809422333
 01/02  18:00:00,46.0669820949,3.9422731135,0.0,0.0,9.17985065927,26.9147,86.593715804,25.5027587555,50.0982,10.9927570485
 01/02  19:00:00,46.07508294,3.9422731135,0.00589762248661,0.0,9.17985065927,26.9147,84.4065508775,20.3819822085,50.0982,13.926368669
 01/02  20:00:00,38.7126795863,3.9422731135,0.0,0.0,9.17985065927,19.4245,71.6706842658,22.5846829387,33.3988,15.6872013271
 01/02  21:00:00,38.6942294169,3.9422731135,0.0,0.0,9.17985065927,19.4245,68.6463809533,22.4942854362,33.3988,12.7532955171
 01/02  22:00:00,38.6211007371,3.9422731135,0.0,0.0,9.17985065927,19.4245,68.5050101351,28.9482810658,25.0491,14.5076290693
 01/02  23:00:00,38.5064971745,3.9422731135,0.0,0.0,9.17985065927,19.4245,62.1146538149,33.8312221444,16.6994,11.5840316705
 01/02  24:00:00,39.2700266455,3.9422731135,0.0,0.0,9.17985065927,19.4245,53.4274703826,38.1530910553,8.3497,6.92467932725
 01/03  01:00:00,22.5437009839,3.9422731135,0.0,0.0,4.58992532963,8.1892,55.8921447575,47.359793881,3.33988,5.19247087649
 01/03  02:00:00,14.772116536,0.0,0.0,0.0,1.52997510988,7.4902,3.93196558923,0.0,3.33988,0.592085589229
 01/03  03:00:00,14.7978843615,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  04:00:00,14.8077013338,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.4644704208,0.0,0.0,0.0,1.52997510988,7.4902,3.93197147116,0.0,3.33988,0.592091471159
 01/03  06:00:00,23.1628954218,3.9422731135,0.0,0.0,4.58992532963,8.1892,63.3314346539,54.9617346539,8.3497,0.02
 01/03  07:00:00,38.8441105931,3.9422731135,0.0196481039185,0.0,9.17985065927,19.4245,73.0980366968,51.7870770058,16.6994,4.61155969106
 01/03  08:00:00,41.8511828915,3.9422731135,0.0251854760216,0.0,9.17985065927,26.9147,84.2222562107,44.0684029669,25.0491,15.1047532438
 01/03  09:00:00,41.8453654109,3.9422731135,0.00530378737788,0.0,9.17985065927,26.9147,91.1704220591,43.2641391113,33.3988,14.5074829478
 01/03  10:00:00,34.3571503594,3.9422731135,0.0,0.0,9.17985065927,19.4245,79.5696059058,42.9380706457,25.0491,11.58243526
 01/03  11:00:00,41.8560852823,3.9422731135,0.0115706378988,0.0,9.17985065927,26.9147,96.6829563409,44.5196832556,41.7485,10.4147730853
 01/03  12:00:00,42.5800099636,3.9422731135,0.0,0.0,9.17985065927,26.9147,90.8668456352,36.9588516612,41.7485,12.1594939741
 01/03  13:00:00,41.8987181988,3.9422731135,0.0,0.0,9.17985065927,26.9147,80.852858568,28.6896815755,41.7485,10.4146769925
 01/03  14:00:00,34.3750731308,3.9422731135,0.0,0.0,9.17985065927,19.4245,75.6694141162,33.023920524,33.3988,9.24669359216
 01/03  15:00:00,34.3663486655,3.9422731135,0.0,0.0,9.17985065927,19.4245,74.9187674525,41.785175778,25.0491,8.08449167451
 01/03  16:00:00,34.348456053,3.9422731135,0.0,0.0,9.17985065927,19.4245,88.1088488207,47.2017766944,33.3988,7.50827212629
 01/03  17:00:00,41.7807076939,3.9422731135,0.0122648342859,0.0,9.17985065927,26.9147,103.153335361,44.9699200404,50.0982,8.08521532035
 01/03  18:00:00,46.0110335247,3.9422731135,0.0,0.0,9.17985065927,26.9147,102.251042853,41.7389121353,50.0982,10.4139307176
 01/03  19:00:00,46.0159617969,3.9422731135,0.00471256656481,0.0,9.17985065927,26.9147,101.766344681,37.1571223669,50.0982,14.5110223145
 01/03  20:00:00,38.5107594083,3.9422731135,0.0,0.0,9.17985065927,19.4245,88.0188271829,38.9334421865,33.3988,15.6865849965
 01/03  21:00:00,38.5016299931,3.9422731135,0.0,0.0,9.17985065927,19.4245,85.039068835,38.8861248053,33.3988,12.7541440298
 01/03  22:00:00,38.4558400382,3.9422731135,0.0,0.0,9.17985065927,19.4245,86.5067589182,46.9468921077,25.0491,14.5107668105
 01/03  23:00:00,38.4445709621,3.9422731135,0.0,0.0,9.17985065927,19.4245,79.7438583842,51.4624362377,16.6994,11.5820221465
 01/03  24:00:00,39.2253533363,3.9422731135,0.0,0.0,9.17985065927,19.4245,73.1934332607,57.9201411754,8.3497,6.92359208529
 01/04  01:00:00,22.471304251,3.9422731135,0.0,0.0,4.58992532963,8.1892,77.6086783055,69.0767094671,3.33988,5.19208883834
 01/04  02:00:00,14.6948759982,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  03:00:00,14.7206872092,0.0,0.0,0.0,1.52997510988,7.4902,3.93193598365,0.0,3.33988,0.592055983648
 01/04  04:00:00,14.7339388795,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  05:00:00,14.8824400522,0.0,0.0,0.0,1.52997510988,7.4902,3.93194191263,0.0,3.33988,0.59206191263
 01/04  06:00:00,22.5737954438,3.9422731135,0.0,0.0,4.58992532963,8.1892,86.2631324259,77.8934324259,8.3497,0.02
 01/04  07:00:00,38.5306815426,3.9422731135,0.0148636548813,0.0,9.17985065927,19.4245,97.1641467872,76.4272671602,16.6994,4.03747962696
 01/04  08:00:00,42.8288853599,3.9422731135,0.0159201452403,0.0,9.17985065927,26.9147,107.536305243,66.7983102741,25.0491,15.6888949684
 01/04  09:00:00,41.7891604946,3.9422731135,0.0,0.0,9.17985065927,26.9147,106.660984488,58.750307253,33.3988,14.5118772355
