Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,959.321098827,96.0524685873,543.475393728,0.0,34.9616554283,113.312780494,638.291650142,623.906652767,5.66466996096,8.72032741382
 01/01  02:00:00,985.166240383,96.0524685873,545.861886076,0.0,34.9616554283,113.312780494,648.08529751,624.999991812,5.66466996096,17.420635737
 01/01  03:00:00,976.20638096,96.0524685873,546.073068107,0.0,34.9616554283,113.312780494,652.23025934,629.146192601,5.66466996096,17.4193967787
 01/01  04:00:00,963.103685599,96.0524685873,547.786466836,0.0,34.9616554283,113.312780494,646.405716535,632.019879966,5.66466996096,8.72116660802
 01/01  05:00:00,959.211404549,96.0524685873,552.151792427,0.0,44.4937663224,113.312780494,646.71540039,623.631613987,5.66466996096,17.4191164427
 01/01  06:00:00,948.86708957,96.0524685873,556.762760045,0.0,44.4937663224,113.312780494,658.883628267,627.301025641,14.1616749024,17.4209277233
 01/01  07:00:00,1018.98770217,96.0524685873,561.321956375,0.0,54.0258772165,176.889270242,594.135862299,557.093598766,28.3233498048,8.7189137283
 01/01  08:00:00,1015.57741519,96.0524685873,566.13140345,0.0,54.0258772165,184.38654557,605.734171979,545.82852295,42.4850247072,17.4206243212
 01/01  09:00:00,1100.20086127,96.0524685873,571.235489102,0.0,65.1572554096,220.04316451,593.907267997,519.761183566,56.6466996096,17.4993848216
 01/01  10:00:00,1097.06303176,96.0524685873,575.443532701,0.0,65.1572554096,212.545889182,581.222659091,512.373108445,42.4850247072,26.3645259393
 01/01  11:00:00,1110.14892102,96.0524685873,580.781200366,0.0,65.1572554096,220.04316451,600.732564197,503.442652458,70.808374512,26.4815372266
 01/01  12:00:00,1117.05158709,96.0524685873,586.325883139,0.0,65.1572554096,220.04316451,614.712449092,508.595161207,70.808374512,35.3089133737
 01/01  13:00:00,1120.28147161,96.0524685873,590.458775019,0.0,65.1572554096,220.04316451,601.240749869,503.946155073,70.808374512,26.486220284
 01/01  14:00:00,1118.68672139,96.0524685873,595.817957643,0.0,65.1572554096,212.545889182,576.448516955,493.320846539,56.6466996096,26.4809708068
 01/01  15:00:00,1124.33349573,96.0524685873,601.038872901,0.0,65.1572554096,212.545889182,568.190711714,490.397677775,42.4850247072,35.3080092322
 01/01  16:00:00,1126.96213357,96.0524685873,603.544897502,0.0,65.1572554096,212.545889182,571.509410785,488.377187831,56.6466996096,26.485523344
 01/01  17:00:00,1101.41656573,96.0524685873,603.50891037,0.0,65.1572554096,220.04316451,600.178884321,488.728395941,84.9700494144,26.4804389654
 01/01  18:00:00,1068.91997275,96.0524685873,602.414463866,0.0,54.0258772165,184.38654557,620.946832983,509.616288691,84.9700494144,26.3604948776
 01/01  19:00:00,1034.98170692,96.0524685873,599.414756112,0.0,44.4937663224,163.454314868,651.414801539,549.024140422,84.9700494144,17.4206117032
 01/01  20:00:00,1015.53990934,96.0524685873,587.948557343,0.0,44.4937663224,155.95703954,633.996411556,559.930280669,56.6466996096,17.4194312773
 01/01  21:00:00,969.828160405,96.0524685873,571.161380889,0.0,44.4937663224,124.558693486,663.269309922,597.901417654,56.6466996096,8.72119265882
