Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,142.661266515,30.8961888327,18.6061231163,0.0,34.4311606118,33.1021868926,164.761299815,38.1006286612,3.33212,123.328551154
 01/01  02:00:00,148.938350458,30.8961888327,24.9174773525,0.0,34.4311606118,33.1021868926,123.27620338,25.7075392963,3.33212,94.2365440837
 01/01  03:00:00,134.164189338,30.8961888327,27.6100144998,0.0,19.466279405,30.610668775,122.489252167,24.9435424593,3.33212,94.2135897079
 01/01  04:00:00,136.194462416,30.8961888327,29.6212325772,0.0,19.466279405,30.610668775,121.066407436,23.5189838368,3.33212,94.2153035987
 01/01  05:00:00,146.286140931,30.8961888327,33.1126857407,0.0,19.466279405,30.610668775,148.641153984,22.1492885169,3.33212,123.159745467
 01/01  06:00:00,160.595084869,30.8961888327,35.1785045397,0.0,19.466279405,30.610668775,190.756353941,21.2640996919,8.3303,161.161954249
 01/01  07:00:00,290.658536236,33.7503022449,88.1850302449,0.0,42.6918050922,54.3732441037,254.146090273,20.4521240113,16.6606,217.033366262
 01/01  08:00:00,320.899727612,35.7040799179,77.9716318533,0.0,49.3960418185,88.5934452969,447.407768121,52.5018653957,24.9909,369.915002726
 01/01  09:00:00,370.702166849,35.6530445197,98.4451890464,0.0,57.6566862989,112.030105488,636.001182662,73.5326309268,33.3212,529.147351735
 01/01  10:00:00,308.585025346,36.1937224168,91.9084041516,0.0,50.9524495726,81.1684271793,531.247822684,83.5618425068,66.8089,380.877080177
 01/01  11:00:00,242.900632514,36.2805517386,71.2130263701,0.0,42.6918050922,68.9656133826,448.23236662,73.4266465201,83.4695,291.3362201
 01/01  12:00:00,223.356743164,36.3271490205,55.4839764649,0.0,38.286128036,68.9656133826,387.483653333,77.5313962008,83.4695,226.482757132
 01/01  13:00:00,214.331956616,36.3614754366,47.298338097,0.0,38.286128036,68.9656133826,334.166319629,80.7889648613,83.4695,169.907854767
 01/01  14:00:00,197.122560787,36.3901353966,49.0639449457,0.0,31.5818913096,56.727595265,307.198806867,68.9636976776,75.1392,163.095909189
 01/01  15:00:00,198.289449435,36.4155882513,50.2301633004,0.0,31.5818913096,56.727595265,293.514842176,57.3198117323,66.8089,169.386130444
 01/01  16:00:00,198.844918873,36.4399314681,50.7290466552,0.0,31.5818913096,56.727595265,288.826616248,51.0882075692,75.1392,162.599208679
 01/01  17:00:00,226.226540284,36.1493717113,49.1244308884,0.0,31.5818913096,61.661095265,275.32819925,53.5654706771,91.7998,129.962928573
 01/01  18:00:00,273.755646307,35.6530445197,52.8815228552,0.0,31.5818913096,70.9729253606,272.453163115,67.5825800667,49.9818,154.888783048
 01/01  19:00:00,345.587057373,35.6530445197,63.0666121928,0.0,80.3315023541,83.7685254822,341.841883216,96.262709579,49.9818,195.597373637
 01/01  20:00:00,359.722524633,35.6530445197,73.1334597367,0.0,102.000620287,77.6748002752,452.148072077,171.260196458,33.3212,247.566675619
 01/01  21:00:00,390.317734405,35.6530445197,82.4621470231,0.0,108.704857014,91.4735406516,562.427883804,280.903320496,33.3212,248.203363308
 01/01  22:00:00,366.513165805,35.6530445197,86.366591676,0.0,95.2963835608,89.1510273009,489.039720674,210.37684867,24.9909,253.671972004
 01/01  23:00:00,296.70140338,35.6530445197,70.4047423709,0.0,80.3315023541,63.3799339444,567.089943489,182.037393568,16.6606,368.391949921
 01/01  24:00:00,225.635113765,35.6530445197,64.1273687892,0.0,42.6918050922,48.4199368926,408.25739543,184.907509327,8.3303,215.019586103
 01/02  01:00:00,130.188455195,30.8961888327,17.5787580307,0.0,25.5240853573,30.610668775,167.298161742,40.78226733,3.33212,123.183774412
 01/02  02:00:00,127.235401092,30.8961888327,21.9724326811,0.0,19.418418834,29.3649097162,130.621120703,33.1685593438,3.33212,94.1204413589
 01/02  03:00:00,122.21195106,30.8961888327,24.8651029838,0.0,12.7620426787,28.1191506574,125.859854007,28.4130314001,3.33212,94.1147026065
 01/02  04:00:00,123.974384883,30.8961888327,26.6370363851,0.0,12.7620426787,28.1191506574,123.276922344,25.8363659064,3.33212,94.1084364377
 01/02  05:00:00,134.060870706,30.8961888327,30.1386255637,0.0,12.7620426787,28.1191506574,151.137196692,24.6218876059,3.33212,123.183189086
 01/02  06:00:00,166.635134435,30.8961888327,35.1079361572,0.0,25.5240853573,30.610668775,248.322869908,24.523984659,8.3303,215.468585249
 01/02  07:00:00,312.622688183,33.155695284,78.6852967224,0.0,51.0481707146,78.1489452969,410.150508084,23.301807691,16.6606,370.188100393
 01/02  08:00:00,377.810863191,35.6583718989,98.1775450246,0.0,64.3609230253,109.708623606,617.031633645,98.8864100211,24.9909,493.154323624
 01/02  09:00:00,318.030898699,35.6530445197,83.857665863,0.0,51.0481707146,80.7689615957,509.268489906,96.2243197648,33.3212,379.722970142
 01/02  10:00:00,274.403896355,36.1902902239,67.9542466794,0.0,51.0481707146,71.0224615957,436.419914812,82.4271239844,66.8089,287.183890828
 01/02  11:00:00,211.166540581,36.2752706592,53.4250430801,0.0,32.1804615127,65.7244621605,398.709990936,89.3420792139,83.4695,225.898411722
 01/02  12:00:00,203.288561145,36.3222867416,44.9040385516,0.0,32.1804615127,65.7244621605,358.403860493,104.749254897,83.4695,170.185105596
 01/02  13:00:00,201.295540906,36.3575225286,43.5621421113,0.0,32.1804615127,65.7244621605,356.308232075,102.906488868,83.4695,169.932243207
 01/02  14:00:00,192.5044891,36.3895179911,44.3555548297,0.0,32.1804615127,55.9779621605,332.83510988,93.816241017,75.1392,163.879668863
 01/02  15:00:00,192.768278319,36.4171639029,44.5088250648,0.0,32.1804615127,55.9779621605,326.316817536,91.0400227977,66.8089,168.467894738
 01/02  16:00:00,192.674850066,36.4429453356,44.388781686,0.0,32.1804615127,55.9779621605,327.95300707,90.1510430074,75.1392,162.662764063
 01/02  17:00:00,221.281002009,36.1527228923,44.1223517957,0.0,32.1804615127,60.9114621605,314.432044343,92.626149215,91.7998,130.006095128
 01/02  18:00:00,280.866735141,35.6530445197,52.6031465314,0.0,32.1804615127,77.5397301883,336.714426927,98.6045902588,49.9818,188.128036668
 01/02  19:00:00,352.887966798,35.6530445197,70.6024693997,0.0,77.122965704,86.2600435998,495.317762786,105.040114763,49.9818,340.295848023
 01/02  20:00:00,366.45928712,35.6530445197,76.5637838336,0.0,102.647051061,80.1663183927,393.921898807,106.273113002,33.3212,254.327585804
 01/02  21:00:00,396.668596878,35.6530445197,81.4104554351,0.0,115.40909374,92.7192997104,392.76772809,104.222508677,33.3212,255.224019413
 01/02  22:00:00,386.477032028,35.6530445197,94.7755660891,0.0,102.647051061,94.1340635361,498.983382383,103.219419514,24.9909,370.773062869
 01/02  23:00:00,308.535547932,35.6530445197,83.4029446544,0.0,77.122965704,65.871452062,409.461048144,112.658554358,16.6606,280.141893786
 01/02  24:00:00,218.7090309,35.6530445197,61.6790756518,0.0,38.286128036,48.4199368926,287.015618206,124.417334384,8.3303,154.267983823
 01/03  01:00:00,124.095655914,30.8961888327,11.4831598462,0.0,25.5240853573,30.610668775,221.909882725,95.3718031001,3.33212,123.205959625
 01/03  02:00:00,123.560264226,30.8961888327,18.2934274131,0.0,19.418418834,29.3649097162,169.608188953,72.1321516863,3.33212,94.1439172669
 01/03  03:00:00,119.453152648,30.8961888327,22.1137087364,0.0,12.7620426787,28.1191506574,151.015018544,53.5431370254,3.33212,94.139761519
 01/03  04:00:00,122.133694843,30.8961888327,24.7832493492,0.0,12.7620426787,28.1191506574,140.615587518,43.1483347571,3.33212,94.1351327611
 01/03  05:00:00,133.072997398,30.8961888327,28.5066342496,0.0,12.7620426787,28.1191506574,163.501238001,35.4000337293,3.33212,124.769084271
 01/03  06:00:00,170.144649052,30.8961888327,37.9370621194,0.0,25.5240853573,30.610668775,254.863396921,29.8283116988,8.3303,216.704785223
 01/03  07:00:00,335.514912044,34.2259878136,98.3871549471,0.0,51.0481707146,78.1489452969,415.786862612,25.4841815592,16.6606,373.642081053
 01/03  08:00:00,373.353174174,35.6560122007,92.7962241134,0.0,64.3609230253,109.708623606,611.760488235,93.2983807435,24.9909,493.471207492
 01/03  09:00:00,317.912341515,35.6530445197,82.4125550444,0.0,51.0481707146,80.7689615957,535.792664351,124.104573547,33.3212,378.366890805
 01/03  10:00:00,259.41786749,36.1958783764,53.4451424839,0.0,51.0481707146,71.0224615957,489.170343045,131.167408677,66.8089,291.194034368
 01/03  11:00:00,208.678051233,36.2819482471,51.428983747,0.0,32.1804615127,65.7244621605,447.777304111,138.316026956,83.4695,225.991777155
