Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,74.577633729,21.072156821,17.1463908156,1.20429131808,4.12243109448,15.9888894789,93.7468611155,90.7551306977,2.97173041782,0.02
 01/02  02:00:00,63.2394348292,17.5162167423,10.5844899834,0.0,4.12243109448,15.9888894789,82.1473705501,79.1556401323,2.97173041782,0.02
 01/02  03:00:00,79.3432473813,23.1614176107,18.2428791653,2.41492925043,4.12243109448,15.9888894789,103.514511765,100.522781347,2.97173041782,0.02
 01/02  04:00:00,70.4983606569,18.571338978,14.2009696053,2.64984653121,4.12243109448,15.9888894789,84.0173585301,81.0256281123,2.97173041782,0.02
 01/02  05:00:00,101.556774403,27.3997888315,19.5694860355,2.03284448252,12.3672932834,24.9413748627,118.179452528,113.206568498,4.9528840297,0.02
 01/02  06:00:00,138.198879184,28.4551047808,27.5074776398,30.129648528,12.3672932834,24.9413748627,187.830450987,182.857566957,4.9528840297,0.02
 01/02  07:00:00,183.415735725,28.9347610333,21.0880567722,23.1407887097,24.7345865669,70.7195625826,153.572082901,143.646314842,9.90576805939,0.02
 01/02  08:00:00,201.076577676,29.0712772399,23.4680682157,15.988633079,37.1018798503,92.3937384068,132.928252722,123.002484662,9.90576805939,0.02
 01/02  09:00:00,211.538935406,29.1423057073,26.1904352218,13.963400081,37.1018798503,104.434947198,126.954824034,117.029055974,9.90576805939,0.02
 01/02  10:00:00,224.78176945,29.1843701076,28.9158579849,12.3970859987,37.1018798503,116.476155989,132.233536602,113.700129998,9.90576805939,8.62763854459
 01/02  11:00:00,224.776435469,29.2146879156,30.2445260865,11.0321985971,37.1018798503,116.476155989,121.025605746,111.099837686,9.90576805939,0.02
 01/02  12:00:00,223.951992426,29.2401612991,30.5989333467,9.82759591012,37.1018798503,116.476155989,127.487529924,108.949412967,9.90576805939,8.63234889717
 01/02  13:00:00,211.096589075,29.2641626991,30.8922302187,8.69675071597,37.1018798503,104.434947198,116.987257532,107.061489472,9.90576805939,0.02
 01/02  14:00:00,222.936609878,29.2965142687,31.6111253502,7.74367444247,37.1018798503,116.476155989,115.033099411,105.107331352,9.90576805939,0.02
 01/02  15:00:00,223.158473234,29.3251643509,32.581791476,6.96648976782,37.1018798503,116.476155989,122.271815412,103.733718519,9.90576805939,8.63232883332
 01/02  16:00:00,223.112719589,29.3513094476,33.0460415244,6.43050765902,37.1018798503,116.476155989,112.621670706,102.695902647,9.90576805939,0.02
 01/02  17:00:00,222.368235363,29.3671029021,32.5555372496,6.16132732715,37.1018798503,116.476155989,120.488930869,101.956758585,9.90576805939,8.6264042241
 01/02  18:00:00,235.901930954,29.3764882692,32.1162834687,6.03106067462,37.1018798503,116.476155989,111.482185511,101.556417452,9.90576805939,0.02
 01/02  19:00:00,142.502304319,27.5404717962,27.849526365,0.0,24.7345865669,47.5788473902,83.26993135,78.2970473203,4.9528840297,0.02
 01/02  20:00:00,143.853163417,27.9625206905,28.7783313355,0.0,24.7345865669,47.5788473902,88.4843303057,83.511446276,4.9528840297,0.02
 01/02  21:00:00,115.467074961,26.6963740077,22.9100459084,0.00527658274553,12.3672932834,38.6892022431,101.524871007,98.5331405887,2.97173041782,0.02
 01/02  22:00:00,94.5694963843,19.6581742622,20.7213022343,0.168342890812,12.3672932834,27.0668015668,87.7206924851,76.1451094414,2.97173041782,8.60385262581
 01/02  23:00:00,66.3523181439,17.5162167423,14.1275747417,0.0,4.12243109448,15.9888894789,77.4916501637,74.4999197458,2.97173041782,0.02
 01/02  24:00:00,81.3683262423,23.1614176107,22.2618881558,1.01647773168,4.12243109448,15.9888894789,98.4726034614,95.4808730436,2.97173041782,0.02
 01/03  01:00:00,67.3011066341,17.7694460788,14.6199656672,0.152904972596,4.12243109448,15.9888894789,80.9565064949,77.9647760771,2.97173041782,0.02
 01/03  02:00:00,78.9419217595,22.7393687164,20.1391160278,1.22913130474,4.12243109448,15.9888894789,101.588477573,98.5967471549,2.97173041782,0.02
 01/03  03:00:00,73.1471576857,18.6979536462,17.6857178793,2.04910304655,4.12243109448,15.9888894789,82.7872545845,79.7955241666,2.97173041782,0.02
 01/03  04:00:00,74.4794550817,22.106295375,16.9528138119,0.34266101225,4.12243109448,15.9888894789,103.933370982,100.941640564,2.97173041782,0.02
 01/03  05:00:00,108.511418969,28.24388662,24.8841216834,3.27676209237,12.3672932834,24.9413748627,116.659424291,111.686540262,4.9528840297,0.02
 01/03  06:00:00,130.068582156,28.0269793831,27.692597524,22.2423567156,12.3672932834,24.9413748627,186.394962249,181.422078219,4.9528840297,0.02
 01/03  07:00:00,183.395603922,28.9384841822,22.9471086419,21.2578815929,24.7345865669,70.7195625826,151.857265921,141.931497861,9.90576805939,0.02
 01/03  08:00:00,200.11378945,29.0903332336,23.2570421493,15.2178102653,37.1018798503,92.3937384068,132.384488816,122.458720757,9.90576805939,0.02
 01/03  09:00:00,208.48964274,29.156742005,23.516082045,13.5740095955,37.1018798503,104.434947198,126.745168756,116.819400697,9.90576805939,0.02
 01/03  10:00:00,219.879032559,29.1952072802,24.194325837,12.2050576967,37.1018798503,116.476155989,132.173952824,113.640488576,9.90576805939,8.62769618911
 01/03  11:00:00,218.886817651,29.2236652707,24.4502769337,10.9278390715,37.1018798503,116.476155989,121.067906145,111.142138086,9.90576805939,0.02
 01/03  12:00:00,217.975538796,29.2491280645,24.7080432039,9.73307241711,37.1018798503,116.476155989,127.402939995,108.863242005,9.90576805939,8.63392993097
 01/03  13:00:00,205.583648229,29.2720582085,25.3627044385,8.70543185911,37.1018798503,104.434947198,117.002579296,107.076811237,9.90576805939,0.02
 01/03  14:00:00,216.594201637,29.2976967841,24.9933250639,8.01787616515,37.1018798503,116.476155989,123.928972696,105.389281752,9.90576805939,8.63392288497
 01/03  15:00:00,215.33248246,29.3144371836,24.1219436952,7.61107847916,37.1018798503,116.476155989,114.249821622,104.324053563,9.90576805939,0.02
 01/03  16:00:00,214.835213951,29.3280020692,23.7797481249,7.40533615554,37.1018798503,116.476155989,118.72597311,103.578242545,9.90576805939,5.24196250558
 01/03  17:00:00,216.600456357,29.3360113069,23.7438078359,7.37396856794,37.1018798503,116.476155989,116.185973645,102.874846514,9.90576805939,3.40535907125
 01/03  18:00:00,231.364824313,29.3374656843,22.9757742837,7.54794050775,37.1018798503,116.476155989,112.478306888,102.552538829,9.90576805939,0.02
 01/03  19:00:00,144.080138508,27.5404717962,21.2978176426,0.0,24.7345865669,47.5788473902,84.3267305349,79.3538465052,4.9528840297,0.02
 01/03  20:00:00,147.151193109,27.9625206905,22.5820190927,0.0137817223676,24.7345865669,47.5788473902,89.4952144438,84.5223304141,4.9528840297,0.02
 01/03  21:00:00,120.544622254,26.6963740077,17.2504601666,0.102507994183,12.3672932834,38.6892022431,110.988474427,99.4082174089,2.97173041782,8.60852660004
