Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4501964638,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4685224518,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.4611906306,0.0,0.0,0.0,15.863942322,29.242365,6.08836475275,0.0,3.20568,2.88268475275
 01/01  04:00:00,55.4557375877,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6665927078,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.6464025829,0.0,0.0,0.0,15.863942322,29.242365,6.08842401887,0.0,3.20568,2.88274401887
 01/01  07:00:00,55.6595012272,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,48.4570746734,0.0,0.0,0.0,15.863942322,29.242365,6.08833516038,0.0,3.20568,2.88265516038
 01/01  09:00:00,47.0322570226,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.0501438682,0.0,0.0,0.0,15.863942322,29.242365,6.08986282461,0.0,3.20568,2.88418282461
 01/01  11:00:00,47.0494109116,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.7289984734,0.0,0.0,0.0,15.863942322,29.242365,6.08978866393,0.0,3.20568,2.88410866393
 01/01  13:00:00,47.0354617769,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.0876129587,0.0,0.0,0.0,15.863942322,29.242365,6.08993853905,0.0,3.20568,2.88425853905
 01/01  15:00:00,47.1132770008,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.1104909556,0.0,0.0,0.0,15.863942322,29.242365,6.08832900137,0.0,3.20568,2.88264900137
 01/01  17:00:00,47.0134235522,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.5817018069,0.0,0.0,0.0,15.863942322,29.242365,6.08838835384,0.0,3.20568,2.88270835384
 01/01  19:00:00,55.5641451076,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
