Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5864587931,2.14278165918,0.0,0.0,1.85583932782,5.577,26.4653485335,21.7249884498,3.0011,1.73926008371
 01/01  02:00:00,9.59324206512,0.0,0.0,0.0,0.618613109274,5.0,3.59317696094,0.0,3.0011,0.592076960944
 01/01  03:00:00,9.61686158639,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.62760109237,0.0,0.0,0.0,0.618613109274,5.0,3.59315700456,0.0,3.0011,0.592057004562
 01/01  05:00:00,9.77803569583,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.7412147793,2.14278165918,0.0,0.0,1.85583932782,5.577,29.5292317773,24.4355188471,4.50165,0.592062930127
 01/01  07:00:00,28.2200550241,2.14278165918,0.0,0.0,3.71167865564,18.077,33.0796399119,18.4094693034,13.50495,1.16522060846
 01/01  08:00:00,25.6569813172,2.14278165918,0.0,0.0,3.71167865564,18.077,35.8247401358,13.6519692821,21.0077,1.16507085377
 01/01  09:00:00,20.6614950006,2.14278165918,0.0,0.0,3.71167865564,13.077,31.255570092,14.5122405337,15.0055,1.73782955835
 01/01  10:00:00,20.6777287472,2.14278165918,0.0,0.0,3.71167865564,13.077,29.7342704137,13.5634973123,15.0055,1.16527310134
 01/01  11:00:00,25.6854112481,2.14278165918,0.0,0.0,3.71167865564,18.077,45.946228522,8.89631719964,33.0121,4.03781132238
 01/01  12:00:00,26.8016728389,2.14278165918,0.0,0.0,3.71167865564,18.077,51.5560778057,6.42918848879,40.51485,4.61203931693
 01/01  13:00:00,25.9237197424,2.14278165918,0.0,0.0,3.71167865564,18.077,43.6255693716,4.72451507029,36.0132,2.88785430131
 01/01  14:00:00,25.7428755999,2.14278165918,0.0,0.0,3.71167865564,18.077,38.8312119224,3.85772013398,31.51155,3.46194178844
 01/01  15:00:00,20.7589654998,2.14278165918,0.0,0.0,3.71167865564,13.077,28.6928014822,4.79871310413,21.0077,2.88638837805
 01/01  16:00:00,20.7502729437,2.14278165918,0.0,0.0,3.71167865564,13.077,26.3651954447,4.54603406962,19.50715,2.31201137504
 01/01  17:00:00,20.6658171948,2.14278165918,0.0,0.0,3.71167865564,13.077,30.166887147,4.77267389732,22.50825,2.88596324965
 01/01  18:00:00,28.1931819928,2.14278165918,0.0,0.0,3.71167865564,18.077,32.9046468139,4.50738964005,25.50935,2.88790717381
 01/01  19:00:00,28.1783845452,2.14278165918,0.0,0.0,3.71167865564,18.077,34.0426067977,4.49506473003,25.50935,4.03819206765
 01/01  20:00:00,28.2859195443,2.14278165918,0.0,0.0,3.71167865564,18.077,39.2955330213,9.17440201405,25.50935,4.61178100721
 01/01  21:00:00,23.2397391412,2.14278165918,0.0,0.0,3.71167865564,13.077,40.4807739771,15.0844553805,22.50825,2.8880685966
 01/01  22:00:00,23.1552983292,2.14278165918,0.0,0.0,3.71167865564,13.077,42.4507404278,17.4053502934,21.0077,4.03769013447
 01/01  23:00:00,23.0454378944,2.14278165918,0.0,0.0,3.71167865564,13.077,41.0424452029,19.5741577965,18.0066,3.46168740647
 01/01  24:00:00,24.2194572533,2.14278165918,0.0,0.0,3.71167865564,13.077,27.2446130676,22.5054439127,3.0011,1.73806915489
 01/02  01:00:00,13.7541080531,2.14278165918,0.0,0.0,1.85583932782,5.577,33.4191058317,28.6797619496,3.0011,1.73824388208
 01/02  02:00:00,9.56456626178,0.0,0.0,0.0,0.618613109274,5.0,3.59318819747,0.0,3.0011,0.592088197468
 01/02  03:00:00,9.59574072588,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.60658815246,0.0,0.0,0.0,0.618613109274,5.0,3.59318378413,0.0,3.0011,0.592083784129
 01/02  05:00:00,9.75939235611,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.7274299904,2.14278165918,0.0,0.0,1.85583932782,5.577,34.6023799611,29.5086402949,4.50165,0.592089666182
 01/02  07:00:00,28.2039122786,2.14278165918,0.0,0.0,3.71167865564,18.077,36.9709155318,22.300867274,13.50495,1.16509825779
 01/02  08:00:00,25.6405151731,2.14278165918,0.0,0.0,3.71167865564,18.077,42.774788517,16.5772860369,21.0077,5.18980248007
 01/02  09:00:00,20.6514482883,2.14278165918,0.0,0.0,3.71167865564,13.077,34.7691852396,15.7247098175,15.0055,4.03897542208
 01/02  10:00:00,20.6759627909,2.14278165918,0.0,0.0,3.71167865564,13.077,32.8810031062,13.8387555312,15.0055,4.03674757495
 01/02  11:00:00,25.6777169148,2.14278165918,0.0,0.0,3.71167865564,18.077,47.0577053132,10.5840256875,33.0121,3.46157962562
 01/02  12:00:00,26.7919103264,2.14278165918,0.0,0.0,3.71167865564,18.077,52.2565170021,8.27948088189,40.51485,3.46218612017
 01/02  13:00:00,25.9055564219,2.14278165918,0.0,0.0,3.71167865564,18.077,44.7543878175,5.27944537355,36.0132,3.46174244398
 01/02  14:00:00,25.7109056681,2.14278165918,0.0,0.0,3.71167865564,18.077,38.8957791705,4.49724204998,31.51155,2.88698712056
 01/02  15:00:00,20.7170606237,2.14278165918,0.0,0.0,3.71167865564,13.077,30.47338305,6.57953888473,21.0077,2.88614416528
 01/02  16:00:00,20.7024850362,2.14278165918,0.0,0.0,3.71167865564,13.077,29.5829018377,7.76392770367,19.50715,2.31182413405
 01/02  17:00:00,20.6152315822,2.14278165918,0.0,0.0,3.71167865564,13.077,32.8874640167,8.06651418291,22.50825,2.31269983375
 01/02  18:00:00,28.1495169171,2.14278165918,0.0,0.0,3.71167865564,18.077,34.780926347,5.81000877814,25.50935,3.46156756884
 01/02  19:00:00,28.1497265644,2.14278165918,0.0,0.0,3.71167865564,18.077,36.0758107664,5.95270736808,25.50935,4.61375339836
 01/02  20:00:00,28.2908089625,2.14278165918,0.0,0.0,3.71167865564,18.077,36.507642284,6.38271830702,25.50935,4.61557397698
 01/02  21:00:00,23.274570688,2.14278165918,0.0,0.0,3.71167865564,13.077,34.4577117138,7.33741926958,22.50825,4.61204244424
 01/02  22:00:00,23.2044945536,2.14278165918,0.0,0.0,3.71167865564,13.077,32.7906520343,7.74364391419,21.0077,4.03930812008
 01/02  23:00:00,23.0947122497,2.14278165918,0.0,0.0,3.71167865564,13.077,31.8877528454,9.84465648968,18.0066,4.03649635575
 01/02  24:00:00,24.2486577834,2.14278165918,0.0,0.0,3.71167865564,13.077,18.2015277535,12.8892943779,3.0011,2.31113337565
 01/03  01:00:00,13.7988966366,2.14278165918,0.0,0.0,1.85583932782,5.577,24.577976026,19.8385309833,3.0011,1.73834504268
 01/03  02:00:00,9.60481821306,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  03:00:00,9.63341505423,0.0,0.0,0.0,0.618613109274,5.0,3.59316059273,0.0,3.0011,0.592060592734
 01/03  04:00:00,9.64384769988,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  05:00:00,10.3021855276,0.0,0.0,0.0,0.618613109274,5.0,3.59316651438,0.0,3.0011,0.592066514378
 01/03  06:00:00,14.2618299342,2.14278165918,0.0,0.0,1.85583932782,5.577,29.5194961625,24.9978461625,4.50165,0.02
 01/03  07:00:00,28.4429765984,2.14278165918,0.0,0.0,3.71167865564,18.077,34.1264303611,19.4563982976,13.50495,1.16508206346
 01/03  08:00:00,25.6393765246,2.14278165918,0.0,0.0,3.71167865564,18.077,41.9805907591,15.7838216992,21.0077,5.18906905984
