Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,188.926014266,3.6294655279,66.5355968675,0.0,43.513341876,52.539744,18.4688371298,13.6145771298,4.83426,0.02
 01/01  02:00:00,191.011787408,3.6294655279,68.5342423287,0.0,43.513341876,52.539744,16.9997276627,12.1454676627,4.83426,0.02
 01/01  03:00:00,179.959001209,3.13257524898,58.1673785803,0.0,43.513341876,52.539744,16.1584012752,11.3041412752,4.83426,0.02
 01/01  04:00:00,189.201990118,3.65106030415,66.7107568079,0.0,43.513341876,52.539744,18.1614531597,13.3071931597,4.83426,0.02
 01/01  05:00:00,199.976552881,3.97512223134,76.5529732726,0.0,43.513341876,52.539744,20.7142448779,15.8599848779,4.83426,0.02
 01/01  06:00:00,196.816174065,3.97512223134,73.4705841761,0.0,43.513341876,52.539744,31.6720528083,18.2261689815,4.83426,8.61162382677
 01/01  07:00:00,194.889262647,4.2775893823,71.2592722334,0.0,43.513341876,52.539744,27.6004694838,22.7462094838,4.83426,0.02
 01/01  08:00:00,164.105457681,3.23928238618,56.8729866923,0.0,43.513341876,52.539744,17.1367574117,12.2824974117,4.83426,0.02
 01/01  09:00:00,160.151541844,2.87463453631,56.3250797383,0.0,43.513341876,52.539744,13.6676858814,8.81342588141,4.83426,0.02
 01/01  10:00:00,99.9760198138,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,99.9736896835,0.0,0.0,0.0,43.513341876,52.539744,13.4525910159,0.0,4.83426,8.6183310159
 01/01  12:00:00,100.833804475,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  13:00:00,99.9422711273,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.044705146,0.0,0.0,0.0,43.513341876,52.539744,13.4526402476,0.0,4.83426,8.61838024756
 01/01  15:00:00,100.093903254,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.086817901,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,99.8898810154,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,117.800518367,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.762583567,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.135868555,0.0,0.0,0.0,43.513341876,52.539744,13.4458037319,0.0,4.83426,8.61154373186
 01/01  21:00:00,118.061006878,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,168.292196724,1.73305119415,47.7544460484,0.0,43.513341876,52.539744,8.80249052,3.94823052,4.83426,0.02
 01/01  23:00:00,188.127343066,4.1708822451,65.0900118059,0.0,43.513341876,52.539744,17.6828278747,12.8285678747,4.83426,0.02
 01/01  24:00:00,195.584031012,3.97512223134,71.8068601694,0.0,43.513341876,52.539744,19.6374784272,14.7832184272,4.83426,0.02
 01/02  01:00:00,206.052783159,4.73846498689,82.2554108777,0.0,43.513341876,52.539744,34.6947193578,21.2418731784,4.83426,8.61858617943
 01/02  02:00:00,187.28856269,3.74468442905,64.8103386884,0.0,43.513341876,52.539744,23.9589664266,19.1047064266,4.83426,0.02
 01/02  03:00:00,206.619853475,4.85368388803,82.6757603526,0.0,43.513341876,52.539744,31.8072684299,26.9530084299,4.83426,0.02
 01/02  04:00:00,188.193296272,3.8599033302,65.5878683539,0.0,43.513341876,52.539744,29.5542674331,24.7000074331,4.83426,0.02
 01/02  05:00:00,206.740766634,4.96890278918,82.2601987335,0.0,43.513341876,52.539744,48.0993405398,34.6466497433,4.83426,8.61843079655
 01/02  06:00:00,188.961022785,3.97512223134,65.8248996303,0.0,43.513341876,52.539744,38.6120861064,33.7578261064,4.83426,0.02
 01/02  07:00:00,193.190630068,71.9990781606,0.00155116380432,0.0,43.513341876,53.238744,1985.09086118,1980.23660118,4.83426,0.02
 01/02  08:00:00,354.425291596,71.9990781606,0.0,0.0,220.879908,53.238744,1266.25151369,1235.09883111,4.83426,26.3184225839
 01/02  09:00:00,443.39382973,71.9990781606,0.00317342005805,0.0,220.879908,145.652643033,937.122794111,874.370079398,36.25695,26.4957647132
 01/02  10:00:00,443.280566233,71.9990781606,0.00304230415679,0.0,220.879908,145.652643033,800.060291544,719.181299247,36.25695,44.6220422969
 01/02  11:00:00,449.239195741,71.9990781606,0.00195023428541,0.0,220.879908,151.653867033,740.650993486,656.563475436,48.3426,35.7449180496
 01/02  12:00:00,450.156846313,71.9990781606,0.0,0.0,220.879908,151.653867033,710.299103919,608.149843909,48.3426,53.8066600106
 01/02  13:00:00,449.204178181,71.9990781606,0.0,0.0,220.879908,151.653867033,657.638957588,564.317328452,48.3426,44.9790291362
 01/02  14:00:00,443.200139609,71.9990781606,0.0,0.0,220.879908,145.652643033,612.192433683,533.974934276,24.1713,54.0461994071
