Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.6181698713,5.4975755199,1.55435074873,0.0,12.925468867,10.100111941,18.2669839488,18.2469839488,0.0,0.02
 01/01  02:00:00,37.5045609605,5.48296187419,1.45651395067,0.0,12.925468867,10.100111941,21.2833805365,15.5252548162,0.0,5.75812572033
 01/01  03:00:00,32.5002567446,5.43788429165,1.11580490837,0.000521097633686,8.34152022915,10.0650221343,16.8793094918,16.8593094918,0.0,0.02
 01/01  04:00:00,32.3779502637,5.42085936056,0.986821257945,0.0242221771955,8.34152022915,10.0650221343,23.5529541525,17.7945532246,0.0,5.75840092796
 01/01  05:00:00,33.9099382809,5.40908946418,0.895819398168,0.0523147446782,8.34152022915,11.6705166398,24.3213221335,18.5570800214,0.0,5.76424211203
 01/01  06:00:00,37.9433267043,5.39094425882,0.758750034356,0.0825621182497,8.80141237637,15.3678112995,24.8516806684,19.0816590211,0.0,5.77002164734
 01/01  07:00:00,58.6012405015,5.47350055995,1.40157714471,0.038396004172,18.5082010057,25.6353820695,24.0347867257,18.2543529986,0.0,5.78043372714
 01/01  08:00:00,69.2380321867,5.66942104468,2.96181300538,0.0,19.4926561212,41.1001056674,27.2433615071,15.6409203273,0.0,11.6024411798
 01/01  09:00:00,96.371809618,5.92733018061,6.0801191468,0.0,26.3286599382,57.9988325916,46.2418510353,10.7753832606,0.0,35.4664677747
 01/01  10:00:00,81.750029337,5.75126876999,6.90805892655,0.0,26.2443270014,42.8153538416,57.3209169665,9.89502131033,18.025,29.4008956561
 01/01  11:00:00,56.1344971609,5.53046367495,5.38809263736,0.0,21.7447113004,23.4437158914,51.1971697923,9.71802818377,18.025,23.4541416085
 01/01  12:00:00,53.1970874151,5.47777172076,4.90551059743,0.0,19.3449162599,23.4437158914,51.0760350701,9.64723680744,18.025,23.4037982627
 01/01  13:00:00,53.2866890827,5.47794596089,4.85287238142,0.0,19.190480192,23.7425572507,50.925893293,9.54927497535,18.025,23.3516183177
