Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,88.8161596075,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,86.0601487468,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,83.8314329311,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553259754,0.0,1.75125,1.16428259754
 01/01  04:00:00,82.6167434977,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,88.8183747362,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,88.5714478249,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549305842,0.0,1.75125,1.16424305842
 01/01  07:00:00,128.503385887,25.329692089,0.0,0.0,6.98738001645,14.1499734587,318.338575569,314.816075569,3.5025,0.02
 01/01  08:00:00,129.322432441,25.329692089,0.0,0.0,6.98738001645,14.1499734587,285.342451381,281.819951381,3.5025,0.02
 01/01  09:00:00,164.939382448,25.329692089,0.0,0.0,6.98738001645,14.1499734587,252.399901603,247.733008264,3.5025,1.1643933384
 01/01  10:00:00,141.487653206,25.329692089,0.0,0.0,6.98738001645,14.1499734587,240.63382541,237.11132541,3.5025,0.02
 01/01  11:00:00,176.39196438,25.329692089,0.0,0.0,27.9495200658,27.7759469175,208.772486843,200.602716516,7.005,1.16477032676
 01/01  12:00:00,207.150917338,25.329692089,0.0,0.0,27.9495200658,27.7759469175,197.654398114,189.484668702,7.005,1.16472941235
 01/01  13:00:00,218.064958757,25.329692089,0.0575357405316,0.0,41.9242800987,36.8599292233,177.020791312,167.660791312,9.34,0.02
 01/01  14:00:00,218.696131023,25.329692089,0.0601008421744,0.0,41.9242800987,36.8599292233,162.610582637,152.105739709,9.34,1.16484292818
 01/01  15:00:00,216.898304379,25.329692089,0.219761428516,0.0,41.9242800987,36.8599292233,151.7594936,141.254670765,9.34,1.16482283527
 01/01  16:00:00,214.669153707,25.329692089,0.362952876804,0.0,41.9242800987,36.8599292233,143.993360981,133.488519084,9.34,1.16484189689
 01/01  17:00:00,214.145946151,25.329692089,0.413174519003,0.0,41.9242800987,36.8599292233,143.138398523,132.633482276,9.34,1.16491624727
 01/01  18:00:00,197.733915333,25.329692089,0.0,0.0,27.9495200658,27.7759469175,167.680842194,160.655842194,7.005,0.02
 01/01  19:00:00,200.55262714,25.329692089,0.0,0.0,13.9747600329,18.6919646116,190.581287354,184.746616674,4.67,1.16467068054
 01/01  20:00:00,180.702525644,25.329692089,0.0,0.0,13.9747600329,18.6919646116,221.780384067,215.945691647,4.67,1.16469242004
 01/01  21:00:00,166.580513876,25.329692089,0.0,0.0,13.9747600329,18.6919646116,250.258560938,245.568560938,4.67,0.02
 01/01  22:00:00,147.858386705,25.329692089,0.0,0.0,13.9747600329,18.6919646116,221.556046075,215.721549118,4.67,1.16449695692
 01/01  23:00:00,91.0418037353,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,125.217844317,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554294113,0.0,1.75125,1.16429294113
 01/02  01:00:00,96.671515201,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,89.0143260044,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,88.0198336912,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,87.2781741224,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924264554,0.0,2.335,1.16424264554
 01/02  05:00:00,93.3470021341,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,92.7095007801,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,143.050655768,25.329692089,0.0,0.0,13.9747600329,18.6919646116,317.299384581,311.465122022,4.67,1.16426255973
 01/02  08:00:00,142.522428688,25.329692089,0.0,0.0,13.9747600329,18.6919646116,280.418868016,275.728868016,4.67,0.02
 01/02  09:00:00,219.018844951,25.329692089,0.0,0.0,34.9369000822,32.3179380704,241.012039018,231.674949025,8.1725,1.1645899938
