Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.672240604,4.08182155108,0.0,0.0,4.58992532963,8.1892,55.7610090829,46.6515016323,3.33988,5.76962745059
 01/01  02:00:00,14.7739085941,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7908352217,0.0,0.0,0.0,1.52997510988,7.4902,3.93197379595,0.0,3.33988,0.592093795953
 01/01  04:00:00,14.8051051137,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9532861817,0.0,0.0,0.0,1.52997510988,7.4902,3.93195386797,0.0,3.33988,0.592073867969
 01/01  06:00:00,22.7817366604,4.08182155108,0.00335398744356,0.0,4.58992532963,8.1892,70.888527103,62.518827103,8.3497,0.02
 01/01  07:00:00,38.7312937319,4.08182155108,0.0113502092489,0.0,9.17985065927,19.4245,79.6210635513,59.4593785559,16.6994,3.46228499542
 01/01  08:00:00,41.9743259208,4.08182155108,0.0128573197529,0.0,9.17985065927,26.9147,72.8824506986,43.7970876728,25.0491,4.03626302583
 01/01  09:00:00,41.99403211,4.08182155108,0.0,0.0,9.17985065927,26.9147,70.3469872865,33.484965663,33.3988,3.46322162348
 01/01  10:00:00,34.5212376103,4.08182155108,0.0,0.0,9.17985065927,19.4245,61.7829562148,33.2705709404,25.0491,3.46328527437
 01/01  11:00:00,42.0379309568,4.08182155108,0.00441033939981,0.0,9.17985065927,26.9147,76.9727747901,23.6430194267,41.7485,11.5812553634
 01/01  12:00:00,42.7790332975,4.08182155108,0.0,0.0,9.17985065927,26.9147,68.2214882838,14.8922297903,41.7485,11.5807584934
 01/01  13:00:00,42.1305090329,4.08182155108,0.0,0.0,9.17985065927,26.9147,54.1804849483,3.1840973269,41.7485,9.24788762137
 01/01  14:00:00,34.622138017,4.08182155108,0.0,0.0,9.17985065927,19.4245,42.6946753875,0.0478979051518,33.3988,9.24797748237
 01/01  15:00:00,34.6320957695,4.08182155108,0.0,0.0,9.17985065927,19.4245,32.7378361095,0.762661629007,25.0491,6.92607448044
 01/01  16:00:00,34.6195316472,4.08182155108,0.0,0.0,9.17985065927,19.4245,42.9956178775,2.66974414964,33.3988,6.92707372783
 01/01  17:00:00,42.0384348348,4.08182155108,0.00499932278207,0.0,9.17985065927,26.9147,62.6803810424,5.65476937514,50.0982,6.9274116673
 01/01  18:00:00,46.2500330545,4.08182155108,0.0,0.0,9.17985065927,26.9147,74.0135052322,14.6659209946,50.0982,9.24938423758
 01/01  19:00:00,46.2174158565,4.08182155108,0.0,0.0,9.17985065927,26.9147,84.9691113959,23.2902610937,50.0982,11.5806503022
 01/01  20:00:00,38.8405877078,4.08182155108,0.0,0.0,9.17985065927,19.4245,74.6260595537,29.6474460393,33.3988,11.5798135144
 01/01  21:00:00,38.8167507684,4.08182155108,0.0,0.0,9.17985065927,19.4245,73.5791167619,30.9309380184,33.3988,9.24937874349
 01/01  22:00:00,38.7403845479,4.08182155108,0.0,0.0,9.17985065927,19.4245,75.9597479061,39.330089566,25.0491,11.5805583401
 01/01  23:00:00,38.6360733359,4.08182155108,0.0,0.0,9.17985065927,19.4245,66.3385592316,40.3907884018,16.6994,9.24837082982
 01/01  24:00:00,39.410541359,4.08182155108,0.0,0.0,9.17985065927,19.4245,52.1631393162,39.1985526561,8.3497,4.61488666019
 01/02  01:00:00,22.70445247,4.08182155108,0.0,0.0,4.58992532963,8.1892,49.8966516938,41.3664827876,3.33988,5.19028890628
 01/02  02:00:00,14.8163723511,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.8668423421,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.9106161688,0.0,0.0,0.0,1.52997510988,7.4902,3.93195312679,0.0,3.33988,0.592073126787
 01/02  05:00:00,15.0725118907,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.8758514118,4.08182155108,0.0,0.0,4.58992532963,8.1892,40.8789310087,31.9371519667,8.3497,0.592079042022
 01/02  07:00:00,38.7862371973,4.08182155108,0.0135879203015,0.0,9.17985065927,19.4245,59.0689200356,38.9070359099,16.6994,3.46248412573
 01/02  08:00:00,42.0031727544,4.08182155108,0.022572330347,0.0,9.17985065927,26.9147,76.6328625899,37.6613995282,25.0491,13.9223630617
 01/02  09:00:00,41.9896496194,4.08182155108,0.0,0.0,9.17985065927,26.9147,82.8019939994,36.6527037487,33.3988,12.7504902507
 01/02  10:00:00,34.5018424192,4.08182155108,0.0,0.0,9.17985065927,19.4245,71.9238609891,36.4612263335,25.0491,10.4135346556
 01/02  11:00:00,41.9994993325,4.08182155108,0.003650698938,0.0,9.17985065927,26.9147,86.4854212202,35.4914247532,41.7485,9.245496467
 01/02  12:00:00,42.7355457496,4.08182155108,0.0,0.0,9.17985065927,26.9147,76.4178889267,24.2560519006,41.7485,10.4133370261
 01/02  13:00:00,42.0608967021,4.08182155108,0.0,0.0,9.17985065927,26.9147,66.5852736846,15.5913145685,41.7485,9.24545911613
 01/02  14:00:00,34.5435922059,4.08182155108,0.0,0.0,9.17985065927,19.4245,57.3463190193,15.8608493082,33.3988,8.08666971106
 01/02  15:00:00,34.54150124,4.08182155108,0.0,0.0,9.17985065927,19.4245,55.1199191873,23.1449954024,25.0491,6.92582378488
 01/02  16:00:00,34.5178422526,4.08182155108,0.0,0.0,9.17985065927,19.4245,72.9080793987,32.5822487301,33.3988,6.92703066854
 01/02  17:00:00,41.9432892773,4.08182155108,0.00528598466327,0.0,9.17985065927,26.9147,89.7518857179,32.726452544,50.0982,6.92723317389
 01/02  18:00:00,46.1727185929,4.08182155108,0.0,0.0,9.17985065927,26.9147,93.8883770285,34.540189385,50.0982,9.24998764348
 01/02  19:00:00,46.1635860025,4.08182155108,0.0,0.0,9.17985065927,26.9147,97.416618992,34.5680645073,50.0982,12.7503544847
 01/02  20:00:00,38.7940557152,4.08182155108,0.0,0.0,9.17985065927,19.4245,87.9912163658,40.670954212,33.3988,13.9214621539
 01/02  21:00:00,38.7710450809,4.08182155108,0.0,0.0,9.17985065927,19.4245,87.550830924,42.5729085527,33.3988,11.5791223713
 01/02  22:00:00,38.6905526441,4.08182155108,0.0,0.0,9.17985065927,19.4245,89.1965169457,51.9775075627,25.0491,12.1699093829
 01/02  23:00:00,38.5752740219,4.08182155108,0.0,0.0,9.17985065927,19.4245,84.4633383075,57.3488426363,16.6994,10.4150956712
 01/02  24:00:00,39.3668265348,4.08182155108,0.0,0.0,9.17985065927,19.4245,75.6961335667,61.0020008427,8.3497,6.34443272402
 01/03  01:00:00,22.6195082211,4.08182155108,0.0,0.0,4.58992532963,8.1892,76.9301497179,68.9762229155,3.33988,4.61404680242
 01/03  02:00:00,14.7019604656,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.7238766629,0.0,0.0,0.0,1.52997510988,7.4902,3.93197237724,0.0,3.33988,0.592092377244
 01/03  04:00:00,14.7423778163,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.4039813769,0.0,0.0,0.0,1.52997510988,7.4902,3.93192651941,0.0,3.33988,0.592046519406
 01/03  06:00:00,23.2394690261,4.08182155108,0.0,0.0,4.58992532963,8.1892,84.0521692944,75.6824692944,8.3497,0.02
 01/03  07:00:00,38.9098490352,4.08182155108,0.0148184919619,0.0,9.17985065927,19.4245,94.628622336,73.8930084128,16.6994,4.03621392324
 01/03  08:00:00,41.9289643144,4.08182155108,0.0181039714911,0.0,9.17985065927,26.9147,99.594614973,61.1989196085,25.0491,13.3465953644
 01/03  09:00:00,41.9517125656,4.08182155108,0.0,0.0,9.17985065927,26.9147,95.9706761456,49.820979855,33.3988,12.7508962906
 01/03  10:00:00,34.4889665406,4.08182155108,0.0,0.0,9.17985065927,19.4245,76.0872534636,40.6239926744,25.0491,10.4141607892
 01/03  11:00:00,41.9878228578,4.08182155108,0.00256418196909,0.0,9.17985065927,26.9147,87.0443341406,36.0460473603,41.7485,9.24978678027
 01/03  12:00:00,42.7262208346,4.08182155108,0.0,0.0,9.17985065927,26.9147,76.6963889563,24.5342707748,41.7485,10.4136181815
 01/03  13:00:00,42.0578154571,4.08182155108,0.0,0.0,9.17985065927,26.9147,63.9569418424,12.9584389385,41.7485,9.25000290387
 01/03  14:00:00,34.5453519747,4.08182155108,0.0,0.0,9.17985065927,19.4245,52.983540353,11.4989245719,33.3988,8.0858157812
 01/03  15:00:00,34.5585584234,4.08182155108,0.0,0.0,9.17985065927,19.4245,45.1347664608,13.157306498,25.0491,6.92835996278
 01/03  16:00:00,34.5432944899,4.08182155108,0.0,0.0,9.17985065927,19.4245,59.8622868012,18.9600333513,33.3988,7.50345344997
 01/03  17:00:00,41.962322145,4.08182155108,0.00393975651197,0.0,9.17985065927,26.9147,78.9813190414,21.9555189513,50.0982,6.92760009012
 01/03  18:00:00,45.1254164636,4.08182155108,0.0,0.0,9.17985065927,26.9147,87.5565433516,28.2087045888,50.0982,9.24963876272
 01/03  19:00:00,46.180280232,4.08182155108,0.0,0.0,9.17985065927,26.9147,90.2726734407,27.4235902463,50.0982,12.7508831944
 01/03  20:00:00,38.6567831966,4.08182155108,0.0,0.0,9.17985065927,19.4245,84.10218585,37.3619838554,33.3988,13.3414019946
 01/03  21:00:00,38.6304021577,4.08182155108,0.0,0.0,9.17985065927,19.4245,90.2827331809,45.3021825931,33.3988,11.5817505878
 01/03  22:00:00,38.5834610133,4.08182155108,0.0,0.0,9.17985065927,19.4245,91.4611929115,53.6614764785,25.0491,12.750616433
 01/03  23:00:00,38.5693018925,4.08182155108,0.0,0.0,9.17985065927,19.4245,87.1842973347,60.0718136803,16.6994,10.4130836544
 01/03  24:00:00,39.361257548,4.08182155108,0.0,0.0,9.17985065927,19.4245,79.4876102255,65.3685999276,8.3497,5.76931029788
