Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,996.682542063,97.6078909948,615.163110462,0.0,34.9616554283,113.312780494,617.154476515,602.784460939,5.66466996096,8.70534561415
 01/01  02:00:00,992.822779127,97.6078909948,609.494947193,0.0,34.9616554283,113.312780494,639.162380645,616.106782296,5.66466996096,17.3909283881
 01/01  03:00:00,987.182787674,97.6078909948,604.120594444,0.0,34.9616554283,113.312780494,645.075801612,630.705644912,5.66466996096,8.70548673908
 01/01  04:00:00,984.640061819,97.6078909948,601.383820335,0.0,34.9616554283,113.312780494,662.387005141,639.331182873,5.66466996096,17.3911523068
 01/01  05:00:00,992.397730779,97.6078909948,601.182568211,0.0,44.4937663224,113.312780494,652.005301158,637.635036838,5.66466996096,8.70559435943
 01/01  06:00:00,991.191826788,97.6078909948,596.07301265,0.0,44.4937663224,113.312780494,701.890386785,670.337227692,14.1616749024,17.3914841907
 01/01  07:00:00,1047.57565271,97.6078909948,578.8220741,0.0,54.0258772165,176.889270242,640.459835309,603.430788104,28.3233498048,8.70569740027
 01/01  08:00:00,1045.3246677,97.6078909948,588.312039742,0.0,54.0258772165,184.38654557,638.502926936,578.626341572,42.4850247072,17.391560656
 01/01  09:00:00,1132.8814891,97.6078909948,597.73856496,0.0,65.1572554096,220.04316451,605.262377289,531.156406707,56.6466996096,17.4592709723
 01/01  10:00:00,1133.83383231,97.6078909948,605.754411983,0.0,65.1572554096,212.545889182,578.527007177,518.507746967,42.4850247072,17.5342355022
 01/01  11:00:00,1150.10213749,97.6078909948,614.062488163,0.0,65.1572554096,220.04316451,600.207551723,503.004516702,70.808374512,26.3946605097
 01/01  12:00:00,1161.32153254,97.6078909948,623.730769325,0.0,65.1572554096,220.04316451,590.452981833,493.246587868,70.808374512,26.3980194523
