Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,138.594514861,30.7706061465,14.6947003034,0.0,34.4311606118,33.1021868926,164.979039368,54.6532361664,3.33212,106.993683202
 01/01  02:00:00,145.518882335,30.7706061465,21.6249280964,0.0,34.4311606118,33.1021868926,127.682609326,42.5165805102,3.33212,81.8339088154
 01/01  03:00:00,129.638995885,30.7706061465,23.2703416048,0.0,19.466279405,30.610668775,118.303501671,34.4135442689,3.33212,80.5578374021
 01/01  04:00:00,131.184485325,30.7706061465,24.8266407932,0.0,19.466279405,30.610668775,112.881513473,28.9929567169,3.33212,80.5564367558
 01/01  05:00:00,140.330416946,30.7706061465,27.4014111541,0.0,19.466279405,30.610668775,136.698978388,25.1912595683,3.33212,108.17559882
 01/01  06:00:00,144.895144919,30.7706061465,19.7989286086,0.0,19.466279405,30.610668775,163.005045261,23.5737769181,8.3303,131.100968343
 01/01  07:00:00,261.928986475,32.5255983251,61.5974673018,0.0,42.6918050922,54.3732441037,235.175068122,23.1718044838,16.6606,195.342663638
 01/01  08:00:00,310.806084013,35.5569484519,70.2638877179,0.0,49.3960418185,88.5934452969,464.183068279,121.096829281,24.9909,318.095338998
 01/01  09:00:00,385.701487416,35.5569484519,112.970784994,0.0,57.6566862989,112.030105488,582.270251581,95.3263658419,33.3212,453.622685739
 01/01  10:00:00,340.06766018,36.0678494323,122.823647764,0.0,50.9524495726,81.1684271793,453.392527933,58.4026237206,66.8089,328.181004213
 01/01  11:00:00,286.383225437,36.1192601694,113.861962955,0.0,42.6918050922,68.9656133826,382.849326975,48.6342536228,83.4695,250.745573352
 01/01  12:00:00,281.451130714,36.1651641776,112.539079911,0.0,38.286128036,68.9656133826,312.71381058,31.8828818312,83.4695,197.361428749
 01/01  13:00:00,287.900095531,36.2087227916,119.355464209,0.0,38.286128036,68.9656133826,245.686467917,16.2463425261,83.4695,145.970625391
 01/01  14:00:00,292.931676404,36.247453237,142.937579167,0.0,31.5818913096,56.727595265,229.20356607,8.10522983904,75.1392,145.959136231
 01/01  15:00:00,300.410170789,36.2790752482,150.513219162,0.0,31.5818913096,56.727595265,219.031831094,6.60193035825,66.8089,145.621000736
 01/01  16:00:00,295.020524934,36.3063959488,145.341258409,0.0,31.5818913096,56.727595265,228.073335947,7.32095734679,75.1392,145.6131786
 01/01  17:00:00,295.286113302,36.0222330596,117.146245345,0.0,31.5818913096,61.661095265,214.557337532,14.3473659319,91.7998,108.4101716
 01/01  18:00:00,297.825984537,35.5569484519,79.1099674556,0.0,31.5818913096,70.9729253606,231.023806426,43.0578353748,49.9818,137.984171051
 01/01  19:00:00,359.097372423,35.5569484519,76.1065069109,0.0,80.3315023541,83.7685254822,315.440582254,102.872923043,49.9818,162.585859211
 01/01  20:00:00,371.880671515,35.5569484519,84.7848989194,0.0,102.000620287,77.6748002752,409.576591883,160.601854252,33.3212,215.653537631
 01/01  21:00:00,400.612454203,35.5569484519,92.8229879637,0.0,108.704857014,91.4735406516,416.222734318,167.829540988,33.3212,215.07199333
 01/01  22:00:00,373.79230245,35.5569484519,94.1319673431,0.0,95.2963835608,89.1510273009,389.697700288,149.066354032,24.9909,215.640446256
 01/01  23:00:00,317.779358827,35.5569484519,91.6130443744,0.0,80.3315023541,63.3799339444,440.98286952,106.03869924,16.6606,318.28357028
 01/01  24:00:00,234.144679355,35.5569484519,72.6467369449,0.0,42.6918050922,48.4199368926,289.465097286,101.15604056,8.3303,179.978756725
 01/02  01:00:00,127.480064343,30.7706061465,15.0037944989,0.0,25.5240853573,30.610668775,165.854057346,54.3300749246,3.33212,108.191862421
 01/02  02:00:00,128.227058669,30.7706061465,23.1716094145,0.0,19.418418834,29.3649097162,116.946441492,33.1410858196,3.33212,80.4732356719
 01/02  03:00:00,125.798024592,30.7706061465,28.7769465018,0.0,12.7620426787,28.1191506574,98.4041392315,14.5979650194,3.33212,80.4740542121
 01/02  04:00:00,129.834565496,30.7706061465,32.885287782,0.0,12.7620426787,28.1191506574,88.2537587456,4.4473023434,3.33212,80.4743364021
 01/02  05:00:00,139.845140411,30.7706061465,36.2823397956,0.0,12.7620426787,28.1191506574,117.111902248,5.58106801523,3.33212,108.198714233
 01/02  06:00:00,175.218718379,30.7706061465,43.9962569097,0.0,25.5240853573,30.610668775,210.980649163,15.9038860494,8.3303,186.746463114
 01/02  07:00:00,320.767351109,33.3632082286,85.9541657768,0.0,51.0481707146,78.1489452969,364.119460414,29.8926095242,16.6606,317.56625089
 01/02  08:00:00,379.679489724,35.5602418767,102.903402864,0.0,64.3609230253,109.708623606,535.681668437,87.8117407212,24.9909,422.879027716
 01/02  09:00:00,314.646964912,35.5569484519,80.5182750955,0.0,51.0481707146,80.7689615957,480.37346258,117.476869651,33.3212,329.575392929
 01/02  10:00:00,289.490806529,36.0805735065,83.2699065313,0.0,51.0481707146,71.0224615957,441.574942198,125.278405696,66.8089,249.487636501
 01/02  11:00:00,239.756147814,36.1322830154,82.4693176459,0.0,32.1804615127,65.7244621605,375.848841987,95.4717409803,83.4695,196.907601007
 01/02  12:00:00,239.50084297,36.1781832631,81.7597126391,0.0,32.1804615127,65.7244621605,299.654238145,69.9864150921,83.4695,146.198323053
 01/02  13:00:00,238.11445594,36.2189444185,81.0892548383,0.0,32.1804615127,65.7244621605,299.276647532,69.8011236718,83.4695,146.00602386
 01/02  14:00:00,231.622968631,36.2549010934,84.237324375,0.0,32.1804615127,55.9779621605,292.823260456,71.8515449424,75.1392,145.832515514
 01/02  15:00:00,230.367181442,36.2842366248,82.9719885656,0.0,32.1804615127,55.9779621605,290.372140762,77.9228182048,66.8089,145.640422557
 01/02  16:00:00,221.098205139,36.3104367361,73.691649996,0.0,32.1804615127,55.9779621605,335.955939944,117.614611557,75.1392,143.202128387
 01/02  17:00:00,242.56292313,36.0254504703,66.1704469188,0.0,32.1804615127,60.9114621605,327.391325607,124.807904441,91.7998,110.783621166
 01/02  18:00:00,282.510297622,35.5569484519,57.3513768349,0.0,32.1804615127,77.5397301883,395.068464581,182.875874693,49.9818,162.210789887
 01/02  19:00:00,349.031982851,35.5569484519,66.9508963019,0.0,77.122965704,86.2600435998,514.212660736,170.930610098,49.9818,293.300250638
 01/02  20:00:00,359.655183265,35.5569484519,70.1101809246,0.0,102.647051061,80.1663183927,406.922414334,157.272276594,33.3212,216.32893774
 01/02  21:00:00,388.499063308,35.5569484519,73.6776464486,0.0,115.40909374,92.7192997104,405.755203879,156.636099023,33.3212,215.797904856
 01/02  22:00:00,373.146626013,35.5569484519,81.9526400586,0.0,102.647051061,94.1340635361,506.21811698,161.291548402,24.9909,319.935668579
 01/02  23:00:00,297.204236706,35.5569484519,72.6576005621,0.0,77.122965704,65.871452062,434.995267364,173.880995562,16.6606,244.453671802
 01/02  24:00:00,210.335272855,35.5569484519,53.9080993569,0.0,38.286128036,48.4199368926,325.857567909,186.553365632,8.3303,130.973902277
 01/03  01:00:00,125.784124616,30.7706061465,13.4793421711,0.0,25.5240853573,30.610668775,151.988645111,40.4504923488,3.33212,108.206032762
 01/03  02:00:00,119.498349177,30.7706061465,14.556778467,0.0,19.418418834,29.3649097162,118.783775465,34.9660424639,3.33212,80.485613001
 01/03  03:00:00,111.251956801,30.7706061465,14.2472345959,0.0,12.7620426787,28.1191506574,115.528575932,31.711706715,3.33212,80.4847492175
 01/03  04:00:00,111.470034499,30.7706061465,14.476543321,0.0,12.7620426787,28.1191506574,113.646343843,29.8304207111,3.33212,80.483803132
 01/03  05:00:00,120.655095543,30.7706061465,16.4562260629,0.0,12.7620426787,28.1191506574,140.311030728,28.7597944957,3.33212,108.219116232
 01/03  06:00:00,155.34013591,30.7706061465,23.4993671674,0.0,25.5240853573,30.610668775,224.16946351,28.5498680269,8.3303,187.289295483
 01/03  07:00:00,278.487000146,30.7706061465,48.7405946876,0.0,51.0481707146,78.1489452969,363.890600792,27.5759673582,16.6606,319.654033434
 01/03  08:00:00,398.642210832,35.5878174555,121.203247794,0.0,64.3609230253,109.708623606,598.51990055,153.070802995,24.9909,420.458197555
 01/03  09:00:00,317.111850761,35.5569484519,82.7109657622,0.0,51.0481707146,80.7689615957,529.466701197,163.748559256,33.3212,332.396941941
 01/03  10:00:00,287.522655669,35.9826872726,81.4233470988,0.0,51.0481707146,71.0224615957,453.681734034,139.646606079,66.8089,247.226227955
 01/03  11:00:00,232.275707822,36.1068771989,75.0736973814,0.0,32.1804615127,65.7244621605,376.484947003,96.0527700371,83.4695,196.962676965
 01/03  12:00:00,233.679455294,36.1527011254,75.9842852661,0.0,32.1804615127,65.7244621605,309.060995291,72.7126733122,83.4695,152.878821979
 01/03  13:00:00,238.453236842,36.1944711172,81.3889050786,0.0,32.1804615127,65.7244621605,296.140867128,66.6404501803,83.4695,146.030916948
