Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,87.6659120962,23.7370500546,23.1467848573,5.45299859913,4.12243109448,15.9888894789,98.2917977882,95.3000673704,2.97173041782,0.02
 01/02  02:00:00,81.7899325526,19.6203398821,22.9806442709,4.51888179088,4.12243109448,15.9888894789,84.115496317,81.1237658992,2.97173041782,0.02
 01/02  03:00:00,94.30173606,24.1970574729,30.544492114,4.774195651,4.12243109448,15.9888894789,105.005082312,102.013351895,2.97173041782,0.02
 01/02  04:00:00,81.1371196721,18.8322581709,25.2219384291,2.41285651064,4.12243109448,15.9888894789,84.0829431899,81.0912127721,2.97173041782,0.02
 01/02  05:00:00,116.48451562,27.8105640834,34.7403414378,1.83434749892,12.3672932834,24.9413748627,118.294195314,113.321311285,4.9528840297,0.02
 01/02  06:00:00,148.831427349,29.2040597016,38.5405688711,28.9875361847,12.3672932834,24.9413748627,188.627040343,183.654156313,4.9528840297,0.02
 01/02  07:00:00,192.267153163,29.6547702026,29.2007410603,22.9825620384,24.7345865669,70.7195625826,154.93070854,145.004940481,9.90576805939,0.02
 01/02  08:00:00,202.286056694,29.7419913679,25.764230826,16.5878370546,37.1018798503,92.3937384068,135.987803759,126.0620357,9.90576805939,0.02
 01/02  09:00:00,209.915915682,29.8197325217,25.322019355,12.1986733477,37.1018798503,104.434947198,127.856346578,117.930578518,9.90576805939,0.02
 01/02  10:00:00,220.813973277,29.9051321189,25.5515375417,9.21471653891,37.1018798503,116.476155989,130.499879077,111.970149397,9.90576805939,8.62396162018
 01/02  11:00:00,219.143096795,30.0133693617,26.9412923151,7.70678720566,37.1018798503,116.476155989,117.017812217,107.092044158,9.90576805939,0.02
 01/02  12:00:00,220.326694093,30.1593351828,29.0813036032,6.80839545175,37.1018798503,116.476155989,113.394657989,103.46888993,9.90576805939,0.02
 01/02  13:00:00,209.238316502,30.3017467169,30.1610451752,6.19088805188,37.1018798503,104.434947198,119.557596767,101.026433442,9.90576805939,8.62539526605
 01/02  14:00:00,221.554929711,30.4478573211,31.5171143932,5.31233586318,37.1018798503,116.476155989,108.573868029,98.6480999698,9.90576805939,0.02
 01/02  15:00:00,220.883186819,30.5378175765,31.5244771304,4.54339485045,37.1018798503,116.476155989,115.49918583,96.9654627183,9.90576805939,8.62795505195
 01/02  16:00:00,218.697706688,30.4624205866,29.7460286403,4.21204062688,37.1018798503,116.476155989,107.173811012,97.248042953,9.90576805939,0.02
 01/02  17:00:00,217.481056618,30.3148207942,28.7035057875,4.18602181511,37.1018798503,116.476155989,108.38524004,98.459471981,9.90576805939,0.02
 01/02  18:00:00,227.451398937,30.1352520662,26.3034667498,4.79366566566,37.1018798503,116.476155989,111.638013383,101.712245324,9.90576805939,0.02
 01/02  19:00:00,142.326061832,28.2483872563,22.4635219993,0.0,24.7345865669,47.5788473902,92.458366445,78.8978942534,4.9528840297,8.60758816193
 01/02  20:00:00,144.516669141,28.5402693716,22.292974459,0.00948493716732,24.7345865669,47.5788473902,90.3691211332,85.3962371035,4.9528840297,0.02
