Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4903981936,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4810047794,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.4668540196,0.0,0.0,0.0,15.863942322,29.242365,6.08813070841,0.0,3.20568,2.88245070841
 01/01  04:00:00,55.4651242912,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6753924697,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.6461060215,0.0,0.0,0.0,15.863942322,29.242365,6.08809636286,0.0,3.20568,2.88241636286
 01/01  07:00:00,55.6498005479,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,47.0209548263,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.0546414438,0.0,0.0,0.0,15.863942322,29.242365,6.08949861179,0.0,3.20568,2.88381861179
 01/01  10:00:00,47.0963248703,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.1085421996,0.0,0.0,0.0,15.863942322,29.242365,6.08948686681,0.0,3.20568,2.88380686681
 01/01  12:00:00,47.8031398208,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.1323915553,0.0,0.0,0.0,15.863942322,29.242365,6.08937623848,0.0,3.20568,2.88369623848
 01/01  14:00:00,47.196961956,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.2218445192,0.0,0.0,0.0,15.863942322,29.242365,6.08806249665,0.0,3.20568,2.88238249665
 01/01  16:00:00,50.4907278958,0.440951109165,2.83497173011,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,47.1055841342,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,54.218275957,0.0,0.0,0.0,15.863942322,29.242365,6.08816255282,0.0,3.20568,2.88248255282
 01/01  19:00:00,55.6054511447,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.7974700912,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.7726637229,0.0,0.0,0.0,15.863942322,29.242365,6.0881281265,0.0,3.20568,2.8824481265
 01/01  22:00:00,55.6490723955,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.4952281627,0.0,0.0,0.0,15.863942322,29.242365,6.08809406603,0.0,3.20568,2.88241406603
 01/01  24:00:00,56.195877137,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.5032501398,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.5183293027,0.0,0.0,0.0,15.863942322,29.242365,6.0894622131,0.0,3.20568,2.8837822131
 01/02  03:00:00,55.5396596141,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.5684950218,0.0,0.0,0.0,15.863942322,29.242365,6.0893541112,0.0,3.20568,2.8836741112
 01/02  05:00:00,55.7956227966,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  06:00:00,55.7424811294,0.0,0.0,0.0,15.863942322,29.242365,6.08944610534,0.0,3.20568,2.88376610534
 01/02  07:00:00,64.3247693339,7.85551183731,0.000983010307949,0.0,15.863942322,29.818365,137.050906348,130.961568399,3.20568,2.8836579493
 01/02  08:00:00,120.579206692,7.85551183731,0.0,0.0,80.527626,29.818365,197.124765168,193.899085168,3.20568,0.02
 01/02  09:00:00,165.874178868,7.85551183731,0.00759592081163,0.0,80.527626,75.0917375,182.059594917,149.347189988,24.0426,8.6698049293
 01/02  10:00:00,165.952634463,7.90955879543,0.00366364703278,0.0,80.527626,75.0917375,165.996484211,124.533064186,24.0426,17.420820025
 01/02  11:00:00,170.401857509,8.38853265036,0.0023062004984,0.0,80.527626,79.0911225,151.276106631,104.686556823,32.0568,14.5327498087
 01/02  12:00:00,171.443767379,8.79021610731,0.0,0.0,80.527626,79.0911225,117.200129107,67.672480176,32.0568,17.4708489311
 01/02  13:00:00,170.965737341,9.04973946461,0.0,0.0,80.527626,79.0911225,114.412780339,61.9451975443,32.0568,20.4107827947
 01/02  14:00:00,167.274029738,9.36092096137,0.0,0.0,80.527626,75.0917375,103.645723514,67.1866303547,16.0284,20.4306931592
 01/02  15:00:00,167.496422838,9.57037528541,0.0,0.0,80.527626,75.0917375,105.388923345,74.8383936424,16.0284,14.5221297029
 01/02  16:00:00,165.187492236,9.22693992548,0.0,0.0,80.527626,73.092045,125.775040925,105.126637967,3.20568,17.4427229584
 01/02  17:00:00,163.904880387,8.07691873921,0.0,0.0,80.527626,73.092045,101.66142828,95.568689792,3.20568,2.88705848816
 01/02  18:00:00,127.688124489,7.85551183731,0.0,0.0,80.527626,29.818365,137.579419426,131.486800915,3.20568,2.88693851104
 01/02  19:00:00,129.473406996,7.85551183731,0.0,0.0,80.527626,29.818365,164.571355378,155.5998163,3.20568,5.76585907794
 01/02  20:00:00,129.749209242,7.85551183731,0.0,0.0,80.527626,29.818365,164.259752051,155.280056955,3.20568,5.77401509561
 01/02  21:00:00,129.736988365,7.85551183731,0.0,0.0,80.527626,29.818365,179.036522564,170.060496227,3.20568,5.7703463371
 01/02  22:00:00,55.5338717371,0.0,0.0,0.0,15.863942322,29.242365,8.97590266768,0.0,3.20568,5.77022266768
 01/02  23:00:00,55.418004195,0.0,0.0,0.0,15.863942322,29.242365,6.09379532357,0.0,3.20568,2.88811532357
 01/02  24:00:00,56.1922266993,0.0,0.0,0.0,15.863942322,29.242365,6.09209565467,0.0,3.20568,2.88641565467
 01/03  01:00:00,55.4447042524,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.4347867428,0.0,0.0,0.0,15.863942322,29.242365,6.08937311528,0.0,3.20568,2.88369311528
 01/03  03:00:00,55.4236216254,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  04:00:00,55.4236873582,0.0,0.0,0.0,15.863942322,29.242365,6.08946771298,0.0,3.20568,2.88378771298
 01/03  05:00:00,56.4797204295,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  06:00:00,56.3026741615,0.0,0.0,0.0,15.863942322,29.242365,6.08936192948,0.0,3.20568,2.88368192948
 01/03  07:00:00,65.4811206268,7.85551183731,0.00329531749214,0.0,15.863942322,29.818365,417.164601775,413.938921775,3.20568,0.02
 01/03  08:00:00,121.123626649,7.85551183731,0.00125685235724,0.0,80.527626,29.818365,346.68004345,340.58724631,3.20568,2.88711714059
 01/03  09:00:00,166.324157125,7.85551183731,0.00967256759033,0.0,80.527626,75.0917375,229.147161151,196.435770514,24.0426,8.66879063751
 01/03  10:00:00,166.083304639,7.85551183731,0.00401788083171,0.0,80.527626,75.0917375,163.404575632,121.942415935,24.0426,17.4195596972
 01/03  11:00:00,170.043528933,8.06946708534,0.00457267961319,0.0,80.527626,79.0911225,140.278897289,93.6893082229,32.0568,14.5327890663
 01/03  12:00:00,171.34090916,8.70591199888,0.0,0.0,80.527626,79.0911225,116.492699768,66.966143105,32.0568,17.4697566634
 01/03  13:00:00,171.050366435,9.178942723,0.0,0.0,80.527626,79.0911225,103.282986582,50.8142062253,32.0568,20.411980357
 01/03  14:00:00,167.498525194,9.63222933804,0.0,0.0,80.527626,75.0917375,86.1437102432,49.6826737818,16.0284,20.4326364614
 01/03  15:00:00,167.917036975,10.0439451617,0.0192550098933,0.0,80.527626,75.0917375,64.6621265984,34.1110181068,16.0284,14.5227084916
 01/03  16:00:00,165.775085621,9.94071377837,0.0,0.0,80.527626,73.092045,60.4597723319,39.8120126239,3.20568,17.442079708
 01/03  17:00:00,164.036653163,8.31218433378,0.0,0.0,80.527626,73.092045,56.0204224623,49.9278261028,3.20568,2.88691635954
 01/03  18:00:00,127.529466907,7.85551183731,0.0,0.0,80.527626,29.818365,107.549179506,101.456334575,3.20568,2.88716493135
 01/03  19:00:00,129.067065401,7.85551183731,0.0,0.0,80.527626,29.818365,137.293353413,128.322070328,3.20568,5.76560308472
 01/03  20:00:00,129.418015673,7.85551183731,0.0,0.0,80.527626,29.818365,177.63138355,168.651926306,3.20568,5.77377724488
 01/03  21:00:00,129.527685682,7.85551183731,0.0,0.0,80.527626,29.818365,181.736054617,172.760256729,3.20568,5.7701178879
 01/03  22:00:00,55.3758650548,0.0,0.0,0.0,15.863942322,29.242365,8.97568771278,0.0,3.20568,5.77000771278
 01/03  23:00:00,55.4134373904,0.0,0.0,0.0,15.863942322,29.242365,6.09411635104,0.0,3.20568,2.88843635104
 01/03  24:00:00,56.1898911981,0.0,0.0,0.0,15.863942322,29.242365,6.09198421644,0.0,3.20568,2.88630421644
 01/04  01:00:00,55.4288736292,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/04  02:00:00,55.4192926333,0.0,0.0,0.0,15.863942322,29.242365,6.08946109276,0.0,3.20568,2.88378109276
 01/04  03:00:00,55.4118521906,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
