Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.639351026,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.624921397,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.599667572,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,117.59984817,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.022566405,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,170.062369007,1.88791199993,49.5530624826,0.0,43.513341876,52.539744,5.16047162845,0.306211628448,4.83426,0.02
 01/01  07:00:00,197.48437242,3.07389185044,75.430986227,0.0,43.513341876,52.539744,14.1771876094,0.73427410359,4.83426,8.60865350584
 01/01  08:00:00,150.458345196,1.91250243053,47.9688826457,0.0,43.513341876,52.539744,5.12742423126,0.273164231262,4.83426,0.02
 01/01  09:00:00,100.005942535,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.084767751,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.105719861,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,100.986737662,0.0,0.0,0.0,43.513341876,52.539744,13.4506304342,0.0,4.83426,8.61637043419
 01/01  13:00:00,100.145558848,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.265587031,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.30263418,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.27750927,0.0,0.0,0.0,43.513341876,52.539744,13.4445949035,0.0,4.83426,8.6103349035
 01/01  17:00:00,100.049582528,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,114.916263665,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.818356641,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.206673928,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.165246678,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,117.931514046,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.634183818,0.0,0.0,0.0,43.513341876,52.539744,13.4446078011,0.0,4.83426,8.61034780107
 01/01  24:00:00,118.547192842,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,117.66729181,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  02:00:00,117.703640428,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,117.751625898,0.0,0.0,0.0,43.513341876,52.539744,13.4506683294,0.0,4.83426,8.61640832942
 01/02  04:00:00,117.813673547,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,118.268097017,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  06:00:00,118.15934119,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  07:00:00,192.303945335,73.1519834865,0.0,0.0,43.513341876,53.238744,846.662296971,833.211798629,4.83426,8.61623834178
 01/02  08:00:00,352.112044305,73.1519834865,0.0,0.0,220.879908,53.238744,966.789484868,944.455529281,4.83426,17.4996955868
 01/02  09:00:00,444.595646331,73.1579837373,0.00222327925002,0.0,220.879908,145.652643033,843.884798909,781.230716452,36.25695,26.3971324563
