Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,38.2411455536,5.75011480865,1.92504068906,0.0,12.925468867,10.100111941,16.1017058676,16.0817058676,0.0,0.02
 01/01  02:00:00,37.8622263104,5.71081222837,1.58651715366,0.0,12.925468867,10.100111941,23.1833501775,17.4276583491,0.0,5.75569182842
 01/01  03:00:00,32.6587400893,5.64496255279,1.06792373197,0.0,8.34152022915,10.0650221343,19.6886309359,19.6686309359,0.0,0.02
 01/01  04:00:00,32.4258418342,5.61661316636,0.863366074012,0.0,8.34152022915,10.0650221343,25.3046219372,19.5486934977,0.0,5.75592843944
 01/01  05:00:00,33.8262762255,5.5917554446,0.682062329057,0.0,8.34152022915,11.6705166398,20.3612842754,20.3412842754,0.0,0.02
 01/01  06:00:00,37.5117429293,5.53129053604,0.19005066052,0.0796478088208,8.80141237637,15.3678112995,28.1302087022,22.3643182382,0.0,5.76589046399
 01/01  07:00:00,57.9267636639,5.58077804588,0.578106308737,0.080549320412,18.5082010057,25.6353820695,28.0818437479,22.3057691595,0.0,5.77607458843
 01/01  08:00:00,69.073900086,5.83206772619,2.63579210103,0.0,19.4926561212,41.1001056674,30.5728203997,18.9913681128,0.0,11.5814522869
 01/01  09:00:00,97.5821367544,6.24570438902,6.9730632431,0.0,26.3286599382,57.9988325916,39.3999243235,9.95545588024,0.0,29.4444684433
 01/01  10:00:00,84.4941024184,6.22921859374,9.17486155063,0.0,26.2443270014,42.8153538416,53.4372831338,6.09916633137,18.025,29.3131168024
 01/01  11:00:00,60.0441114539,6.13742192284,8.69123885599,0.0,21.7447113004,23.4437158914,45.1750173056,3.75722444849,18.025,23.3927928572
 01/01  12:00:00,58.6659458459,6.25857181784,9.59393369964,0.0,19.3449162599,23.4437158914,37.9471415191,2.40389010069,18.025,17.5182514184
 01/01  13:00:00,59.5813792637,6.35262700908,10.2731169198,0.0,19.190480192,23.7425572507,37.6031044122,2.09666121255,18.025,17.4814431996
 01/01  14:00:00,60.0813851926,6.41466066252,10.6849710124,0.0,19.260583323,23.698576057,41.329154799,0.0,18.025,23.304154799
 01/01  15:00:00,60.2847392759,6.43335381729,10.8696313588,0.0,19.260583323,23.698576057,35.5099118551,0.0,18.025,17.4849118551
 01/01  16:00:00,59.7925476698,6.40203785615,10.6987035329,0.0,19.260583323,23.4086260847,35.5119076561,0.0,18.025,17.4869076561
 01/01  17:00:00,62.3680007996,6.27965124699,8.94523065027,0.0,19.260583323,27.8781056672,24.3557311819,0.57096785233,18.025,5.75976332952
 01/01  18:00:00,75.8471506209,6.21509893443,6.33047211836,0.0,18.1807569449,37.5792895564,8.214570172,2.4488681519,0.0,5.7657020201
 01/01  19:00:00,89.8485272054,6.27484675036,6.37853485244,0.0,32.6059821062,37.0465235296,14.5446319958,8.77395300946,0.0,5.77067898631
 01/01  20:00:00,90.2300980351,6.31262109135,6.49126675046,0.0,36.8143715336,33.066984531,17.9744239704,12.1938718849,0.0,5.78055208554
 01/01  21:00:00,96.5240004686,6.44115954949,7.29713052262,0.0,36.43363367,38.8072253906,20.2798929533,14.5001840352,0.0,5.77970891817
 01/01  22:00:00,93.8239632448,6.41455959488,6.98040053933,0.0,36.0963922311,36.7877557581,27.008552304,15.4670364777,0.0,11.5415158263
 01/01  23:00:00,69.5585443603,6.06079444986,4.3889154036,0.0,30.9507766546,20.6087787026,21.220542335,15.4195675309,0.0,5.80097480411
 01/01  24:00:00,44.9103847721,5.80188745234,2.43405744614,0.0,17.4250845679,11.7056064465,27.3278412057,15.7957960942,0.0,11.5320451116
 01/02  01:00:00,37.0127890282,5.75617819445,2.00992455341,0.0,11.6412384099,10.0650221343,14.0596130251,14.0396130251,0.0,0.02
 01/02  02:00:00,35.2308702476,5.73247955263,1.81238850171,0.0,10.0992000411,10.047477231,17.7342238769,11.9784637488,0.0,5.75576012814
 01/02  03:00:00,33.356714637,5.72733329016,1.80294226739,0.0,8.25718729233,10.0299323277,9.42499193585,9.40499193585,0.0,0.02
 01/02  04:00:00,33.4825333515,5.73623832675,1.91985107026,0.0,8.25718729233,10.0299323277,12.1223912014,6.3670039544,0.0,5.755387247
 01/02  05:00:00,34.961850547,5.7230727136,1.80573419829,0.0,8.25718729233,11.6354268332,12.9272803723,7.16668656941,0.0,5.76059380285
 01/02  06:00:00,42.4392481245,5.71596070108,1.71059380699,0.0,12.1011305571,15.3678112995,15.3834101539,9.60747545943,0.0,5.77593469446
 01/02  07:00:00,74.1002653701,5.96542502406,3.59389572536,0.0,19.7275818095,37.2640762949,24.6953684317,13.1138400587,0.0,11.581528373
 01/02  08:00:00,87.0606402677,6.17690569536,5.27469025008,0.0,24.3117294858,51.2795993405,25.7766073879,14.1536083411,0.0,11.6229990468
 01/02  09:00:00,74.6079464902,5.8930316921,4.38089642742,0.0,23.6694662846,40.6342015617,38.8072569802,9.49277649031,0.0,29.3144804899
 01/02  10:00:00,72.1001290241,5.94667894684,6.82673491478,0.0,23.6694662846,35.6302164847,43.6334055991,8.06132608806,18.025,17.5470795111
 01/02  11:00:00,54.2116442074,5.90280339375,6.57881397776,0.0,18.7433767983,22.9618409725,48.6479010065,7.27085640939,18.025,23.3520445972
 01/02  12:00:00,54.9316955057,5.99097008146,7.21290979342,0.0,18.7433767983,22.9618409725,40.9097925375,5.39684149843,18.025,17.4879510391
 01/02  13:00:00,55.2543734338,6.03172557769,7.45138232534,0.0,18.5889407304,23.1597249699,41.4858080572,5.97688656811,18.025,17.4839214891
 01/02  14:00:00,55.6285119356,6.06659381778,7.54415419401,0.0,18.7433767983,23.2517909448,43.826040139,2.49504294505,18.025,23.305997194
 01/02  15:00:00,55.4723103148,6.05599458282,7.3985497595,0.0,18.7433767983,23.2517909448,38.0843702471,2.57300359374,18.025,17.4863666534
 01/02  16:00:00,54.4773104298,5.98830534359,6.76118729133,0.0,18.7433767983,22.9618409725,40.4981799957,4.99133021017,18.025,17.4818497855
 01/02  17:00:00,57.448031501,5.91069617026,5.35820722355,0.0,18.7433767983,27.431320555,29.9959006663,6.21013039106,18.025,5.7607702752
 01/02  18:00:00,75.336406004,5.92410813636,3.50895418791,0.0,17.6635504202,40.6971502883,15.3356102582,9.56472146956,0.0,5.77088878863
 01/02  19:00:00,82.010358107,5.94706649125,3.65520473273,0.0,27.5259009287,37.3340067412,26.9672135438,15.395609309,0.0,11.5716042349
 01/02  20:00:00,84.5075115846,5.97519395492,3.79888005024,0.0,33.8341110165,33.3544677425,23.7897286439,18.0089204509,0.0,5.780808193
 01/02  21:00:00,93.6842323634,6.10860035104,4.68803867075,0.0,36.5179666069,38.8247702939,26.3510083732,20.5710482741,0.0,5.7799600991
 01/02  22:00:00,88.1608543204,6.11677204612,4.67151866043,0.0,32.965339924,36.8579353714,34.1609742475,22.5783093959,0.0,11.5826648515
 01/02  23:00:00,62.1319734164,5.82193294516,2.48463195352,0.0,25.6355707503,20.6438685092,36.11355813,24.5615231972,0.0,11.5520349328
 01/02  24:00:00,40.9811883381,5.64293461836,1.06582259555,0.0,15.0252895274,11.7056064465,31.4616919586,25.6957930649,0.0,5.76589889367
 01/03  01:00:00,35.5167764082,5.59045641789,0.646018511097,0.0336112890736,11.6412384099,10.0650221343,26.1781381152,26.1581381152,0.0,0.02
 01/03  02:00:00,33.9109129932,5.56980004175,0.369640573907,0.285467746393,10.0992000411,10.047477231,33.504918193,27.7490622494,0.0,5.7558559436
 01/03  03:00:00,32.1356893264,5.56215649562,0.157894808663,0.589198070801,8.25718729233,10.0299323277,28.97888114,28.95888114,0.0,0.02
 01/03  04:00:00,32.4205176831,5.5725359161,0.0734022158654,0.948132600683,8.25718729233,10.0299323277,34.1656108774,28.4098095604,0.0,5.75580131702
 01/03  05:00:00,34.7523451822,5.61349625885,0.0437390532312,1.66206556112,8.25718729233,11.6354268332,29.7221578109,29.7021578109,0.0,0.02
 01/03  06:00:00,42.706506167,5.63439791639,0.0399952745536,2.01941349454,12.1011305571,15.3678112995,41.4175195079,29.8853137803,0.0,11.5322057276
 01/03  07:00:00,72.3532915354,5.71055036317,1.319733192,0.782056217053,19.7275818095,37.2640762949,41.7325100749,30.1512762879,0.0,11.581233787
 01/03  08:00:00,85.0004813936,5.90661180112,3.06305393324,0.421761800985,24.3117294858,51.2795993405,37.6894131133,26.0659398309,0.0,11.6234732824
 01/03  09:00:00,73.1362409376,5.74409661277,2.47872096116,0.579398287387,23.6694662846,40.6342015617,41.3613673235,15.3216137901,0.0,26.0397535334
 01/03  10:00:00,70.8665325897,5.81290192974,5.3657994284,0.361115933944,23.6694662846,35.6302164847,49.0566099437,10.2128254313,18.025,20.8187845123
 01/03  11:00:00,53.2916701611,5.80379931548,5.45789012867,0.299946320343,18.7433767983,22.9618409725,49.0262005799,7.64849601891,18.025,23.352704561
 01/03  12:00:00,53.700629625,5.86429843238,5.92325056703,0.18526261592,18.7433767983,22.9618409725,40.9594875103,5.44829531152,18.025,17.4861921988
 01/03  13:00:00,54.2322787971,5.93086740249,6.46549377678,0.064649249214,18.5889407304,23.1597249699,40.9102867718,5.40231062438,18.025,17.4829761474
 01/03  14:00:00,54.8159537099,5.9878478131,6.80851421206,0.00182494320367,18.7433767983,23.2517909448,42.9098527871,1.58006345164,18.025,23.3047893354
 01/03  15:00:00,55.1403991226,6.01673273698,7.10589916027,0.0,18.7433767983,23.2517909448,36.2700101495,0.75949923591,18.025,17.4855109136
 01/03  16:00:00,54.6796843118,5.99828629252,6.95357843336,0.0,18.7433767983,22.9618409725,37.7965753401,2.28660359751,18.025,17.4849717426
 01/03  17:00:00,57.6829336012,5.92338039404,5.58042098413,0.0,18.7433767983,27.431320555,27.0486982135,3.26289799678,18.025,5.76080021674
 01/03  18:00:00,73.5554884302,5.92530898467,3.61083063551,0.0,17.6635504202,40.6971502883,12.4361691139,6.66524625124,0.0,5.77092286262
 01/03  19:00:00,81.9750632152,5.92996717711,3.63700175929,0.0,27.5259009287,37.3340067412,24.0080980916,12.436286709,0.0,11.5718113826
 01/03  20:00:00,84.2225612916,5.93393927493,3.55517774537,0.0,33.8341110165,33.3544677425,22.2805607746,16.5000174961,0.0,5.78054327856
 01/03  21:00:00,93.0734996401,6.03152599022,4.15437495822,0.0,36.5179666069,38.8247702939,27.4481023986,21.6683995541,0.0,5.77970284444
 01/03  22:00:00,87.5775308867,6.0422433917,4.1627171522,0.0,32.965339924,36.8579353714,34.8628837181,23.2803361195,0.0,11.5825475987
 01/03  23:00:00,61.6812441011,5.76901253798,2.08681814044,0.0,25.6355707503,20.6438685092,37.3202986989,25.7688118036,0.0,11.5514868953
 01/03  24:00:00,40.7141079953,5.60739151048,0.753382434859,0.0809007103414,15.0252895274,11.7056064465,27.6614911032,27.6414911032,0.0,0.02
 01/04  01:00:00,35.7408930527,5.58621893809,0.399706188221,0.508274007891,11.6412384099,10.0650221343,35.2192714379,29.4582902874,0.0,5.76098115057
 01/04  02:00:00,34.7412356578,5.60364727642,0.174051669535,1.27753060788,10.0992000411,10.047477231,36.8175126812,31.0616072988,0.0,5.75590538234
 01/04  03:00:00,33.9509859174,5.65829799406,0.054520373612,2.4117257431,8.25718729233,10.0299323277,32.1516761686,32.1316761686,0.0,0.02
 01/04  04:00:00,34.9383888553,5.71243641151,0.0370934682267,3.36241043484,8.25718729233,10.0299323277,40.1233376633,34.3674897893,0.0,5.75584787399
 01/04  05:00:00,37.525294524,5.76997550033,0.0306427518651,4.29163056996,8.25718729233,11.6354268332,34.5299098971,34.5099098971,0.0,0.02
 01/04  06:00:00,45.7179165235,5.80611518886,0.0288588598995,4.87023868102,12.1011305571,15.3678112995,44.5786632664,33.046493647,0.0,11.5321696194
 01/04  07:00:00,73.2662969095,5.72370382437,0.826340916516,2.17529230645,19.7275818095,37.2640762949,43.4582562532,31.8773393283,0.0,11.5809169249
 01/04  08:00:00,85.058011559,5.86444930787,2.58380586279,1.00069244044,24.3117294858,51.2795993405,39.6153537662,27.9916562193,0.0,11.623697547
 01/04  09:00:00,73.7182342504,5.75749127609,2.1822879265,1.44442421293,23.6694662846,40.6342015617,38.9575687989,15.4996023465,0.0,23.4579664524
 01/04  10:00:00,71.3783681646,5.82555739227,5.52526123716,0.700830216584,23.6694662846,35.6302164847,49.328575491,7.90827840302,18.025,23.3952970879
 01/04  11:00:00,54.1324556058,5.84145375677,6.09585288138,0.465110312765,18.7433767983,22.9618409725,44.8693629094,3.49033711281,18.025,23.3540257966
 01/04  12:00:00,54.6737747652,5.91059671263,6.87462429075,0.160733473001,18.7433767983,22.9618409725,37.3314758313,1.81747110446,18.025,17.4890047268
 01/04  13:00:00,55.3649829387,5.99596920603,7.57136616283,0.0263766042894,18.5889407304,23.1597249699,38.0258044513,2.51796491059,18.025,17.4828395407
 01/04  14:00:00,56.0065311305,6.0623952108,7.92636678196,0.0,18.7433767983,23.2517909448,41.3476129446,0.0179496980978,18.025,23.3046632465
 01/04  15:00:00,56.2082743981,6.0830821897,8.10742306844,0.0,18.7433767983,23.2517909448,35.5104661355,0.0,18.025,17.4854661355
 01/04  16:00:00,55.6851593835,6.05881705613,7.89852071366,0.0,18.7433767983,22.9618409725,36.374805731,0.862861782243,18.025,17.4869439487
 01/04  17:00:00,58.5901405411,5.98073971203,6.43026579942,0.0,18.7433767983,27.431320555,25.6461151956,1.86025733998,18.025,5.76085785565
 01/04  18:00:00,74.3201832497,5.97738440834,4.32344600037,0.0,17.6635504202,40.6971502883,9.65089849843,3.88001281662,0.0,5.77088568181
 01/04  19:00:00,82.4713854478,5.96719814965,4.09608621869,0.0,27.5259009287,37.3340067412,21.3613145299,9.78948592461,0.0,11.5718286053
 01/04  20:00:00,84.9685754153,5.99406996894,4.24105590574,0.0,33.8341110165,33.3544677425,18.2155980285,12.4354495475,0.0,5.78014848102
 01/04  21:00:00,93.9578786953,6.11729468282,4.95298060043,0.0,36.5179666069,38.8247702939,21.7292503124,15.9487140523,0.0,5.78053626007
 01/04  22:00:00,88.5496170133,6.14192259569,5.03511697847,0.0,32.965339924,36.8579353714,28.8697555501,17.2871304534,0.0,11.5826250967
 01/04  23:00:00,62.336211886,5.83146240889,2.67933102206,0.0,25.6355707503,20.6438685092,29.95576147,18.4030960723,0.0,11.5526653978
 01/04  24:00:00,41.0881799766,5.64840312972,1.16734049337,0.0,15.0252895274,11.7056064465,20.7600168645,20.7400168645,0.0,0.02
 01/05  01:00:00,35.6100450773,5.59975980072,0.729051976593,0.0345369480567,11.6412384099,10.0650221343,27.7195562573,21.959549781,0.0,5.76000647633
 01/05  02:00:00,33.9645754755,5.58360317837,0.560392670704,0.134571847096,10.0992000411,10.047477231,27.0044366868,21.248530733,0.0,5.75590595374
 01/05  03:00:00,32.1357890638,5.57332617687,0.362105071432,0.373914258134,8.25718729233,10.0299323277,23.1848266082,23.1648266082,0.0,0.02
 01/05  04:00:00,32.2636036849,5.57084824251,0.182405582888,0.683899628523,8.25718729233,10.0299323277,32.0172111397,26.2613571554,0.0,5.75585398432
 01/05  05:00:00,34.4170835254,5.59722680615,0.0874605949212,1.29934814558,8.25718729233,11.6354268332,27.5432833917,27.5232833917,0.0,0.02
 01/05  06:00:00,42.2350982801,5.61053601872,0.0929932891356,1.51886114961,12.1011305571,15.3678112995,38.4693368824,26.9370817561,0.0,11.5322551263
 01/05  07:00:00,72.3689295341,5.72795281859,1.58224408775,0.517765866905,19.7275818095,37.2640762949,38.9831718957,27.402078251,0.0,11.5810936447
 01/05  08:00:00,85.1562543246,5.93637565144,3.42017144895,0.190634118365,24.3117294858,51.2795993405,34.9978912609,23.3739331274,0.0,11.6239581335
 01/05  09:00:00,73.8510867985,5.80449709746,3.53144871262,0.181103861069,23.6694662846,40.6342015617,32.2702739489,8.81157177455,0.0,23.4587021744
 01/05  10:00:00,73.1041655181,5.9515449615,7.79643052991,0.0294662053328,23.6694662846,35.6302164847,42.3954974195,0.974475496814,18.025,23.3960219227
 01/05  11:00:00,56.4279505555,6.01175795497,8.68306537116,0.00308534206962,18.7433767983,22.9618409725,41.3940328978,0.0142714527683,18.025,23.354761445
 01/05  12:00:00,58.3679719369,6.19172672359,10.4484227101,0.0,18.7433767983,22.9618409725,35.5140792524,0.0,18.025,17.4890792524
 01/05  13:00:00,60.7279264045,6.33125358639,12.6253998708,0.0,18.5889407304,23.1597249699,35.5081205109,0.0,18.025,17.4831205109
 01/05  14:00:00,60.6979013501,6.38050144968,12.2996287611,0.0,18.7433767983,23.2517909448,41.3305361102,0.0,18.025,23.3055361102
 01/05  15:00:00,60.7405045016,6.38202433139,12.3407085149,0.0,18.7433767983,23.2517909448,35.5111578732,0.0,18.025,17.4861578732
 01/05  16:00:00,60.5379122865,6.37897138366,12.4311167614,0.0,18.7433767983,22.9618409725,35.5133330115,0.0,18.025,17.4883330115
 01/05  17:00:00,63.0518063261,6.30094733064,10.5717222415,0.0,18.7433767983,27.431320555,23.785915899,0.0,18.025,5.76091589903
 01/05  18:00:00,78.0997706164,6.31734805386,7.76306684003,0.0,17.6635504202,40.6971502883,6.27909291896,0.508013715365,0.0,5.7710792036
 01/05  19:00:00,85.9812180169,6.30923354314,7.26387726199,0.0,27.5259009287,37.3340067412,14.6093998723,3.03713953553,0.0,11.5722603367
 01/05  20:00:00,88.4909019308,6.34128372934,7.41616527471,0.0,33.8341110165,33.3544677425,11.0350535093,5.2542903007,0.0,5.78076320858
 01/05  21:00:00,97.46301332,6.47615012681,8.09925558499,0.0,36.5179666069,38.8247702939,15.0535221462,9.2735882827,0.0,5.77993386353
 01/05  22:00:00,91.5312861973,6.46147143864,7.6972299288,0.0,32.965339924,36.8579353714,23.5582033892,11.9750349637,0.0,11.5831684254
 01/05  23:00:00,64.3614184684,6.04913611563,4.48685784826,0.0,25.6355707503,20.6438685092,25.2891348797,13.7367283674,0.0,11.5524065123
 01/05  24:00:00,42.3838979415,5.78281095828,2.32864719851,0.0,15.0252895274,11.7056064465,15.9282327164,15.9082327164,0.0,0.02
 01/06  01:00:00,36.5455757638,5.70854301604,1.59033522551,0.0,11.6412384099,10.0650221343,23.8166508854,18.0555441114,0.0,5.76110677398
 01/06  02:00:00,34.5537162186,5.66188117467,1.20582531051,0.0,10.0992000411,10.047477231,24.8606461996,19.1048089731,0.0,5.75583722641
 01/06  03:00:00,32.3648969401,5.6231158478,0.91533600477,0.0,8.25718729233,10.0299323277,19.5973416251,19.5773416251,0.0,0.02
 01/06  04:00:00,32.1679468725,5.59951311963,0.741981585239,0.0,8.25718729233,10.0299323277,25.7633007546,20.0075013202,0.0,5.7557994344
 01/06  05:00:00,33.6310518983,5.58218936699,0.61581160583,0.0,8.25718729233,11.6354268332,20.3894120097,20.3694120097,0.0,0.02
 01/06  06:00:00,41.2639245237,5.58727256203,0.661856259707,0.00208414457844,12.1011305571,15.3678112995,31.1984921534,19.6670889692,0.0,11.5314031842
 01/06  07:00:00,73.3295714663,5.87328010013,2.91531884029,0.0,19.7275818095,37.2640762949,27.1239821949,15.5422558561,0.0,11.5817263388
 01/06  08:00:00,86.672350223,6.11843448457,4.94483450336,0.0,24.3117294858,51.2795993405,23.1876683258,11.5634556367,0.0,11.624212689
 01/06  09:00:00,75.3117042115,5.92533615442,5.052324386,0.0,23.6694662846,40.6342015617,33.5692629809,4.25052174965,0.0,29.3187412312
 01/06  10:00:00,74.0908370491,6.07536850068,8.68874002728,0.0,23.6694662846,35.6302164847,36.7706551726,1.19282854269,18.025,17.55282663
 01/06  11:00:00,56.70191856,6.08949019521,8.88238381969,0.0,18.7433767983,22.9618409725,42.0197128453,0.640408050689,18.025,23.3543047946
 01/06  12:00:00,57.7390542301,6.20999706098,9.80123270211,0.0,18.7433767983,22.9618409725,35.5135626815,0.0,18.025,17.4885626815
 01/06  13:00:00,59.022536649,6.29885180803,10.9524102328,0.0,18.5889407304,23.1597249699,35.5096780293,0.0,18.025,17.4846780293
 01/06  14:00:00,59.5112350592,6.34411119971,11.14935101,0.0,18.7433767983,23.2517909448,41.3322770691,0.0,18.025,23.3072770691
 01/06  15:00:00,59.7539551725,6.37299417181,11.3631862228,0.0,18.7433767983,23.2517909448,35.5125085181,0.0,18.025,17.4875085181
 01/06  16:00:00,59.0518342924,6.33959115112,10.9844162392,0.0,18.7433767983,22.9618409725,35.5108064579,0.0,18.025,17.4858064579
 01/06  17:00:00,61.6404102422,6.25518279147,9.20609035079,0.0,18.7433767983,27.431320555,23.7858366858,0.0,18.025,5.76083668584
 01/06  18:00:00,77.2076923011,6.26907221544,6.91926262411,0.0,17.6635504202,40.6971502883,7.15741001916,1.38711975323,0.0,5.77029026592
 01/06  19:00:00,85.0484585397,6.25167396732,6.38867167135,0.0,27.5259009287,37.3340067412,16.5497496474,4.97726265514,0.0,11.5724869923
 01/06  20:00:00,87.6098468295,6.28547153019,6.59091950696,0.0,33.8341110165,33.3544677425,13.2145794273,7.43337620808,0.0,5.78120321918
 01/06  21:00:00,96.8306589881,6.43542951731,7.50761767473,0.0,36.5179666069,38.8247702939,15.781563188,10.0011880596,0.0,5.78037512845
 01/06  22:00:00,91.0868389932,6.43136134464,7.28288550189,0.0,32.965339924,36.8579353714,23.8335124687,12.2503904755,0.0,11.5831219932
 01/06  23:00:00,63.9890397065,6.01928862059,4.14432117938,0.0,25.6355707503,20.6438685092,26.6251231739,15.0722644076,0.0,11.5528587663
 01/06  24:00:00,42.1718332445,5.76376708894,2.13562249146,0.0,15.0252895274,11.7056064465,22.6253505189,16.8592385616,0.0,5.7661119573
 01/07  01:00:00,37.6431050585,5.69898099073,1.49752858516,0.0,12.8411359301,10.0650221343,18.4140221994,18.3940221994,0.0,0.02
 01/07  02:00:00,37.2215982861,5.65283341522,1.1232730298,0.0,12.8411359301,10.0650221343,26.4048478668,20.6488736105,0.0,5.75597425633
 01/07  03:00:00,32.0290207593,5.58469797227,0.617875616293,0.0,8.25718729233,10.0299323277,23.0920551311,23.0720551311,0.0,0.02
 01/07  04:00:00,31.7625199869,5.55150032084,0.365261697516,0.0193051053093,8.25718729233,10.0299323277,31.1725687733,25.416627285,0.0,5.75594148822
 01/07  05:00:00,33.3136260971,5.53708064483,0.197437420075,0.146053433919,8.25718729233,11.6354268332,32.317519053,26.5569263095,0.0,5.76059274357
 01/07  06:00:00,37.5403367975,5.5355908733,0.10939518871,0.304000853664,8.71707943955,15.3327214929,26.156718486,26.136718486,0.0,0.02
 01/07  07:00:00,57.954037819,5.57159230935,0.383883887111,0.311204072853,18.5082010057,25.6353820695,38.2382484881,26.7061464072,0.0,11.5321020809
 01/07  08:00:00,68.1963288146,5.74358026803,1.83487010493,0.131218118241,19.4083231844,41.0650158608,36.2720219233,24.6887614166,0.0,11.5832605067
