Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,94.0159954082,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,91.816824762,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,89.9318446462,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,88.765538704,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553709229,0.0,1.75125,1.16428709229
 01/01  05:00:00,94.3519941216,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,92.996201012,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,130.173274165,25.399916652,0.0,0.0,6.98738001645,14.1499734587,320.404163206,315.737362762,3.5025,1.16430044339
 01/01  08:00:00,128.679827729,25.399916652,0.0,0.0,6.98738001645,14.1499734587,297.254318143,293.731818143,3.5025,0.02
 01/01  09:00:00,164.063665383,25.399916652,0.0,0.0,6.98738001645,14.1499734587,244.126860441,239.460017269,3.5025,1.16434317168
 01/01  10:00:00,139.778799927,25.399916652,0.0,0.0,6.98738001645,14.1499734587,220.181883823,216.659383823,3.5025,0.02
 01/01  11:00:00,174.502097176,25.399916652,0.0165374559566,0.0,27.9495200658,27.7759469175,179.791544765,171.62187087,7.005,1.16467389474
 01/01  12:00:00,206.681584664,25.399916652,0.044159024663,0.0,27.9495200658,27.7759469175,154.113128957,147.088128957,7.005,0.02
 01/01  13:00:00,219.43148782,25.399916652,0.452205880481,0.0,41.9242800987,36.8599292233,122.317750448,111.812917047,9.34,1.16483340157
 01/01  14:00:00,219.646882797,25.399916652,0.915828170292,0.0,41.9242800987,36.8599292233,99.0889565915,88.584177104,9.34,1.16477948752
 01/01  15:00:00,216.642828633,25.399916652,1.10060971434,0.0,41.9242800987,36.8599292233,87.6111518526,77.1064816383,9.34,1.16467021425
