Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.7515871664,4.07889992349,0.0,0.0,4.58992532963,8.1892,29.7158226982,20.6057922877,3.33988,5.77015041052
 01/01  02:00:00,14.9129338562,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.9404831746,0.0,0.0,0.0,1.52997510988,7.4902,3.93197316636,0.0,3.33988,0.592093166364
 01/01  04:00:00,14.9533743294,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.1152231873,0.0,0.0,0.0,1.52997510988,7.4902,3.93192731257,0.0,3.33988,0.592047312572
 01/01  06:00:00,22.9509262286,4.07889992349,0.0,0.0,4.58992532963,8.1892,25.9387937308,17.5690937308,8.3497,0.02
 01/01  07:00:00,38.921473432,4.07889992349,0.0297702021079,0.0,9.17985065927,19.4245,34.1531582701,13.9916269888,16.6994,3.46213128137
 01/01  08:00:00,42.1441081658,4.07889992349,0.0257181755677,0.0,9.17985065927,26.9147,31.257759228,2.17229880543,25.0491,4.03636042259
 01/01  09:00:00,42.1305859968,4.07889992349,0.0,0.0,9.17985065927,26.9147,38.7064007529,1.84528557928,33.3988,3.46231517364
 01/01  10:00:00,34.6548320988,4.07889992349,0.0,0.0,9.17985065927,19.4245,34.4671947903,5.95542795044,25.0491,3.46266683981
 01/01  11:00:00,42.1621035548,4.07889992349,0.00650340624279,0.0,9.17985065927,26.9147,54.3284006342,0.998493894351,41.7485,11.5814067398
 01/01  12:00:00,42.8826174858,4.07889992349,0.00452617344311,0.0,9.17985065927,26.9147,53.3291069212,0.0,41.7485,11.5806069212
 01/01  13:00:00,42.2760155341,4.07889992349,0.0333763973759,0.0,9.17985065927,26.9147,50.996695185,0.0,41.7485,9.24819518505
 01/01  14:00:00,34.695843453,4.07889992349,0.0,0.0,9.17985065927,19.4245,42.721299053,0.0743722287068,33.3988,9.24812682428
 01/01  15:00:00,34.6790103972,4.07889992349,0.0,0.0,9.17985065927,19.4245,32.8024822339,0.826369923446,25.0491,6.92701231043
 01/01  16:00:00,34.6621817125,4.07889992349,0.0,0.0,9.17985065927,19.4245,44.655795848,4.32964588893,33.3988,6.92734995908
