Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,1020.4964123,97.5841539741,636.571219458,0.0,34.9616554283,113.312780494,635.994482388,621.62453069,5.66466996096,8.7052817377
 01/01  02:00:00,1007.39107183,97.5841539741,620.534433126,0.0,34.9616554283,113.312780494,641.377147574,618.321598321,5.66466996096,17.3908792921
 01/01  03:00:00,1017.0426471,97.5841539741,630.061049809,0.0,34.9616554283,113.312780494,645.553731591,631.183588486,5.66466996096,8.70547314359
 01/01  04:00:00,1016.98134832,97.5841539741,629.813518018,0.0,34.9616554283,113.312780494,655.398732003,632.342930964,5.66466996096,17.3911310775
 01/01  05:00:00,1025.49359624,97.5841539741,627.906437147,0.0,44.4937663224,113.312780494,631.266159425,616.895905243,5.66466996096,8.70558422179
 01/01  06:00:00,1030.87174755,97.5841539741,633.623281948,0.0,44.4937663224,113.312780494,651.478126378,619.925113491,14.1616749024,17.3913379844
 01/01  07:00:00,1106.68680784,97.5841539741,636.577939447,0.0,54.0258772165,176.889270242,591.970404848,554.941365525,28.3233498048,8.70568951845
 01/01  08:00:00,1097.82478249,97.5841539741,635.84433321,0.0,54.0258772165,184.38654557,608.938860204,549.06229425,42.4850247072,17.3915412468
 01/01  09:00:00,1176.86292818,97.5841539741,635.413078759,0.0,65.1572554096,220.04316451,610.080388162,535.974437383,56.6466996096,17.4592511695
 01/01  10:00:00,1159.10051954,97.5841539741,624.484347849,0.0,65.1572554096,212.545889182,580.166027145,520.146791474,42.4850247072,17.5342109638
 01/01  11:00:00,1167.05044463,97.5841539741,625.011147118,0.0,65.1572554096,220.04316451,592.80717271,495.603853149,70.808374512,26.3949450496
 01/01  12:00:00,1168.75582229,97.5841539741,625.690717328,0.0,65.1572554096,220.04316451,607.934735452,510.728374366,70.808374512,26.3979865742
 01/01  13:00:00,1163.9593395,97.5841539741,621.838361863,0.0,65.1572554096,220.04316451,600.014776636,502.80956201,70.808374512,26.3968401135
 01/01  14:00:00,1160.83374055,97.5841539741,626.416579367,0.0,65.1572554096,212.545889182,574.299475827,491.257070374,56.6466996096,26.3957058433
 01/01  15:00:00,1175.07651789,97.5841539741,641.519601815,0.0,65.1572554096,212.545889182,562.958332103,494.078732189,42.4850247072,26.3945752071
 01/01  16:00:00,1183.97192451,97.5841539741,651.186310231,0.0,65.1572554096,212.545889182,577.944060002,494.898787422,56.6466996096,26.3985729706
 01/01  17:00:00,1163.51778612,97.5841539741,656.646143943,0.0,65.1572554096,220.04316451,606.641891052,495.27443377,84.9700494144,26.3974078675
 01/01  18:00:00,1137.20560967,97.5841539741,662.292328451,0.0,54.0258772165,184.38654557,618.884738478,516.379180969,84.9700494144,17.5355080947
 01/01  19:00:00,1101.96625646,97.5841539741,658.325742043,0.0,44.4937663224,163.454314868,658.495933552,556.133722399,84.9700494144,17.3921617378
 01/01  20:00:00,1085.9757127,97.5841539741,650.122406729,0.0,44.4937663224,155.95703954,629.819060648,564.466220928,56.6466996096,8.70614011048
 01/01  21:00:00,1048.02665676,97.5841539741,643.925189628,0.0,44.4937663224,124.558693486,673.75353793,599.716314326,56.6466996096,17.390523994
 01/01  22:00:00,1045.11265002,97.5841539741,641.432501349,0.0,44.4937663224,124.558693486,656.563123049,605.371846531,42.4850247072,8.70625181151
 01/01  23:00:00,1031.66215351,97.5841539741,638.236370459,0.0,34.9616554283,124.558693486,668.855405099,623.142047709,28.3233498048,17.3900075843
 01/01  24:00:00,1029.07868388,97.5841539741,634.741211767,0.0,34.9616554283,124.558693486,651.425216304,628.557180855,14.1616749024,8.70636054647
 01/02  01:00:00,1022.88939404,97.5841539741,630.037762034,0.0,46.0930336215,113.312780494,655.065314689,632.010280988,5.66466996096,17.39036374
 01/02  02:00:00,1018.94383241,97.5841539741,621.872807038,0.0,46.0930336215,113.312780494,653.583802217,639.212526497,5.66466996096,8.70660575918
 01/02  03:00:00,1025.30892114,97.5841539741,611.065979612,0.0,46.0930336215,113.312780494,670.644878033,647.589493828,5.66466996096,17.3907142443
 01/02  04:00:00,1021.09313771,97.5841539741,599.774143081,0.0,46.0930336215,113.312780494,671.248086162,656.876665041,5.66466996096,8.70675115981
 01/02  05:00:00,1110.55256576,97.5841539741,588.926504982,0.0,100.150657288,148.969399434,651.293833937,628.236742067,5.66466996096,17.3924219092
 01/02  06:00:00,1110.63227365,97.5841539741,575.872766119,0.0,100.150657288,149.894399434,1203.50398958,1180.63542102,14.1616749024,8.70689365848
 01/02  07:00:00,1332.64377525,97.5841539741,566.657376702,0.0,176.471037341,302.612436532,842.687621804,796.973048804,28.3233498048,17.3912231949
 01/02  08:00:00,1440.99147155,97.5841539741,557.242887918,0.0,243.2593065,310.10971186,791.653201919,731.625577666,42.4850247072,17.5425995465
 01/02  09:00:00,1484.02961506,97.5841539741,546.89136273,0.0,243.2593065,310.10971186,786.450456738,703.378479513,56.6466996096,26.4252776154
 01/02  10:00:00,1517.07961742,97.5841539741,541.927743056,0.0,243.2593065,302.612436532,750.718323438,672.876441686,42.4850247072,35.3568570445
 01/02  11:00:00,1523.18437521,97.5841539741,542.59607677,0.0,243.2593065,310.10971186,747.090586352,640.740957458,70.808374512,35.5412543821
 01/02  12:00:00,1526.78588016,97.5841539741,546.377218323,0.0,243.2593065,310.10971186,724.071205906,617.651817257,70.808374512,35.6110141368
 01/02  13:00:00,1487.59088514,97.5849462627,550.843296524,0.0,243.2593065,310.10971186,700.137285169,593.892578201,70.808374512,35.4363324557
 01/02  14:00:00,1524.63859439,97.6631251161,555.577427089,0.0,243.2593065,302.612436532,670.269703912,578.010880565,56.6466996096,35.6121237371
 01/02  15:00:00,1528.29590929,97.7690075864,559.114733859,0.0,243.2593065,302.612436532,626.14035392,548.101021693,42.4850247072,35.5543075196
 01/02  16:00:00,1528.06085665,97.8652957928,561.881578738,0.0,243.2593065,302.612436532,632.902861064,540.766441032,56.6466996096,35.4897204224
 01/02  17:00:00,1535.43718044,97.9498058027,564.571608266,0.0,243.2593065,310.10971186,661.312432041,541.037440216,84.9700494144,35.3049424108
 01/02  18:00:00,1553.51541946,98.0268878531,563.944796426,0.0,243.2593065,310.10971186,640.16560925,537.703939145,84.9700494144,17.4916206908
 01/02  19:00:00,1285.19978373,97.5841539741,563.546984932,0.0,166.938926447,199.110933808,577.938003234,475.530874436,84.9700494144,17.4370793839
 01/02  20:00:00,1278.69112563,97.5841539741,564.755823591,0.0,166.938926447,191.61365848,543.896400639,478.519811141,56.6466996096,8.72988988891
 01/02  21:00:00,1144.02872636,97.5841539741,565.022467603,0.0,100.150657288,124.558693486,596.630470905,522.545844882,56.6466996096,17.4379264139
 01/02  22:00:00,1109.07297582,97.5841539741,564.755816128,0.0,100.150657288,124.558693486,588.066278569,528.184556763,42.4850247072,17.3966970979
 01/02  23:00:00,1045.79178366,97.5841539741,563.69858222,0.0,46.0930336215,124.558693486,584.031434621,547.004001342,28.3233498048,8.70408347458
 01/02  24:00:00,1040.56812651,97.5841539741,566.189268743,0.0,46.0930336215,124.558693486,584.088630066,552.535032357,14.1616749024,17.3919228063
 01/03  01:00:00,1025.36249559,97.5841539741,571.211245277,0.0,46.0930336215,113.312780494,571.311781141,556.942272927,5.66466996096,8.70483825245
 01/03  02:00:00,1021.60967081,97.5841539741,575.938405461,0.0,46.0930336215,113.312780494,587.233495119,564.176381439,5.66466996096,17.3924437189
 01/03  03:00:00,1021.31280594,97.5841539741,579.142999513,0.0,46.0930336215,113.312780494,585.770044789,571.400353193,5.66466996096,8.70502163537
 01/03  04:00:00,1021.05202669,97.5841539741,582.202347606,0.0,46.0930336215,113.312780494,602.337667892,579.280215048,5.66466996096,17.3927828827
 01/03  05:00:00,1116.46904581,97.5841539741,582.525227212,0.0,100.150657288,148.969399434,576.141314998,561.771479144,5.66466996096,8.70516589334
 01/03  06:00:00,1121.40432856,97.5841539741,578.682982915,0.0,100.150657288,149.894399434,997.684962917,966.128780593,14.1616749024,17.3945074216
 01/03  07:00:00,1334.73776062,97.7388083853,574.806865155,0.0,176.471037341,302.612436532,714.594915273,677.566256632,28.3233498048,8.70530883631
 01/03  08:00:00,1427.27252101,98.0184399178,571.995520546,0.0,243.2593065,310.10971186,702.105335089,633.315393044,42.4850247072,26.304917338
 01/03  09:00:00,1460.69133211,98.1392451485,574.709683304,0.0,243.2593065,310.10971186,742.250858483,659.175237518,56.6466996096,26.4289213549
 01/03  10:00:00,1491.56003624,98.2312284023,582.706683714,0.0,243.2593065,302.612436532,710.338632455,641.335977799,42.4850247072,26.5176299488
 01/03  11:00:00,1504.35613083,98.3106235224,593.690387662,0.0,243.2593065,310.10971186,706.96682188,591.722592149,70.808374512,44.4358552182
 01/03  12:00:00,1511.79940549,98.3927788348,603.476854511,0.0,243.2593065,310.10971186,728.135272293,621.726470244,70.808374512,35.6004275372
 01/03  13:00:00,1475.49603823,98.5757291914,610.153207028,0.0,243.2593065,310.10971186,713.674662621,607.43863382,70.808374512,35.4276542892
 01/03  14:00:00,1513.04065079,98.7840001342,611.83752471,0.0,243.2593065,302.612436532,665.71038362,573.461319618,56.6466996096,35.6023643931
 01/03  15:00:00,1514.29923186,99.0000010371,611.281621459,0.0,243.2593065,302.612436532,648.73137144,570.70155297,42.4850247072,35.5447937635
 01/03  16:00:00,1513.31831826,99.2359019027,610.527539184,0.0,243.2593065,302.612436532,660.455827688,568.327799682,56.6466996096,35.4813283956
 01/03  17:00:00,1518.91631273,99.4654524114,609.429003984,0.0,243.2593065,310.10971186,672.058249721,560.602736201,84.9700494144,26.4854641056
 01/03  18:00:00,1533.37706114,99.7343311025,608.262143162,0.0,243.2593065,310.10971186,659.134592988,556.670803373,84.9700494144,17.4937402003
 01/03  19:00:00,1267.17529053,97.5841539741,605.780251978,0.0,166.938926447,199.110933808,606.727220685,504.31764648,84.9700494144,17.4395247901
 01/03  20:00:00,1264.32588202,97.5841539741,602.483491259,0.0,166.938926447,191.61365848,580.558032116,506.475097656,56.6466996096,17.4362348503
 01/03  21:00:00,1139.45803376,97.5841539741,597.894856191,0.0,100.150657288,124.558693486,622.662321513,548.576879722,56.6466996096,17.4387421811
 01/03  22:00:00,1097.12153743,97.5841539741,595.296988097,0.0,100.150657288,124.558693486,602.22643781,551.033001643,42.4850247072,8.70841145989
 01/03  23:00:00,1035.95453259,97.5841539741,596.527573979,0.0,46.0930336215,124.558693486,613.744589469,568.029144082,28.3233498048,17.392095582
 01/03  24:00:00,1042.96130845,97.5841539741,594.663966004,0.0,46.0930336215,124.558693486,596.291994852,573.424220559,14.1616749024,8.70609939104
 01/04  01:00:00,1030.68296934,97.5841539741,592.752530589,0.0,46.0930336215,113.312780494,601.132001579,578.074686368,5.66466996096,17.3926452497
 01/04  02:00:00,1030.15413142,97.5841539741,592.009131704,0.0,46.0930336215,113.312780494,597.251316222,582.880271622,5.66466996096,8.70637463913
 01/04  03:00:00,1031.98014756,97.5841539741,591.30518437,0.0,46.0930336215,113.312780494,611.529581939,588.471927369,5.66466996096,17.3929846089
 01/04  04:00:00,1032.67843218,97.5841539741,590.297286951,0.0,46.0930336215,113.312780494,619.039814981,596.762671854,5.66466996096,16.612473166
 01/04  05:00:00,1121.90831467,97.5841539741,588.613118459,0.0,100.150657288,148.969399434,592.154421763,577.005303897,5.66466996096,9.48444790556
 01/04  06:00:00,1125.05912305,97.7009072094,584.514166532,0.0,100.150657288,149.894399434,970.034225046,938.480700858,14.1616749024,17.3918492857
 01/04  07:00:00,1357.04366521,98.3572464326,578.293242319,0.0,176.471037341,302.612436532,712.971961615,675.942633124,28.3233498048,8.70597868567
 01/04  08:00:00,1465.27673566,98.6912815136,570.477689114,0.0,243.2593065,310.10971186,699.513458745,630.724527548,42.4850247072,26.3039064903
 01/04  09:00:00,1499.89998441,99.0203813871,565.644078416,0.0,243.2593065,310.10971186,699.341690156,616.266035513,56.6466996096,26.4289550332
