Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,136.049230342,30.764564343,12.3957579623,0.0,34.4311606118,33.1021868926,135.490390293,25.1706135829,3.33212,106.98765671
 01/01  02:00:00,145.652992637,30.764564343,22.0162494354,0.0,34.4311606118,33.1021868926,87.4063572246,2.23454019384,3.33212,81.8396970308
 01/01  03:00:00,129.589765951,30.764564343,23.476938584,0.0,19.466279405,30.610668775,86.1207688248,2.23031825535,3.33212,80.5583305695
 01/01  04:00:00,132.565557117,30.764564343,26.458971715,0.0,19.466279405,30.610668775,86.136519528,2.25041139213,3.33212,80.5539881359
 01/01  05:00:00,146.933924417,30.764564343,34.1793770999,0.0,19.466279405,30.610668775,113.716444222,2.20875264645,3.33212,108.175571575
 01/01  06:00:00,163.706587386,30.764564343,38.7201603364,0.0,19.466279405,30.610668775,144.166441961,4.73780316791,8.3303,131.098338793
 01/01  07:00:00,306.149456167,34.2724328744,102.081350719,0.0,42.6918050922,54.3732441037,218.683308502,6.68808625531,16.6606,195.334622247
 01/01  08:00:00,391.284079436,35.6972610245,149.622457913,0.0,49.3960418185,88.5934452969,359.315872186,16.1615952278,24.9909,318.163376958
 01/01  09:00:00,421.899829356,35.5496397971,148.529906022,0.0,57.6566862989,112.030105488,498.834771146,11.9883281368,33.3212,453.525243009
 01/01  10:00:00,365.927338792,36.0598221427,147.924638588,0.0,50.9524495726,81.1684271793,401.565956245,6.37773476905,66.8089,328.379321476
 01/01  11:00:00,321.233629289,36.1101145516,148.162779519,0.0,42.6918050922,68.9656133826,344.089986839,10.0665011181,83.4695,250.553985721
 01/01  12:00:00,320.5474734,36.1490599833,151.484311293,0.0,38.286128036,68.9656133826,295.550098523,14.7141824206,83.4695,197.366416103
 01/01  13:00:00,320.882350886,36.1819563002,152.548209384,0.0,38.286128036,68.9656133826,245.082296273,15.6437335176,83.4695,145.969062756
 01/01  14:00:00,301.399301008,36.210028742,152.140153417,0.0,31.5818913096,56.727595265,238.710147434,17.611014314,75.1392,145.95993312
 01/01  15:00:00,283.089535965,36.2348202292,134.259866488,0.0,31.5818913096,56.727595265,231.630528281,19.2007875147,66.8089,145.620840766
 01/01  16:00:00,252.517617014,36.2586840519,103.966126909,0.0,31.5818913096,56.727595265,241.851011194,21.0990071595,75.1392,145.612804034
 01/01  17:00:00,274.771908855,35.9814085241,97.5341997059,0.0,31.5818913096,61.661095265,221.449944745,21.2401578839,91.7998,108.409986861
 01/01  18:00:00,316.803125037,35.5480214313,95.856740411,0.0,31.5818913096,70.9729253606,216.48666606,28.5203587523,49.9818,137.984507307
 01/01  19:00:00,374.324338761,35.5480214313,91.6829390661,0.0,80.3315023541,83.7685254822,255.14402117,42.5755781281,49.9818,162.586643042
 01/01  20:00:00,371.247764093,35.5480214313,84.6260055415,0.0,102.000620287,77.6748002752,314.244776776,65.2693870939,33.3212,215.654189682
 01/01  21:00:00,396.232983591,35.5480214313,89.0702106282,0.0,108.704857014,91.4735406516,330.717103675,82.3229547535,33.3212,215.072948922
 01/01  22:00:00,372.110738063,35.5480214313,93.0760627883,0.0,95.2963835608,89.1510273009,316.430874611,75.7985709464,24.9909,215.641403664
 01/01  23:00:00,316.5977614,35.5480214313,90.6276277626,0.0,80.3315023541,63.3799339444,412.344128111,77.3994089968,16.6606,318.284119115
 01/01  24:00:00,232.609560587,35.5480214313,71.0310539834,0.0,42.6918050922,48.4199368926,283.818587843,95.5095642369,8.3303,179.978723606
 01/02  01:00:00,123.012266108,30.764564343,10.6486086707,0.0,25.5240853573,30.610668775,210.116608392,98.5921514737,3.33212,108.192336918
 01/02  02:00:00,121.218461637,30.764564343,16.1574932731,0.0,19.418418834,29.3649097162,175.944038229,92.1390071872,3.33212,80.4729110418
 01/02  03:00:00,115.73139655,30.764564343,18.6086809273,0.0,12.7620426787,28.1191506574,152.189273287,68.3834246843,3.33212,80.4737286022
 01/02  04:00:00,116.856018125,30.764564343,19.7563413655,0.0,12.7620426787,28.1191506574,135.91671032,52.1105737411,3.33212,80.4740165792
 01/02  05:00:00,125.252269625,30.764564343,21.5942022849,0.0,12.7620426787,28.1191506574,152.858093893,41.3267649688,3.33212,108.199208924
 01/02  06:00:00,160.026261199,30.764564343,28.7715351665,0.0,25.5240853573,30.610668775,229.794002203,34.5417494649,8.3303,186.921952738
 01/02  07:00:00,309.023137471,32.7576714631,75.7247814949,0.0,51.0481707146,78.1489452969,364.0881783,29.8068285135,16.6606,317.620749787
 01/02  08:00:00,355.128528319,35.615996232,78.5951355031,0.0,64.3609230253,109.708623606,591.637150195,144.080676695,24.9909,422.565573499
 01/02  09:00:00,298.999898055,35.5480214313,65.5428940152,0.0,51.0481707146,80.7689615957,530.319432982,167.039698475,33.3212,329.958534507
 01/02  10:00:00,268.980135883,35.8065128583,63.3607695515,0.0,51.0481707146,71.0224615957,476.626251346,160.67914826,66.8089,249.138203086
 01/02  11:00:00,212.872907802,35.9103395235,55.8118639665,0.0,32.1804615127,65.7244621605,444.760870363,164.382968981,83.4695,196.908401382
 01/02  12:00:00,208.604346129,35.9956400175,50.7222687516,0.0,32.1804615127,65.7244621605,394.18475891,164.517652588,83.4695,146.197606323
 01/02  13:00:00,207.127500218,36.0784667023,49.8287661693,0.0,32.1804615127,65.7244621605,388.991821254,159.51897515,83.4695,146.003346104
 01/02  14:00:00,196.018484151,36.1684973788,48.2945084212,0.0,32.1804615127,55.9779621605,377.823174515,156.852121275,75.1392,145.83185324
 01/02  15:00:00,197.810071188,36.2254583922,49.9749292016,0.0,32.1804615127,55.9779621605,365.667440512,153.218178197,66.8089,145.640362315
 01/02  16:00:00,196.094390161,36.268623665,48.3455663311,0.0,32.1804615127,55.9779621605,358.822050653,139.820078873,75.1392,143.862771781
 01/02  17:00:00,218.075119837,35.9863496148,41.3971218783,0.0,32.1804615127,60.9114621605,345.41218214,143.463084271,91.7998,110.14929787
 01/02  18:00:00,271.865020499,35.5480214313,43.8682206649,0.0,32.1804615127,77.5397301883,354.463806918,142.270387586,49.9818,162.211619332
 01/02  19:00:00,342.577603756,35.5480214313,60.5093065982,0.0,77.122965704,86.2600435998,488.045271446,144.76239769,49.9818,293.301073756
 01/02  20:00:00,356.304300808,35.5480214313,66.6273728045,0.0,102.647051061,80.1663183927,390.360489578,140.709202891,33.3212,216.330086687
 01/02  21:00:00,385.611791807,35.5480214313,70.571495395,0.0,115.40909374,92.7192997104,386.538659944,137.417639545,33.3212,215.799820399
 01/02  22:00:00,374.051195828,35.5480214313,82.5420231594,0.0,102.647051061,94.1340635361,481.648038001,136.719426655,24.9909,319.937711346
