Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,83.7563024949,22.4825179043,19.7824941165,1.67672862564,4.12243109448,15.9888894789,97.5227253813,94.5309949635,2.97173041782,0.02
 01/02  02:00:00,67.1182665358,17.9338175487,14.4153076093,0.0,4.12243109448,15.9888894789,83.5914160752,80.5996856574,2.97173041782,0.02
 01/02  03:00:00,88.5145093016,24.0787992151,22.8312894242,4.09692074377,4.12243109448,15.9888894789,105.10898604,102.117255622,2.97173041782,0.02
 01/02  04:00:00,86.5492140647,20.1200376529,19.88790266,7.50769285579,4.12243109448,15.9888894789,84.4224553097,81.4307248919,2.97173041782,0.02
 01/02  05:00:00,116.583687697,28.2124583856,21.9365558859,3.75820278837,12.3672932834,24.9413748627,120.066014285,115.093130255,4.9528840297,0.02
 01/02  06:00:00,158.062838986,29.1418241961,28.324046311,33.961950718,12.3672932834,24.9413748627,190.206230371,185.233346342,4.9528840297,0.02
 01/02  07:00:00,201.857065839,29.6293878468,20.471671186,26.6565628374,24.7345865669,70.7195625826,156.610100806,146.684332747,9.90576805939,0.02
 01/02  08:00:00,215.04622716,29.7159902424,19.3862866019,19.8580601715,37.1018798503,92.3937384068,136.939749738,127.013981679,9.90576805939,0.02
 01/02  09:00:00,227.672038725,29.7588276488,19.3739028241,17.7626069372,37.1018798503,104.434947198,130.82648301,120.900714951,9.90576805939,0.02
 01/02  10:00:00,239.099134847,29.8249627892,20.4730920335,14.5139590317,37.1018798503,116.476155989,134.358660927,115.828928898,9.90576805939,8.62396396967
 01/02  11:00:00,236.368000918,29.8825264813,21.5595582567,11.8105520068,37.1018798503,116.476155989,121.589339738,111.663571679,9.90576805939,0.02
 01/02  12:00:00,235.163928074,29.9369331069,22.7045755495,9.6748904148,37.1018798503,116.476155989,117.940807769,108.01503971,9.90576805939,0.02
 01/02  13:00:00,223.024799052,29.9824176929,23.7244404318,7.96947930844,37.1018798503,104.434947198,123.578530612,105.047364398,9.90576805939,8.62539815482
 01/02  14:00:00,233.221826632,30.0138150421,24.7103995583,7.05536184245,37.1018798503,116.476155989,113.555576597,103.629808538,9.90576805939,0.02
 01/02  15:00:00,232.860704243,30.0545421252,25.2652202292,5.91232542293,37.1018798503,116.476155989,119.751496445,101.217771689,9.90576805939,8.62795669627
 01/02  16:00:00,231.746443453,30.0705791532,25.7790554386,5.3677188537,37.1018798503,116.476155989,110.88376466,100.9579966,9.90576805939,0.02
 01/02  17:00:00,231.890958068,30.0589271308,25.6112726919,5.72325290789,37.1018798503,116.476155989,112.200527735,102.274759675,9.90576805939,0.02
 01/02  18:00:00,248.396682301,30.0442912466,25.2235546382,6.55429723699,37.1018798503,116.476155989,113.207985349,103.282217289,9.90576805939,0.02
 01/02  19:00:00,158.751635417,28.2124583856,23.3318689754,0.0,24.7345865669,47.5788473902,93.042684673,79.4822062144,4.9528840297,8.60759442895
 01/02  20:00:00,160.445486646,28.6497024064,24.7923097532,0.0214530010939,24.7345865669,47.5788473902,89.9976480151,85.0247639854,4.9528840297,0.02
 01/02  21:00:00,133.618827115,27.3379703438,19.4547094545,0.123048994092,12.3672932834,38.6892022431,103.105562575,100.113832157,2.97173041782,0.02
 01/02  22:00:00,112.465211754,21.673275831,18.1839500285,0.539691879871,12.3672932834,27.0668015668,85.4112551828,82.419524765,2.97173041782,0.02
 01/02  23:00:00,81.8985638995,17.9338175487,12.4317165429,0.0,4.12243109448,15.9888894789,78.5693044118,75.577573994,2.97173041782,0.02
 01/02  24:00:00,99.1131228556,23.510381988,19.816127214,1.61050457039,4.12243109448,15.9888894789,100.275636865,97.2839064475,2.97173041782,0.02
 01/03  01:00:00,81.3946329784,18.3710615695,14.3880716157,0.785487465505,4.12243109448,15.9888894789,82.0855883164,79.0938578986,2.97173041782,0.02
 01/03  02:00:00,92.9410470575,23.2917599775,18.9562148911,1.86460881993,4.12243109448,15.9888894789,103.150413382,100.158682964,2.97173041782,0.02
 01/03  03:00:00,86.1499211307,19.5078960237,18.0092435002,4.15166488061,4.12243109448,15.9888894789,83.9564566589,80.9647262411,2.97173041782,0.02
 01/03  04:00:00,102.059668016,24.6034920401,23.2731735094,7.56754044349,4.12243109448,15.9888894789,105.053477013,102.061746595,2.97173041782,0.02
 01/03  05:00:00,118.774167265,27.9938363751,22.2177909732,2.72825960733,12.3672932834,24.9413748627,118.597786146,113.624902117,4.9528840297,0.02
 01/03  06:00:00,152.871995148,28.6993965782,28.6214140906,26.7626481195,12.3672932834,24.9413748627,189.72334208,184.75045805,4.9528840297,0.02
 01/03  07:00:00,201.060670391,29.6355337389,22.613423243,26.1653653842,24.7345865669,70.7195625826,155.796231294,145.870463234,9.90576805939,0.02
 01/03  08:00:00,205.853698615,29.7220642171,21.5627396729,19.1770785921,37.1018798503,92.3937384068,137.145067979,127.219299919,9.90576805939,0.02
 01/03  09:00:00,215.949361178,29.7503867296,22.3352003186,21.1898251591,37.1018798503,104.434947198,143.9711549,125.444163004,9.90576805939,8.62122383688
 01/03  10:00:00,228.022540201,29.7758232673,24.5275008508,19.4425785098,37.1018798503,116.476155989,132.769838352,122.844070293,9.90576805939,0.02
 01/03  11:00:00,226.01670958,29.8412442001,27.3579740725,14.5402025412,37.1018798503,116.476155989,126.35538006,116.429612,9.90576805939,0.02
 01/03  12:00:00,230.081322953,29.8224519942,29.5636640699,16.4177438358,37.1018798503,116.476155989,135.536354555,117.001186833,9.90576805939,8.62939966226
 01/03  13:00:00,217.850772188,29.8484132539,30.5175421941,15.2491181701,37.1018798503,104.434947198,125.644842132,115.719074073,9.90576805939,0.02
 01/03  14:00:00,226.132544319,29.9164448035,30.5413401532,11.3972510947,37.1018798503,116.476155989,129.154233247,110.619104845,9.90576805939,8.6293603422
