Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.5737844055,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.6021150187,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.6014352206,0.0,0.0,0.0,15.863942322,29.242365,6.08813077343,0.0,3.20568,2.88245077343
 01/01  04:00:00,55.6003026999,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.8425653962,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.8215472372,0.0,0.0,0.0,15.863942322,29.242365,6.08809643628,0.0,3.20568,2.88241643628
 01/01  07:00:00,55.8269352373,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,47.1817815032,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.1810850408,0.0,0.0,0.0,15.863942322,29.242365,6.08939770909,0.0,3.20568,2.88371770909
 01/01  10:00:00,47.2035683568,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.2075629607,0.0,0.0,0.0,15.863942322,29.242365,6.08948695086,0.0,3.20568,2.88380695086
 01/01  12:00:00,47.8893950477,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.2073770339,0.0,0.0,0.0,15.863942322,29.242365,6.08937631648,0.0,3.20568,2.88369631648
 01/01  14:00:00,47.2426956048,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.23877108,0.0,0.0,0.0,15.863942322,29.242365,6.08806256353,0.0,3.20568,2.88238256353
 01/01  16:00:00,47.2197525516,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,47.1226374342,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.6915543019,0.0,0.0,0.0,15.863942322,29.242365,6.08816221679,0.0,3.20568,2.88248221679
 01/01  19:00:00,55.6700290935,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.8720213422,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.8392838759,0.0,0.0,0.0,15.863942322,29.242365,6.08812815002,0.0,3.20568,2.88244815002
 01/01  22:00:00,55.7176622819,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.5527396365,0.0,0.0,0.0,15.863942322,29.242365,6.08809408977,0.0,3.20568,2.88241408977
 01/01  24:00:00,56.2299830456,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.5265268734,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.5139319643,0.0,0.0,0.0,15.863942322,29.242365,6.08946223717,0.0,3.20568,2.88378223717
 01/02  03:00:00,55.501922263,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.4874712207,0.0,0.0,0.0,15.863942322,29.242365,6.08935413524,0.0,3.20568,2.88367413524
 01/02  05:00:00,55.6840328998,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  06:00:00,55.6558591085,0.0,0.0,0.0,15.863942322,29.242365,6.08944612933,0.0,3.20568,2.88376612933
 01/02  07:00:00,65.0229989268,7.8570922557,0.0,0.0,15.863942322,29.818365,295.435342213,289.34600424,3.20568,2.88365797326
 01/02  08:00:00,121.095109043,7.8570922557,0.00115694600131,0.0,80.527626,29.818365,281.640638359,278.414958359,3.20568,0.02
 01/02  09:00:00,166.306910262,7.8570922557,0.00573775065238,0.0,80.527626,75.0917375,225.207574025,192.495209438,24.0426,8.66976458683
 01/02  10:00:00,166.328290682,7.8570922557,0.00315646588324,0.0,80.527626,75.0917375,200.347709437,158.884294019,24.0426,17.4208154174
 01/02  11:00:00,170.334975871,7.8570922557,0.00187198606242,0.0,80.527626,79.0911225,190.79044689,144.200900332,32.0568,14.5327465581
 01/02  12:00:00,171.040229107,7.8570922557,0.0,0.0,80.527626,79.0911225,166.187208139,116.659562996,32.0568,17.4708451433
 01/02  13:00:00,170.297909129,7.99411880601,0.0,0.0,80.527626,79.0911225,157.904504133,105.436893799,32.0568,20.4108103339
 01/02  14:00:00,166.313467351,8.12636997639,0.0,0.0,80.527626,75.0917375,148.069706932,111.610618258,16.0284,20.430688674
 01/02  15:00:00,166.492715817,8.34042055447,0.0,0.0,80.527626,75.0917375,144.324307362,113.773727491,16.0284,14.5221798717
 01/02  16:00:00,164.314572003,8.25516358614,0.0,0.0,80.527626,73.092045,129.718283135,109.069884286,3.20568,17.4427188492
 01/02  17:00:00,163.76583891,7.8570922557,0.0,0.0,80.527626,73.092045,112.105917072,106.013179243,3.20568,2.88705782887
 01/02  18:00:00,129.098543761,7.8570922557,0.0,0.0,80.527626,29.818365,124.313851204,118.221233355,3.20568,2.88693784901
