Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.7699061257,2.20927587313,0.0,0.0,1.85583932782,5.577,10.1781101516,5.43813453917,3.0011,1.73887561247
 01/01  02:00:00,9.75749647617,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.78418561795,0.0,0.0,0.0,0.618613109274,5.0,3.59317546707,0.0,3.0011,0.592075467068
 01/01  04:00:00,9.79538026779,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.95549368526,0.0,0.0,0.0,0.618613109274,5.0,3.59318138401,0.0,3.0011,0.592081384009
 01/01  06:00:00,13.9862102354,2.20927587313,0.0,0.0,1.85583932782,5.577,8.64225923136,4.12060923136,4.50165,0.02
 01/01  07:00:00,28.4618883199,2.20927587313,0.0,0.0,3.71167865564,18.077,16.3566273103,1.68658096323,13.50495,1.16509634705
 01/01  08:00:00,25.894507258,2.20927587313,0.0,0.0,3.71167865564,18.077,22.7453360754,0.0,21.0077,1.73763607544
 01/01  09:00:00,20.8931278887,2.20927587313,0.0,0.0,3.71167865564,13.077,16.9928702595,0.822369606216,15.0055,1.16500065327
 01/01  10:00:00,20.9144407618,2.20927587313,0.0,0.0,3.71167865564,13.077,16.28932098,0.118616582428,15.0055,1.16520439761
 01/01  11:00:00,25.9342899469,2.20927587313,0.0,0.0,3.71167865564,18.077,36.4753907345,0.0,33.0121,3.46329073445
 01/01  12:00:00,27.0536717745,2.20927587313,0.00728478788238,0.0,3.71167865564,18.077,44.5519012152,0.0,40.51485,4.03705121523
 01/01  13:00:00,26.2421581352,2.20927587313,0.0124672983528,0.0,3.71167865564,18.077,38.9003454013,0.0,36.0132,2.88714540133
 01/01  14:00:00,25.9874690985,2.20927587313,0.0,0.0,3.71167865564,18.077,34.3985578293,0.0,31.51155,2.88700782933
 01/01  15:00:00,20.9575690344,2.20927587313,0.0,0.0,3.71167865564,13.077,23.3492262359,0.0295513377209,21.0077,2.31197489818
 01/01  16:00:00,20.9200294029,2.20927587313,0.0,0.0,3.71167865564,13.077,21.8189357764,0.0,19.50715,2.31178577638
 01/01  17:00:00,20.8314305268,2.20927587313,0.0,0.0,3.71167865564,13.077,24.8209409009,0.0,22.50825,2.31269090094
 01/01  18:00:00,28.3560486129,2.20927587313,0.0,0.0,3.71167865564,18.077,28.3963079538,0.0,25.50935,2.88695795378
 01/01  19:00:00,28.3353390333,2.20927587313,0.0,0.0,3.71167865564,18.077,28.9721972256,0.0,25.50935,3.4628472256
 01/01  20:00:00,28.4551969758,2.20927587313,0.0,0.0,3.71167865564,18.077,29.7986928137,0.252872703238,25.50935,4.03647011043
 01/01  21:00:00,23.4174164598,2.20927587313,0.0,0.0,3.71167865564,13.077,27.5845135665,2.18926322098,22.50825,2.88700034553
 01/01  22:00:00,23.3428485409,2.20927587313,0.0,0.0,3.71167865564,13.077,27.0384480277,2.56885453472,21.0077,3.46189349295
 01/01  23:00:00,23.2266218249,2.20927587313,0.0,0.0,3.71167865564,13.077,24.7775326657,3.88429706633,18.0066,2.88663559941
 01/01  24:00:00,24.355953346,2.20927587313,0.0,0.0,3.71167865564,13.077,10.5263463196,5.78730713071,3.0011,1.73793918892
 01/02  01:00:00,13.898011539,2.20927587313,0.0,0.0,1.85583932782,5.577,16.6089732381,11.8698724239,3.0011,1.73800081421
 01/02  02:00:00,9.63267428795,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.65500138205,0.0,0.0,0.0,0.618613109274,5.0,3.59318406333,0.0,3.0011,0.592084063335
 01/02  04:00:00,9.65483488883,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.78913656398,0.0,0.0,0.0,0.618613109274,5.0,3.59318994769,0.0,3.0011,0.592089947685
 01/02  06:00:00,13.7872832458,2.20927587313,0.0,0.0,1.85583932782,5.577,31.9393120959,27.4176620959,4.50165,0.02
 01/02  07:00:00,28.2448990187,2.20927587313,0.0,0.0,3.71167865564,18.077,37.3450367627,22.6749536114,13.50495,1.1651331513
 01/02  08:00:00,25.6613348241,2.20927587313,0.0,0.0,3.71167865564,18.077,46.5479096999,20.9265171493,21.0077,4.6136925506
 01/02  09:00:00,20.654770159,2.20927587313,0.0,0.0,3.71167865564,13.077,41.3230757208,22.2800326712,15.0055,4.03754304961
 01/02  10:00:00,20.6662678971,2.20927587313,0.0,0.0,3.71167865564,13.077,39.7460953924,21.278466851,15.0055,3.46212854142
 01/02  11:00:00,25.6709957931,2.20927587313,0.0,0.0,3.71167865564,18.077,53.8241061008,17.9245936976,33.0121,2.88741240316
 01/02  12:00:00,26.8126523217,2.20927587313,0.0,0.0,3.71167865564,18.077,57.9991231887,14.0225776401,40.51485,3.46169554855
 01/02  13:00:00,25.9092622338,2.20927587313,0.0,0.0,3.71167865564,18.077,49.2255411384,10.3248126416,36.0132,2.8875284968
 01/02  14:00:00,25.7153447391,2.20927587313,0.0,0.0,3.71167865564,18.077,43.3523142342,9.52769822894,31.51155,2.31306600527
 01/02  15:00:00,20.715541485,2.20927587313,0.0,0.0,3.71167865564,13.077,34.881703911,11.5615429175,21.0077,2.31246099347
 01/02  16:00:00,20.6990197537,2.20927587313,0.0,0.0,3.71167865564,13.077,34.5100420794,12.6904547103,19.50715,2.31243736915
 01/02  17:00:00,20.6182725556,2.20927587313,0.0,0.0,3.71167865564,13.077,38.2079335447,13.3872672077,22.50825,2.31241633703
 01/02  18:00:00,28.1543158694,2.20927587313,0.0,0.0,3.71167865564,18.077,39.9696648522,11.572973262,25.50935,2.88734159027
 01/02  19:00:00,28.1587361056,2.20927587313,0.0,0.0,3.71167865564,18.077,40.8335059374,11.2868129482,25.50935,4.03734298917
 01/02  20:00:00,28.3033751285,2.20927587313,0.0,0.0,3.71167865564,18.077,41.4750940273,11.3524732888,25.50935,4.61327073852
 01/02  21:00:00,23.2863619218,2.20927587313,0.0,0.0,3.71167865564,13.077,38.3502688007,12.3795501452,22.50825,3.46246865549
 01/02  22:00:00,23.2174902588,2.20927587313,0.0,0.0,3.71167865564,13.077,37.880792013,12.8354901969,21.0077,4.03760181609
 01/02  23:00:00,23.1118183978,2.20927587313,0.0,0.0,3.71167865564,13.077,34.6130740109,13.1449888136,18.0066,3.4614851973
 01/02  24:00:00,24.2778826047,2.20927587313,0.0,0.0,3.71167865564,13.077,19.9026988082,15.1632133083,3.0011,1.73838549991
 01/03  01:00:00,13.8379360046,2.20927587313,0.0,0.0,1.85583932782,5.577,25.0909179643,20.3516939329,3.0011,1.73812403142
 01/03  02:00:00,9.57875808215,0.0,0.0,0.0,0.618613109274,5.0,3.5931727594,0.0,3.0011,0.592072759403
 01/03  03:00:00,9.6134367285,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.63188950557,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  05:00:00,10.2962069347,0.0,0.0,0.0,0.618613109274,5.0,3.5931786617,0.0,3.0011,0.5920786617
 01/03  06:00:00,14.3134344019,2.20927587313,0.0,0.0,1.85583932782,5.577,27.7602846557,23.2386346557,4.50165,0.02
 01/03  07:00:00,28.4845926713,2.20927587313,0.0,0.0,3.71167865564,18.077,35.5470919696,20.3045000432,13.50495,1.73764192638
 01/03  08:00:00,25.6809391111,2.20927587313,0.0,0.0,3.71167865564,18.077,43.2564803908,18.2095226393,21.0077,4.03925775153
