Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,39.8785174549,5.86482146143,3.44770594556,0.0,12.925468867,10.100111941,6.48655672791,6.46655672791,0.0,0.02
 01/01  02:00:00,40.1286768148,5.88302382455,3.68075606567,0.0,12.925468867,10.100111941,9.70216063341,3.94646882838,0.0,5.75569180503
 01/01  03:00:00,34.6027534622,5.79355668476,2.86334297546,0.0,8.34152022915,10.0650221343,4.20091163369,4.18091163369,0.0,0.02
 01/01  04:00:00,34.5005458566,5.78792644674,2.76675676975,0.0,8.34152022915,10.0650221343,9.98690069586,4.23097229613,0.0,5.75592839973
 01/01  05:00:00,36.3209546195,5.808448721,2.96004746793,0.0,8.34152022915,11.6705166398,4.19807368158,4.17807368158,0.0,0.02
 01/01  06:00:00,40.4096066739,5.79484235079,2.9040105486,0.0,8.80141237637,15.3678112995,10.1070462404,4.34115582098,0.0,5.76589041944
 01/01  07:00:00,61.7155700594,5.91717465665,4.1110653429,0.0,18.5082010057,25.6353820695,9.91456801573,4.13849310442,0.0,5.77607491131
 01/01  08:00:00,74.2348401822,6.28249461519,7.34630527035,0.0,19.4926561212,41.1001056674,15.1975278858,3.61607661896,0.0,11.5814512669
 01/01  09:00:00,103.116531572,6.66522201518,12.0879404298,0.0,26.3286599382,57.9988325916,29.7427063046,0.298237933729,0.0,29.4444683709
 01/01  10:00:00,87.9865690078,6.42747920472,12.4690665055,0.0,26.2443270014,42.8153538416,47.3328556623,0.0,18.025,29.3078556623
 01/01  11:00:00,62.1020760942,6.17758988779,10.7090363353,0.0,21.7447113004,23.4437158914,41.5874736938,0.169718702713,18.025,23.3927549911
 01/01  12:00:00,58.329498525,6.03660030154,9.4794579215,0.0,19.3449162599,23.4437158914,35.543092509,0.0,18.025,17.518092509
 01/01  13:00:00,58.4893420627,6.03141068544,9.50229586863,0.0,19.190480192,23.7425572507,35.5616281389,0.0522409162757,18.025,17.4843872227
 01/01  14:00:00,58.6321353574,6.06411690389,9.58626509761,0.0,19.260583323,23.698576057,41.3291658198,0.0,18.025,23.3041658198
 01/01  15:00:00,58.047218737,6.03171346002,9.03375118904,0.0,19.260583323,23.698576057,35.5099174442,0.0,18.025,17.4849174442
 01/01  16:00:00,57.3146568724,6.00242105751,8.62042954981,0.0,19.260583323,23.4086260847,35.9603572687,0.449101189847,18.025,17.4862560788
 01/01  17:00:00,60.5824032294,5.96814669557,7.47113760072,0.0,19.260583323,27.8781056672,24.3257402616,0.541136913182,18.025,5.75960334842
