Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,101.271301366,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,104.458763329,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,106.175459601,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,107.186541768,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9155370951,0.0,1.75125,1.1642870951
 01/01  05:00:00,115.4328413,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,115.129987143,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,153.584102064,25.3774660242,0.00746086720318,0.0,6.98738001645,14.1499734587,145.153355457,140.486548716,3.5025,1.16430674159
 01/01  08:00:00,158.942094371,25.3774660242,0.0,0.0,6.98738001645,14.1499734587,146.816002448,143.293502448,3.5025,0.02
 01/01  09:00:00,191.891474323,25.3774660242,0.0,0.0,6.98738001645,14.1499734587,137.069335565,132.40249239,3.5025,1.16434317507
 01/01  10:00:00,172.00021998,25.3774660242,0.0,0.0,6.98738001645,14.1499734587,125.034411945,121.511911945,3.5025,0.02
 01/01  11:00:00,205.121815933,25.3774660242,0.116564286522,0.0,27.9495200658,27.7759469175,103.822127244,95.6524533474,7.005,1.16467389705
 01/01  12:00:00,231.48974666,25.3774660242,0.134282033134,0.0,27.9495200658,27.7759469175,95.6987741458,88.6737741458,7.005,0.02
 01/01  13:00:00,247.060151749,25.3774660242,1.00387764977,0.0,41.9242800987,36.8599292233,77.4693112108,66.9644793852,9.34,1.16483182563
 01/01  14:00:00,245.175514201,25.3774660242,1.04128485321,0.0,41.9242800987,36.8599292233,77.3126223607,66.8078429411,9.34,1.16477941959
 01/01  15:00:00,236.587300507,25.3774660242,0.941151197983,0.0,41.9242800987,36.8599292233,85.9311745405,75.4265043993,9.34,1.1646701412
 01/01  16:00:00,229.748070742,25.3774660242,0.917991464979,0.0,41.9242800987,36.8599292233,88.2658262493,78.9058262493,9.34,0.02
