Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.813267239,4.08016123929,0.0,0.0,4.58992532963,8.1892,18.3755787815,9.26633217428,3.33988,5.76936660722
 01/01  02:00:00,14.9200329095,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.9482385883,0.0,0.0,0.0,1.52997510988,7.4902,3.93197374331,0.0,3.33988,0.592093743305
 01/01  04:00:00,14.9657875355,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.131956506,0.0,0.0,0.0,1.52997510988,7.4902,3.93192789247,0.0,3.33988,0.592047892471
 01/01  06:00:00,22.9737938415,4.08016123929,0.0,0.0,4.58992532963,8.1892,21.5441316446,13.1744316446,8.3497,0.02
 01/01  07:00:00,38.9455282712,4.08016123929,0.0304243125071,0.0,9.17985065927,19.4245,28.5631084224,8.40157352733,16.6994,3.46213489511
 01/01  08:00:00,42.1786067787,4.08016123929,0.0361134616504,0.0,9.17985065927,26.9147,29.0854646118,0.0,25.0491,4.0363646118
 01/01  09:00:00,42.2000340287,4.08016123929,0.0303805767306,0.0,9.17985065927,26.9147,36.8610443057,0.0,33.3988,3.46224430574
 01/01  10:00:00,34.6967063657,4.08016123929,0.00442694072914,0.0,9.17985065927,19.4245,28.5902874999,0.078413645239,25.0491,3.46277385462
 01/01  11:00:00,42.2421917815,4.08016123929,0.0438826217346,0.0,9.17985065927,26.9147,53.3371561078,0.00746438694814,41.7485,11.5811917208
 01/01  12:00:00,44.2918549581,4.08016123929,1.33494472776,0.0,9.17985065927,26.9147,53.3293754068,0.0,41.7485,11.5808754068
 01/01  13:00:00,45.7315108541,4.08016123929,3.42004400453,0.0,9.17985065927,26.9147,50.9963895388,0.0,41.7485,9.24788953876
 01/01  14:00:00,37.2896384907,4.08016123929,2.53636131353,0.0,9.17985065927,19.4245,42.6467806889,0.0,33.3988,9.24798068893
 01/01  15:00:00,36.3658454316,4.08016123929,1.61263870772,0.0,9.17985065927,19.4245,31.976335085,0.0,25.0491,6.927235085
 01/01  16:00:00,34.9640142004,4.08016123929,0.228421086895,0.0,9.17985065927,19.4245,40.335529361,0.00954186049388,33.3988,6.92718750052
