Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,1008.63407363,97.5950929187,620.673087372,0.0,34.9616554283,113.312780494,562.864675881,548.49482363,5.66466996096,8.70518229037
 01/01  02:00:00,1019.49824043,97.5950929187,632.253808487,0.0,34.9616554283,113.312780494,580.379812827,557.324340096,5.66466996096,17.3908027702
 01/01  03:00:00,1018.95751052,97.5950929187,631.753971804,0.0,34.9616554283,113.312780494,575.744160494,561.374038567,5.66466996096,8.70545196635
 01/01  04:00:00,1012.72444943,97.5950929187,625.204910106,0.0,34.9616554283,113.312780494,585.269303741,562.213535755,5.66466996096,17.3910980248
 01/01  05:00:00,1017.49008347,97.5950929187,619.331579719,0.0,44.4937663224,113.312780494,567.435293449,553.065055047,5.66466996096,8.70556844099
 01/01  06:00:00,1020.32413589,97.5950929187,622.336293158,0.0,44.4937663224,113.312780494,588.224328363,556.67134548,14.1616749024,17.3913079802
 01/01  07:00:00,1096.236609,97.5950929187,625.389277001,0.0,54.0258772165,176.889270242,533.446683945,496.417659989,28.3233498048,8.70567415027
 01/01  08:00:00,1087.42377917,97.5950929187,624.680236209,0.0,54.0258772165,184.38654557,553.04936665,493.172830406,42.4850247072,17.3915115364
 01/01  09:00:00,1157.91180524,97.5950929187,615.154247708,0.0,65.1572554096,220.04316451,539.723009228,465.617087024,56.6466996096,17.4592225936
 01/01  10:00:00,1145.53702032,97.5950929187,609.906723381,0.0,65.1572554096,212.545889182,514.085799543,454.066598563,42.4850247072,17.5341762736
 01/01  11:00:00,1147.89023295,97.5950929187,604.463351781,0.0,65.1572554096,220.04316451,536.273027205,439.069213853,70.808374512,26.39543884
 01/01  12:00:00,1134.17518781,97.5950929187,588.807318387,0.0,65.1572554096,220.04316451,522.020824609,424.814509579,70.808374512,26.3979405185
 01/01  13:00:00,1126.79749994,97.5950929187,582.06979173,0.0,65.1572554096,220.04316451,521.891751972,424.686581533,70.808374512,26.396795927
 01/01  14:00:00,1120.25043387,97.5950929187,582.954582192,0.0,65.1572554096,212.545889182,499.38993173,416.347570225,56.6466996096,26.3956618951
 01/01  15:00:00,1120.37703039,97.5950929187,583.102009804,0.0,65.1572554096,212.545889182,457.503644194,388.624088104,42.4850247072,26.3945313835
 01/01  16:00:00,1130.90532153,97.5950929187,594.330341127,0.0,65.1572554096,212.545889182,483.177413171,400.132185626,56.6466996096,26.3985279359
 01/01  17:00:00,1115.41465743,97.5950929187,604.766804459,0.0,65.1572554096,220.04316451,523.618829532,412.251415887,84.9700494144,26.3973642308
 01/01  18:00:00,1088.08609528,97.5950929187,609.003560723,0.0,54.0258772165,184.38654557,535.335504861,432.829982143,84.9700494144,17.5354733031
 01/01  19:00:00,1059.62345235,97.5950929187,611.084707631,0.0,44.4937663224,163.454314868,570.952336689,468.590153754,84.9700494144,17.39213352
 01/01  20:00:00,1052.89509093,97.5950929187,611.160368468,0.0,44.4937663224,155.95703954,538.988189205,473.635364595,56.6466996096,8.70612500063
 01/01  21:00:00,1021.57186815,97.5950929187,611.299464272,0.0,44.4937663224,124.558693486,583.838041203,509.799501347,56.6466996096,17.3918402464
 01/01  22:00:00,1021.23410869,97.5950929187,611.346372351,0.0,44.4937663224,124.558693486,567.054004365,515.862743652,42.4850247072,8.70623600516
 01/01  23:00:00,1011.52838585,97.5950929187,611.728006801,0.0,34.9616554283,124.558693486,579.114597348,533.401269534,28.3233498048,17.3899780092
 01/01  24:00:00,1021.45970308,97.5950929187,621.156218093,0.0,34.9616554283,124.558693486,566.103911507,543.235892249,14.1616749024,8.70634435534
 01/02  01:00:00,1025.57159649,97.5950929187,626.808021632,0.0,46.0930336215,113.312780494,569.510087968,546.455084063,5.66466996096,17.3903339445
 01/02  02:00:00,1024.7647175,97.5950929187,626.035919715,0.0,46.0930336215,113.312780494,564.225524861,549.854265321,5.66466996096,8.70658957942
 01/02  03:00:00,1015.9259585,97.5950929187,616.661774602,0.0,46.0930336215,113.312780494,573.032667115,549.977312649,5.66466996096,17.3906845047
 01/02  04:00:00,1010.91912234,97.5950929187,611.325609597,0.0,46.0930336215,113.312780494,564.775746941,550.404341955,5.66466996096,8.7067350247
 01/02  05:00:00,1136.44329668,97.5950929187,648.628338657,0.0,100.150657288,148.969399434,553.330022548,530.272960359,5.66466996096,17.3923922276
 01/02  06:00:00,1141.34441238,97.5950929187,652.289311881,0.0,100.150657288,149.894399434,1074.22555272,1051.35700013,14.1616749024,8.70687768089
 01/02  07:00:00,1363.06007536,97.5950929187,644.91252324,0.0,176.471037341,302.612436532,723.564655939,677.850112421,28.3233498048,17.3911937131
 01/02  08:00:00,1443.3943419,97.5950929187,615.467352515,0.0,243.2593065,310.10971186,665.052900316,605.02530508,42.4850247072,17.5425705283
 01/02  09:00:00,1467.66526071,97.5950929187,597.310828868,0.0,243.2593065,310.10971186,640.876528771,557.804594338,56.6466996096,26.4252348238
 01/02  10:00:00,1496.04003992,97.5950929187,591.994988528,0.0,243.2593065,302.612436532,590.14505551,512.303238379,42.4850247072,35.3567924242
 01/02  11:00:00,1488.13748064,97.6027371035,575.638720961,0.0,243.2593065,310.10971186,576.741472254,470.391904765,70.808374512,35.5411929766
 01/02  12:00:00,1486.34689625,97.6564740343,572.637930951,0.0,243.2593065,310.10971186,549.981693582,443.562375855,70.808374512,35.6109432151
 01/02  13:00:00,1447.60812665,97.734684133,575.851858364,0.0,243.2593065,310.10971186,527.528458222,421.283810168,70.808374512,35.4362735416
 01/02  14:00:00,1478.06141611,97.839661026,572.709507931,0.0,243.2593065,302.612436532,492.104263797,399.845507954,56.6466996096,35.6120562341
 01/02  15:00:00,1478.35109007,98.0719676884,572.801715175,0.0,243.2593065,302.612436532,463.702695429,385.663429807,42.4850247072,35.5542409154
 01/02  16:00:00,1482.6583785,98.3498673751,577.095907518,0.0,243.2593065,302.612436532,473.429009368,381.292649424,56.6466996096,35.4896603347
 01/02  17:00:00,1494.85429447,98.8418337283,582.457520161,0.0,243.2593065,310.10971186,492.482076994,372.207131698,84.9700494144,35.3048958816
 01/02  18:00:00,1516.212499,99.0694431609,588.465121668,0.0,243.2593065,310.10971186,484.30032218,381.838683762,84.9700494144,17.4915890035
 01/02  19:00:00,1258.00277299,97.5950929187,597.83686603,0.0,166.938926447,199.110933808,455.619235798,353.213895003,84.9700494144,17.4352913803
 01/02  20:00:00,1255.37888593,97.5950929187,602.294536374,0.0,166.938926447,191.61365848,426.589351521,361.212771099,56.6466996096,8.72988081226
 01/02  21:00:00,1124.13194678,97.5950929187,605.131573369,0.0,100.150657288,124.558693486,480.503984229,406.4193806,56.6466996096,17.4379040199
 01/02  22:00:00,1085.48294711,97.5950929187,606.097941058,0.0,100.150657288,124.558693486,473.864145246,413.982450648,42.4850247072,17.3966698908
 01/02  23:00:00,1044.54409094,97.5950929187,634.517878307,0.0,46.0930336215,124.558693486,479.990880915,442.962906365,28.3233498048,8.70462474481
 01/02  24:00:00,1035.29610413,97.5950929187,623.860404512,0.0,46.0930336215,124.558693486,479.049834168,447.496265416,14.1616749024,17.3918938494
 01/03  01:00:00,1006.2198045,97.5950929187,606.265235668,0.0,46.0930336215,113.312780494,460.392782291,446.023287242,5.66466996096,8.70482508792
 01/03  02:00:00,1011.09336023,97.5950929187,611.357052728,0.0,46.0930336215,113.312780494,476.379479741,453.3223959,5.66466996096,17.3924138797
