Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,145.943725823,30.7660009333,22.2513163425,0.0,34.4311606118,33.1021868926,110.376640996,0.0,3.33212,107.044520996
 01/01  02:00:00,156.225831878,30.7660009333,32.5571810289,0.0,34.4311606118,33.1021868926,93.1296336885,8.01648930554,3.33212,81.781024383
 01/01  03:00:00,144.028340455,30.7660009333,37.8641910663,0.0,19.466279405,30.610668775,89.3589836726,5.4690211889,3.33212,80.5578424837
 01/01  04:00:00,148.234326347,30.7660009333,42.0780568619,0.0,19.466279405,30.610668775,83.8885763429,0.0,3.33212,80.5564563429
 01/01  05:00:00,170.690281555,31.5634711264,56.2286712613,0.0,19.466279405,30.610668775,111.596988397,0.0869975480478,3.33212,108.177870849
 01/01  06:00:00,182.568573762,32.3609413195,53.8750737803,0.0,19.466279405,30.610668775,139.436622655,0.0,8.3303,131.106322655
 01/01  07:00:00,312.947030863,34.4343638216,108.107387164,0.0,42.6918050922,54.3732441037,212.272091935,0.276819771416,16.6606,195.334672164
 01/01  08:00:00,389.418124535,35.8197298048,147.122999893,0.0,49.3960418185,88.5934452969,362.036625104,18.8850206911,24.9909,318.160704412
 01/01  09:00:00,417.922815856,35.5929194683,143.759870908,0.0,57.6566862989,112.030105488,496.359065124,9.5093225123,33.3212,453.528542612
 01/01  10:00:00,361.29364007,36.0976369999,142.527802421,0.0,50.9524495726,81.1684271793,399.512677781,4.38991536173,66.8089,328.313862419
 01/01  11:00:00,317.96991685,36.1834111046,143.922125502,0.0,42.6918050922,68.9656133826,345.407850317,11.311162476,83.4695,250.627187841
 01/01  12:00:00,313.901335889,36.2195993596,143.041938258,0.0,38.286128036,68.9656133826,293.154317398,12.3233051179,83.4695,197.36151228
 01/01  13:00:00,313.236800981,36.2461578804,142.959350643,0.0,38.286128036,68.9656133826,243.896047485,14.4556062861,83.4695,145.970941199
 01/01  14:00:00,294.431711148,36.2536278364,143.172565921,0.0,31.5818913096,56.727595265,239.588840402,18.4899650473,75.1392,145.959675355
 01/01  15:00:00,292.868729813,36.2838573338,141.553223856,0.0,31.5818913096,56.727595265,226.827838071,14.3980663027,66.8089,145.620871768
 01/01  16:00:00,294.078246963,36.3101789197,143.318615301,0.0,31.5818913096,56.727595265,237.75232764,17.0002272148,75.1392,145.612900425
 01/01  17:00:00,325.29051701,36.0275704612,146.088368669,0.0,31.5818913096,61.661095265,219.370899196,19.1610666834,91.7998,108.410032512
 01/01  18:00:00,369.968275453,35.5519343373,147.035868476,0.0,31.5818913096,70.9729253606,215.479903274,27.5136906576,49.9818,137.984412617
 01/01  19:00:00,430.623020105,35.583480898,145.971401793,0.0,80.3315023541,83.7685254822,235.040633915,22.4724009158,49.9818,162.586432999
 01/01  20:00:00,433.247109446,35.550822092,144.520463439,0.0,102.000620287,77.6748002752,265.980505682,17.0052914198,33.3212,215.654014262
 01/01  21:00:00,452.850227727,35.550822092,143.515884465,0.0,108.704857014,91.4735406516,264.343770502,15.9498775357,33.3212,215.072692966
 01/01  22:00:00,424.45659366,35.5718589786,143.213513178,0.0,95.2963835608,89.1510273009,259.550869077,18.918821829,24.9909,215.641147248
 01/01  23:00:00,371.717321215,35.5752770564,143.690298948,0.0,80.3315023541,63.3799339444,359.533324315,24.58875246,16.6606,318.283971855
 01/01  24:00:00,310.218824979,35.5631955869,146.966173191,0.0,42.6918050922,48.4199368926,219.948332548,31.6393008716,8.3303,179.978731676
 01/02  01:00:00,134.440786075,30.7660009333,22.1822588573,0.0,25.5240853573,30.610668775,111.528873976,0.0,3.33212,108.196753976
 01/02  02:00:00,137.448022835,30.7660009333,32.5789223205,0.0,19.418418834,29.3649097162,83.8051855676,0.0,3.33212,80.4730655676
 01/02  03:00:00,168.679861359,32.3609413195,68.0594579761,0.0,12.7620426787,28.1191506574,83.8850610315,0.0685767841503,3.33212,80.4843642474
 01/02  04:00:00,139.601026008,31.5634711264,40.7835636504,0.0,12.7620426787,28.1191506574,83.8079246449,0.0,3.33212,80.4758046449
 01/02  05:00:00,183.052975786,33.1584115126,74.1005806776,0.0,12.7620426787,28.1191506574,138.974396357,27.4333622593,3.33212,108.208914097
