Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,72.5708475041,13.7839706729,24.2559358129,0.0,4.12243109448,15.9888894789,56.8585569705,53.8668265527,2.97173041782,0.02
 01/02  02:00:00,82.9736527106,19.7354898282,28.5217525628,0.0,4.12243109448,15.9888894789,93.2110946669,90.2193642491,2.97173041782,0.02
 01/02  03:00:00,70.1555457273,12.8869029535,22.7608854828,0.0,4.12243109448,15.9888894789,55.4257841542,52.4340537364,2.97173041782,0.02
 01/02  04:00:00,87.6397374469,19.8009398662,33.1455709752,0.0,4.12243109448,15.9888894789,85.6282544971,82.6365240792,2.97173041782,0.02
 01/02  05:00:00,120.084957302,28.2245557987,39.7611743374,0.0,12.3672932834,24.9413748627,111.0902478,106.11736377,4.9528840297,0.02
 01/02  06:00:00,135.103686254,29.2468159029,43.0981039855,10.6595392084,12.3672932834,24.9413748627,182.616393316,177.643509286,4.9528840297,0.02
 01/02  07:00:00,190.039392231,29.7586449879,43.046010527,6.99002855917,24.7345865669,70.7195625826,149.312255188,139.386487129,9.90576805939,0.02
 01/02  08:00:00,214.899598235,30.1170408881,50.7569110416,3.83368429312,37.1018798503,92.3937384068,129.849570487,119.923802428,9.90576805939,0.02
 01/02  09:00:00,232.397001936,30.2351375032,57.4843070461,2.4423518481,37.1018798503,104.434947198,122.596259988,112.670491929,9.90576805939,0.02
 01/02  10:00:00,248.149814434,30.6077948276,62.4320262047,0.833131336791,37.1018798503,116.476155989,123.247179919,104.717450233,9.90576805939,8.62396162643
 01/02  11:00:00,257.192680581,31.180354125,71.4257386514,0.309205352967,37.1018798503,116.476155989,107.623935336,97.6981672764,9.90576805939,0.02
 01/02  12:00:00,262.208797576,31.7018145572,76.0129770562,0.216381539501,37.1018798503,116.476155989,102.834994161,92.909226102,9.90576805939,0.02
 01/02  13:00:00,250.42945759,32.0519075284,76.0067272408,0.134946113729,37.1018798503,104.434947198,108.675339483,90.1441761591,9.90576805939,8.62539526464
 01/02  14:00:00,264.478409577,32.1153316973,78.0357832041,0.049707976714,37.1018798503,116.476155989,99.6600873179,89.7343192585,9.90576805939,0.02
 01/02  15:00:00,263.727459623,32.0616116847,77.3883861109,0.0,37.1018798503,116.476155989,108.544843085,90.011119975,9.90576805939,8.62795505108
 01/02  16:00:00,259.821236543,31.8190212958,73.7250338469,0.0,37.1018798503,116.476155989,101.185462372,91.2596943129,9.90576805939,0.02
 01/02  17:00:00,254.952607353,31.6474993695,68.9919144042,0.0365207519299,37.1018798503,116.476155989,101.562448405,91.6366803451,9.90576805939,0.02
 01/02  18:00:00,264.399697088,31.2915919942,64.5911309875,0.146365520169,37.1018798503,116.476155989,103.815968798,93.890200739,9.90576805939,0.02
 01/02  19:00:00,166.073587027,28.4651852381,50.5035571046,0.0,24.7345865669,47.5788473902,84.0405355727,70.4800621621,4.9528840297,8.60758938082
 01/02  20:00:00,167.639075871,28.990194924,51.5440520338,0.0,24.7345865669,47.5788473902,81.3000251706,76.3271411409,4.9528840297,0.02
 01/02  21:00:00,137.851216152,27.7870477271,44.2162802421,0.0,12.3672932834,38.6892022431,95.2111802249,92.2194498071,2.97173041782,0.02
 01/02  22:00:00,95.0633044483,15.1405980403,26.0221815804,0.0,12.3672932834,27.0668015668,59.7885852947,56.7968548769,2.97173041782,0.02
 01/02  23:00:00,86.3818699876,20.6105059714,31.0549535757,0.0,4.12243109448,15.9888894789,85.4290168522,82.4372864343,2.97173041782,0.02
 01/02  24:00:00,64.8382226198,12.5589480725,17.7483334248,0.0,4.12243109448,15.9888894789,58.3235537484,55.3318233306,2.97173041782,0.02
 01/03  01:00:00,91.6578821223,20.9021780191,36.0392935964,0.0,4.12243109448,15.9888894789,92.3905513631,89.3988209452,2.97173041782,0.02
 01/03  02:00:00,65.8300713044,12.5589480725,18.7401820357,0.0,4.12243109448,15.9888894789,59.811954969,56.8202245512,2.97173041782,0.02
