Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.6425608874,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.632162816,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.6325301302,0.0,0.0,0.0,15.863942322,29.242365,6.08813077475,0.0,3.20568,2.88245077475
 01/01  04:00:00,55.6372825077,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.8780818299,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.8612539619,0.0,0.0,0.0,15.863942322,29.242365,6.08809643773,0.0,3.20568,2.88241643773
 01/01  07:00:00,55.8687719787,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,47.2213511406,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.2310894059,0.0,0.0,0.0,15.863942322,29.242365,6.08939771073,0.0,3.20568,2.88371771073
 01/01  10:00:00,47.2531033285,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.2647719147,0.0,0.0,0.0,15.863942322,29.242365,6.08948696035,0.0,3.20568,2.88380696035
 01/01  12:00:00,47.9744454803,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.2952265981,0.0,0.0,0.0,15.863942322,29.242365,6.08937633024,0.0,3.20568,2.88369633024
 01/01  14:00:00,47.3348233128,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.3509493636,0.0,0.0,0.0,15.863942322,29.242365,6.08812983409,0.0,3.20568,2.88244983409
 01/01  16:00:00,47.3218688184,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,47.2014260876,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.7591771057,0.0,0.0,0.0,15.863942322,29.242365,6.08816223144,0.0,3.20568,2.88248223144
 01/01  19:00:00,55.7506008526,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.9953388182,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.9770601976,0.0,0.0,0.0,15.863942322,29.242365,6.0881281638,0.0,3.20568,2.8824481638
 01/01  22:00:00,55.8405215234,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.6612788887,0.0,0.0,0.0,15.863942322,29.242365,6.08809410305,0.0,3.20568,2.88241410305
 01/01  24:00:00,56.3347942066,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
