Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.8550558811,2.20989601108,0.0,0.0,1.85583932782,5.577,6.13830361041,1.39859428118,3.0011,1.73860932923
 01/01  02:00:00,9.77434455329,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.801990984,0.0,0.0,0.0,0.618613109274,5.0,3.59317493729,0.0,3.0011,0.592074937288
 01/01  04:00:00,9.81739671705,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.98233730484,0.0,0.0,0.0,0.618613109274,5.0,3.59318083613,0.0,3.0011,0.592080836125
 01/01  06:00:00,14.0136953302,2.20989601108,0.0,0.0,1.85583932782,5.577,6.87163956102,2.34998956102,4.50165,0.02
 01/01  07:00:00,28.4911912642,2.20989601108,0.0,0.0,3.71167865564,18.077,14.6700456065,0.0,13.50495,1.16509560647
 01/01  08:00:00,25.9374704844,2.20989601108,0.0121059081548,0.0,3.71167865564,18.077,22.7453356866,0.0,21.0077,1.73763568655
 01/01  09:00:00,20.9380241456,2.20989601108,0.0,0.0,3.71167865564,13.077,16.1707161491,0.0,15.0055,1.16521614914
 01/01  10:00:00,20.9615265426,2.20989601108,0.0,0.0,3.71167865564,13.077,16.1707043706,0.0,15.0055,1.16520437062
 01/01  11:00:00,25.9887299018,2.20989601108,0.0,0.0,3.71167865564,18.077,36.4750879191,0.0,33.0121,3.46298791907
 01/01  12:00:00,28.0500455182,2.20989601108,0.91580459126,0.0,3.71167865564,18.077,44.5515163193,0.0,40.51485,4.03666631929
 01/01  13:00:00,27.7727048642,2.20989601108,1.43481587782,0.0,3.71167865564,18.077,38.9003432466,0.0,36.0132,2.88714324661
 01/01  14:00:00,27.4378757916,2.20989601108,1.37089089564,0.0,3.71167865564,18.077,34.3989293637,0.0,31.51155,2.88737936371
 01/01  15:00:00,22.1705430822,2.20989601108,1.10418128369,0.0,3.71167865564,13.077,23.3200955317,0.0,21.0077,2.31239553174
 01/01  16:00:00,21.4797802954,2.20989601108,0.431634996254,0.0,3.71167865564,13.077,21.8196391473,0.0,19.50715,2.3124891473
 01/01  17:00:00,20.9604210601,2.20989601108,0.0,0.0,3.71167865564,13.077,24.8208630192,0.0,22.50825,2.31261301918
 01/01  18:00:00,28.4471050314,2.20989601108,0.0,0.0,3.71167865564,18.077,28.3967113891,0.0,25.50935,2.88736138912
 01/01  19:00:00,28.4527331217,2.20989601108,0.00974151752591,0.0,3.71167865564,18.077,28.9719189861,0.0,25.50935,3.46256898609
 01/01  20:00:00,28.609202975,2.20989601108,0.0,0.0,3.71167865564,18.077,29.545610767,0.0,25.50935,4.03626076705
 01/01  21:00:00,23.5915762274,2.20989601108,0.0,0.0,3.71167865564,13.077,25.3952468922,0.0,22.50825,2.88699689216
 01/01  22:00:00,23.5044271884,2.20989601108,0.0,0.0,3.71167865564,13.077,24.4698912142,0.0,21.0077,3.46219121418
 01/01  23:00:00,23.3813909609,2.20989601108,0.0,0.0,3.71167865564,13.077,20.8932306236,0.0,18.0066,2.88663062361
 01/01  24:00:00,24.5053797288,2.20989601108,0.0,0.0,3.71167865564,13.077,4.76828100749,0.0292444454163,3.0011,1.73793656207
 01/02  01:00:00,14.0679456338,2.20989601108,0.0,0.0,1.85583932782,5.577,6.12553201942,1.38643384733,3.0011,1.73799817208
 01/02  02:00:00,9.77757915924,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.81323022811,0.0,0.0,0.0,0.618613109274,5.0,3.59318319953,0.0,3.0011,0.592083199534
 01/02  04:00:00,9.83101053062,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.95936086989,0.0,0.0,0.0,0.618613109274,5.0,3.59318908525,0.0,3.0011,0.592089085255
 01/02  06:00:00,13.9408047426,2.20989601108,0.0,0.0,1.85583932782,5.577,11.0489602701,6.52731027015,4.50165,0.02
 01/02  07:00:00,28.4167980579,2.20989601108,0.0,0.0,3.71167865564,18.077,18.2124653024,3.54229750035,13.50495,1.16521780209
 01/02  08:00:00,25.908597336,2.20989601108,0.016464660067,0.0,3.71167865564,18.077,25.7283617935,0.106942696151,21.0077,4.61371909739
 01/02  09:00:00,20.946119494,2.20989601108,0.0,0.0,3.71167865564,13.077,19.0434030648,0.0,15.0055,4.0379030648
 01/02  10:00:00,21.0261716833,2.20989601108,0.0347020248752,0.0,3.71167865564,13.077,18.4677593136,0.0,15.0055,3.46225931356
 01/02  11:00:00,27.1000985714,2.20989601108,1.05374712225,0.0,3.71167865564,18.077,35.899503144,0.0,33.0121,2.88740314401
 01/02  12:00:00,29.1365411673,2.20989601108,1.97258354659,0.0,3.71167865564,18.077,43.9766586352,0.0,40.51485,3.46180863525
 01/02  13:00:00,28.8666743401,2.20989601108,2.50668677651,0.0,3.71167865564,18.077,38.9007265803,0.0,36.0132,2.88752658028
 01/02  14:00:00,28.5868295751,2.20989601108,2.49786961813,0.0,3.71167865564,18.077,33.8243449705,0.0,31.51155,2.31279497045
 01/02  15:00:00,22.7690748726,2.20989601108,1.68419608352,0.0,3.71167865564,13.077,23.3201622441,0.0,21.0077,2.31246224411
 01/02  16:00:00,22.0531736316,2.20989601108,0.98273010336,0.0,3.71167865564,13.077,21.8195906228,0.0,19.50715,2.31244062281
 01/02  17:00:00,21.4978915683,2.20989601108,0.494559788867,0.0,3.71167865564,13.077,24.8206674886,0.0,22.50825,2.31241748864
 01/02  18:00:00,28.9611079268,2.20989601108,0.48955613569,0.0,3.71167865564,18.077,28.3965444665,0.0,25.50935,2.88719446647
 01/02  19:00:00,28.8670795932,2.20989601108,0.400607734632,0.0,3.71167865564,18.077,29.5465625618,0.0,25.50935,4.03721256179
 01/02  20:00:00,28.7557749448,2.20989601108,0.133605787887,0.0,3.71167865564,18.077,30.12257061,0.0,25.50935,4.61322061003
 01/02  21:00:00,23.5950918747,2.20989601108,0.0,0.0,3.71167865564,13.077,25.9707240405,0.0,22.50825,3.46247404051
 01/02  22:00:00,23.5073515868,2.20989601108,0.0,0.0,3.71167865564,13.077,25.045309106,0.0,21.0077,4.03760910597
 01/02  23:00:00,23.3449860355,2.20989601108,0.0,0.0,3.71167865564,13.077,21.5860348421,0.117754988869,18.0066,3.46167985328
 01/02  24:00:00,24.4909231946,2.20989601108,0.0,0.0,3.71167865564,13.077,4.73948823306,0.0,3.0011,1.73838823306
 01/03  01:00:00,14.0969719245,2.20989601108,0.0,0.0,1.85583932782,5.577,4.83230047498,0.0930729189265,3.0011,1.73812755605
 01/03  02:00:00,9.7915163647,0.0,0.0,0.0,0.618613109274,5.0,3.59317384258,0.0,3.0011,0.592073842584
 01/03  03:00:00,9.81225631183,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.82234992471,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  05:00:00,10.5625243787,0.0,0.0,0.0,0.618613109274,5.0,3.59317974316,0.0,3.0011,0.59207974316
 01/03  06:00:00,14.5903675392,2.20989601108,0.0,0.0,1.85583932782,5.577,6.73069343577,2.20904343577,4.50165,0.02
 01/03  07:00:00,28.7579877941,2.20989601108,0.0,0.0,3.71167865564,18.077,15.2425960834,0.0,13.50495,1.73764608335
 01/03  08:00:00,25.9402474495,2.20989601108,0.00860616329078,0.0,3.71167865564,18.077,25.0472343911,0.0,21.0077,4.03953439108
 01/03  09:00:00,20.9489825751,2.20989601108,0.0,0.0,3.71167865564,13.077,19.0434337197,0.0,15.0055,4.03793371965
 01/03  10:00:00,21.0214401993,2.20989601108,0.0265132682746,0.0,3.71167865564,13.077,18.4676007708,0.0,15.0055,3.46210077085
 01/03  11:00:00,26.8916947328,2.20989601108,0.850518461203,0.0,3.71167865564,18.077,35.8996638264,0.0,33.0121,2.88756382637
 01/03  12:00:00,28.7505103948,2.20989601108,1.59694764059,0.0,3.71167865564,18.077,43.9764815176,0.0,40.51485,3.46163151762
 01/03  13:00:00,28.4082596869,2.20989601108,2.05496863187,0.0,3.71167865564,18.077,38.9000698668,0.0,36.0132,2.88686986682
 01/03  14:00:00,28.1511665006,2.20989601108,2.07190709527,0.0,3.71167865564,18.077,33.8243446339,0.0,31.51155,2.3127946339
 01/03  15:00:00,22.6547962609,2.20989601108,1.57526772772,0.0,3.71167865564,13.077,23.3204360737,0.0,21.0077,2.3127360737
 01/03  16:00:00,22.210328642,2.20989601108,1.14019786054,0.0,3.71167865564,13.077,21.8198681187,0.0,19.50715,2.31271811869
 01/03  17:00:00,21.8051836306,2.20989601108,0.797382348442,0.0,3.71167865564,13.077,24.8209518872,0.0,22.50825,2.31270188725
 01/03  18:00:00,29.1328578139,2.20989601108,0.652627480238,0.0,3.71167865564,18.077,28.9703218115,0.0,25.50935,3.46097181147
 01/03  19:00:00,28.880881738,2.20989601108,0.413317809111,0.0,3.71167865564,18.077,29.546786992,0.0,25.50935,4.03743699204
 01/03  20:00:00,28.5661677119,2.20989601108,0.111225796756,0.0,3.71167865564,18.077,29.5488487165,0.0,25.50935,4.03949871648
 01/03  21:00:00,23.423592277,2.20989601108,0.0,0.0,3.71167865564,13.077,26.0004315445,0.0297625321251,22.50825,3.46241901238
 01/03  22:00:00,23.3362541366,2.20989601108,0.0,0.0,3.71167865564,13.077,25.0702773451,0.0249423991292,21.0077,4.03763494595
 01/03  23:00:00,23.3246391286,2.20989601108,0.0,0.0,3.71167865564,13.077,21.4679644225,0.0,18.0066,3.46136442245
 01/03  24:00:00,24.4864974484,2.20989601108,0.0,0.0,3.71167865564,13.077,5.3119850774,0.0,3.0011,2.3108850774
 01/04  01:00:00,14.0364752114,2.20989601108,0.0,0.0,1.85583932782,5.577,7.26239333328,3.09604457641,3.0011,1.16524875687
 01/04  02:00:00,9.75282777036,0.0,0.0,0.0,0.618613109274,5.0,3.5931896681,0.0,3.0011,0.592089668098
 01/04  03:00:00,9.79497750453,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  04:00:00,9.80108861439,0.0,0.0,0.0,0.618613109274,5.0,3.59316973405,0.0,3.0011,0.592069734055
 01/04  05:00:00,9.9619463438,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  06:00:00,13.9854930535,2.20989601108,0.0,0.0,1.85583932782,5.577,8.86135737707,3.7676317377,4.50165,0.592075639374
 01/04  07:00:00,28.4637540419,2.20989601108,0.0,0.0,3.71167865564,18.077,15.448970839,0.77902420445,13.50495,1.16499663455
 01/04  08:00:00,25.9274717602,2.20989601108,0.0121495580791,0.0,3.71167865564,18.077,25.0460380983,0.0,21.0077,4.03833809833
 01/04  09:00:00,20.9350786172,2.20989601108,0.0,0.0,3.71167865564,13.077,19.0437717041,0.0,15.0055,4.03827170413
 01/04  10:00:00,20.9120682252,2.20989601108,0.0,0.0,3.71167865564,13.077,18.4673894891,0.0,15.0055,3.46188948908
 01/04  11:00:00,26.0914710532,2.20989601108,0.131741351348,0.0,3.71167865564,18.077,35.8996018012,0.0,33.0121,2.88750180123
 01/04  12:00:00,28.291813285,2.20989601108,1.15363744644,0.0,3.71167865564,18.077,43.9762826842,0.0,40.51485,3.4614326842
 01/04  13:00:00,28.5070284149,2.20989601108,2.16138571162,0.0,3.71167865564,18.077,38.9009031556,0.0,36.0132,2.8877031556
 01/04  14:00:00,28.3139217818,2.20989601108,2.23185494516,0.0,3.71167865564,18.077,34.3980637181,0.0,31.51155,2.88651371807
 01/04  15:00:00,22.7333736492,2.20989601108,1.64264890648,0.0,3.71167865564,13.077,23.3202504592,0.0,21.0077,2.31255045922
 01/04  16:00:00,22.4001026726,2.20989601108,1.31487812602,0.0,3.71167865564,13.077,21.818787563,0.0,19.50715,2.31163756298
 01/04  17:00:00,21.9604027823,2.20989601108,0.912458105364,0.0,3.71167865564,13.077,24.8209422814,0.0,22.50825,2.31269228137
 01/04  18:00:00,29.1855651105,2.20989601108,0.694400627254,0.0,3.71167865564,18.077,28.3967250024,0.0,25.50935,2.88737500242
 01/04  19:00:00,28.8012048019,2.20989601108,0.334160446767,0.0,3.71167865564,18.077,29.5470551546,0.0,25.50935,4.03770515459
 01/04  20:00:00,28.9774061297,2.20989601108,0.341289924027,0.0,3.71167865564,18.077,29.5476397615,0.0,25.50935,4.03828976153
 01/04  21:00:00,23.9327278008,2.20989601108,0.296820060996,0.0,3.71167865564,13.077,26.544339777,0.0,22.50825,4.03608977697
 01/04  22:00:00,23.635618009,2.20989601108,0.0908927938722,0.0,3.71167865564,13.077,25.0452753964,0.0,21.0077,4.03757539636
 01/04  23:00:00,23.4120315077,2.20989601108,0.0,0.0,3.71167865564,13.077,20.8938697739,0.0,18.0066,2.88726977386
 01/04  24:00:00,24.551679346,2.20989601108,0.0,0.0,3.71167865564,13.077,5.31258111941,0.0,3.0011,2.31148111941
 01/05  01:00:00,14.1329471276,2.20989601108,0.0,0.0,1.85583932782,5.577,4.76334450791,0.0242143628215,3.0011,1.73803014509
 01/05  02:00:00,9.82567734363,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/05  03:00:00,9.84892861178,0.0,0.0,0.0,0.618613109274,5.0,3.59315987808,0.0,3.0011,0.592059878078
