Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.953177609,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.934018596,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.937336504,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,117.949255725,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.432587973,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.400438662,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  07:00:00,118.416687025,0.0,0.0,0.0,43.513341876,52.539744,13.4431462542,0.0,4.83426,8.60888625417
 01/01  08:00:00,100.343439419,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,100.364152366,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.407307121,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.429079319,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,101.304304148,0.0,0.0,0.0,43.513341876,52.539744,13.4506332835,0.0,4.83426,8.6163732835
 01/01  13:00:00,100.483250332,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.5563839,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.582335772,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.518987841,0.0,0.0,0.0,43.513341876,52.539744,13.4445973117,0.0,4.83426,8.61033731166
 01/01  17:00:00,100.27333616,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,118.163265903,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,118.146632906,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.639065298,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.606394589,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,118.340673819,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.986090054,0.0,0.0,0.0,43.513341876,52.539744,13.4446101948,0.0,4.83426,8.61035019481
 01/01  24:00:00,118.811635567,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,117.955297432,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  02:00:00,117.955214721,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,117.972145498,0.0,0.0,0.0,43.513341876,52.539744,13.4506707592,0.0,4.83426,8.61641075915
 01/02  04:00:00,117.984574334,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,118.383404496,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  06:00:00,118.283325579,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  07:00:00,230.748656711,73.1290748433,35.1892336693,0.0,43.513341876,53.238744,396.199351179,382.74885044,4.83426,8.61624073963
 01/02  08:00:00,508.348477941,73.1290748433,152.390304127,0.0,220.879908,53.238744,252.378847535,230.04488671,4.83426,17.4997008244
 01/02  09:00:00,803.019192266,73.2789699439,353.092024743,0.0,220.879908,145.652643033,89.7189903246,27.0649009487,36.25695,26.3971393759
 01/02  10:00:00,954.766963466,74.9685963653,502.025035861,0.0,220.879908,145.652643033,72.0268403078,0.251965417073,36.25695,35.5179248908
 01/02  11:00:00,1086.77481886,77.8526427618,624.006784948,0.0,220.879908,151.653867033,83.9004846064,0.0,48.3426,35.5578846064
 01/02  12:00:00,1108.58597524,80.5488432911,641.978872528,0.0,220.879908,151.653867033,84.0098688605,0.0,48.3426,35.6672688605
 01/02  13:00:00,1110.36286183,82.3051908542,642.982093823,0.0,220.879908,151.653867033,93.0337250439,0.0,48.3426,44.6911250439
 01/02  14:00:00,1110.29622447,82.4552359562,648.608900891,0.0,220.879908,145.652643033,68.9397169097,0.0102640683396,24.1713,44.7581528414
 01/02  15:00:00,1107.13569106,82.3591500898,645.605372835,0.0,220.879908,145.652643033,59.6945997989,0.0,24.1713,35.5232997989
 01/02  16:00:00,1095.00719931,81.0843843383,642.877196147,0.0,220.879908,137.835547516,40.4138323773,0.0,4.83426,35.5795723773
