Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,44.0805884349,6.25623654495,7.25836182675,0.0,12.925468867,10.100111941,1.92700080113,1.90700080113,0.0,0.02
 01/01  02:00:00,42.9009200289,6.15908663999,6.17693645707,0.0,12.925468867,10.100111941,8.81167001663,3.0559781667,0.0,5.75569184993
 01/01  03:00:00,37.2176982231,6.05192991868,5.21991449749,0.0,8.34152022915,10.0650221343,2.94829061942,2.92829061942,0.0,0.02
 01/01  04:00:00,36.8010631215,6.01034586648,4.84485461149,0.0,8.34152022915,10.0650221343,8.32748347741,2.57155504372,0.0,5.7559284337
 01/01  05:00:00,38.0853072746,5.97776841371,4.55508042742,0.0,8.34152022915,11.6705166398,2.77586665161,2.75586665161,0.0,0.02
 01/01  06:00:00,42.1093438442,5.95235717233,4.44623289546,0.0,8.80141237637,15.3678112995,8.17366096077,2.4077705072,0.0,5.76589045358
 01/01  07:00:00,63.854471141,6.12489133365,6.0422497461,0.0,18.5082010057,25.6353820695,7.95507115247,2.17899620995,0.0,5.77607494252
 01/01  08:00:00,76.3510668093,6.4955806088,9.2494459032,0.0,19.4926561212,41.1001056674,13.2608815906,1.6794293855,0.0,11.5814522051
 01/01  09:00:00,106.584655116,6.98764384854,15.2336421399,0.0,26.3286599382,57.9988325916,29.4444685611,0.0,0.0,29.4444685611
 01/01  10:00:00,91.5355754369,6.74932207828,15.6962300612,0.0,26.2443270014,42.8153538416,47.3328557893,0.0,18.025,29.3078557893
 01/01  11:00:00,65.3084116188,6.43564282831,13.6573189192,0.0,21.7447113004,23.4437158914,41.4177543637,0.0,18.025,23.3927543637
 01/01  12:00:00,64.2973355357,6.52656481676,14.957330417,0.0,19.3449162599,23.4437158914,35.5430911679,0.0,18.025,17.5180911679
 01/01  13:00:00,64.8354989086,6.51373079918,15.366132781,0.0,19.190480192,23.7425572507,35.5064522194,0.0,18.025,17.4814522194
 01/01  14:00:00,64.9653212921,6.51114718669,15.47242061,0.0,19.260583323,23.698576057,41.3291401592,0.0,18.025,23.3041401592
 01/01  15:00:00,66.5810915872,6.64342656063,16.9559109053,0.0,19.260583323,23.698576057,35.5099193996,0.0,18.025,17.4849193996
 01/01  16:00:00,64.4642388438,6.56819402307,15.2042385523,0.0,19.260583323,23.4086260847,35.511257719,0.0,18.025,17.486257719
 01/01  17:00:00,66.1929954275,6.43021024378,12.6196662521,0.0,19.260583323,27.8781056672,23.7845865222,0.0,18.025,5.75958652221
 01/01  18:00:00,80.5714977181,6.50141638227,10.7685017441,0.0,18.1807569449,37.5792895564,5.7657047282,0.0,0.0,5.7657047282
 01/01  19:00:00,96.0451790717,6.74785564071,12.1021778165,0.0,32.6059821062,37.0465235296,5.78132541635,0.01064373079,0.0,5.77068168556
 01/01  20:00:00,97.6930359385,6.92335086184,13.3434748929,0.0,36.8143715336,33.066984531,6.03758319737,0.257028441128,0.0,5.78055475624
 01/01  21:00:00,104.786762458,7.14133072588,14.8597213377,0.0,36.43363367,38.8072253906,6.41985232811,0.640140766964,0.0,5.77971156114
 01/01  22:00:00,102.423639706,7.15808060696,14.8365559759,0.0,36.0963922311,36.7877557581,12.3231585573,0.781637407784,0.0,11.5415211495
 01/01  23:00:00,77.7570063989,6.77868371797,11.8694881601,0.0,30.9507766546,20.6087787026,6.69039738502,0.889660407038,0.0,5.80073697798
 01/01  24:00:00,51.6873928664,6.38748138518,8.62547161092,0.0,17.4250845679,11.7056064465,12.9225997438,1.39054928402,0.0,11.5320504598
 01/02  01:00:00,42.5992483368,6.23969787656,7.11286418231,0.0,11.6412384099,10.0650221343,1.91897910471,1.89897910471,0.0,0.02
 01/02  02:00:00,39.9228201825,6.13876431586,6.09805368217,0.0,10.0992000411,10.047477231,7.90427489618,2.14851208984,0.0,5.75576280634
 01/02  03:00:00,37.4843492608,6.07713355285,5.58077661946,0.0,8.25718729233,10.0299323277,1.5537082981,1.5337082981,0.0,0.02
 01/02  04:00:00,37.2165616633,6.04939963961,5.34071808484,0.0,8.25718729233,10.0299323277,6.97868428246,1.22329435751,0.0,5.75538992495
 01/02  05:00:00,37.3415607172,5.93360546156,3.97491160694,0.0,8.25718729233,11.6354268332,10.806830757,5.04623426498,0.0,5.76059649198
 01/02  06:00:00,44.4352650206,5.8982888721,3.52428253281,0.0,12.1011305571,15.3678112995,12.6701748976,6.8942375133,0.0,5.77593738426
 01/02  07:00:00,78.4679841714,6.39148181466,7.53555773264,0.0,19.7275818095,37.2640762949,17.7533212337,6.1717875106,0.0,11.5815337231
 01/02  08:00:00,93.9930787929,6.83375800026,11.5502764749,0.0,24.3117294858,51.2795993405,14.4035629345,2.78055873868,0.0,11.6230041958
 01/02  09:00:00,82.1047845732,6.45575410568,11.3150121032,0.0,23.6694662846,40.6342015617,29.3152328039,0.0,0.0,29.3152328039
 01/02  10:00:00,82.0158303018,6.69026450466,15.9988546758,0.0,23.6694662846,35.6302164847,35.5743644669,0.0,18.025,17.5493644669
 01/02  11:00:00,67.1682274246,6.75935506,18.6788424065,0.0,18.7433767983,22.9618409725,41.3771838284,0.0,18.025,23.3521838284
 01/02  12:00:00,69.8607850602,6.95672783316,21.1762414723,0.0,18.7433767983,22.9618409725,35.5129610062,0.0,18.025,17.4879610062
 01/02  13:00:00,70.7704159482,7.03296854325,21.9661819006,0.0,18.5889407304,23.1597249699,35.5076362971,0.0,18.025,17.4826362971
 01/02  14:00:00,71.297620802,7.00578548913,22.2740712272,0.0,18.7433767983,23.2517909448,41.3309867365,0.0,18.025,23.3059867365
 01/02  15:00:00,70.3502787912,6.9331445771,21.3993683569,0.0,18.7433767983,23.2517909448,35.5113715865,0.0,18.025,17.4863715865
 01/02  16:00:00,67.6439165138,6.81700468268,19.0990940457,0.0,18.7433767983,22.9618409725,35.5068678883,0.0,18.025,17.4818678883
 01/02  17:00:00,69.5470547334,6.73111843925,16.6368081881,0.0,18.7433767983,27.431320555,23.7857722931,0.0,18.025,5.7607722931
 01/02  18:00:00,86.8045124419,6.82315126147,14.0780175062,0.0,17.6635504202,40.6971502883,5.77089080242,0.0,0.0,5.77089080242
 01/02  19:00:00,93.3996037956,6.92312042588,14.0683964722,0.0,27.5259009287,37.3340067412,11.5922066975,0.0205986625965,0.0,11.5716080349
 01/02  20:00:00,96.3221958645,7.01818754363,14.5705707576,0.0,33.8341110165,33.3544677425,5.78081022747,0.0,0.0,5.78081022747
 01/02  21:00:00,105.779836031,7.22084550062,15.6713971926,0.0,36.5179666069,38.8247702939,6.123686895,0.343724768179,0.0,5.77996212682
 01/02  22:00:00,100.476785721,7.26702703975,15.8371950651,0.0,32.965339924,36.8579353714,12.0999360742,0.51726713939,0.0,11.5826689348
 01/02  23:00:00,72.1839443644,6.76677607818,11.5917597679,0.0,25.6355707503,20.6438685092,13.6327092498,2.08067026093,0.0,11.5520389889
 01/02  24:00:00,49.3350705867,6.40356543717,8.65907401852,0.0,15.0252895274,11.7056064465,7.35585644813,1.58995551423,0.0,5.7659009339
 01/03  01:00:00,43.3326644213,6.30146433859,7.78450990209,0.0,11.6412384099,10.0650221343,0.90853131821,0.88853131821,0.0,0.02
 01/03  02:00:00,40.6018991249,6.19923897655,6.71665551656,0.0,10.0992000411,10.047477231,7.14691354117,1.39105554881,0.0,5.75585799236
 01/03  03:00:00,37.7491751122,6.10885136881,5.81388379093,0.0,8.25718729233,10.0299323277,1.73538003677,1.71538003677,0.0,0.02
 01/03  04:00:00,37.2048570517,6.05933372825,5.31907645026,0.0,8.25718729233,10.0299323277,7.72735683365,1.97186633682,0.0,5.75549049683
 01/03  05:00:00,38.4176455227,6.02043267527,4.96416849765,0.0,8.25718729233,11.6354268332,2.29764455215,2.27764455215,0.0,0.02
 01/03  06:00:00,46.2922743324,6.04554523897,5.23402958572,0.0,12.1011305571,15.3678112995,13.4511151094,1.91890500508,0.0,11.5322101043
 01/03  07:00:00,80.7108567056,6.58150797869,9.58839695442,0.0,19.7275818095,37.2640762949,13.3616289926,1.7803910039,0.0,11.5812379887
 01/03  08:00:00,95.3789567092,6.95451496304,12.8153878924,0.0,24.3117294858,51.2795993405,13.1066293812,1.48315201938,0.0,11.6234773618
 01/03  09:00:00,82.871008058,6.52105374144,12.0159292354,0.0,23.6694662846,40.6342015617,26.1471948271,0.0,0.0,26.1471948271
 01/03  10:00:00,82.3472778754,6.71019680443,16.3103663962,0.0,23.6694662846,35.6302164847,38.736615524,0.0,18.025,20.711615524
 01/03  11:00:00,66.786314726,6.74680977408,18.3094700817,0.0,18.7433767983,22.9618409725,41.3777182215,0.0,18.025,23.3527182215
 01/03  12:00:00,67.2602616907,6.7653614665,18.7670821975,0.0,18.7433767983,22.9618409725,35.511229283,0.0,18.025,17.486229283
 01/03  13:00:00,67.0165015483,6.69492149636,18.5503116292,0.0,18.5889407304,23.1597249699,35.5066862602,0.0,18.025,17.4816862602
 01/03  14:00:00,67.7055033015,6.7186691838,18.9690674216,0.0,18.7433767983,23.2517909448,41.3297788233,0.0,18.025,23.3047788233
 01/03  15:00:00,68.8991655791,6.81655963162,20.0648387276,0.0,18.7433767983,23.2517909448,35.5105182759,0.0,18.025,17.4855182759
 01/03  16:00:00,68.3493396531,6.86537399109,19.7561460723,0.0,18.7433767983,22.9618409725,35.5099791622,0.0,18.025,17.4849791622
 01/03  17:00:00,70.8011294677,6.80936786442,17.8126293889,0.0,18.7433767983,27.431320555,23.7858025472,0.0,18.025,5.76080254723
 01/03  18:00:00,87.467132048,6.85884644435,14.7049368012,0.0,17.6635504202,40.6971502883,5.77092519921,0.0,0.0,5.77092519921
 01/03  19:00:00,93.3026889018,6.91162001114,13.9829746012,0.0,27.5259009287,37.3340067412,11.5812587179,0.00944291143163,0.0,11.5718158065
 01/03  20:00:00,95.9006535461,6.97660869116,14.1906006094,0.0,33.8341110165,33.3544677425,5.78054561371,0.0,0.0,5.78054561371
 01/03  21:00:00,104.73637638,7.13209235311,14.7166855766,0.0,36.5179666069,38.8247702939,6.57557422311,0.79586731935,0.0,5.77970690376
 01/03  22:00:00,98.4490938289,7.09614346504,13.9803798301,0.0,32.965339924,36.8579353714,13.7975203794,2.21496653689,0.0,11.5825538425
 01/03  23:00:00,71.159549871,6.66722602916,10.6669103652,0.0,25.6355707503,20.6438685092,13.537171652,1.98577519058,0.0,11.5513964614
 01/03  24:00:00,48.4761977938,6.31695687809,7.88680756784,0.0,15.0252895274,11.7056064465,1.54016768284,1.52016768284,0.0,0.02
 01/04  01:00:00,41.4993076081,6.14674931439,6.10586438445,0.0,11.6412384099,10.0650221343,9.01936636924,3.25838294204,0.0,5.7609834272
 01/04  02:00:00,39.1513883449,6.07402230204,5.39135993326,0.0,10.0992000411,10.047477231,8.59834952303,2.84244186111,0.0,5.75590766192
 01/04  03:00:00,36.8257795759,6.02182407451,4.97751369671,0.0,8.25718729233,10.0299323277,2.00159772804,1.98159772804,0.0,0.02
 01/04  04:00:00,36.1277997609,5.96315677201,4.33819439585,0.0,8.25718729233,10.0299323277,8.94909750383,3.19324737016,0.0,5.75585013367
 01/04  05:00:00,37.2939933998,5.92430341902,3.9366442924,0.0,8.25718729233,11.6354268332,4.01295067296,3.99295067296,0.0,0.02
 01/04  06:00:00,45.2030991807,5.95168971842,4.23870568644,0.0,12.1011305571,15.3678112995,15.0134807622,3.48130669986,0.0,11.5321740624
 01/04  07:00:00,79.557567331,6.48058115514,8.53602633377,0.0,19.7275818095,37.2640762949,14.6138509148,3.03292953072,0.0,11.5809213841
 01/04  08:00:00,94.8344679989,6.90848759458,12.3169164567,0.0,24.3117294858,51.2795993405,13.3566505983,1.73294844116,0.0,11.6237021572
 01/04  09:00:00,82.9221332542,6.55251453461,12.0355878795,0.0,23.6694662846,40.6342015617,23.4579757392,0.0,0.0,23.4579757392
 01/04  10:00:00,79.8331118351,6.57125623053,13.9351345194,0.0,23.6694662846,35.6302164847,41.4203149334,0.0,18.025,23.3953149334
