Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.74277407,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,115.611064573,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,114.41059868,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,113.869658608,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553710048,0.0,1.75125,1.16428710048
 01/01  05:00:00,120.735531586,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,120.03812302,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,157.86677866,25.3824474647,0.00633928498628,0.0,6.98738001645,14.1499734587,100.220341193,95.5535344454,3.5025,1.16430674801
 01/01  08:00:00,162.260782499,25.3824474647,0.0,0.0,6.98738001645,14.1499734587,115.135245266,111.612745266,3.5025,0.02
 01/01  09:00:00,196.145078075,25.3824474647,0.0,0.0,6.98738001645,14.1499734587,101.474505518,96.8076623361,3.5025,1.16434318197
 01/01  10:00:00,176.826908985,25.3824474647,0.0,0.0,6.98738001645,14.1499734587,93.8465298403,90.3240298403,3.5025,0.02
 01/01  11:00:00,211.062737061,25.3824474647,0.721266063428,0.0,27.9495200658,27.7759469175,72.1762497501,64.006575846,7.005,1.16467390404
 01/01  12:00:00,239.388737916,25.3824474647,1.17734385821,0.0,27.9495200658,27.7759469175,50.6202022713,43.5952022713,7.005,0.02
 01/01  13:00:00,258.441104005,25.3824474647,2.64049150807,0.0,41.9242800987,36.8599292233,38.4585715439,27.9537397261,9.34,1.16483181783
 01/01  14:00:00,258.408252966,25.3824474647,2.85990521708,0.0,41.9242800987,36.8599292233,33.3054611688,22.8006817371,9.34,1.16477943169
 01/01  15:00:00,252.424817705,25.3824474647,3.03733560941,0.0,41.9242800987,36.8599292233,24.3371164505,13.8324462949,9.34,1.1646701556
 01/01  16:00:00,245.730064223,25.3824474647,2.82078916384,0.0,41.9242800987,36.8599292233,35.1850435877,25.8250435877,9.34,0.02
 01/01  17:00:00,242.64060914,25.3824474647,2.53741262322,0.0,41.9242800987,36.8599292233,48.0150658266,37.5102364652,9.34,1.16482936144
 01/01  18:00:00,224.146393536,25.3824474647,1.05858903617,0.0,27.9495200658,27.7759469175,67.0133708632,58.8436521883,7.005,1.16471867486
 01/01  19:00:00,226.093428225,25.3824474647,0.453093018415,0.0,13.9747600329,18.6919646116,76.3222196415,71.6322196415,4.67,0.02
 01/01  20:00:00,212.818848832,25.3824474647,0.396937012339,0.0,13.9747600329,18.6919646116,79.670844529,73.8362953867,4.67,1.16454914232
 01/01  21:00:00,201.172099911,25.3824474647,0.362035620051,0.0,13.9747600329,18.6919646116,81.4529632873,75.6185033809,4.67,1.16445990642
 01/01  22:00:00,178.455838401,25.3824474647,0.365063426116,0.0,13.9747600329,18.6919646116,39.0841929781,34.3941929781,4.67,0.02
 01/01  23:00:00,120.356390677,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,150.402816128,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554782829,0.0,1.75125,1.16429782829
 01/02  01:00:00,128.107389785,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,118.356489251,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,117.906838889,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924593332,0.0,2.335,1.16424593332
 01/02  04:00:00,117.74698713,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,121.628579983,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,117.736055185,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,165.208094285,25.3824474647,0.0,0.0,13.9747600329,18.6919646116,126.326639488,120.492413962,4.67,1.16422552595
 01/02  08:00:00,170.815310307,25.3824474647,0.0,0.0,13.9747600329,18.6919646116,119.818320217,115.128320217,4.67,0.02
 01/02  09:00:00,251.615890811,25.3824474647,0.775329131509,0.0,34.9369000822,32.3179380704,88.4033505758,79.0663302368,8.1725,1.16452033906
 01/02  10:00:00,285.201867043,25.3824474647,2.27218257912,0.0,62.886420148,41.4019203762,49.2512779211,38.7237779211,10.5075,0.02
 01/02  11:00:00,285.342658663,25.3824474647,3.38897183071,0.0,62.886420148,41.4019203762,20.0090061652,8.33667597584,10.5075,1.16483018936
 01/02  12:00:00,307.532978515,25.3824474647,4.35508057227,0.0,62.886420148,41.4019203762,11.8619975986,0.189287696452,10.5075,1.16520990218
 01/02  13:00:00,297.785290201,25.3824474647,4.77401527349,0.0,62.886420148,41.4019203762,11.6726158293,0.0,10.5075,1.16511582934
 01/02  14:00:00,298.592838145,25.3824474647,5.37679061277,0.0,62.886420148,41.4019203762,12.8178029738,0.0,10.5075,2.31030297378
 01/02  15:00:00,291.900524976,25.3824474647,5.76598687879,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/02  16:00:00,285.752724909,25.3824474647,5.79142419622,0.0,62.886420148,41.4019203762,11.6725087887,0.0,10.5075,1.16500878874
 01/02  17:00:00,282.345494722,25.3824474647,5.37796318828,0.0,62.886420148,41.4019203762,11.6724236359,0.0,10.5075,1.16492363594
 01/02  18:00:00,292.535877777,25.3824474647,4.76630658148,0.0,62.886420148,41.4019203762,13.5496923124,1.87734005615,10.5075,1.16485225621
 01/02  19:00:00,286.414541417,25.3824474647,3.84983533288,0.0,41.9242800987,36.8599292233,22.9175143444,12.4126361484,9.34,1.16487819596
 01/02  20:00:00,274.140135377,25.3824474647,3.39014241154,0.0,41.9242800987,36.8599292233,37.4025773042,26.8978499197,9.34,1.16472738443
 01/02  21:00:00,248.441209076,25.3824474647,2.58997847736,0.0,34.9369000822,32.3179380704,45.2969838616,37.1044838616,8.1725,0.02
 01/02  22:00:00,179.134186583,25.3824474647,1.06835378939,0.0,13.9747600329,18.6919646116,15.2757436049,9.44114955083,4.67,1.16459405409
 01/02  23:00:00,120.547326412,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,152.512302201,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930019989,0.0,2.335,1.16430019989
 01/03  01:00:00,129.199448277,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,118.966395671,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,117.682993269,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924554072,0.0,2.335,1.16424554072
 01/03  04:00:00,116.825993863,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,141.39164943,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  06:00:00,140.807548698,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923203596,0.0,2.335,1.16423203596
 01/03  07:00:00,191.073041275,25.3824474647,0.133860970807,0.0,13.9747600329,18.6919646116,76.5721415568,71.8821415568,4.67,0.02
 01/03  08:00:00,187.463703169,25.3824474647,0.18872440742,0.0,13.9747600329,18.6919646116,97.8288080885,93.1388080885,4.67,0.02
 01/03  09:00:00,253.371390774,25.3824474647,1.16265733678,0.0,34.9369000822,32.3179380704,82.5792287672,73.2421997744,8.1725,1.16452899277
 01/03  10:00:00,286.233005499,25.3824474647,2.85833003514,0.0,62.886420148,41.4019203762,46.2735186414,34.6013740316,10.5075,1.16464460979
 01/03  11:00:00,285.288214921,25.3824474647,3.71888004522,0.0,62.886420148,41.4019203762,17.5656371266,7.0381371266,10.5075,0.02
 01/03  12:00:00,306.801402714,25.3824474647,4.45055549783,0.0,62.886420148,41.4019203762,11.7891301437,0.116524338154,10.5075,1.16510580559
 01/03  13:00:00,297.280920125,25.3824474647,4.86633047697,0.0,62.886420148,41.4019203762,12.817880174,0.0,10.5075,2.31038017403
 01/03  14:00:00,296.799642581,25.3824474647,5.32268017683,0.0,62.886420148,41.4019203762,11.6727219105,0.0,10.5075,1.16522191053
 01/03  15:00:00,291.023333987,25.3824474647,5.75287161806,0.0,62.886420148,41.4019203762,11.6725229251,0.0,10.5075,1.16502292514
 01/03  16:00:00,285.854932256,25.3824474647,5.90575006102,0.0,62.886420148,41.4019203762,11.6723456768,0.0,10.5075,1.16484567681
 01/03  17:00:00,283.736779762,25.3824474647,5.65517940039,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/03  18:00:00,293.433773442,25.3824474647,4.95139691388,0.0,62.886420148,41.4019203762,14.1220204184,2.44952312272,10.5075,1.1649972957
 01/03  19:00:00,286.461358276,25.3824474647,3.87580987209,0.0,41.9242800987,36.8599292233,24.8287289423,14.3238987005,9.34,1.16483024181
