Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.57172961,4.07930353317,0.0,0.0,4.58992532963,8.1892,81.4722871554,72.3626480077,3.33988,5.76975914771
 01/01  02:00:00,14.710273743,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7380874949,0.0,0.0,0.0,1.52997510988,7.4902,3.9319735126,0.0,3.33988,0.592093512598
 01/01  04:00:00,14.7482344315,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8975339362,0.0,0.0,0.0,1.52997510988,7.4902,3.93192766058,0.0,3.33988,0.592047660581
 01/01  06:00:00,22.7308058274,4.07930353317,0.0,0.0,4.58992532963,8.1892,77.0486338289,68.6789338289,8.3497,0.02
 01/01  07:00:00,38.6946139689,4.07930353317,0.0146259932926,0.0,9.17985065927,19.4245,84.2382856638,64.0767525819,16.6994,3.46213308189
 01/01  08:00:00,41.9319835663,4.07930353317,0.0130318212899,0.0,9.17985065927,26.9147,80.2585598102,51.1730974642,25.0491,4.03636234608
 01/01  09:00:00,41.928664656,4.07930353317,0.0,0.0,9.17985065927,26.9147,89.2261229563,52.3650061983,33.3988,3.462316758
 01/01  10:00:00,34.4412578213,4.07930353317,0.0,0.0,9.17985065927,19.4245,90.0420962876,61.5305282924,25.0491,3.46246799518
 01/01  11:00:00,41.9530681219,4.07930353317,0.0164617195642,0.0,9.17985065927,26.9147,110.21008971,56.8817925629,41.7485,11.5797971474
 01/01  12:00:00,42.6953538049,4.07930353317,0.0,0.0,9.17985065927,26.9147,105.415521774,52.0860411416,41.7485,11.5809806329
 01/01  13:00:00,42.0025062486,4.07930353317,0.0,0.0,9.17985065927,26.9147,96.5743547779,45.577793958,41.7485,9.24806081995
 01/01  14:00:00,34.483004884,4.07930353317,0.0,0.0,9.17985065927,19.4245,86.3293562625,43.6824026479,33.3988,9.24815361461
 01/01  15:00:00,34.4931453646,4.07930353317,0.0,0.0,9.17985065927,19.4245,74.3161952107,42.340121255,25.0491,6.92697395572
 01/01  16:00:00,34.4827153683,4.07930353317,0.0,0.0,9.17985065927,19.4245,82.3718802303,42.045670764,33.3988,6.92740946625
 01/01  17:00:00,41.9061054879,4.07930353317,0.00466064223606,0.0,9.17985065927,26.9147,100.090980534,43.0659550389,50.0982,6.92682549504
 01/01  18:00:00,46.1307858741,4.07930353317,0.0,0.0,9.17985065927,26.9147,109.856066586,50.5075986542,50.0982,9.25026793174
 01/01  19:00:00,46.1358549225,4.07930353317,0.0,0.0,9.17985065927,26.9147,107.664073284,45.983949081,50.0982,11.5819242029
 01/01  20:00:00,38.7706125191,4.07930353317,0.0,0.0,9.17985065927,19.4245,92.462549315,47.4830261226,33.3988,11.5807231923
 01/01  21:00:00,38.7408814836,4.07930353317,0.0,0.0,9.17985065927,19.4245,93.3329397279,50.6848392022,33.3988,9.24930052572
 01/01  22:00:00,38.6562953283,4.07930353317,0.0,0.0,9.17985065927,19.4245,98.6774317683,62.0473784139,25.0491,11.5809533545
 01/01  23:00:00,38.5315262571,4.07930353317,0.0,0.0,9.17985065927,19.4245,96.397804869,70.4501166318,16.6994,9.24828823721
 01/01  24:00:00,39.3271808538,4.07930353317,0.0,0.0,9.17985065927,19.4245,87.2439888977,74.2794428333,8.3497,4.61484606433
