Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,842.435578076,97.5875699564,385.29791752,0.0,34.9616554283,113.312780494,780.025732553,765.655915606,5.66466996096,8.70514698573
 01/01  02:00:00,950.12684264,97.5875699564,487.172822989,0.0,34.9616554283,113.312780494,786.589057048,763.533609761,5.66466996096,17.3907773254
 01/01  03:00:00,984.334141932,97.5875699564,522.12193242,0.0,34.9616554283,113.312780494,786.776948108,772.406832526,5.66466996096,8.70544562033
 01/01  04:00:00,976.026401685,97.5875699564,518.008412881,0.0,34.9616554283,113.312780494,803.828225768,780.772467122,5.66466996096,17.3910886855
 01/01  05:00:00,971.813311434,97.5875699564,505.920356734,0.0,44.4937663224,113.312780494,789.256909236,774.886675183,5.66466996096,8.70556409182
 01/01  06:00:00,972.672531485,97.5875699564,503.644038969,0.0,44.4937663224,113.312780494,808.717020963,777.164046298,14.1616749024,17.3912997626
 01/01  07:00:00,1035.50482013,97.5875699564,502.541408982,0.0,54.0258772165,176.889270242,743.676066271,706.647046516,28.3233498048,8.70566994942
 01/01  08:00:00,1036.17839676,97.5875699564,513.649842236,0.0,54.0258772165,184.38654557,760.781495989,700.904967863,42.4850247072,17.3915034187
 01/01  09:00:00,1091.62821084,97.5875699564,503.163559221,0.0,65.1572554096,220.04316451,752.035966024,677.930051627,56.6466996096,17.4592147868
 01/01  10:00:00,1055.77261131,97.5875699564,477.049308349,0.0,65.1572554096,212.545889182,738.19969346,678.180501955,42.4850247072,17.534166797
 01/01  11:00:00,1082.18604528,97.5875699564,495.525748122,0.0,65.1572554096,220.04316451,763.263514748,666.059547557,70.808374512,26.3955926794
 01/01  12:00:00,1110.79608033,97.5875699564,524.959164847,0.0,65.1572554096,220.04316451,746.155447059,648.949144553,70.808374512,26.3979279936
