Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,128.68270995,30.7653250262,5.11241477514,0.0,34.4311606118,33.1021868926,171.233324117,60.9941715608,3.33212,106.907032556
 01/01  02:00:00,129.239131214,30.7653250262,5.59707519652,0.0,34.4311606118,33.1021868926,137.716622311,52.4702392442,3.33212,81.9142630665
 01/01  03:00:00,111.044341149,30.7653250262,4.87545709199,0.0,19.466279405,30.610668775,131.811651908,47.9219419465,3.33212,80.5575899611
 01/01  04:00:00,110.294659387,30.7653250262,4.14181755592,0.0,19.466279405,30.610668775,129.315566361,45.4271928892,3.33212,80.5562534714
 01/01  05:00:00,119.873475964,30.7653250262,7.13636941399,0.0,19.466279405,30.610668775,155.565140058,44.0576363789,3.33212,108.175383679
 01/01  06:00:00,136.342066154,30.7653250262,11.340349044,0.0,19.466279405,30.610668775,182.672038501,43.2469290468,8.3303,131.094809455
 01/01  07:00:00,217.409094393,30.7653250262,20.8283315681,0.0,42.6918050922,54.3732441037,253.772508977,41.767125231,16.6606,195.344783746
 01/01  08:00:00,333.871947252,35.5792706895,93.8231337066,0.0,49.3960418185,88.5934452969,523.033325888,179.916078036,24.9909,318.126347852
 01/01  09:00:00,341.750567477,35.5487136403,70.1150934181,0.0,57.6566862989,112.030105488,681.673359298,194.790230911,33.3212,453.561928387
 01/01  10:00:00,276.266346485,35.7046149891,60.7000546464,0.0,50.9524495726,81.1684271793,594.626915465,199.50504705,66.8089,328.312968415
 01/01  11:00:00,213.613682438,35.8051474847,43.0469258835,0.0,42.6918050922,68.9656133826,540.766415138,206.678391296,83.4695,250.618523841
 01/01  12:00:00,201.658348784,35.8645102131,34.7151382436,0.0,38.286128036,68.9656133826,489.406272454,208.582554037,83.4695,197.354218418
 01/01  13:00:00,195.670182289,35.9160041259,29.4678399437,0.0,38.286128036,68.9656133826,436.641164265,207.20053587,83.4695,145.971128395
 01/01  14:00:00,174.883698216,35.9901991311,27.4848295143,0.0,31.5818913096,56.727595265,427.698175424,206.599121164,75.1392,145.95985426
 01/01  15:00:00,182.377362358,36.1058336141,34.7611804441,0.0,31.5818913096,56.727595265,404.980426286,192.550694034,66.8089,145.620832253
 01/01  16:00:00,186.427017679,36.1832582916,38.6876514062,0.0,31.5818913096,56.727595265,402.278335496,181.526323826,75.1392,145.61281167
 01/01  17:00:00,209.641084418,35.8657310028,33.0700254936,0.0,31.5818913096,61.661095265,379.914147559,179.704356467,91.7998,108.409991092
 01/01  18:00:00,245.230818611,35.5487136403,24.8059261165,0.0,31.5818913096,70.9729253606,391.520072096,203.553775118,49.9818,137.984496978
 01/01  19:00:00,315.250035644,35.5487136403,33.1248759685,0.0,80.3315023541,83.7685254822,428.189488227,215.621067382,49.9818,162.586620845
 01/01  20:00:00,326.839269207,35.5487136403,40.8309231754,0.0,102.000620287,77.6748002752,454.302720241,205.327349089,33.3212,215.654171151
 01/01  21:00:00,353.299230298,35.5487136403,46.8899889283,0.0,108.704857014,91.4735406516,461.14761115,212.753489206,33.3212,215.072921943
 01/01  22:00:00,325.751999231,35.5487136403,47.6093755565,0.0,95.2963835608,89.1510273009,462.990296766,222.368491859,24.9909,215.630904907
 01/01  23:00:00,267.915376745,35.5487136403,43.0583728111,0.0,80.3315023541,63.3799339444,582.143869385,247.198736132,16.6606,318.284533253
 01/01  24:00:00,191.479128455,35.5487136403,31.0344510514,0.0,42.6918050922,48.4199368926,464.438576357,276.129557352,8.3303,179.978719005
 01/02  01:00:00,115.283759067,30.7653250262,3.18413405834,0.0,25.5240853573,30.610668775,175.801835445,64.2714573923,3.33212,108.198258052
 01/02  02:00:00,106.219598833,30.7653250262,1.44743316445,0.0,19.418418834,29.3649097162,144.412192899,60.6072511401,3.33212,80.4728217591
 01/02  03:00:00,97.6072192315,30.7653250262,0.740448938367,0.0,12.7620426787,28.1191506574,142.731217522,58.9254288674,3.33212,80.4736686541
 01/02  04:00:00,97.040757601,30.7653250262,0.184918896017,0.0,12.7620426787,28.1191506574,142.362662209,58.5565722432,3.33212,80.473969966
 01/02  05:00:00,103.607396066,30.7653250262,0.18243146666,0.0,12.7620426787,28.1191506574,170.191989869,58.6606025287,3.33212,108.19926734
 01/02  06:00:00,132.312120585,30.7653250262,1.29633780948,0.0,25.5240853573,30.610668775,254.097002687,58.8222234583,8.3303,186.944479229
 01/02  07:00:00,239.813772341,30.7653250262,10.9876714315,0.0,51.0481707146,78.1489452969,390.033904964,55.7743984338,16.6606,317.59890653
 01/02  08:00:00,306.534450197,35.567503198,30.4427554558,0.720352868474,64.3609230253,109.708623606,730.544033898,282.98521037,24.9909,422.567923528
 01/02  09:00:00,258.187512285,35.5571149303,24.9835498351,0.489056945355,51.0481707146,80.7689615957,666.630406311,303.372533839,33.3212,329.936672472
 01/02  10:00:00,261.32227203,35.5504832282,56.6747333839,0.0,51.0481707146,71.0224615957,590.768282449,274.821502854,66.8089,249.137879595
 01/02  11:00:00,220.719855564,35.5811146544,64.6630508475,0.0,32.1804615127,65.7244621605,544.45687103,264.078578471,83.4695,196.908792559
 01/02  12:00:00,212.950697375,35.6302727952,56.0909619707,0.0,32.1804615127,65.7244621605,488.671341667,259.004331797,83.4695,146.197509869
 01/02  13:00:00,202.029687691,35.6765034648,45.84769872,0.0,32.1804615127,65.7244621605,482.080017954,252.607607704,83.4695,146.00291025
 01/02  14:00:00,190.433247361,35.7621608587,43.7744777567,0.0,32.1804615127,55.9779621605,460.842443406,239.871490267,75.1392,145.831753139
 01/02  15:00:00,183.667427674,35.8439994605,36.8335589551,0.0,32.1804615127,55.9779621605,442.377734737,229.928470623,66.8089,145.640364114
 01/02  16:00:00,178.324760203,35.8774030068,31.4546225115,0.0,32.1804615127,55.9779621605,440.7624579,221.646481129,75.1392,143.976776771
 01/02  17:00:00,201.636707788,35.6675847752,25.7906857012,0.0,32.1804615127,60.9114621605,412.577662356,210.742566077,91.7998,110.035296279
 01/02  18:00:00,250.636446611,35.5487136403,23.1841849599,0.0,32.1804615127,77.5397301883,434.614949269,222.42113701,49.9818,162.212012259
 01/02  19:00:00,316.016282016,35.5487136403,34.5674814229,0.0,77.122965704,86.2600435998,572.09928493,228.816438767,49.9818,293.301046163
 01/02  20:00:00,330.42663332,35.5487136403,41.4347877663,0.0,102.647051061,80.1663183927,473.270448896,223.61885784,33.3212,216.330391056
 01/02  21:00:00,360.127795245,35.5487136403,45.8438248102,0.0,115.40909374,92.7192997104,470.368441967,221.246925922,33.3212,215.800316045
 01/02  22:00:00,344.923881109,35.5487136403,54.2644029928,0.0,102.647051061,94.1340635361,565.968622337,221.039482989,24.9909,319.938239348
 01/02  23:00:00,274.599358486,35.5487136403,50.4911644755,0.0,77.122965704,65.871452062,491.967604991,230.854386346,16.6606,244.452618645
 01/02  24:00:00,188.32806284,35.5487136403,32.3041701639,0.0,38.286128036,48.4199368926,392.522142615,253.218717614,8.3303,130.973125
 01/03  01:00:00,114.929121502,30.7653250262,2.81744669095,0.0,25.5240853573,30.610668775,172.190364597,60.6523623791,3.33212,108.205882218
 01/03  02:00:00,107.083767186,30.7653250262,2.29410330976,0.0,19.418418834,29.3649097162,140.274313225,56.4579997963,3.33212,80.4841934288
 01/03  03:00:00,98.903627702,30.7653250262,2.02080659177,0.0,12.7620426787,28.1191506574,138.166711422,54.3508437386,3.33212,80.4837476837
 01/03  04:00:00,98.651988338,30.7653250262,1.78218918507,0.0,12.7620426787,28.1191506574,137.261315986,53.445966321,3.33212,80.4832296655
 01/03  05:00:00,105.985288326,30.7653250262,1.91382242575,0.0,12.7620426787,28.1191506574,165.011678544,53.4592477845,3.33212,108.22031076
 01/03  06:00:00,135.049401677,30.7653250262,3.36411246274,0.0,25.5240853573,30.610668775,249.140932655,53.5232259099,8.3303,187.287406745
 01/03  07:00:00,244.903113162,30.7653250262,15.3314864641,0.0,51.0481707146,78.1489452969,387.282415949,50.9663882052,16.6606,319.655427743
 01/03  08:00:00,339.089730478,35.5587778012,62.5566684971,0.0,64.3609230253,109.708623606,695.680550447,250.247599325,24.9909,420.442051122
 01/03  09:00:00,299.277517973,35.5487136403,65.5874807079,0.0,51.0481707146,80.7689615957,620.436300024,254.713313386,33.3212,332.401786638
 01/03  10:00:00,276.617728513,35.6086958233,71.6504339614,0.0,51.0481707146,71.0224615957,544.454228946,230.410585445,66.8089,247.234743501
 01/03  11:00:00,207.415613007,35.672314902,51.0739182458,0.0,32.1804615127,65.7244621605,516.688820829,236.254539197,83.4695,196.964781632
 01/03  12:00:00,197.748884108,35.7337000634,40.6052264263,0.0,32.1804615127,65.7244621605,472.274047266,235.925899272,83.4695,152.878647994
 01/03  13:00:00,188.006078066,35.7627326555,31.5798630897,0.0,32.1804615127,65.7244621605,463.569165959,234.067270337,83.4695,146.032395622
 01/03  14:00:00,173.465747772,35.7906100068,26.7339944728,0.0,32.1804615127,55.9779621605,459.341135412,238.56398939,75.1392,145.637946022
 01/03  15:00:00,169.560966121,35.8466909562,22.7267423359,0.0,32.1804615127,55.9779621605,445.293108676,239.219685843,66.8089,139.264522833
 01/03  16:00:00,167.881535629,35.8813040621,21.0121473919,0.0,32.1804615127,55.9779621605,452.274884961,231.458022548,75.1392,145.677662413
 01/03  17:00:00,196.737832738,35.6712527777,20.8850424734,0.0,32.1804615127,60.9114621605,415.184360217,214.950541611,91.7998,108.434018606
 01/03  18:00:00,247.757276689,35.5487136403,20.3521681902,0.0,32.1804615127,77.5397301883,443.521431692,231.212686076,49.9818,162.326945616
 01/03  19:00:00,311.108440497,35.5487136403,29.7849513224,0.0,77.122965704,86.2600435998,596.964439254,250.85048506,49.9818,296.132154194
 01/03  20:00:00,321.675977213,35.5487136403,33.2901813706,0.0,102.647051061,80.1663183927,511.16545079,256.692617268,33.3212,221.151633522
 01/03  21:00:00,336.364586575,35.5487136403,22.7817794958,0.0,115.40909374,92.7192997104,524.885533823,275.772250783,33.3212,215.79208304
 01/03  22:00:00,316.751135458,35.5487136403,26.7514179214,0.0,102.647051061,94.1340635361,633.447046494,288.321575715,24.9909,320.13457078
 01/03  23:00:00,249.741128965,35.5529142853,25.7342561643,0.20505276954,77.122965704,65.871452062,553.464512871,294.093647924,16.6606,242.710264947
 01/03  24:00:00,166.632475798,35.5655162203,10.242688637,0.592131395213,38.286128036,48.4199368926,457.968209833,317.012555046,8.3303,132.625354787
 01/04  01:00:00,117.631102006,30.7653250262,5.53750218911,0.0,25.5240853573,30.610668775,182.146579545,70.5796863383,3.33212,108.234773207
 01/04  02:00:00,108.417891185,30.7653250262,3.64097640026,0.0,19.418418834,29.3649097162,148.647074336,64.8213482931,3.33212,80.493606043
 01/04  03:00:00,99.142207676,30.7653250262,2.27056047894,0.0,12.7620426787,28.1191506574,145.824902628,61.9960467105,3.33212,80.4967359175
 01/04  04:00:00,98.269897033,30.7737263162,1.39004787563,0.00938704790503,12.7620426787,28.1191506574,144.332816692,60.5044361622,3.33212,80.4962605294
 01/04  05:00:00,105.372612696,30.7905288962,1.81567547246,0.0995222366391,12.7620426787,28.1191506574,171.103035222,59.5365551287,3.33212,108.234360093
 01/04  06:00:00,135.787181021,30.7905288962,4.60932405406,0.127503219781,25.5240853573,30.610668775,254.185467795,58.5167925523,8.3303,187.338375242
 01/04  07:00:00,252.603286965,30.7905288962,23.6576144263,0.0827528564669,51.0481707146,78.1489452969,391.568805658,55.0631759308,16.6606,319.845029727
 01/04  08:00:00,341.658291489,35.5595822872,66.2014419143,0.0237799705561,64.3609230253,109.708623606,718.012871283,272.175002404,24.9909,420.846968879
 01/04  09:00:00,345.121211071,35.5529142853,111.938946748,0.138992889142,51.0481707146,80.7689615957,612.055610814,246.133140393,33.3212,332.601270421
 01/04  10:00:00,310.749765358,35.7783063712,105.266549445,0.0,51.0481707146,71.0224615957,513.564896377,199.415630548,66.8089,247.340365829
 01/04  11:00:00,227.927574211,36.0161453164,70.7510227784,0.0,32.1804615127,65.7244621605,449.952687066,169.181724504,83.4695,197.301462562
