Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,113.384698484,23.5362515418,14.6019483517,12.6949103815,4.12243109448,15.9888894789,100.642290646,97.6505602282,2.97173041782,0.02
 01/02  02:00:00,102.763525082,19.6864400225,11.8565233192,12.5944152417,4.12243109448,15.9888894789,86.7306126917,83.7388822739,2.97173041782,0.02
 01/02  03:00:00,121.787672982,24.6080500282,14.5231182028,17.802304459,4.12243109448,15.9888894789,109.350377404,106.358646986,2.97173041782,0.02
 01/02  04:00:00,104.909407719,19.6864400225,11.0311244128,15.1925461436,4.12243109448,15.9888894789,88.8960225451,85.9042921273,2.97173041782,0.02
 01/02  05:00:00,150.020370767,29.0922776075,14.9266136624,17.6502377257,12.3672932834,24.9413748627,125.898735202,120.925851172,4.9528840297,0.02
 01/02  06:00:00,180.47732565,28.6624092477,18.2800554114,44.9010044652,12.3672932834,24.9413748627,196.632478809,191.65959478,4.9528840297,0.02
 01/02  07:00:00,233.788800071,29.5857861907,11.776551511,46.6696927691,24.7345865669,70.7195625826,183.76056558,173.83479752,9.90576805939,0.02
 01/02  08:00:00,238.476135577,29.6396569691,11.77797683,34.2574732533,37.1018798503,92.3937384068,164.733672717,154.807904657,9.90576805939,0.02
 01/02  09:00:00,241.806204274,29.6585701985,12.4695304687,27.504362972,37.1018798503,104.434947198,153.729344758,143.803576699,9.90576805939,0.02
 01/02  10:00:00,248.319650888,29.670523845,13.6548594805,21.798060086,37.1018798503,116.476155989,151.15917734,132.629447654,9.90576805939,8.62396162602
 01/02  11:00:00,244.050138349,29.7094897662,14.5267126789,17.7469263833,37.1018798503,116.476155989,133.268469512,123.342701453,9.90576805939,0.02
 01/02  12:00:00,242.4240089,29.7564412816,15.1743938134,14.853100115,37.1018798503,116.476155989,125.908812708,115.983044649,9.90576805939,0.02
 01/02  13:00:00,230.305958989,29.78083745,15.7614014293,12.6113270707,37.1018798503,104.434947198,129.652097428,111.120934105,9.90576805939,8.62539526412
 01/02  14:00:00,240.438904765,29.8203339614,17.1527118625,10.8644267662,37.1018798503,116.476155989,114.558271461,104.632503401,9.90576805939,0.02
 01/02  15:00:00,240.688378549,29.8355263139,18.6940301474,9.80269417625,37.1018798503,116.476155989,121.644680124,103.110957013,9.90576805939,8.62795505179
 01/02  16:00:00,240.608193795,29.8580724102,19.1090958993,9.2078326826,37.1018798503,116.476155989,111.960138583,102.034370523,9.90576805939,0.02
