Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,60.4914553883,1.63172124753,3.47324893397,0.0,15.863942322,29.242365,9.12186038648,5.89618038648,3.20568,0.02
 01/01  02:00:00,60.1722324477,1.50620422848,3.26140792832,0.0,15.863942322,29.242365,7.68612067924,4.46044067924,3.20568,0.02
 01/01  03:00:00,58.980705712,1.12965317136,2.44615941177,0.0,15.863942322,29.242365,9.58939000046,3.50125893423,3.20568,2.88245106623
 01/01  04:00:00,58.9569838464,1.12965317136,2.42597934216,0.0,15.863942322,29.242365,6.93915584953,3.71347584953,3.20568,0.02
 01/01  05:00:00,60.3411915632,1.50620422848,3.21996875019,0.0,15.863942322,29.242365,8.66937200212,5.44369200212,3.20568,0.02
 01/01  06:00:00,60.2927209487,1.50620422848,3.18566406739,0.0,15.863942322,29.242365,11.5955381764,5.50737462333,3.20568,2.88248355308
 01/01  07:00:00,60.2864134893,1.50620422848,3.16457718211,0.0,15.863942322,29.242365,8.9464356581,5.7207556581,3.20568,0.02
 01/01  08:00:00,47.7206691887,0.233316952355,0.513250176602,0.0,15.863942322,29.242365,3.98350875053,0.757828750533,3.20568,0.02
 01/01  09:00:00,47.3364857376,0.116658476177,0.249414161254,0.0,15.863942322,29.242365,6.41793762032,0.328540025131,3.20568,2.88371759518
 01/01  10:00:00,46.9788901062,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,46.9744992207,0.0,0.0,0.0,15.863942322,29.242365,6.08948684662,0.0,3.20568,2.88380684662
 01/01  12:00:00,47.6816749901,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,46.9661857675,0.0,0.0,0.0,15.863942322,29.242365,6.08937621739,0.0,3.20568,2.88369621739
 01/01  14:00:00,47.0126925442,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.0373793933,0.0,0.0,0.0,15.863942322,29.242365,6.08812971882,0.0,3.20568,2.88244971882
 01/01  16:00:00,47.0324687305,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,46.9301389222,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.4872824353,0.0,0.0,0.0,15.863942322,29.242365,6.08816253438,0.0,3.20568,2.88248253438
 01/01  19:00:00,55.4866727062,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.6962299618,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.6685696344,0.0,0.0,0.0,15.863942322,29.242365,6.08812810973,0.0,3.20568,2.88244810973
 01/01  22:00:00,55.5424886213,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,60.4667476419,1.50620422848,3.58140359917,0.0,15.863942322,29.242365,11.1504922566,5.06233099591,3.20568,2.88248126067
 01/01  24:00:00,62.1271335891,1.88275528561,4.13501472715,0.0,15.863942322,29.242365,11.127114132,7.90143413204,3.20568,0.02
 01/02  01:00:00,60.0376534186,1.50620422848,3.16501679905,0.0,15.863942322,29.242365,12.9494303794,9.72375037939,3.20568,0.02
 01/02  02:00:00,61.1336361593,1.88275528561,3.88014258537,0.0,15.863942322,29.242365,22.4712024108,16.3817402477,3.20568,2.88378216306
 01/02  03:00:00,61.3973366881,2.95191535268,3.07633456224,0.0,15.863942322,29.242365,42.9950793407,39.7693993407,3.20568,0.02
 01/02  04:00:00,63.6660203507,4.14988634887,4.13895257303,0.0,15.863942322,29.242365,61.5344659123,55.4451118904,3.20568,2.88367402183
 01/02  05:00:00,62.6754402316,3.63314147624,3.45050700623,0.0,15.863942322,29.242365,56.9020391894,53.6763591894,3.20568,0.02
 01/02  06:00:00,64.2463775277,4.52695807553,4.13662326584,0.0,15.863942322,29.242365,77.8599971185,71.7705511528,3.20568,2.88376596573
 01/02  07:00:00,65.6726466508,7.85632795106,0.00204114305009,0.0,15.863942322,29.818365,753.510298483,747.420960715,3.20568,2.88365776847
 01/02  08:00:00,121.284899326,7.85632795106,0.0,0.0,80.527626,29.818365,493.120020743,489.894340743,3.20568,0.02
 01/02  09:00:00,166.325542052,7.85632795106,0.00638285770819,0.0,80.527626,75.0917375,373.544401751,340.832024828,24.0426,8.66977692223
 01/02  10:00:00,166.30422871,7.85632795106,0.00279378024515,0.0,80.527626,75.0917375,307.583071324,266.119656313,24.0426,17.4208150111
 01/02  11:00:00,170.289835626,7.85632795106,0.00152314711709,0.0,80.527626,79.0911225,272.210645502,225.62109933,32.0568,14.5327461713
 01/02  12:00:00,171.043001149,7.85632795106,0.0,0.0,80.527626,79.0911225,235.085742982,185.558098291,32.0568,17.4708446906
 01/02  13:00:00,170.278030787,7.85632795106,0.0,0.0,80.527626,79.0911225,218.407830209,165.940216521,32.0568,20.410813688
 01/02  14:00:00,166.305116378,7.85632795106,0.0,0.0,80.527626,75.0917375,198.122439766,161.663351628,16.0284,20.430688138
 01/02  15:00:00,166.314957843,7.85632795106,0.0,0.0,80.527626,75.0917375,181.822841089,151.272255111,16.0284,14.5221859777
 01/02  16:00:00,164.296134315,7.85851812707,0.0,0.0,80.527626,73.092045,171.939426687,151.291028328,3.20568,17.4427183583
 01/02  17:00:00,164.182038952,7.85632795106,0.0,0.0,80.527626,73.092045,162.498092332,156.405354576,3.20568,2.88705775603
 01/02  18:00:00,129.505044244,7.85632795106,0.0,0.0,80.527626,29.818365,198.539272219,192.446654453,3.20568,2.88693776648
 01/02  19:00:00,129.516569692,7.85632795106,0.0,0.0,80.527626,29.818365,222.974187525,214.002649938,3.20568,5.76585758724
 01/02  20:00:00,129.738410398,7.85632795106,0.0,0.0,80.527626,29.818365,237.94924195,228.969548356,3.20568,5.7740135944
 01/02  21:00:00,129.729570454,7.85632795106,0.0,0.0,80.527626,29.818365,251.77434995,242.798325096,3.20568,5.77034485378
 01/02  22:00:00,55.4774358823,0.0,0.0,0.0,15.863942322,29.242365,8.97591565683,0.0,3.20568,5.77023565683
 01/02  23:00:00,55.3710768427,0.0,0.0,0.0,15.863942322,29.242365,6.09379482897,0.0,3.20568,2.88811482897
 01/02  24:00:00,56.1583518088,0.0,0.0,0.0,15.863942322,29.242365,6.09209519599,0.0,3.20568,2.88641519599
 01/03  01:00:00,55.3964853274,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.3982630368,0.0,0.0,0.0,15.863942322,29.242365,6.08937267164,0.0,3.20568,2.88369267164
