Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.581094282,2.20934387663,0.0,0.0,1.85583932782,5.577,38.8782399571,34.1383304909,3.0011,1.73880946623
 01/01  02:00:00,9.54254583953,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.57303569487,0.0,0.0,0.0,0.618613109274,5.0,3.59317557404,0.0,3.0011,0.592075574039
 01/01  04:00:00,9.5838718109,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.73350627055,0.0,0.0,0.0,0.618613109274,5.0,3.59318147186,0.0,3.0011,0.592081471864
 01/01  06:00:00,13.7583730035,2.20934387663,0.0,0.0,1.85583932782,5.577,37.0416029191,32.5199529191,4.50165,0.02
 01/01  07:00:00,28.2291090824,2.20934387663,0.0,0.0,3.71167865564,18.077,40.8686421305,26.1986826398,13.50495,1.16500949071
 01/01  08:00:00,25.6619719122,2.20934387663,0.0,0.0,3.71167865564,18.077,44.8625838278,22.117248041,21.0077,1.73763578681
 01/01  09:00:00,20.6573901663,2.20934387663,0.0,0.0,3.71167865564,13.077,41.0007700953,24.8302696355,15.0055,1.16500045975
 01/01  10:00:00,20.6673692756,2.20934387663,0.0,0.0,3.71167865564,13.077,42.0361535711,25.8654497002,15.0055,1.16520387092
 01/01  11:00:00,25.6682656987,2.20934387663,0.0,0.0,3.71167865564,18.077,58.0657045616,21.5916434508,33.0121,3.4619611108
 01/01  12:00:00,26.8122189011,2.20934387663,0.0,0.0,3.71167865564,18.077,62.8057245454,18.2541771783,40.51485,4.03669736713
 01/01  13:00:00,25.904938219,2.20934387663,0.0,0.0,3.71167865564,18.077,54.9345309964,16.0344859042,36.0132,2.88684509217
 01/01  14:00:00,25.7087518379,2.20934387663,0.0,0.0,3.71167865564,18.077,49.2174613807,14.8189989405,31.51155,2.88691244018
 01/01  15:00:00,20.7169240449,2.20934387663,0.0,0.0,3.71167865564,13.077,36.933730509,13.6133959016,21.0077,2.3126346074
 01/01  16:00:00,20.7008077001,2.20934387663,0.0,0.0,3.71167865564,13.077,34.5874063833,12.767919671,19.50715,2.31233671229
 01/01  17:00:00,20.6132682669,2.20934387663,0.0,0.0,3.71167865564,13.077,39.6863426492,14.8653978994,22.50825,2.31269474976
 01/01  18:00:00,28.1339141294,2.20934387663,0.0,0.0,3.71167865564,18.077,47.7032658907,19.3062562057,25.50935,2.88765968493
 01/01  19:00:00,28.1405357327,2.20934387663,0.0,0.0,3.71167865564,18.077,46.3445531905,17.372601052,25.50935,3.46260213849
 01/01  20:00:00,28.2764091052,2.20934387663,0.0,0.0,3.71167865564,18.077,48.0953502611,18.5494561835,25.50935,4.0365440776
 01/01  21:00:00,23.2477259517,2.20934387663,0.0,0.0,3.71167865564,13.077,47.3777802545,21.982529085,22.50825,2.88700116951
 01/01  22:00:00,23.1658802835,2.20934387663,0.0,0.0,3.71167865564,13.077,49.0816904569,24.6121466718,21.0077,3.46184378514
 01/01  23:00:00,23.0469957258,2.20934387663,0.0,0.0,3.71167865564,13.077,49.7316652336,28.8384284081,18.0066,2.88663682553
 01/01  24:00:00,24.2340514345,2.20934387663,0.0,0.0,3.71167865564,13.077,38.1991567891,33.4601168695,3.0011,1.73793991961
 01/02  01:00:00,13.7499630092,2.20934387663,0.0,0.0,1.85583932782,5.577,46.8872923838,42.1481916559,3.0011,1.7380007279
 01/02  02:00:00,9.48534607329,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.51364556266,0.0,0.0,0.0,0.618613109274,5.0,3.59318411599,0.0,3.0011,0.592084115994
 01/02  04:00:00,9.52749999063,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.67845995442,0.0,0.0,0.0,0.618613109274,5.0,3.59319000026,0.0,3.0011,0.592090000261
 01/02  06:00:00,13.7095206708,2.20934387663,0.0,0.0,1.85583932782,5.577,54.2980260605,49.7763760605,4.50165,0.02
 01/02  07:00:00,28.181056567,2.20934387663,0.0,0.0,3.71167865564,18.077,57.8787064226,43.2086231146,13.50495,1.165133308
 01/02  08:00:00,25.606291348,2.20934387663,0.0,0.0,3.71167865564,18.077,64.4719631432,38.8505988598,21.0077,4.61366428333
 01/02  09:00:00,20.6075574774,2.20934387663,0.0,0.0,3.71167865564,13.077,56.6717546817,37.6284766246,15.0055,4.03777805703
 01/02  10:00:00,20.6194891474,2.20934387663,0.0,0.0,3.71167865564,13.077,53.4539463351,34.9865430809,15.0055,3.46190325424
 01/02  11:00:00,25.6140637337,2.20934387663,0.0,0.0,3.71167865564,18.077,66.0981859104,30.1986696784,33.0121,2.88741623208
 01/02  12:00:00,26.7774774853,2.20934387663,0.0,0.0,3.71167865564,18.077,70.1376844628,26.1612469543,40.51485,3.46158750853
 01/02  13:00:00,25.8477637249,2.20934387663,0.0,0.0,3.71167865564,18.077,61.4926722453,22.5924111414,36.0132,2.88706110387
 01/02  14:00:00,25.6596557455,2.20934387663,0.0,0.0,3.71167865564,18.077,53.6938089562,19.8691897015,31.51155,2.3130692547
 01/02  15:00:00,20.6665849094,2.20934387663,0.0,0.0,3.71167865564,13.077,44.1257150608,20.8055497275,21.0077,2.31246533339
 01/02  16:00:00,20.6492586606,2.20934387663,0.0,0.0,3.71167865564,13.077,43.6902045509,21.8706132568,19.50715,2.31244129404
 01/02  17:00:00,20.564410835,2.20934387663,0.0,0.0,3.71167865564,13.077,47.7939657679,22.9732949434,22.50825,2.31242082447
 01/02  18:00:00,28.1014256921,2.20934387663,0.0,0.0,3.71167865564,18.077,49.8623350648,21.4657375784,25.50935,2.88724748641
 01/02  19:00:00,28.106262456,2.20934387663,0.0,0.0,3.71167865564,18.077,50.7589570936,21.2121917313,25.50935,4.03741536226
 01/02  20:00:00,28.2448989817,2.20934387663,0.0,0.0,3.71167865564,18.077,52.3660399859,22.2434391118,25.50935,4.61325087407
 01/02  21:00:00,23.2275693241,2.20934387663,0.0,0.0,3.71167865564,13.077,49.8549772351,23.8842516631,22.50825,3.46247557195
 01/02  22:00:00,23.1558711539,2.20934387663,0.0,0.0,3.71167865564,13.077,50.1807441806,25.1354343604,21.0077,4.03760982019
 01/02  23:00:00,23.050024617,2.20934387663,0.0,0.0,3.71167865564,13.077,48.5922285201,27.1241365368,18.0066,3.46149198328
 01/02  24:00:00,24.2380476997,2.20934387663,0.0,0.0,3.71167865564,13.077,36.2153650569,31.4758761702,3.0011,1.73838888672
 01/03  01:00:00,13.7627200543,2.20934387663,0.0,0.0,1.85583932782,5.577,42.8473423939,38.1081150082,3.0011,1.73812738578
 01/03  02:00:00,9.4959459988,0.0,0.0,0.0,0.618613109274,5.0,3.59317385876,0.0,3.0011,0.592073858759
 01/03  03:00:00,9.52325092866,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.53400412185,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  05:00:00,10.1993458079,0.0,0.0,0.0,0.618613109274,5.0,3.59317975931,0.0,3.0011,0.592079759309
 01/03  06:00:00,14.2257282552,2.20934387663,0.0,0.0,1.85583932782,5.577,49.0472545163,44.5256045163,4.50165,0.02
 01/03  07:00:00,28.4142653488,2.20934387663,0.0,0.0,3.71167865564,18.077,53.5816834247,38.3390881947,13.50495,1.73764522999
 01/03  08:00:00,25.6126169749,2.20934387663,0.0,0.0,3.71167865564,18.077,57.4609305856,32.4139937548,21.0077,4.03923683078
 01/03  09:00:00,20.6205359459,2.20934387663,0.0,0.0,3.71167865564,13.077,50.5131244794,31.4694258202,15.0055,4.03819865922
 01/03  10:00:00,20.6416220862,2.20934387663,0.0,0.0,3.71167865564,13.077,47.2882870392,28.8206682899,15.0055,3.46211874932
 01/03  11:00:00,25.6373640714,2.20934387663,0.0,0.0,3.71167865564,18.077,61.8388475539,25.9396998327,33.0121,2.88704772124
 01/03  12:00:00,26.7938769171,2.20934387663,0.0,0.0,3.71167865564,18.077,65.7877929606,21.8109349751,40.51485,3.46200798549
 01/03  13:00:00,25.8722671814,2.20934387663,0.0,0.0,3.71167865564,18.077,58.5165912096,19.6167612958,36.0132,2.88662991374
 01/03  14:00:00,25.6731131255,2.20934387663,0.0,0.0,3.71167865564,18.077,53.7279957685,19.9036504143,31.51155,2.31279535422
 01/03  15:00:00,20.6730428125,2.20934387663,0.0,0.0,3.71167865564,13.077,45.1714462895,21.8510108022,21.0077,2.31273548722
 01/03  16:00:00,20.6514920697,2.20934387663,0.0,0.0,3.71167865564,13.077,44.6506861492,22.8308170035,19.50715,2.31271914565
 01/03  17:00:00,20.5667445764,2.20934387663,0.0,0.0,3.71167865564,13.077,48.2256445094,23.4046931076,22.50825,2.31270140177
 01/03  18:00:00,28.0981198826,2.20934387663,0.0,0.0,3.71167865564,18.077,52.341698484,23.3713163412,25.50935,3.46103214288
 01/03  19:00:00,28.0966595599,2.20934387663,0.0,0.0,3.71167865564,18.077,54.5298716393,24.983218987,25.50935,4.03730265225
 01/03  20:00:00,28.0879273981,2.20934387663,0.0,0.0,3.71167865564,18.077,56.8318223811,27.2829721742,25.50935,4.03950020691
 01/03  21:00:00,23.0762159397,2.20934387663,0.0,0.0,3.71167865564,13.077,58.7060209634,32.7353507062,22.50825,3.46242025721
 01/03  22:00:00,23.0366283651,2.20934387663,0.0,0.0,3.71167865564,13.077,59.6135261989,34.5684114355,21.0077,4.03741476341
 01/03  23:00:00,23.0345309705,2.20934387663,0.0,0.0,3.71167865564,13.077,57.2507097434,35.7827428575,18.0066,3.46136688598
 01/03  24:00:00,24.2341028456,2.20934387663,0.0,0.0,3.71167865564,13.077,46.202099164,40.8901125143,3.0011,2.31088664977
 01/04  01:00:00,13.7517540635,2.20934387663,0.0,0.0,1.85583932782,5.577,50.5678373854,46.4014875709,3.0011,1.16524981449
 01/04  02:00:00,9.48367711989,0.0,0.0,0.0,0.618613109274,5.0,3.59319019755,0.0,3.0011,0.59209019755
 01/04  03:00:00,9.51119100433,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  04:00:00,9.52531333071,0.0,0.0,0.0,0.618613109274,5.0,3.59317026444,0.0,3.0011,0.592070264437
 01/04  05:00:00,9.67643726296,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  06:00:00,13.710091987,2.20934387663,0.0,0.0,1.85583932782,5.577,55.5864867862,50.4927606173,4.50165,0.592076168914
 01/04  07:00:00,28.1845536551,2.20934387663,0.0,0.0,3.71167865564,18.077,58.8257776698,44.1558298579,13.50495,1.1649978119
 01/04  08:00:00,25.6126796968,2.20934387663,0.0,0.0,3.71167865564,18.077,61.0133600378,35.9674185285,21.0077,4.03824150929
 01/04  09:00:00,20.6342862915,2.20934387663,0.0,0.0,3.71167865564,13.077,47.404117033,28.3603368824,15.0055,4.03828015062
 01/04  10:00:00,20.6721687459,2.20934387663,0.0,0.0,3.71167865564,13.077,39.2804496699,20.8126896775,15.0055,3.46225999245
 01/04  11:00:00,25.6852935668,2.20934387663,0.0,0.0,3.71167865564,18.077,48.8540652472,12.9543818105,33.0121,2.88758343663
 01/04  12:00:00,26.8229332572,2.20934387663,0.0,0.0,3.71167865564,18.077,50.1332240456,6.15628840593,40.51485,3.46208563963
 01/04  13:00:00,25.949844966,2.20934387663,0.0,0.0,3.71167865564,18.077,39.5258537938,0.62534054218,36.0132,2.88731325167
 01/04  14:00:00,25.7772936721,2.20934387663,0.0,0.0,3.71167865564,18.077,34.3979796936,0.0,31.51155,2.88642969361
 01/04  15:00:00,20.788711334,2.20934387663,0.0,0.0,3.71167865564,13.077,24.619491345,1.2994309654,21.0077,2.31236037956
 01/04  16:00:00,20.7640169779,2.20934387663,0.0,0.0,3.71167865564,13.077,25.1792618644,3.35947779398,19.50715,2.31263407045
 01/04  17:00:00,20.6614116666,2.20934387663,0.0,0.0,3.71167865564,13.077,30.3452003874,5.52449296309,22.50825,2.3124574243
 01/04  18:00:00,28.1708684851,2.20934387663,0.0,0.0,3.71167865564,18.077,37.0562448036,8.65937162625,25.50935,2.88752317737
 01/04  19:00:00,28.1607664946,2.20934387663,0.0,0.0,3.71167865564,18.077,42.3115897484,12.7642518498,25.50935,4.03798789853
 01/04  20:00:00,28.2953236117,2.20934387663,0.0,0.0,3.71167865564,18.077,44.4848699,14.9368344188,25.50935,4.03868548123
 01/04  21:00:00,23.269337702,2.20934387663,0.0,0.0,3.71167865564,13.077,44.8560786273,18.3116505663,22.50825,4.03617806095
 01/04  22:00:00,23.1988495311,2.20934387663,0.0,0.0,3.71167865564,13.077,44.1187172543,19.0734980419,21.0077,4.03751921238
