Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,202.16718556,9.40542663429,74.0821606652,0.0,43.513341876,52.539744,100.23680761,95.3825476095,4.83426,0.02
 01/01  02:00:00,190.908264901,5.90543680335,66.4388924024,0.0,43.513341876,52.539744,75.7951343029,70.9408743029,4.83426,0.02
 01/01  03:00:00,211.539861318,8.57005705438,84.1162354891,0.0,43.513341876,52.539744,96.5903213935,91.7360613935,4.83426,0.02
 01/01  04:00:00,193.775825605,7.48978487028,67.7215854297,0.0,43.513341876,52.539744,77.404311265,72.550051265,4.83426,0.02
 01/01  05:00:00,210.403538102,6.98570898745,84.1503203735,0.0,43.513341876,52.539744,100.98968023,96.1354202296,4.83426,0.02
 01/01  06:00:00,195.489815871,9.07413293722,67.4575166649,0.0,43.513341876,52.539744,79.4147308668,74.5604708668,4.83426,0.02
 01/01  07:00:00,210.978684756,7.77788302092,83.9349719436,0.0,43.513341876,52.539744,111.219403049,97.7765495424,4.83426,8.60859350613
 01/01  08:00:00,174.657234468,5.90543680335,67.8186629184,0.0,43.513341876,52.539744,67.9399260209,63.0856660209,4.83426,0.02
 01/01  09:00:00,191.565503299,5.40136092051,84.958383884,0.0,43.513341876,52.539744,85.426621823,80.572361823,4.83426,0.02
 01/01  10:00:00,173.16982531,4.32108873641,67.9078453198,0.0,43.513341876,52.539744,65.152224757,60.297964757,4.83426,0.02
 01/01  11:00:00,191.506787518,5.40136092051,84.8977475549,0.0,43.513341876,52.539744,77.077349547,72.223089547,4.83426,0.02
 01/01  12:00:00,175.476413553,4.32108873641,69.3058663695,0.0,43.513341876,52.539744,56.2557130193,42.8050826478,4.83426,8.61637037152
 01/01  13:00:00,192.040358571,5.21551270181,85.6698627712,0.0,43.513341876,52.539744,47.6784541518,42.8241941518,4.83426,0.02
 01/01  14:00:00,177.585257504,4.32108873641,72.2492461841,0.0,43.513341876,52.539744,29.354890864,24.500630864,4.83426,0.02
 01/01  15:00:00,120.30664544,1.1150893122,18.9631078746,0.0,43.513341876,52.539744,7.33713291581,2.48287291581,4.83426,0.02
 01/01  16:00:00,120.877994625,1.1150893122,19.5299788587,0.0,43.513341876,52.539744,15.1713378143,1.726743009,4.83426,8.61033480527
 01/01  17:00:00,119.986832026,1.1150893122,18.850150696,0.0,43.513341876,52.539744,6.73873179168,1.88447179168,4.83426,0.02
 01/01  18:00:00,158.434530363,2.36380115096,37.8223260871,0.0,43.513341876,52.539744,13.0590467019,8.20478670194,4.83426,0.02
 01/01  19:00:00,191.663048922,4.32108873641,68.6085631572,0.0,43.513341876,52.539744,25.3038270542,20.4495670542,4.83426,0.02
 01/01  20:00:00,205.081002585,5.02966448311,80.7352444883,0.0,43.513341876,52.539744,40.6571367054,35.8028767054,4.83426,0.02
 01/01  21:00:00,198.583164957,4.69278517381,74.7289100439,0.0,43.513341876,52.539744,49.4566909402,44.6024309402,4.83426,0.02
 01/01  22:00:00,202.591210262,5.02966448311,78.5525175668,0.0,43.513341876,52.539744,78.5510020912,73.6967420912,4.83426,0.02
 01/01  23:00:00,199.139751794,8.49522053446,72.0635878425,0.0,43.513341876,52.539744,98.3990120886,84.9543422079,4.83426,8.61040988075
 01/01  24:00:00,205.232833275,9.78270868392,75.8067755114,0.0,43.513341876,52.539744,114.06279176,109.20853176,4.83426,0.02
 01/02  01:00:00,199.285820222,11.4262644583,69.3039669075,0.0,43.513341876,52.539744,117.515108546,112.660848546,4.83426,0.02
 01/02  02:00:00,209.023161587,17.4945338353,72.8744549114,0.0,43.513341876,52.539744,140.095523962,135.241263962,4.83426,0.02
 01/02  03:00:00,205.012934863,19.3154807905,67.1380517097,0.0,43.513341876,52.539744,146.9906089,133.539935891,4.83426,8.61641300952
 01/02  04:00:00,204.006223833,14.5100126964,70.8296919228,0.0,43.513341876,52.539744,164.254152937,159.399892937,4.83426,0.02
 01/02  05:00:00,202.971421367,18.5456550382,65.4265089568,0.0,43.513341876,52.539744,157.625527976,152.771267976,4.83426,0.02
 01/02  06:00:00,206.878624897,18.2867078688,69.5057655405,0.0,43.513341876,52.539744,182.852708748,177.998448748,4.83426,0.02
 01/02  07:00:00,195.066256069,73.1238563282,0.0,0.0,43.513341876,53.238744,2729.6327561,2716.18225779,4.83426,8.61623831299
