Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,40.2867560396,5.73641107177,0.0459142113649,3.93844068811,12.925468867,10.100111941,30.5086488693,30.4886488693,0.0,0.02
 01/01  02:00:00,40.3268637188,5.74261252662,0.0438220209298,3.97553223697,12.925468867,10.100111941,32.9771742901,27.2214824249,0.0,5.75569186513
 01/01  03:00:00,36.5988723134,5.79945198011,0.0349670643477,4.81859946034,8.34152022915,10.0650221343,27.0423497732,27.0223497732,0.0,0.02
 01/01  04:00:00,37.2390803279,5.83898887244,0.0286144988928,5.42561433478,8.34152022915,10.0650221343,33.5663252742,27.8103968196,0.0,5.75592845459
 01/01  05:00:00,39.2558905295,5.86391833728,0.0231654562218,5.81634829209,8.34152022915,11.6705166398,28.5034438426,28.4834438426,0.0,0.02
 01/01  06:00:00,43.6519569755,5.87833033999,0.0187781203931,6.04409474342,8.80141237637,15.3678112995,33.5733827729,27.8074922961,0.0,5.7658904768
 01/01  07:00:00,62.1349332095,5.78510693246,0.0283488569593,4.63414734717,18.5082010057,25.6353820695,32.7878042959,27.0117293264,0.0,5.77607496951
 01/01  08:00:00,68.2137402876,5.613586324,0.11266748969,1.88144617023,19.4926561212,41.1001056674,36.4464132867,24.864962253,0.0,11.5814510338
 01/01  09:00:00,92.7241020827,5.67776697733,1.75573152262,0.92723445473,26.3286599382,57.9988325916,49.4838499455,20.0393815971,0.0,29.4444683484
 01/01  10:00:00,78.8219866009,5.59740559769,2.88617263842,1.24838506718,26.2443270014,42.8153538416,67.6299090174,20.2970533887,18.025,29.3078556288
 01/01  11:00:00,56.8710222548,5.69511794565,2.79756136169,3.1628930763,21.7447113004,23.4437158914,61.5837655971,20.1660104384,18.025,23.3927551588
 01/01  12:00:00,54.5068577264,5.6974110085,2.8402238996,3.1557825163,19.3449162599,23.4437158914,54.8666075156,19.3235146481,18.025,17.5180928674
 01/01  13:00:00,53.9428004696,5.66803832521,2.68378784853,2.63533896738,19.190480192,23.7425572507,54.4079834474,18.9015313276,18.025,17.4814521197
 01/01  14:00:00,53.0726323284,5.61713770728,2.67328308213,1.80045804356,19.260583323,23.698576057,56.4178962446,15.0887562195,18.025,23.3041400251
 01/01  15:00:00,52.5087480193,5.59347383846,2.9247266032,1.00879345652,19.260583323,23.698576057,47.6473590582,12.1374397592,18.025,17.4849192989
 01/01  16:00:00,52.023183522,5.59089733492,3.12881119305,0.611668681289,19.260583323,23.4086260847,47.3614097748,11.8521183474,18.025,17.4842914274
 01/01  17:00:00,55.5169471663,5.5745470126,2.15635270679,0.642928610278,19.260583323,27.8781056672,36.7566403681,12.9720630725,18.025,5.7595772956
 01/01  18:00:00,69.5768049044,5.55316818547,0.332494952271,0.389562240427,18.1807569449,37.5792895564,23.2791238122,17.5134186425,0.0,5.76570516968
 01/01  19:00:00,83.8449224349,5.5959531152,0.876367074091,0.177456670308,32.6059821062,37.0465235296,26.7052912114,20.9346090022,0.0,5.77068220926
