Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,76.5985195858,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,77.0137891553,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,76.9612506079,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,76.8035547078,0.0,0.0,0.0,3.49369000822,6.81298672936,2.915537089,0.0,1.75125,1.164287089
 01/01  05:00:00,83.2785555771,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,83.0889236225,0.291974475778,0.0,0.0,3.49369000822,6.81298672936,1.84576923398,0.0745192339799,1.75125,0.02
 01/01  07:00:00,121.627863718,25.3764169306,0.0,0.0,6.98738001645,14.1499734587,402.73147782,398.064677384,3.5025,1.16430043672
 01/01  08:00:00,117.413331928,25.3764169306,0.0,0.0,6.98738001645,14.1499734587,368.082812053,364.560312053,3.5025,0.02
 01/01  09:00:00,153.200990357,25.3764169306,0.0,0.0,6.98738001645,14.1499734587,337.467009579,332.800166414,3.5025,1.16434316498
 01/01  10:00:00,127.998300522,25.3764169306,0.0,0.0,6.98738001645,14.1499734587,333.12464666,329.60214666,3.5025,0.02
 01/01  11:00:00,162.909396812,25.3764169306,0.0,0.0,27.9495200658,27.7759469175,300.798228557,292.628554668,7.005,1.16467388947
 01/01  12:00:00,194.110173166,25.3764169306,0.0,0.0,27.9495200658,27.7759469175,284.291451973,277.266451973,7.005,0.02
 01/01  13:00:00,202.419373308,25.3764169306,0.0,0.0,41.9242800987,36.8599292233,258.479697025,247.974865218,9.34,1.16483180765
 01/01  14:00:00,200.336853533,25.3764169306,0.0,0.0,41.9242800987,36.8599292233,243.444878334,232.940098912,9.34,1.16477942222
 01/01  15:00:00,196.576522453,25.3764169306,0.0,0.0,41.9242800987,36.8599292233,222.830433457,212.325763311,9.34,1.16467014621
 01/01  16:00:00,192.767286398,25.3764169306,0.0,0.0,41.9242800987,36.8599292233,212.835459327,203.475459327,9.34,0.02
 01/01  17:00:00,192.193115146,25.3764169306,0.0,0.0,41.9242800987,36.8599292233,219.111913811,208.607084459,9.34,1.16482935208
 01/01  18:00:00,176.809481141,25.3764169306,0.0,0.0,27.9495200658,27.7759469175,271.904809807,263.735091137,7.005,1.1647186699
 01/01  19:00:00,182.588143189,25.3764169306,0.0,0.0,13.9747600329,18.6919646116,283.197697701,278.507697701,4.67,0.02
 01/01  20:00:00,162.275032948,25.3764169306,0.0,0.0,13.9747600329,18.6919646116,294.44613722,288.611588093,4.67,1.16454912735
 01/01  21:00:00,151.860330168,25.3764169306,0.0,0.0,13.9747600329,18.6919646116,311.044651395,305.210191503,4.67,1.16445989235
 01/01  22:00:00,136.385949423,25.3764169306,0.0,0.0,13.9747600329,18.6919646116,281.044662304,276.354662304,4.67,0.02
 01/01  23:00:00,77.8384936597,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,113.131865254,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554781069,0.0,1.75125,1.16429781069
 01/02  01:00:00,84.4231544898,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,77.8878853892,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,77.9725779561,0.291974475778,0.0,0.0,3.49369000822,9.08398230582,3.57705961707,0.077813701065,2.335,1.16424591601
 01/02  04:00:00,88.5624018827,10.8640425903,0.0,0.0,3.49369000822,9.08398230582,29.8749562895,27.5199562895,2.335,0.02
 01/02  05:00:00,95.3284038806,11.0100298282,0.0,0.0,3.49369000822,9.08398230582,31.6062560002,29.2512560002,2.335,0.02
 01/02  06:00:00,91.5704991647,7.71594433757,0.0,0.0,3.49369000822,9.08398230582,25.7047347594,23.3497347594,2.335,0.02
 01/02  07:00:00,134.564593276,25.3764169306,0.0,0.0,13.9747600329,18.6919646116,462.283299238,456.44907374,4.67,1.16422549795
 01/02  08:00:00,130.037266751,25.3764169306,0.0,0.0,13.9747600329,18.6919646116,428.143467619,423.453467619,4.67,0.02
 01/02  09:00:00,206.220993531,25.3764169306,0.0,0.0,34.9369000822,32.3179380704,381.661299775,372.324279459,8.1725,1.16452031521
 01/02  10:00:00,230.306354564,25.3764169306,0.0,0.0,62.886420148,41.4019203762,327.590429035,317.062929035,10.5075,0.02
 01/02  11:00:00,220.625477179,25.3764169306,0.0,0.0,62.886420148,41.4019203762,304.290285636,292.617955469,10.5075,1.16483016705
 01/02  12:00:00,251.477945896,25.3764169306,0.0,0.0,62.886420148,41.4019203762,280.571698947,268.89898906,10.5075,1.16520988665
 01/02  13:00:00,231.393280647,25.3764169306,0.0,0.0,62.886420148,41.4019203762,268.132226036,256.459610221,10.5075,1.16511581459
 01/02  14:00:00,228.544864961,25.3764169306,0.0,0.0,62.886420148,41.4019203762,250.224443214,237.406640269,10.5075,2.31030294441
 01/02  15:00:00,224.953387063,25.3764169306,0.0,0.0,62.886420148,41.4019203762,235.117848082,224.590348082,10.5075,0.02
 01/02  16:00:00,221.609011524,25.3764169306,0.0,0.0,62.886420148,41.4019203762,226.577601358,214.905092584,10.5075,1.16500877404
 01/02  17:00:00,221.527482835,25.3764169306,0.0,0.0,62.886420148,41.4019203762,231.439912545,219.767488924,10.5075,1.16492362129
 01/02  18:00:00,235.022606178,25.3764169306,0.0,0.0,62.886420148,41.4019203762,239.262532946,227.590180705,10.5075,1.16485224156
 01/02  19:00:00,234.37476524,25.3764169306,0.0,0.0,41.9242800987,36.8599292233,245.467477206,234.962599025,9.34,1.16487818129
 01/02  20:00:00,218.103706125,25.3764169306,0.0,0.0,41.9242800987,36.8599292233,256.102054039,245.597326669,9.34,1.16472736977
 01/02  21:00:00,193.15271405,25.3764169306,0.0,0.0,34.9369000822,32.3179380704,262.699571659,254.507071659,8.1725,0.02
 01/02  22:00:00,136.132100931,25.3764169306,0.0,0.0,13.9747600329,18.6919646116,239.852921157,234.01832609,4.67,1.16459506682
 01/02  23:00:00,80.2052309135,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,115.5605586,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930026109,0.0,2.335,1.16430026109
 01/03  01:00:00,85.2454833443,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,78.2621165943,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,78.0340091416,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924560029,0.0,2.335,1.16424560029
 01/03  04:00:00,78.0742578495,0.291974475778,0.0,0.0,3.49369000822,9.08398230582,2.435292243,0.0802922430038,2.335,0.02
 01/03  05:00:00,106.422684863,6.31133288842,0.0,0.0,3.49369000822,9.08398230582,15.2556380301,12.9006380301,2.335,0.02
 01/03  06:00:00,106.548159975,6.31133288842,0.0,0.0,3.49369000822,9.08398230582,17.5681506566,14.0688859222,2.335,1.16426473445
 01/03  07:00:00,151.230965983,25.3764169306,0.0,0.0,13.9747600329,18.6919646116,431.743814237,427.053814237,4.67,0.02
 01/03  08:00:00,139.423110025,25.3764169306,0.0,0.0,13.9747600329,18.6919646116,398.828264093,394.138264093,4.67,0.02
 01/03  09:00:00,206.593890266,25.3764169306,0.0,0.0,34.9369000822,32.3179380704,346.790596282,337.453567237,8.1725,1.1645290448
 01/03  10:00:00,231.087050929,25.3764169306,0.0,0.0,62.886420148,41.4019203762,296.644858373,284.972713709,10.5075,1.16464466382
 01/03  11:00:00,221.33825879,25.3764169306,0.0,0.0,62.886420148,41.4019203762,282.565280135,272.037780135,10.5075,0.02
 01/03  12:00:00,252.008622389,25.3764169306,0.0,0.0,62.886420148,41.4019203762,262.301778877,250.629173016,10.5075,1.16510586013
