Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.7351587748,4.07883398633,0.00471157083331,0.0,4.58992532963,8.1892,27.9451670338,18.8352677428,3.33988,5.77001929099
 01/01  02:00:00,14.8081706503,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.8224144573,0.0,0.0,0.0,1.52997510988,7.4902,3.93197338491,0.0,3.33988,0.592093384908
 01/01  04:00:00,14.8249532848,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9675628275,0.0,0.0,0.0,1.52997510988,7.4902,3.93192755242,0.0,3.33988,0.592047552419
 01/01  06:00:00,22.7788133232,4.07883398633,0.0,0.0,4.58992532963,8.1892,58.7497237561,50.3800237561,8.3497,0.02
 01/01  07:00:00,38.7303895071,4.07883398633,0.0145478979435,0.0,9.17985065927,19.4245,67.7840944903,47.6225621294,16.6994,3.46213236096
 01/01  08:00:00,41.9593899626,4.07883398633,0.0124943129685,0.0,9.17985065927,26.9147,64.6629429236,35.5775820443,25.0491,4.03626087927
 01/01  09:00:00,41.982948551,4.07883398633,0.0,0.0,9.17985065927,26.9147,61.3467054902,24.4845631364,33.3988,3.46334235384
 01/01  10:00:00,34.5382630615,4.07883398633,0.0,0.0,9.17985065927,19.4245,45.9929962775,17.4806663219,25.0491,3.46322995552
 01/01  11:00:00,42.0952985172,4.07883398633,0.00753345624626,0.0,9.17985065927,26.9147,55.3469061226,2.01715804761,41.7485,11.581248075
 01/01  12:00:00,43.3071303163,4.07883398633,0.42058686781,0.0,9.17985065927,26.9147,53.3335510762,0.00461295753014,41.7485,11.5804381187
 01/01  13:00:00,45.5772726424,4.07883398633,3.31704740935,0.0,9.17985065927,26.9147,50.9965543619,0.0,41.7485,9.24805436185
 01/01  14:00:00,39.0156833742,4.07883398633,4.26920599489,0.0,9.17985065927,19.4245,42.6467804998,0.0,33.3988,9.24798049979
 01/01  15:00:00,38.559001404,4.07883398633,3.80055177547,0.0,9.17985065927,19.4245,31.9751976819,0.0,25.0491,6.92609768187
 01/01  16:00:00,37.5370857434,4.07883398633,2.7942284376,0.0,9.17985065927,19.4245,40.3262460995,0.0,33.3988,6.92744609947
 01/01  17:00:00,44.9561081857,4.07883398633,2.8130092333,0.0,9.17985065927,26.9147,57.0256141237,0.0,50.0982,6.9274141237
 01/01  18:00:00,47.9112139882,4.07883398633,1.55406110269,0.0,9.17985065927,26.9147,59.3479100934,0.0,50.0982,9.24971009341
 01/01  19:00:00,47.5221836329,4.07883398633,1.18259052093,0.0,9.17985065927,26.9147,61.6792474383,0.0,50.0982,11.5810474383
 01/01  20:00:00,39.5101765181,4.07883398633,0.49984390758,0.0,9.17985065927,19.4245,44.9790831766,0.0,33.3988,11.5802831766
 01/01  21:00:00,39.3696368998,4.07883398633,0.370408253436,0.0,9.17985065927,19.4245,42.6481540394,0.0,33.3988,9.24935403935
 01/01  22:00:00,38.9034354998,4.07883398633,0.00142781571413,0.0,9.17985065927,19.4245,36.6509748466,0.02100371332,25.0491,11.5808711333
 01/01  23:00:00,38.7589812479,4.07883398633,0.0,0.0,9.17985065927,19.4245,26.0482529778,0.100509480884,16.6994,9.2483434969
 01/01  24:00:00,39.5296094371,4.07883398633,0.0,0.0,9.17985065927,19.4245,13.0354056486,0.0708330627866,8.3497,4.61487258585
 01/02  01:00:00,22.8060056024,4.07883398633,0.0,0.0,4.58992532963,8.1892,10.9927882204,2.46263486098,3.33988,5.19027335946
