Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,1068.54430982,97.5872518058,630.818157677,0.0,34.9616554283,113.312780494,516.102548441,501.732696389,5.66466996096,8.70518209114
 01/01  02:00:00,1061.85362562,97.5872518058,605.773553891,0.0,34.9616554283,113.312780494,537.986707764,514.931235186,5.66466996096,17.3908026168
 01/01  03:00:00,1048.21607496,97.5872518058,593.24320809,0.0,34.9616554283,113.312780494,541.968484936,527.598363051,5.66466996096,8.70545192391
 01/01  04:00:00,1043.53000106,97.5872518058,583.5982975,0.0,34.9616554283,113.312780494,562.209502491,539.153734571,5.66466996096,17.3910979586
 01/01  05:00:00,1050.69581849,97.5872518058,576.176937969,0.0,44.4937663224,113.312780494,554.157168729,539.786930358,5.66466996096,8.70556840938
 01/01  06:00:00,1044.76443308,97.5872518058,568.415660938,0.0,44.4937663224,113.312780494,582.719714355,551.166731532,14.1616749024,17.3913079201
 01/01  07:00:00,1113.58672019,97.5872518058,561.881963968,0.0,54.0258772165,176.889270242,533.146271744,496.11724782,28.3233498048,8.70567411948
 01/01  08:00:00,1104.33170341,97.5872518058,557.632836639,0.0,54.0258772165,184.38654557,553.71111499,493.834578806,42.4850247072,17.3915114768
 01/01  09:00:00,1175.94476967,97.5872518058,562.648833179,0.0,65.1572554096,220.04316451,523.838702341,449.732780195,56.6466996096,17.4592225364
 01/01  10:00:00,1173.22950236,97.5872518058,581.42789559,0.0,65.1572554096,212.545889182,492.443314443,432.424113531,42.4850247072,17.5341762041
 01/01  11:00:00,1199.07231258,97.5872518058,602.338987314,0.0,65.1572554096,220.04316451,515.614768133,418.410953682,70.808374512,26.3954399385
 01/01  12:00:00,1203.23754653,97.5872706629,603.532396188,0.0,65.1572554096,220.04316451,501.996314169,404.78999923,70.808374512,26.3979404266
 01/01  13:00:00,1181.66883023,97.6094520263,599.617427845,0.0,65.1572554096,220.04316451,485.811176286,388.606005936,70.808374512,26.3967958385
 01/01  14:00:00,1166.72093734,97.6407731998,601.614555331,0.0,65.1572554096,212.545889182,447.695235254,364.652873837,56.6466996096,26.3956618071
 01/01  15:00:00,1163.49650391,97.6605126929,604.024607192,0.0,65.1572554096,212.545889182,412.20265562,343.323099618,42.4850247072,26.3945312957
 01/01  16:00:00,1164.45072217,97.6612816154,610.157546072,0.0,65.1572554096,212.545889182,415.543529379,332.498301924,56.6466996096,26.3985278456
 01/01  17:00:00,1146.24688296,97.6422553469,615.66790693,0.0,65.1572554096,220.04316451,446.24128711,334.873873552,84.9700494144,26.3973641434
 01/01  18:00:00,1123.32639533,97.5981835823,623.516502265,0.0,54.0258772165,184.38654557,471.080164943,368.574564098,84.9700494144,17.5355514304
 01/01  19:00:00,1095.77311224,97.5907615846,630.879762235,0.0,44.4937663224,163.454314868,506.976892068,404.614702726,84.9700494144,17.3921399281
 01/01  20:00:00,1087.29297537,97.5875329051,633.463156481,0.0,44.4937663224,155.95703954,475.260219822,409.907395034,56.6466996096,8.70612517821
 01/01  21:00:00,1055.63656022,97.5873355416,633.230491453,0.0,44.4937663224,124.558693486,520.750623298,446.711996993,56.6466996096,17.391926696
 01/01  22:00:00,1057.40518299,97.5872518058,636.677321222,0.0,44.4937663224,124.558693486,508.482944466,457.291684526,42.4850247072,8.70623523234
 01/01  23:00:00,1051.15998238,97.5872518058,638.897920543,0.0,34.9616554283,124.558693486,524.241530761,478.528204475,28.3233498048,17.3899764814
 01/01  24:00:00,1049.4464527,97.5872518058,635.007748799,0.0,34.9616554283,124.558693486,509.211050244,486.343031845,14.1616749024,8.70634349663
 01/02  01:00:00,1054.94024784,97.5872518058,635.296027157,0.0,46.0930336215,113.312780494,515.505950964,492.450948644,5.66466996096,17.3903323589
 01/02  02:00:00,1059.20519125,97.5872518058,637.439888881,0.0,46.0930336215,113.312780494,515.456591101,501.085332423,5.66466996096,8.70658871687
 01/02  03:00:00,1057.65926705,97.5872518058,635.456464597,0.0,46.0930336215,113.312780494,530.597007551,507.541654671,5.66466996096,17.3906829189
 01/02  04:00:00,1057.42457024,97.5872518058,634.473653827,0.0,46.0930336215,113.312780494,528.993692409,514.622288284,5.66466996096,8.70673416424
 01/02  05:00:00,1145.40782421,97.5872518058,634.381087333,0.0,100.150657288,148.969399434,510.117046187,487.059985581,5.66466996096,17.3923906446
 01/02  06:00:00,1135.30030587,97.7192096847,621.985696771,0.0,100.150657288,149.894399434,995.956694169,973.088142438,14.1616749024,8.7068768288
 01/02  07:00:00,1362.69567492,97.7107923062,622.621393429,0.0,176.471037341,302.612436532,668.591446126,622.87690418,28.3233498048,17.3911921409
 01/02  08:00:00,1462.32330914,97.7261090589,620.37564742,0.0,243.2593065,310.10971186,618.505288931,558.477695243,42.4850247072,17.5425689808
 01/02  09:00:00,1482.88541685,97.81572685,612.681598053,0.0,243.2593065,310.10971186,583.3086179,500.236685748,56.6466996096,26.4252325417
 01/02  10:00:00,1505.91243281,97.9425692289,605.692301779,0.0,243.2593065,302.612436532,548.164047604,470.322233918,42.4850247072,35.356788978
 01/02  11:00:00,1507.27311141,98.1023146556,598.834093041,0.0,243.2593065,310.10971186,548.248967089,441.899402875,70.808374512,35.5411897018
 01/02  12:00:00,1507.55240644,98.0440348192,597.910400156,0.0,243.2593065,310.10971186,536.849679072,430.430365127,70.808374512,35.6109394328
 01/02  13:00:00,1462.53463057,98.5077324304,594.072634406,0.0,243.2593065,310.10971186,509.644464107,403.399819195,70.808374512,35.4362703996
 01/02  14:00:00,1495.93257694,99.2562248224,593.440229902,0.0,243.2593065,302.612436532,467.955710466,375.696958223,56.6466996096,35.6120526342
 01/02  15:00:00,1501.67567615,99.6663850907,599.019830794,0.0,243.2593065,302.612436532,437.694352092,359.655090021,42.4850247072,35.5542373634
 01/02  16:00:00,1505.41950125,99.9715715338,602.599936318,0.0,243.2593065,302.612436532,451.099745478,358.963388738,56.6466996096,35.4896571302
 01/02  17:00:00,1513.68943819,100.535098598,603.790332875,0.0,243.2593065,310.10971186,469.725923211,349.450980396,84.9700494144,35.3048934002
 01/02  18:00:00,1533.43244296,100.698251177,608.210175737,0.0,243.2593065,310.10971186,461.69806925,359.236432522,84.9700494144,17.4915873136
 01/02  19:00:00,1278.47458408,97.5872518058,622.577953481,0.0,166.938926447,199.110933808,437.129585079,334.724245818,84.9700494144,17.4352898465
 01/02  20:00:00,1274.90317981,97.5872518058,625.897711784,0.0,166.938926447,191.61365848,407.540000651,342.163421117,56.6466996096,8.72987992508
 01/02  21:00:00,1129.05095305,97.5872518058,612.823119504,0.0,100.150657288,124.558693486,458.396618116,384.312015991,56.6466996096,17.4379025156
 01/02  22:00:00,1103.03143562,97.5872518058,626.482540942,0.0,100.150657288,124.558693486,455.017282915,395.135589855,42.4850247072,17.3966683525
 01/02  23:00:00,1057.82080542,97.5872518058,634.04060792,0.0,46.0930336215,124.558693486,455.636866943,418.608851577,28.3233498048,8.70466556099
 01/02  24:00:00,1065.22325118,97.5872518058,626.563767582,0.0,46.0930336215,124.558693486,458.388992634,426.835425472,14.1616749024,17.3918922602
 01/03  01:00:00,1049.13795797,97.5872518058,618.649988445,0.0,46.0930336215,113.312780494,446.265854446,431.896360121,5.66466996096,8.70482436367
 01/03  02:00:00,1009.50883916,97.5872518058,612.832601323,0.0,46.0930336215,113.312780494,453.525767861,430.468685663,5.66466996096,17.3924122367
 01/03  03:00:00,973.85349477,97.5872518058,573.624653843,0.0,46.0930336215,113.312780494,440.223497872,425.853820272,5.66466996096,8.70500763914
 01/03  04:00:00,981.369114011,97.5872518058,580.349677501,0.0,46.0930336215,113.312780494,453.995108351,430.937686968,5.66466996096,17.3927514221
 01/03  05:00:00,1069.97091688,97.5872518058,574.542088496,0.0,100.150657288,148.969399434,426.802050683,412.432228792,5.66466996096,8.7051519301
 01/03  06:00:00,1061.93798002,97.6629596622,564.940706751,0.0,100.150657288,149.894399434,682.65719226,651.101040788,14.1616749024,17.3944765696
 01/03  07:00:00,1289.08313624,98.0463631448,563.923790384,0.0,176.471037341,302.612436532,490.239504744,453.210860029,28.3233498048,8.7052949101
 01/03  08:00:00,1392.21614934,98.6920821231,559.488544661,0.0,243.2593065,310.10971186,484.893230611,416.103334281,42.4850247072,26.3048716226
 01/03  09:00:00,1430.84308525,99.0112101278,556.403666263,0.0,243.2593065,310.10971186,476.831393345,393.755819281,56.6466996096,26.428874454
 01/03  10:00:00,1458.82042074,99.2713085473,550.373253089,0.0,243.2593065,302.612436532,448.641378203,379.638759381,42.4850247072,26.5175941152
 01/03  11:00:00,1458.81702473,99.5118371159,542.108084141,0.0,243.2593065,310.10971186,487.101020484,371.85625993,70.808374512,44.4363860424
 01/03  12:00:00,1447.57668706,100.092857337,530.150501176,0.0,243.2593065,310.10971186,452.870331764,346.461596808,70.808374512,35.6003604447
 01/03  13:00:00,1395.35984007,100.958934313,520.369602144,0.0,243.2593065,310.10971186,434.979171401,328.743202988,70.808374512,35.4275939013
 01/03  14:00:00,1435.47298982,101.36258597,526.17627265,0.0,243.2593065,302.612436532,435.977393506,343.728398755,56.6466996096,35.6022951412
 01/03  15:00:00,1444.05408814,101.990423733,533.172058716,0.0,243.2593065,302.612436532,418.578931149,340.549180854,42.4850247072,35.5447255877
 01/03  16:00:00,1443.2814387,102.554307028,531.725480931,0.0,243.2593065,302.612436532,427.304175343,335.176209028,56.6466996096,35.4812667059
 01/03  17:00:00,1446.36418553,103.115431154,528.156825314,0.0,243.2593065,310.10971186,441.876892785,330.421427252,84.9700494144,26.4854161187
 01/03  18:00:00,1467.24288306,103.503530102,532.762184891,0.0,243.2593065,310.10971186,439.764502208,337.300742148,84.9700494144,17.4937106455
 01/03  19:00:00,1212.762349,97.5872518058,549.474081679,0.0,166.938926447,199.110933808,437.712482875,335.302956263,84.9700494144,17.4394771975
 01/03  20:00:00,1209.38719115,97.5872518058,553.735003709,0.0,166.938926447,191.61365848,415.91306653,341.830171968,56.6466996096,17.4361949528
 01/03  21:00:00,1076.20059781,97.5872518058,554.492533494,0.0,100.150657288,124.558693486,457.715359759,383.629949992,56.6466996096,17.4387101571
 01/03  22:00:00,1055.68628388,97.5872518058,574.728211042,0.0,100.150657288,124.558693486,455.922276557,404.728854434,42.4850247072,8.70839741667
 01/03  23:00:00,1001.46065078,97.5872518058,588.484389912,0.0,46.0930336215,124.558693486,477.194250374,431.478833318,28.3233498048,17.3920672512
 01/03  24:00:00,1015.32854188,97.5872518058,602.519367556,0.0,46.0930336215,124.558693486,468.546599757,445.678840135,14.1616749024,8.70608471983
 01/04  01:00:00,1052.617038,97.5872518058,655.17427534,0.0,46.0930336215,113.312780494,492.357201962,469.299914824,5.66466996096,17.3926171766
 01/04  02:00:00,1066.21158793,97.5872518058,654.078520934,0.0,46.0930336215,113.312780494,480.486862997,466.115833192,5.66466996096,8.70635984314
 01/04  03:00:00,1060.74683576,97.5872518058,637.62864562,0.0,46.0930336215,113.312780494,498.570109347,475.512483237,5.66466996096,17.392956149
 01/04  04:00:00,1064.41051012,97.5872518058,624.710529596,0.0,46.0930336215,113.312780494,506.734863176,485.882182779,5.66466996096,15.1880104359
 01/04  05:00:00,1149.92372675,97.5872518058,613.399427151,0.0,100.150657288,148.969399434,489.42193389,472.848744182,5.66466996096,10.9085197469
 01/04  06:00:00,1143.84527779,97.7292446201,606.231344602,0.0,100.150657288,149.894399434,764.58790191,733.034406686,14.1616749024,17.3918203219
 01/04  07:00:00,1360.52960533,98.4003079437,601.252214031,0.0,176.471037341,302.612436532,594.490586167,557.461272655,28.3233498048,8.70596370721
 01/04  08:00:00,1467.69017931,99.5120679038,596.490861912,0.0,243.2593065,310.10971186,569.946249536,501.157361218,42.4850247072,26.3038636104
 01/04  09:00:00,1503.63076345,100.523778409,593.147477926,0.0,243.2593065,310.10971186,551.729751439,468.654140856,56.6466996096,26.4289109737
 01/04  10:00:00,1538.09480753,101.113683507,596.937894377,0.0,243.2593065,302.612436532,526.63305846,457.623219393,42.4850247072,26.5248143591
 01/04  11:00:00,1544.95401428,101.588719122,601.434430851,0.0,243.2593065,310.10971186,552.125524432,445.762442415,70.808374512,35.5547075049
 01/04  12:00:00,1548.23942496,102.072853674,605.833700988,0.0,243.2593065,310.10971186,551.85947716,436.526031849,70.808374512,44.5250707988
 01/04  13:00:00,1510.91048147,102.562222854,609.209038339,0.0,243.2593065,310.10971186,523.325155857,425.931065813,70.808374512,26.5857155329
 01/04  14:00:00,1545.93513719,103.075529182,610.40507656,0.0,243.2593065,302.612436532,509.52657239,408.358692629,56.6466996096,44.5211801511
 01/04  15:00:00,1550.06850631,103.744300956,608.74127213,0.0,243.2593065,302.612436532,468.389454202,390.366854323,42.4850247072,35.5375751722
 01/04  16:00:00,1553.59596432,104.303102758,604.001127753,0.0,243.2593065,302.612436532,473.378265331,381.256800916,56.6466996096,35.4747648047
 01/04  17:00:00,1559.36622387,104.631674394,599.620107418,0.0,243.2593065,310.10971186,496.080137691,384.618583747,84.9700494144,26.4915045303
 01/04  18:00:00,1570.38083379,104.676933385,594.368734707,0.0,243.2593065,310.10971186,508.703021756,406.241926765,84.9700494144,17.4910455764
 01/04  19:00:00,1293.30404003,97.5872518058,588.730368965,0.0,166.938926447,199.110933808,506.950140206,404.542128846,84.9700494144,17.4379619454
 01/04  20:00:00,1280.80562899,97.5872518058,583.079082255,0.0,166.938926447,191.61365848,487.297265074,413.211390668,56.6466996096,17.4391747965
 01/04  21:00:00,1142.07081279,97.5872518058,578.558966746,0.0,100.150657288,124.558693486,531.321562432,457.23809559,56.6466996096,17.4367672321
 01/04  22:00:00,1106.24054964,97.5872518058,575.720757051,0.0,100.150657288,124.558693486,518.812485655,467.618001059,42.4850247072,8.70945988808
 01/04  23:00:00,1040.31554941,97.5872518058,571.492323613,0.0,46.0930336215,124.558693486,538.446605259,492.731892964,28.3233498048,17.3913624897
 01/04  24:00:00,1036.94113822,97.5872518058,567.323317723,0.0,46.0930336215,124.558693486,526.866230521,503.997453638,14.1616749024,8.70710198041
 01/05  01:00:00,1021.02644419,97.5872518058,564.103091649,0.0,46.0930336215,113.312780494,538.203362387,515.145397076,5.66466996096,17.3932953498
 01/05  02:00:00,1021.50431774,97.5872518058,559.271073867,0.0,46.0930336215,113.312780494,538.91328222,524.541206658,5.66466996096,8.70740560134
 01/05  03:00:00,1018.5575581,97.5872518058,554.160900685,0.0,46.0930336215,113.312780494,556.49332517,533.436348421,5.66466996096,17.3923067882
 01/05  04:00:00,986.582296459,97.5872518058,522.300597679,0.0,46.0930336215,113.312780494,558.389846369,544.020296802,5.66466996096,8.70487960681
 01/05  05:00:00,1046.12958754,97.5872518058,489.157877958,0.0,100.150657288,148.969399434,554.701849464,531.644476661,5.66466996096,17.3927028421
 01/05  06:00:00,1047.88774057,97.979869222,487.562441874,0.0,100.150657288,149.894399434,848.103292107,825.236430685,14.1616749024,8.70518651932
 01/05  07:00:00,1231.64416839,98.7127175511,449.201601978,0.0,176.471037341,302.612436532,665.369936573,619.652009583,28.3233498048,17.3945771849
 01/05  08:00:00,1368.11481685,100.035224012,477.768663243,0.0,243.2593065,310.10971186,639.530407728,579.500307198,42.4850247072,17.5450758228
 01/05  09:00:00,1463.58173211,101.002662358,535.755024043,0.0,243.2593065,310.10971186,624.226012177,541.149732809,56.6466996096,26.4295797588
 01/05  10:00:00,1513.6098814,101.630720947,554.360393008,0.0,243.2593065,302.612436532,600.817267038,522.968468261,42.4850247072,35.36377407
 01/05  11:00:00,1539.17267802,102.187066314,566.71769115,0.0,243.2593065,310.10971186,606.214030444,499.856559388,70.808374512,35.549096544
 01/05  12:00:00,1549.28358105,102.755898539,576.908133121,0.0,243.2593065,310.10971186,586.282113374,479.853620528,70.808374512,35.6201183341
 01/05  13:00:00,1519.04334521,103.298195796,585.146190624,0.0,243.2593065,310.10971186,565.956077732,459.703289181,70.808374512,35.4444140393
 01/05  14:00:00,1561.24001845,103.800441888,590.205201727,0.0,243.2593065,302.612436532,527.537460403,435.268854034,56.6466996096,35.6219067596
 01/05  15:00:00,1565.45642426,104.21481095,594.423930757,0.0,243.2593065,302.612436532,491.004386155,407.887982839,42.4850247072,40.6313786086
 01/05  16:00:00,1567.49210304,104.600431817,596.014617751,0.0,243.2593065,302.612436532,478.787914912,391.701840033,56.6466996096,30.4393752691
