Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,164.897481829,30.7662172026,40.9712396381,0.0,34.4311606118,33.1021868926,128.439323937,18.0648179418,3.33212,107.042385995
 01/01  02:00:00,173.283682771,30.7662172026,49.3109248839,0.0,34.4311606118,33.1021868926,132.165655545,47.0504607925,3.33212,81.7830747527
 01/01  03:00:00,156.402102458,30.7662172026,49.8729420437,0.0,19.466279405,30.610668775,139.519112645,55.629155113,3.33212,80.5578375324
 01/01  04:00:00,155.100474449,30.7662172026,48.5803674108,0.0,19.466279405,30.610668775,130.694109054,46.805536515,3.33212,80.5564525389
 01/01  05:00:00,162.14709136,30.7662172026,49.0693301021,0.0,19.466279405,30.610668775,148.213934624,36.7061875865,3.33212,108.175627037
 01/01  06:00:00,174.979467763,30.7662172026,49.6837747551,0.0,19.466279405,30.610668775,169.390469059,29.9618227079,8.3303,131.098346351
 01/01  07:00:00,313.69596373,34.4329592892,109.555059219,0.0,42.6918050922,54.3732441037,237.554810142,25.565519377,16.6606,195.328690765
 01/01  08:00:00,318.24506868,35.749732823,77.7378979251,0.0,49.3960418185,88.5934452969,437.413336312,94.2258211513,24.9909,318.19661516
 01/01  09:00:00,405.427028373,35.579287188,133.42495577,0.0,57.6566862989,112.030105488,538.283180613,51.4774425361,33.3212,453.484538077
 01/01  10:00:00,363.175783411,36.124405861,146.54437754,0.0,50.9524495726,81.1684271793,416.716083394,21.5323013028,66.8089,328.374882091
 01/01  11:00:00,320.595711768,36.2771044471,148.540511576,0.0,42.6918050922,68.9656133826,336.616234741,2.57160292648,83.4695,250.575131815
 01/01  12:00:00,317.101967503,36.3664987725,148.253638998,0.0,38.286128036,68.9656133826,281.253057804,0.42201787809,83.4695,197.361539925
 01/01  13:00:00,317.228556551,36.5107350158,148.814718424,0.0,38.286128036,68.9656133826,229.878833683,0.438205297354,83.4695,145.971128385
 01/01  14:00:00,298.198833514,36.4584602701,148.683410551,0.0,31.5818913096,56.727595265,221.884170979,0.785107443232,75.1392,145.959863536
 01/01  15:00:00,298.222327074,36.4853777761,148.58488232,0.0,31.5818913096,56.727595265,213.280390285,0.850661223196,66.8089,145.620829062
 01/01  16:00:00,298.392220813,36.4405201326,148.981100829,0.0,31.5818913096,56.727595265,221.658796726,0.906791051844,75.1392,145.612805674
 01/01  17:00:00,328.516776342,36.100455069,150.457803694,0.0,31.5818913096,61.661095265,201.313634454,1.10384607208,91.7998,108.409988382
 01/01  18:00:00,370.60295219,35.6091270309,151.665246195,0.0,31.5818913096,70.9729253606,191.10922032,3.14291764315,49.9818,137.984502677
 01/01  19:00:00,434.298776144,35.6384511743,150.89512085,0.0,80.3315023541,83.7685254822,215.197174508,2.62874115906,49.9818,162.586633349
 01/01  20:00:00,437.047325942,35.5662528185,149.704766219,0.0,102.000620287,77.6748002752,251.302472997,2.32709138558,33.3212,215.654181611
 01/01  21:00:00,456.753514363,35.5489661521,148.852664704,0.0,108.704857014,91.4735406516,250.986456606,2.59231941866,33.3212,215.072937187
 01/01  22:00:00,428.21195023,35.6003473011,148.569083754,0.0,95.2963835608,89.1510273009,243.850103703,3.21781179301,24.9909,215.64139191
 01/01  23:00:00,375.50205422,35.5910629204,149.23142791,0.0,80.3315023541,63.3799339444,339.959095118,5.01438275805,16.6606,318.28411236
 01/01  24:00:00,313.668368699,35.5686607261,151.850883143,0.0,42.6918050922,48.4199368926,195.002575545,6.69355158179,8.3303,179.978723963
 01/02  01:00:00,160.645785763,30.7662172026,48.1236831136,0.0,25.5240853573,30.610668775,111.528996255,0.0,3.33212,108.196876255
 01/02  02:00:00,160.730658606,30.7662172026,55.6707854358,0.0,19.418418834,29.3649097162,83.8051045906,0.0,3.33212,80.4729845906
 01/02  03:00:00,169.189758265,31.5633350475,70.3047393358,0.0,12.7620426787,28.1191506574,83.8259110622,0.0159024243845,3.33212,80.4778886378
 01/02  04:00:00,165.424437329,32.3604528924,65.1952395297,0.0,12.7620426787,28.1191506574,83.8205170866,0.0,3.33212,80.4883970866
 01/02  05:00:00,197.369711675,33.1575707373,88.4644408805,0.0,12.7620426787,28.1191506574,111.558152556,0.0284390734832,3.33212,108.197593483
 01/02  06:00:00,179.837203382,31.5633350475,46.6853811828,0.0,25.5240853573,30.610668775,195.362172266,0.0400236643329,8.3303,186.991848602
 01/02  07:00:00,361.451872662,34.7518064271,123.690563097,0.0,51.0481707146,78.1489452969,334.243169264,0.0347346171856,16.6606,317.547834647
 01/02  08:00:00,426.676678608,35.5622603794,148.266897687,0.0,64.3609230253,109.708623606,452.573350562,5.01429315445,24.9909,422.568157408
