Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,67.6795744003,12.5556765166,16.2271650688,0.0,4.12243109448,15.9888894789,57.3483080556,54.3565776378,2.97173041782,0.02
 01/02  02:00:00,91.0111313438,21.0419588454,29.6212087264,0.0,4.12243109448,15.9888894789,92.1816160174,89.1898855996,2.97173041782,0.02
 01/02  03:00:00,66.4882231813,12.5556765166,15.2176681689,0.0,4.12243109448,15.9888894789,58.6668622162,55.6751317984,2.97173041782,0.02
 01/02  04:00:00,89.0250090142,19.9993903603,28.3212919774,0.0,4.12243109448,15.9888894789,88.3122550475,85.3205246297,2.97173041782,0.02
 01/02  05:00:00,124.953932774,28.7849954885,39.2778671953,0.0,12.3672932834,24.9413748627,110.834408467,105.861524437,4.9528840297,0.02
 01/02  06:00:00,136.223318705,28.7822463105,42.5088569087,7.74978917024,12.3672932834,24.9413748627,180.991294318,176.018410288,4.9528840297,0.02
 01/02  07:00:00,193.977433627,29.8721924781,44.8209969377,5.40736598223,24.7345865669,70.7195625826,147.329979342,137.404211282,9.90576805939,0.02
 01/02  08:00:00,210.135552533,30.1740497303,46.886932131,2.62637147847,37.1018798503,92.3937384068,128.032463737,118.106695677,9.90576805939,0.02
 01/02  09:00:00,226.072322262,30.4947792143,52.538309542,0.804177221844,37.1018798503,104.434947198,118.079789631,108.154021572,9.90576805939,0.02
 01/02  10:00:00,245.958810962,31.0772116634,60.2164680575,0.388422450095,37.1018798503,116.476155989,118.744715467,100.214981985,9.90576805939,8.62396542261
 01/02  11:00:00,253.388888118,31.4990274698,67.3384696115,0.274162580094,37.1018798503,116.476155989,105.375708496,95.4499404367,9.90576805939,0.02
 01/02  12:00:00,255.790074826,31.4430269013,69.9125386229,0.15703815289,37.1018798503,116.476155989,105.100996032,95.1752279726,9.90576805939,0.02
 01/02  13:00:00,246.069450056,31.7900224995,71.9642050125,0.0794998827652,37.1018798503,104.434947198,110.941500016,92.4103320155,9.90576805939,8.62539994093
 01/02  14:00:00,259.164964351,32.2902996057,72.5841907934,0.0130405955944,37.1018798503,116.476155989,98.6559454018,88.7301773424,9.90576805939,0.02
 01/02  15:00:00,257.520860565,32.5065072403,70.73704514,0.0,37.1018798503,116.476155989,105.402340449,86.8686146755,9.90576805939,8.62795771377
 01/02  16:00:00,256.426939296,32.2263671405,69.9235445046,0.0,37.1018798503,116.476155989,98.3219059532,88.3961378938,9.90576805939,0.02
 01/02  17:00:00,254.199234371,32.0314018375,67.8913130785,0.0,37.1018798503,116.476155989,98.9218283881,88.9960603287,9.90576805939,0.02
