Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.6117491081,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.5635032505,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.5433542794,0.0,0.0,0.0,15.863942322,29.242365,6.08813219125,0.0,3.20568,2.88245219125
 01/01  04:00:00,55.5290320056,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.7327869249,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.7040263322,0.0,0.0,0.0,15.863942322,29.242365,6.08809799319,0.0,3.20568,2.88241799319
 01/01  07:00:00,55.7098070736,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,47.0711317184,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.1020583138,0.0,0.0,0.0,15.863942322,29.242365,6.08939947757,0.0,3.20568,2.88371947757
 01/01  10:00:00,47.1683749201,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.2196687067,0.0,0.0,0.0,15.863942322,29.242365,6.08948870853,0.0,3.20568,2.88380870853
 01/01  12:00:00,47.952002761,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.2940441349,0.0,0.0,0.0,15.863942322,29.242365,6.08937806935,0.0,3.20568,2.88369806935
 01/01  14:00:00,57.000540776,1.1316187828,8.50846729254,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,62.8371202677,1.8038987877,13.6465839278,0.0,15.863942322,29.242365,6.08813150368,0.0,3.20568,2.88245150368
 01/01  16:00:00,59.1555209115,1.42668507474,10.3577583279,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,54.9361621202,0.913649637698,6.76143440993,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
