Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.7584303721,2.2085300361,0.0,0.0,1.85583932782,5.577,8.99574937678,4.25570840023,3.0011,1.73894097655
 01/01  02:00:00,9.64535189371,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.6689522816,0.0,0.0,0.0,0.618613109274,5.0,3.59317536566,0.0,3.0011,0.592075365661
 01/01  04:00:00,9.67132965137,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.81290367387,0.0,0.0,0.0,0.618613109274,5.0,3.59318126137,0.0,3.0011,0.592081261367
 01/01  06:00:00,13.7974044559,2.2085300361,0.0,0.0,1.85583932782,5.577,24.2375746091,19.7159246091,4.50165,0.02
 01/01  07:00:00,28.2539768316,2.2085300361,0.0,0.0,3.71167865564,18.077,29.8965931538,15.226633975,13.50495,1.16500917877
 01/01  08:00:00,25.6793424497,2.2085300361,0.0,0.0,3.71167865564,18.077,35.0828495055,12.3373408604,21.0077,1.73780864507
 01/01  09:00:00,20.6981139499,2.2085300361,0.0,0.0,3.71167865564,13.077,24.242652821,8.071893641,15.0055,1.16525917998
 01/01  10:00:00,20.7570855044,2.2085300361,0.0,0.0,3.71167865564,13.077,18.5375267052,2.36678545553,15.0055,1.16524124968
 01/01  11:00:00,25.8422492324,2.2085300361,0.00296821040976,0.0,3.71167865564,18.077,36.475325298,0.0,33.0121,3.46322529799
 01/01  12:00:00,27.5859369815,2.2085300361,0.541471763114,0.0,3.71167865564,18.077,44.5519562626,0.0,40.51485,4.03710626258
 01/01  13:00:00,27.8269965493,2.2085300361,1.55460652469,0.0,3.71167865564,18.077,38.9003975281,0.0,36.0132,2.88719752807
 01/01  14:00:00,27.9973292601,2.2085300361,1.95045269661,0.0,3.71167865564,18.077,34.3984212362,0.0,31.51155,2.88687123615
 01/01  15:00:00,22.7964845962,2.2085300361,1.73818616943,0.0,3.71167865564,13.077,23.3202993419,0.0,21.0077,2.31259934194
 01/01  16:00:00,22.4742229382,2.2085300361,1.43963875869,0.0,3.71167865564,13.077,21.8197956751,0.0,19.50715,2.31264567514
 01/01  17:00:00,21.9622517188,2.2085300361,1.02844581982,0.0,3.71167865564,13.077,24.8207573713,0.0,22.50825,2.31250737132
 01/01  18:00:00,28.9891467979,2.2085300361,0.549890504612,0.0,3.71167865564,18.077,28.3968179634,0.0,25.50935,2.88746796338
 01/01  19:00:00,28.8090337485,2.2085300361,0.391199877916,0.0,3.71167865564,18.077,28.9721980179,0.0,25.50935,3.46284801795
 01/01  20:00:00,28.8328281653,2.2085300361,0.254448551912,0.0,3.71167865564,18.077,29.5456941065,0.0,25.50935,4.03634410654
 01/01  21:00:00,23.5837350998,2.2085300361,0.0234765033896,0.0,3.71167865564,13.077,25.3953882148,0.0,22.50825,2.88713821481
 01/01  22:00:00,23.463389799,2.2085300361,0.0,0.0,3.71167865564,13.077,24.4695527193,0.0,21.0077,3.46185271933
 01/01  23:00:00,23.3266610607,2.2085300361,0.0,0.0,3.71167865564,13.077,20.8930667764,0.0,18.0066,2.88646677643
 01/01  24:00:00,24.4839747722,2.2085300361,0.0,0.0,3.71167865564,13.077,4.73903960561,0.0,3.0011,1.73793960561
 01/02  01:00:00,14.0586813589,2.2085300361,0.0,0.0,1.85583932782,5.577,4.84562312118,0.106412942762,3.0011,1.73811017842
 01/02  02:00:00,9.73687649891,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.76963004279,0.0,0.0,0.0,0.618613109274,5.0,3.59318413844,0.0,3.0011,0.592084138445
 01/02  04:00:00,9.78647765987,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.95824853105,0.0,0.0,0.0,0.618613109274,5.0,3.59319002268,0.0,3.0011,0.592090022676
 01/02  06:00:00,13.9739534029,2.2085300361,0.0,0.0,1.85583932782,5.577,5.50120975825,0.979559758251,4.50165,0.02
 01/02  07:00:00,28.4587749801,2.2085300361,0.00467694134081,0.0,3.71167865564,18.077,14.6701696508,0.0,13.50495,1.16521965079
 01/02  08:00:00,25.91136857,2.2085300361,0.00617397518575,0.0,3.71167865564,18.077,25.6212789898,0.0,21.0077,4.6135789898
 01/02  09:00:00,21.3530365424,2.2085300361,0.390321687868,0.0,3.71167865564,13.077,19.0440966361,0.0,15.0055,4.03859663609
 01/02  10:00:00,22.1258174066,2.2085300361,1.09929963366,0.0,3.71167865564,13.077,18.467668957,0.0,15.0055,3.46216895704
 01/02  11:00:00,27.8967393691,2.2085300361,1.82771596632,0.0,3.71167865564,18.077,35.8995141763,0.0,33.0121,2.88741417629
 01/02  12:00:00,29.8032768141,2.2085300361,2.62104697647,0.0,3.71167865564,18.077,43.9764545664,0.0,40.51485,3.46160456636
