Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.882757479,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.788877303,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.752509434,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,117.728204256,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.139994509,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.086144546,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  07:00:00,118.101890809,0.0,0.0,0.0,43.513341876,52.539744,13.4431455,0.0,4.83426,8.60888550001
 01/01  08:00:00,100.049589657,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,100.111037955,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.242626605,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.345340779,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,130.426491133,0.47178948998,28.3942259442,0.0,43.513341876,52.539744,13.4506332736,0.0,4.83426,8.61637327356
 01/01  13:00:00,291.942034686,3.0270772688,186.611309656,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,384.178199934,4.29423957538,276.674912074,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,417.840538459,4.6685928242,309.661241644,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
