Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,42.1419849717,6.1343646187,5.44163029422,0.0,12.925468867,10.100111941,4.85699431998,4.83699431998,0.0,0.02
 01/01  02:00:00,40.3915703708,5.98060930945,3.84606413165,0.0,12.925468867,10.100111941,14.9134277047,9.15773586769,0.0,5.75569183698
 01/01  03:00:00,34.5258401822,5.84540661689,2.73457975983,0.0,8.34152022915,10.0650221343,11.6988572343,11.6788572343,0.0,0.02
 01/01  04:00:00,33.930356925,5.78449230825,2.2000020223,0.0,8.34152022915,10.0650221343,19.0958559291,13.3399274832,0.0,5.7559284459
 01/01  05:00:00,35.1639077289,5.74377049708,1.86767877945,0.0,8.34152022915,11.6705166398,14.8176465656,14.7976465656,0.0,0.02
 01/01  06:00:00,38.9824138188,5.70740255875,1.56425747006,0.0,8.80141237637,15.3678112995,21.8794135454,16.1135230749,0.0,5.76589047049
 01/01  07:00:00,59.5293045035,5.77381424362,2.06816019008,0.0,18.5082010057,25.6353820695,21.9311347594,16.1550598195,0.0,5.77607493985
 01/01  08:00:00,70.1361975249,5.9592201728,3.57093705007,0.0,19.4926561212,41.1001056674,26.3368956913,14.7554452024,0.0,11.5814504889
 01/01  09:00:00,99.3810250082,6.46066052232,8.55699533621,0.0,26.3286599382,57.9988325916,35.8060864574,6.36123165669,0.0,29.4448548007
 01/01  10:00:00,86.9232984258,6.49742182022,11.3358543482,0.0,26.2443270014,42.8153538416,48.6522469828,1.31413061367,18.025,29.3131163692
 01/01  11:00:00,62.9700181813,6.42641388105,11.3281536256,0.0,21.7447113004,23.4437158914,41.5952227056,0.177429650411,18.025,23.3927930552
 01/01  12:00:00,62.9196128214,6.63062813024,13.4755443627,0.0,19.3449162599,23.4437158914,35.5432505753,0.0,18.025,17.5182505753
 01/01  13:00:00,65.8381433931,6.81943049195,16.0630774045,0.0,19.190480192,23.7425572507,35.5096778575,0.0,18.025,17.4846778575
 01/01  14:00:00,68.2507147823,6.95239582202,18.316565613,0.0,19.260583323,23.698576057,41.3291180265,0.0,18.025,23.3041180265
 01/01  15:00:00,69.1806047109,7.0147827983,19.1840678148,0.0,19.260583323,23.698576057,35.5099049905,0.0,18.025,17.4849049905
 01/01  16:00:00,67.9625290457,6.9702401991,18.300482543,0.0,19.260583323,23.4086260847,35.5092773084,0.0,18.025,17.4842773084
 01/01  17:00:00,69.7339322237,6.82299517227,15.7678182013,0.0,19.260583323,27.8781056672,23.7849135515,0.0,18.025,5.75991355154
 01/01  18:00:00,82.3457710176,6.74836861024,12.2958228769,0.0,18.1807569449,37.5792895564,5.76570070267,0.0,0.0,5.76570070267
 01/01  19:00:00,96.0224811468,6.84821612601,11.9791194396,0.0,32.6059821062,37.0465235296,5.78854856352,0.0178708582118,0.0,5.77067770531
 01/01  20:00:00,96.8400037624,6.93533385385,12.4784597196,0.0,36.8143715336,33.066984531,5.78055083204,0.0,0.0,5.78055083204
 01/01  21:00:00,103.3612289,7.09225684402,13.4832616617,0.0,36.43363367,38.8072253906,5.7797076918,0.0,0.0,5.7797076918
 01/01  22:00:00,100.571246605,7.06938583031,13.0728576714,0.0,36.0963922311,36.7877557581,11.7413865147,0.199873139676,0.0,11.541513375
 01/01  23:00:00,76.0868590626,6.69626303899,10.2817615238,0.0,30.9507766546,20.6087787026,6.40161108308,0.600517858215,0.0,5.80109322487
 01/01  24:00:00,50.8331656626,6.35907266025,7.79965312713,0.0,17.4250845679,11.7056064465,11.8415648784,0.30952222113,0.0,11.5320426573
 01/02  01:00:00,41.9230620293,6.21410996116,6.46226578673,0.0,11.6412384099,10.0650221343,0.601754440715,0.581754440715,0.0,0.02
 01/02  02:00:00,39.0065111943,6.08831992123,5.23218907586,0.0,10.0992000411,10.047477231,7.09903511586,1.34327621685,0.0,5.75575889901
 01/02  03:00:00,36.3935757959,6.01010867892,4.55702804177,0.0,8.25718729233,10.0299323277,1.27814652866,1.25814652866,0.0,0.02
 01/02  04:00:00,35.9449542061,5.96266046128,4.1558497831,0.0,8.25718729233,10.0299323277,6.83576812156,1.08038210359,0.0,5.75538601797
 01/02  05:00:00,37.1743892155,5.92301830346,3.81832728316,0.0,8.25718729233,11.6354268332,6.90377000713,1.14317743844,0.0,5.76059256869
 01/02  06:00:00,44.9519641593,5.93945335748,3.99981718515,0.0,12.1011305571,15.3678112995,6.89152073352,1.11558727353,0.0,5.77593345999
 01/02  07:00:00,78.3963479487,6.39263024681,7.46277308275,0.0,19.7275818095,37.2640762949,12.6733499812,1.09182406353,0.0,11.5815259177
 01/02  08:00:00,93.0838407041,6.7767530231,10.6980433567,0.0,24.3117294858,51.2795993405,11.961355405,0.338358721267,0.0,11.6229966837
 01/02  09:00:00,83.3255819032,6.60348537835,12.3880781672,0.0,23.6694662846,40.6342015617,29.3159801681,0.0,0.0,29.3159801681
 01/02  10:00:00,84.2891670552,6.83856402481,18.1238919207,0.0,23.6694662846,35.6302164847,35.5743508072,0.0,18.025,17.5493508072
 01/02  11:00:00,67.8137255234,6.79078833162,19.292907218,0.0,18.7433767983,22.9618409725,41.3770188169,0.0,18.025,23.3520188169
 01/02  12:00:00,67.5790523042,6.74135260518,19.1098839506,0.0,18.7433767983,22.9618409725,35.5129473516,0.0,18.025,17.4879473516
 01/02  13:00:00,69.0481815158,6.84373376253,20.4331822434,0.0,18.5889407304,23.1597249699,35.5076226698,0.0,18.025,17.4826226698
 01/02  14:00:00,70.2693451494,6.94988979538,21.3016912653,0.0,18.7433767983,23.2517909448,41.3309684608,0.0,18.025,23.3059684608
 01/02  15:00:00,69.8666634337,6.95389358355,20.8950040046,0.0,18.7433767983,23.2517909448,35.511357877,0.0,18.025,17.486357877
 01/02  16:00:00,68.2742584216,6.86613511087,19.6803055231,0.0,18.7433767983,22.9618409725,35.5068343831,0.0,18.025,17.4818343831
 01/02  17:00:00,71.065840471,6.81301178579,18.0737005715,0.0,18.7433767983,27.431320555,23.7857677432,0.0,18.025,5.76076774323
 01/02  18:00:00,88.7204762821,6.90982342657,15.9073091752,0.0,17.6635504202,40.6971502883,5.77088626713,0.0,0.0,5.77088626713
 01/02  19:00:00,94.1735283909,6.98250351425,14.7829379865,0.0,27.5259009287,37.3340067412,11.5715989848,0.0,0.0,11.5715989848
 01/02  20:00:00,96.8827227723,7.07191993419,15.0773652585,0.0,33.8341110165,33.3544677425,5.78080565922,0.0,0.0,5.78080565922
 01/02  21:00:00,106.969525597,7.31254549188,16.7693867651,0.0,36.5179666069,38.8247702939,5.81367309162,0.0337154871867,0.0,5.77995760444
 01/02  22:00:00,101.885436179,7.37331345006,17.1395591207,0.0,32.965339924,36.8579353714,11.5826598573,0.0,0.0,11.5826598573
 01/02  23:00:00,73.2970131953,6.87823945501,12.5933652238,0.0,25.6355707503,20.6438685092,11.5520299959,0.0,0.0,11.5520299959
 01/02  24:00:00,49.7623724484,6.46691514203,9.02302619067,0.0,15.0252895274,11.7056064465,5.76589641222,0.0,0.0,5.76589641222
 01/03  01:00:00,43.4044154346,6.33069569022,7.82702954283,0.0,11.6412384099,10.0650221343,0.02,0.0,0.0,0.02
 01/03  02:00:00,41.7953709312,6.30566040472,7.80370589609,0.0,10.0992000411,10.047477231,5.755853452,0.0,0.0,5.755853452
 01/03  03:00:00,40.1508353085,6.29274043166,8.03165492684,0.0,8.25718729233,10.0299323277,0.02,0.0,0.0,0.02
 01/03  04:00:00,40.1031473458,6.27425768173,8.00244277809,0.0,8.25718729233,10.0299323277,5.75548596058,0.0,0.0,5.75548596058
