Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,91.6652476829,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,86.7114268929,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,83.8686199645,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,82.0767888623,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553710036,0.0,1.75125,1.16428710036
 01/01  05:00:00,87.1000417701,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,85.1774731207,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,122.72677571,25.3812276145,0.0,0.0,6.98738001645,14.1499734587,252.495553205,247.828746458,3.5025,1.16430674786
 01/01  08:00:00,117.94284404,25.3812276145,0.0,0.0,6.98738001645,14.1499734587,253.916968329,250.394468329,3.5025,0.02
 01/01  09:00:00,153.725358509,25.3812276145,0.0,0.0,6.98738001645,14.1499734587,205.753142458,201.086299276,3.5025,1.16434318181
 01/01  10:00:00,129.492511181,25.3812276145,0.0,0.0,6.98738001645,14.1499734587,167.59146264,164.06896264,3.5025,0.02
 01/01  11:00:00,170.427314412,25.3812276145,0.306372616204,0.0,27.9495200658,27.7759469175,118.278911466,110.10923756,7.005,1.16467390663
 01/01  12:00:00,206.962001217,25.3812276145,1.04899233009,0.0,27.9495200658,27.7759469175,75.1741506666,68.1491506666,7.005,0.02
 01/01  13:00:00,224.025725503,25.3812276145,3.00108708176,0.0,41.9242800987,36.8599292233,40.3645840331,29.8597522255,9.34,1.16483180767
 01/01  14:00:00,226.701873111,25.3812276145,3.87195659706,0.0,41.9242800987,36.8599292233,18.620057761,8.11527834156,9.34,1.16477941947
 01/01  15:00:00,224.068583269,25.3812276145,4.3608827637,0.0,41.9242800987,36.8599292233,10.5046701431,0.0,9.34,1.16467014314
 01/01  16:00:00,220.095627505,25.3812276145,4.45378207541,0.0,41.9242800987,36.8599292233,10.9497175468,1.5897175468,9.34,0.02
 01/01  17:00:00,219.072309834,25.3812276145,4.35726965425,0.0,41.9242800987,36.8599292233,20.5983521751,10.0935228262,9.34,1.16482934898
 01/01  18:00:00,199.436868557,25.3812276145,2.54413480273,0.0,27.9495200658,27.7759469175,44.5048175737,36.3350989113,7.005,1.1647186624
 01/01  19:00:00,202.196142012,25.3812276145,1.20574280712,0.0,13.9747600329,18.6919646116,64.8795039932,60.1895039932,4.67,0.02
 01/01  20:00:00,185.501082747,25.3812276145,1.04619845031,0.0,13.9747600329,18.6919646116,72.7637177261,66.9291685935,4.67,1.16454913258
 01/01  21:00:00,174.795259837,25.3812276145,0.963205971251,0.0,13.9747600329,18.6919646116,76.4256629622,70.5912030636,4.67,1.16445989865
 01/01  22:00:00,155.942808199,25.3812276145,0.800430460538,0.0,13.9747600329,18.6919646116,41.9952043597,37.3052043597,4.67,0.02
 01/01  23:00:00,97.1534641293,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,131.525242799,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554782055,0.0,1.75125,1.16429782055
 01/02  01:00:00,106.569389401,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,95.7660740964,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,95.0909000376,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924592555,0.0,2.335,1.16424592555
 01/02  04:00:00,94.7872801517,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,101.874598837,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,101.0027266,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,150.750629011,25.3812276145,0.158463644071,0.0,13.9747600329,18.6919646116,107.498137727,101.663912209,4.67,1.16422551829
 01/02  08:00:00,150.982049294,25.3812276145,0.288592628138,0.0,13.9747600329,18.6919646116,110.865817911,106.175817911,4.67,0.02
 01/02  09:00:00,233.692397958,25.3812276145,1.53386830182,0.0,34.9369000822,32.3179380704,71.6088968608,62.2718765294,8.1725,1.16452033134
 01/02  10:00:00,270.736542093,25.3812276145,3.80127723251,0.0,62.886420148,41.4019203762,28.7202916502,18.1927916502,10.5075,0.02
 01/02  11:00:00,263.044828969,25.3812276145,4.80901311336,0.0,62.886420148,41.4019203762,12.6787807523,1.00645057049,10.5075,1.16483018185
 01/02  12:00:00,293.743626457,25.3812276145,5.61462560787,0.0,62.886420148,41.4019203762,11.6727099005,0.0,10.5075,1.16520990054
 01/02  13:00:00,282.903301025,25.3812276145,6.41561494875,0.0,62.886420148,41.4019203762,11.6726158283,0.0,10.5075,1.16511582831
 01/02  14:00:00,279.655060351,25.3812276145,6.98025628858,0.0,62.886420148,41.4019203762,12.8178029719,0.0,10.5075,2.3103029719
 01/02  15:00:00,272.858434622,25.3812276145,6.93541674271,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/02  16:00:00,270.000141108,25.3812276145,7.13393440268,0.0,62.886420148,41.4019203762,11.6725087878,0.0,10.5075,1.1650087878
 01/02  17:00:00,270.046710217,25.3812276145,7.16621480765,0.0,62.886420148,41.4019203762,11.672423635,0.0,10.5075,1.164923635
 01/02  18:00:00,281.372343485,25.3812276145,6.55683353871,0.0,62.886420148,41.4019203762,11.6723522553,0.0,10.5075,1.16485225527
 01/02  19:00:00,275.422514911,25.3812276145,5.16428317325,0.0,41.9242800987,36.8599292233,12.2686981551,1.76381996003,9.34,1.16487819502
 01/02  20:00:00,263.258254256,25.3812276145,4.71719182064,0.0,41.9242800987,36.8599292233,22.524889793,12.0201624095,9.34,1.16472738349
 01/02  21:00:00,236.03009134,25.3812276145,3.93194397459,0.0,34.9369000822,32.3179380704,24.2928575039,16.1003575039,8.1725,0.02
 01/02  22:00:00,176.005756178,25.3812276145,2.36308028796,0.0,13.9747600329,18.6919646116,5.83459508054,0.0,4.67,1.16459508054
 01/02  23:00:00,113.664827568,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,142.537940755,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930027938,0.0,2.335,1.16430027938
 01/03  01:00:00,115.218047867,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,105.064340852,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,109.802096233,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924561808,0.0,2.335,1.16424561808
 01/03  04:00:00,113.917630739,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,144.443440122,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  06:00:00,146.968961382,0.0,0.0,0.0,3.49369000822,9.08398230582,3.499232112,0.0,2.335,1.164232112
 01/03  07:00:00,202.213792414,25.3812276145,1.17878706996,0.0,13.9747600329,18.6919646116,25.5861314364,20.8961314364,4.67,0.02
 01/03  08:00:00,202.192033675,25.3812276145,1.1847504143,0.0,13.9747600329,18.6919646116,44.3831879806,39.6931879806,4.67,0.02
 01/03  09:00:00,266.45649058,25.3812276145,2.84913501615,0.0,34.9369000822,32.3179380704,33.7544822027,24.4174531359,8.1725,1.16452906686
 01/03  10:00:00,297.051306878,25.3812276145,4.564676952,0.0,62.886420148,41.4019203762,17.6795407014,6.00739601595,10.5075,1.1646446854
 01/03  11:00:00,295.674367957,25.3812276145,5.3646548275,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/03  12:00:00,317.64564647,25.3812276145,7.39139912162,0.0,62.886420148,41.4019203762,11.6726058815,0.0,10.5075,1.16510588146
 01/03  13:00:00,309.050091145,25.3812276145,7.44309226315,0.0,62.886420148,41.4019203762,12.8178803255,0.0,10.5075,2.31038032548
 01/03  14:00:00,306.231664001,25.3812276145,6.88651683521,0.0,62.886420148,41.4019203762,11.6727219864,0.0,10.5075,1.16522198636
 01/03  15:00:00,297.319885319,25.3812276145,6.96022643992,0.0,62.886420148,41.4019203762,11.6725230007,0.0,10.5075,1.16502300075
 01/03  16:00:00,293.553815102,25.3812276145,7.53119646967,0.0,62.886420148,41.4019203762,11.6723457524,0.0,10.5075,1.16484575238
 01/03  17:00:00,294.155802479,25.3812276145,7.69432590914,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/03  18:00:00,305.43320515,25.3812276145,6.97941782923,0.0,62.886420148,41.4019203762,11.6724973713,0.0,10.5075,1.16499737128
 01/03  19:00:00,297.956589209,25.3812276145,5.48432365793,0.0,41.9242800987,36.8599292233,10.5048303173,0.0,9.34,1.16483031731
 01/03  20:00:00,279.927891259,25.3812276145,5.10467128855,0.0,41.9242800987,36.8599292233,10.5047072292,0.0,9.34,1.16470722916
 01/03  21:00:00,255.094242578,25.3812276145,4.26860454734,0.0,34.9369000822,32.3179380704,13.5680618596,4.23080081629,8.1725,1.16476104335
 01/03  22:00:00,179.604668942,25.3812276145,1.9858927382,0.0,13.9747600329,18.6919646116,4.88548932147,0.19548932147,4.67,0.02
 01/03  23:00:00,125.962310087,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49934767613,0.0,2.335,1.16434767613
 01/03  24:00:00,155.218805699,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  01:00:00,131.178287629,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  02:00:00,117.842282527,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925554139,0.0,2.335,1.16425554139
 01/04  03:00:00,110.205679972,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  04:00:00,103.183384373,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  05:00:00,104.040453742,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  06:00:00,98.682287365,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4992489061,0.0,2.335,1.1642489061
 01/04  07:00:00,143.887990666,25.3812276145,0.0,0.0,13.9747600329,18.6919646116,176.991231577,172.301231577,4.67,0.02
 01/04  08:00:00,138.194167548,25.3812276145,0.0,0.0,13.9747600329,18.6919646116,194.623189364,189.933189364,4.67,0.02
 01/04  09:00:00,213.02776948,25.3812276145,0.0624581101635,0.0,34.9369000822,32.3179380704,176.008633759,166.671542139,8.1725,1.1645916201
 01/04  10:00:00,239.598345547,25.3812276145,0.542041868196,0.0,62.886420148,41.4019203762,145.759971174,134.087837934,10.5075,1.16463323978
 01/04  11:00:00,231.622367009,25.3812276145,0.748394585641,0.0,62.886420148,41.4019203762,135.066219894,123.393947591,10.5075,1.16477230311
 01/04  12:00:00,263.361721619,25.3812276145,0.991907158221,0.0,62.886420148,41.4019203762,117.007461822,105.334889686,10.5075,1.16507213659
 01/04  13:00:00,245.272827634,25.3812276145,1.33478767123,0.0,62.886420148,41.4019203762,106.786669145,95.1138939921,10.5075,1.16527515313
 01/04  14:00:00,243.434190224,25.3812276145,1.59213975905,0.0,62.886420148,41.4019203762,100.673401477,89.000784625,10.5075,1.16511685173
 01/04  15:00:00,238.309472813,25.3812276145,1.66980973864,0.0,62.886420148,41.4019203762,101.156738128,89.4842826064,10.5075,1.16495552131
 01/04  16:00:00,233.691614672,25.3812276145,1.8263247939,0.0,62.886420148,41.4019203762,101.250448091,89.5779480331,10.5075,1.16500005812
 01/04  17:00:00,231.906890591,25.3812276145,1.78374779362,0.0,62.886420148,41.4019203762,111.018671603,99.3462449889,10.5075,1.16492661364
 01/04  18:00:00,243.803596937,25.3812276145,1.51511494193,0.0,62.886420148,41.4019203762,130.276604359,118.604237477,10.5075,1.16486688204
 01/04  19:00:00,241.231066715,25.3812276145,0.897275480967,0.0,41.9242800987,36.8599292233,147.309296586,137.949296586,9.34,0.02
 01/04  20:00:00,225.080832425,25.3812276145,0.666204815934,0.0,41.9242800987,36.8599292233,167.235680355,156.730983424,9.34,1.16469693088
 01/04  21:00:00,199.261444794,25.3812276145,0.310222207475,0.0,34.9369000822,32.3179380704,178.289536196,168.952281297,8.1725,1.16475489958
 01/04  22:00:00,141.261980555,25.3812276145,0.0,0.0,13.9747600329,18.6919646116,147.761983126,143.071983126,4.67,0.02
 01/04  23:00:00,85.9884876521,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49941013372,0.0,2.335,1.16441013372
 01/04  24:00:00,120.3282072,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  01:00:00,89.8962152412,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  02:00:00,82.614529992,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49927591089,0.0,2.335,1.16427591089
 01/05  03:00:00,81.4804325865,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  04:00:00,80.4539789585,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  05:00:00,86.2861187186,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4992108816,0.0,2.335,1.1642108816
 01/05  06:00:00,85.0504117029,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  07:00:00,135.233624528,25.3812276145,0.0,0.0,13.9747600329,18.6919646116,351.336259953,346.646259953,4.67,0.02
 01/05  08:00:00,130.905902961,25.3812276145,0.0,0.0,13.9747600329,18.6919646116,329.433432072,323.598976043,4.67,1.16445602984
 01/05  09:00:00,207.948536219,25.3812276145,0.0,0.0,34.9369000822,32.3179380704,264.101753272,255.909253272,8.1725,0.02
 01/05  10:00:00,234.417120586,25.3812276145,0.0883578022264,0.0,62.886420148,41.4019203762,214.125381056,202.453249011,10.5075,1.16463204437
 01/05  11:00:00,225.830405955,25.3812276145,0.0892520349439,0.0,62.886420148,41.4019203762,185.940318139,174.267885644,10.5075,1.16493249479
 01/05  12:00:00,256.411613134,25.3812276145,0.436423973061,0.0,62.886420148,41.4019203762,157.652780654,145.980047369,10.5075,1.16523328431
 01/05  13:00:00,238.9007233,25.3812276145,0.769581744299,0.0,62.886420148,41.4019203762,137.338210066,125.665534766,10.5075,1.16517529964
 01/05  14:00:00,237.320632902,25.3812276145,1.05685232788,0.0,62.886420148,41.4019203762,118.659751165,106.986971662,10.5075,1.16527950255
 01/05  15:00:00,233.996481097,25.3812276145,1.40660693426,0.0,62.886420148,41.4019203762,107.348158736,95.6757611935,10.5075,1.16489754243
 01/05  16:00:00,230.821094215,25.3812276145,1.75147906863,0.0,62.886420148,41.4019203762,100.546186395,88.8737265963,10.5075,1.1649597985
 01/05  17:00:00,229.494546729,25.3812276145,1.70499737608,0.0,62.886420148,41.4019203762,110.56002374,98.887639931,10.5075,1.16488380881
 01/05  18:00:00,237.58788102,25.3812276145,1.33395912914,0.0,62.886420148,41.4019203762,133.95732404,122.284791517,10.5075,1.16503252329
 01/05  19:00:00,239.618350208,25.3812276145,0.862823758603,0.0,41.9242800987,36.8599292233,152.38629125,141.881475598,9.34,1.16481565197
 01/05  20:00:00,223.715021263,25.3812276145,0.426616218775,0.0,41.9242800987,36.8599292233,186.743227918,177.383227918,9.34,0.02
 01/05  21:00:00,197.624608291,25.3812276145,0.0,0.0,34.9369000822,32.3179380704,216.422825252,207.08556726,8.1725,1.1647579914
 01/05  22:00:00,139.704075969,25.3812276145,0.0,0.0,13.9747600329,18.6919646116,191.439649519,185.605114321,4.67,1.16453519749
 01/05  23:00:00,85.2831953647,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/05  24:00:00,119.888585773,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  01:00:00,90.0719023871,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49922547484,0.0,2.335,1.16422547484
 01/06  02:00:00,82.6396342954,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  03:00:00,82.4259042803,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  04:00:00,82.8590264681,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  05:00:00,105.275427235,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924791713,0.0,2.335,1.16424791713
 01/06  06:00:00,105.198306362,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  07:00:00,154.832972167,25.3812276145,0.0,0.0,13.9747600329,18.6919646116,289.220974606,284.530974606,4.67,0.02
 01/06  08:00:00,143.7392678,25.3812276145,0.0,0.0,13.9747600329,18.6919646116,273.086695655,267.252277564,4.67,1.16441809124
 01/06  09:00:00,211.679945271,25.3812276145,0.0,0.0,34.9369000822,32.3179380704,238.216271637,230.023771637,8.1725,0.02
 01/06  10:00:00,239.809897385,25.3812276145,0.112812054628,0.0,62.886420148,41.4019203762,189.14744937,177.475200373,10.5075,1.16474899731
 01/06  11:00:00,234.104060893,25.3812276145,0.426084078473,0.0,62.886420148,41.4019203762,148.222316031,136.549905177,10.5075,1.16491085408
 01/06  12:00:00,267.533299972,25.3812276145,0.882583163011,0.0,62.886420148,41.4019203762,115.104238067,103.431579429,10.5075,1.16515863814
 01/06  13:00:00,254.142197767,25.3812276145,1.36279947495,0.0,62.886420148,41.4019203762,91.3989203765,79.7263355625,10.5075,1.16508481403
 01/06  14:00:00,255.056930169,25.3812276145,1.86322657039,0.0,62.886420148,41.4019203762,69.2643944832,57.5917015695,10.5075,1.16519291367
 01/06  15:00:00,254.037274676,25.3812276145,2.34226641136,0.0,62.886420148,41.4019203762,51.3797707615,39.7072004039,10.5075,1.16507035755
 01/06  16:00:00,250.654267964,25.3812276145,2.59217230094,0.0,62.886420148,41.4019203762,48.0033194987,36.3308907191,10.5075,1.16492877956
 01/06  17:00:00,249.283424193,25.3812276145,2.51510574326,0.0,62.886420148,41.4019203762,60.139730876,48.4673808147,10.5075,1.16485006131
 01/06  18:00:00,258.904831305,25.3812276145,2.48277412668,0.0,62.886420148,41.4019203762,67.1577250978,55.4852288662,10.5075,1.1649962316
 01/06  19:00:00,258.217840271,25.3812276145,1.6345746993,0.0,41.9242800987,36.8599292233,82.8642438123,72.3594469225,9.34,1.16479688978
 01/06  20:00:00,236.519500272,25.3812276145,1.1616119062,0.0,41.9242800987,36.8599292233,101.976801771,92.6168017712,9.34,0.02
 01/06  21:00:00,207.931040524,25.3812276145,0.774248803059,0.0,34.9369000822,32.3179380704,118.824822961,109.487552701,8.1725,1.16477025986
 01/06  22:00:00,146.82383204,25.3812276145,0.00772094801735,0.0,13.9747600329,18.6919646116,97.6562963179,91.8217142293,4.67,1.16458208855
 01/06  23:00:00,95.4388253412,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  24:00:00,127.972630764,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926595401,0.0,2.335,1.16426595401
 01/07  01:00:00,95.9522174439,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/07  02:00:00,87.7715793173,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/07  03:00:00,86.7878598402,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553298526,0.0,1.75125,1.16428298526
 01/07  04:00:00,85.7510277467,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/07  05:00:00,91.8134709037,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/07  06:00:00,90.7021929875,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91552846038,0.0,1.75125,1.16427846038
