Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4112447439,3.94883888137,0.0,0.0,4.58992532963,8.1892,108.420807021,98.7310967527,3.33988,6.34983026882
 01/01  02:00:00,14.6532828292,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.675956056,0.0,0.0,0.0,1.52997510988,7.4902,3.93195350911,0.0,3.33988,0.592073509113
 01/01  04:00:00,14.6880412069,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8384554628,0.0,0.0,0.0,1.52997510988,7.4902,3.93195941022,0.0,3.33988,0.592079410219
 01/01  06:00:00,22.5574724,3.94883888137,0.00983488342374,0.0,4.58992532963,8.1892,107.239140991,98.8694409915,8.3497,0.02
 01/01  07:00:00,38.5147283987,3.94883888137,0.0137452594987,0.0,9.17985065927,19.4245,114.411623007,93.6747130902,16.6994,4.03750991685
 01/01  08:00:00,42.8040636447,3.94883888137,0.011476828777,0.0,9.17985065927,26.9147,112.741806387,83.6550091401,25.0491,4.03769724702
 01/01  09:00:00,41.7455023664,3.94883888137,0.0,0.0,9.17985065927,26.9147,120.019968643,82.009481103,33.3988,4.61168753972
 01/01  10:00:00,34.2552105851,3.94883888137,0.0,0.0,9.17985065927,19.4245,117.337813361,88.2508469743,25.0491,4.0378663866
 01/01  11:00:00,41.7590700544,3.94883888137,0.0140469355422,0.0,9.17985065927,26.9147,138.371907966,83.8678405703,41.7485,12.7555673962
 01/01  12:00:00,42.5246030143,3.94883888137,0.0,0.0,9.17985065927,26.9147,133.768412509,79.2642519281,41.7485,12.7556605809
 01/01  13:00:00,41.8068816205,3.94883888137,0.0,0.0,9.17985065927,26.9147,124.121980437,71.3827420008,41.7485,10.9907384362
 01/01  14:00:00,34.2804345402,3.94883888137,0.0,0.0,9.17985065927,19.4245,114.253336384,70.4413422583,33.3988,10.4131941256
 01/01  15:00:00,34.2786644838,3.94883888137,0.0,0.0,9.17985065927,19.4245,104.646581818,72.0883160104,25.0491,7.50916580788
 01/01  16:00:00,34.2711055242,3.94883888137,0.0,0.0,9.17985065927,19.4245,113.105268463,71.6206182669,33.3988,8.08585019575
 01/01  17:00:00,41.7007867203,3.94883888137,0.00580305966303,0.0,9.17985065927,26.9147,127.959323681,69.7760067395,50.0982,8.08511694167
 01/01  18:00:00,44.880992835,3.94883888137,0.0,0.0,9.17985065927,26.9147,132.079052748,71.5663414969,50.0982,10.414511251
 01/01  19:00:00,45.9445392808,3.94883888137,0.0,0.0,9.17985065927,26.9147,131.957591271,69.105964443,50.0982,12.7534268275
 01/01  20:00:00,38.5858488154,3.94883888137,0.0,0.0,9.17985065927,19.4245,115.261285271,68.5279234175,33.3988,13.3345618531
 01/01  21:00:00,38.5655480473,3.94883888137,0.0,0.0,9.17985065927,19.4245,113.932427729,70.1203540406,33.3988,10.4132736883
 01/01  22:00:00,38.4933488351,3.94883888137,0.0,0.0,9.17985065927,19.4245,119.721276708,81.9184351043,25.0491,12.7537416034
 01/01  23:00:00,38.3825057566,3.94883888137,0.0,0.0,9.17985065927,19.4245,116.863869164,89.7499942012,16.6994,10.4144749629
 01/01  24:00:00,39.190643514,3.94883888137,0.0,0.0,9.17985065927,19.4245,108.527060381,94.4105661085,8.3497,5.76679427265
 01/02  01:00:00,22.4306486614,3.94883888137,0.0,0.0,4.58992532963,8.1892,112.669803917,104.137766669,3.33988,5.19215724744
 01/02  02:00:00,14.641965667,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.6638085382,0.0,0.0,0.0,1.52997510988,7.4902,3.93195983961,0.0,3.33988,0.592079839612
 01/02  04:00:00,14.6759316476,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
