Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,636.509728975,96.0886704864,204.96774874,0.0,34.9616554283,113.312780494,809.048196436,794.663172293,5.66466996096,8.72035418201
 01/01  02:00:00,649.108936599,96.0886704864,219.066049787,0.0,34.9616554283,113.312780494,789.138840568,766.053511184,5.66466996096,17.4206594231
 01/01  03:00:00,653.638526444,96.0886704864,221.005595142,0.0,34.9616554283,113.312780494,795.273202724,772.189125184,5.66466996096,17.4194075782
 01/01  04:00:00,654.099611111,96.0886704864,221.475416764,0.0,34.9616554283,113.312780494,791.508665451,777.122824193,5.66466996096,8.72117129651
 01/01  05:00:00,662.145230531,96.0886704864,221.556844479,0.0,44.4937663224,113.312780494,793.230077217,770.146282849,5.66466996096,17.4191244076
 01/01  06:00:00,662.589310789,96.0886704864,221.773509439,0.0,44.4937663224,113.312780494,803.452959809,771.870348893,14.1616749024,17.4209360131
 01/01  07:00:00,733.157877718,96.0886704864,221.662566367,0.0,54.0258772165,176.889270242,742.211219072,705.168951794,28.3233498048,8.71891747254
 01/01  08:00:00,728.634089834,96.0886704864,215.824091815,0.0,54.0258772165,184.38654557,773.687803746,713.782146497,42.4850247072,17.4206325417
 01/01  09:00:00,814.621899658,96.0886704864,218.176819528,0.0,65.1572554096,220.04316451,753.264398565,679.118306108,56.6466996096,17.4993928473
 01/01  10:00:00,818.648236903,96.0886704864,223.40999433,0.0,65.1572554096,212.545889182,733.519349962,664.669786393,42.4850247072,26.3645388625
 01/01  11:00:00,837.15100235,96.0886704864,234.481059449,0.0,65.1572554096,220.04316451,726.949902101,629.659980202,70.808374512,26.4815473872
 01/01  12:00:00,845.972094261,96.0886704864,242.904413825,0.0,65.1572554096,220.04316451,708.607364165,602.490059721,70.808374512,35.3089299321
 01/01  13:00:00,857.395215289,96.0886704864,254.620955515,0.0,65.1572554096,220.04316451,665.684519484,568.389911914,70.808374512,26.486233058
 01/01  14:00:00,859.959138298,96.0886704864,263.554227876,0.0,65.1572554096,212.545889182,634.853987747,551.726307584,56.6466996096,26.4809805534
