Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,151.97510518,30.9026578315,28.1620677574,0.0,34.4311606118,33.1021868926,195.237395464,68.5705607461,3.33212,123.334714718
 01/01  02:00:00,147.611141905,30.9026578315,23.7508153443,0.0,34.4311606118,33.1021868926,156.696074837,59.1272711851,3.33212,94.2366836523
 01/01  03:00:00,127.423253024,30.9026578315,21.0366004393,0.0,19.466279405,30.610668775,151.429072745,53.8832744114,3.33212,94.2136783332
 01/01  04:00:00,126.131567975,30.9026578315,19.7534083158,0.0,19.466279405,30.610668775,148.489626832,50.942262253,3.33212,94.2152445795
 01/01  05:00:00,133.918957481,30.9026578315,20.9690647091,0.0,19.466279405,30.610668775,175.841714059,49.3498501689,3.33212,123.15974389
 01/01  06:00:00,148.017161208,30.9026578315,22.8237863838,0.0,19.466279405,30.610668775,218.055243705,48.563750546,8.3303,161.161193159
 01/01  07:00:00,228.857706907,30.9026578315,32.1239926878,0.0,42.6918050922,54.3732441037,280.934522559,47.2418940282,16.6606,217.032028531
 01/01  08:00:00,305.268814966,35.6839911384,60.0490837134,0.146549285508,49.3960418185,88.5934452969,642.305710438,247.417684559,24.9909,369.89712588
 01/01  09:00:00,348.912468385,35.6832985281,77.5976508847,0.1088725878,57.6566862989,112.030105488,848.852297861,286.3309842,33.3212,529.200113661
 01/01  10:00:00,276.632725309,35.6771059159,61.6084130801,0.00912933239268,50.9524495726,81.1684271793,725.242433817,277.574920375,66.8089,380.858613442
 01/01  11:00:00,225.597624432,35.7356705538,55.5031165736,0.0469484070139,42.6918050922,68.9656133826,654.066872303,279.260564446,83.4695,291.336807856
 01/01  12:00:00,234.006880066,35.7898425773,67.170079315,0.397307155207,38.286128036,68.9656133826,589.584748197,279.647112043,83.4695,226.468136154
 01/01  13:00:00,245.457451338,35.8197022067,79.606399764,0.153151727955,38.286128036,68.9656133826,522.719418209,269.342267455,83.4695,169.907650754
 01/01  14:00:00,222.084019621,35.8524278192,75.238749809,0.0,31.5818913096,56.727595265,505.959048855,267.729042089,75.1392,163.090806766
 01/01  15:00:00,215.589797325,35.8996605122,68.6534252335,0.0,31.5818913096,56.727595265,504.704091494,268.509754275,66.8089,169.385437219
 01/01  16:00:00,208.640786978,35.9559063693,61.5882871855,0.0,31.5818913096,56.727595265,500.798860486,263.060071767,75.1392,162.599588718
 01/01  17:00:00,223.661989659,35.7719988312,47.5700079661,0.0,31.5818913096,61.661095265,476.192517027,254.42950422,91.7998,129.963212808
 01/01  18:00:00,248.001553098,35.6658176332,30.5189734881,0.0,31.5818913096,70.9729253606,474.448160848,269.578359218,49.9818,154.88800163
 01/01  19:00:00,316.897777147,35.6658176332,34.9649027381,0.0,80.3315023541,83.7685254822,526.550085101,280.970874759,49.9818,195.597410341
 01/01  20:00:00,333.335816039,35.6658176332,47.4885803189,0.0,102.000620287,77.6748002752,552.252040045,271.36457836,33.3212,247.566261685
 01/01  21:00:00,352.302643519,35.6658176332,46.0131967525,0.0,108.704857014,91.4735406516,551.105185457,269.511734744,33.3212,248.272250713
 01/01  22:00:00,325.299919833,35.6658176332,47.1961277785,0.0,95.2963835608,89.1510273009,557.89017133,279.295495368,24.9909,253.603775962
