Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,108.096982301,23.0013801357,10.2081298363,13.2976753786,4.12243109448,15.9888894789,99.2976105312,96.3058801134,2.97173041782,0.02
 01/02  02:00:00,97.3300162622,19.2382973481,8.71053611933,12.9583939698,4.12243109448,15.9888894789,85.3937345782,82.4020041604,2.97173041782,0.02
 01/02  03:00:00,115.026432589,24.0478716852,10.4347269006,18.3961317677,4.12243109448,15.9888894789,107.641425568,104.64969515,2.97173041782,0.02
 01/02  04:00:00,99.8209767109,19.2382973481,7.85480216858,15.5889944194,4.12243109448,15.9888894789,87.3730784584,84.3813480406,2.97173041782,0.02
 01/02  05:00:00,143.470565924,28.4345626119,9.86618044348,18.1189364515,12.3672932834,24.9413748627,123.591200812,118.618316782,4.9528840297,0.02
 01/02  06:00:00,174.408482364,28.0183726846,13.0337539945,45.9854356479,12.3672932834,24.9413748627,192.848588627,187.875704597,4.9528840297,0.02
 01/02  07:00:00,227.286350456,28.9067360518,7.06775850309,47.2875868398,24.7345865669,70.7195625826,195.531133,185.605364941,9.90576805939,0.02
 01/02  08:00:00,238.436546219,28.9590580432,7.07813302622,34.5680842875,37.1018798503,92.3937384068,178.242870966,168.317102906,9.90576805939,0.02
 01/02  09:00:00,241.350648208,28.9791666042,7.69923419359,29.3141479126,37.1018798503,104.434947198,168.419829622,158.494061563,9.90576805939,0.02
 01/02  10:00:00,250.792221767,28.9904629206,8.74738458229,25.5963679479,37.1018798503,116.476155989,168.503865307,149.9704607,9.90576805939,8.62763654771
 01/02  11:00:00,248.216269131,28.998829707,10.4061949569,21.9341378342,37.1018798503,116.476155989,150.117979443,140.192211383,9.90576805939,0.02
 01/02  12:00:00,244.42230626,29.0271859979,11.8907808751,18.0891900858,37.1018798503,116.476155989,148.471284566,129.933417627,9.90576805939,8.63209887972
 01/02  13:00:00,229.772577548,29.0615373356,12.3178231039,15.1011062326,37.1018798503,104.434947198,134.039446044,124.113677985,9.90576805939,0.02
 01/02  14:00:00,238.448592425,29.0998212357,12.9321417963,12.3940926844,37.1018798503,116.476155989,128.380397076,118.454629016,9.90576805939,0.02
 01/02  15:00:00,236.848688237,29.1366773639,13.9884919314,10.4656617136,37.1018798503,116.476155989,129.929781654,111.391686296,9.90576805939,8.63232729895
 01/02  16:00:00,233.640140538,29.1706615371,13.8068541175,9.36627881936,37.1018798503,116.476155989,118.896559859,108.970791799,9.90576805939,0.02
 01/02  17:00:00,232.880849922,29.1868518453,12.7583250035,9.00369832906,37.1018798503,116.476155989,130.724573474,112.192403451,9.90576805939,8.62640196356
 01/02  18:00:00,246.935296144,29.1768016625,11.709845613,10.1259560308,37.1018798503,116.476155989,128.222050187,118.296282128,9.90576805939,0.02
 01/02  19:00:00,158.880285077,27.3068735176,11.4465340238,0.0720126735763,24.7345865669,47.5788473902,86.608604044,81.6357200143,4.9528840297,0.02
 01/02  20:00:00,161.06774315,27.729756928,12.40628657,0.43608675192,24.7345865669,47.5788473902,90.9329949828,85.9601109531,4.9528840297,0.02
 01/02  21:00:00,138.070960688,27.1659123808,9.60136744902,0.956425450215,12.3672932834,38.6892022431,104.415501717,101.4237713,2.97173041782,0.02
 01/02  22:00:00,121.388128738,23.0013801357,11.3419358762,4.94644746258,12.3672932834,27.0668015668,98.6567697896,87.0796288638,2.97173041782,8.6054105079
 01/02  23:00:00,94.5310874846,19.2382973481,9.46906565101,7.61822265452,4.12243109448,15.9888894789,80.0201180139,77.0283875961,2.97173041782,0.02
 01/02  24:00:00,113.05190208,24.0478716852,11.7271427151,12.356358944,4.12243109448,15.9888894789,102.402041754,99.4103113366,2.97173041782,0.02
 01/03  01:00:00,98.4028119064,19.2382973481,8.45244291619,11.5950104315,4.12243109448,15.9888894789,84.0107770109,81.0190465931,2.97173041782,0.02
 01/03  02:00:00,116.551747789,24.0478716852,10.1623495123,16.8307472757,4.12243109448,15.9888894789,106.137166075,103.145435657,2.97173041782,0.02
 01/03  03:00:00,100.452167854,19.2382973481,7.5427985851,14.6213527425,4.12243109448,15.9888894789,86.3700548298,83.378324412,2.97173041782,0.02
 01/03  04:00:00,119.463401062,24.0478716852,8.5749313426,20.5534812506,4.12243109448,15.9888894789,108.871985421,105.880255003,2.97173041782,0.02
 01/03  05:00:00,139.274942045,28.0116792015,7.48870438237,14.3995565907,12.3672932834,24.9413748627,122.291310621,117.318426591,4.9528840297,0.02
 01/03  06:00:00,187.569102834,28.4477250431,14.5692307456,56.3339867789,12.3672932834,24.9413748627,192.237420234,187.264536204,4.9528840297,0.02
 01/03  07:00:00,227.127609586,28.8960396042,6.45240345796,47.6146519799,24.7345865669,70.7195625826,196.251985648,186.326217589,9.90576805939,0.02
 01/03  08:00:00,237.208136777,28.9489408738,6.02857657939,35.2331615345,37.1018798503,92.3937384068,180.634943675,170.709175616,9.90576805939,0.02
 01/03  09:00:00,235.575042061,28.9776466456,7.86102669687,27.9108085944,37.1018798503,104.434947198,167.767344041,157.841575981,9.90576805939,0.02
 01/03  10:00:00,241.67586605,28.9928033772,10.9932700977,22.1719509789,37.1018798503,116.476155989,158.785980575,140.252518139,9.90576805939,8.62769437645
 01/03  11:00:00,238.506160596,29.0461405378,12.9217685736,17.1243106815,37.1018798503,116.476155989,135.636895904,125.711127845,9.90576805939,0.02
 01/03  12:00:00,236.78174753,29.1156230942,14.5802587108,13.6737170595,37.1018798503,116.476155989,132.372828497,113.833131825,9.90576805939,8.63392861268
 01/03  13:00:00,224.233467556,29.1882360313,16.016284498,11.1531581324,37.1018798503,104.434947198,113.06490559,103.139137531,9.90576805939,0.02
 01/03  14:00:00,234.194010179,29.2575091965,17.437556916,9.28098062092,37.1018798503,116.476155989,116.528450599,97.9887606105,9.90576805939,8.63392192912
 01/03  15:00:00,235.358712211,29.3620410208,19.3531030064,7.89164466085,37.1018798503,116.476155989,105.663190253,95.7374221938,9.90576805939,0.02
 01/03  16:00:00,235.367517823,29.4350622829,20.2345831403,6.7674297862,37.1018798503,116.476155989,107.485290777,94.1935916281,9.90576805939,3.38593108964
 01/03  17:00:00,234.799327066,29.3819128752,20.0938369579,6.12774033778,37.1018798503,116.476155989,109.652588207,94.4863488619,9.90576805939,5.26047128558
 01/03  18:00:00,244.056925614,29.2628294304,17.8969108886,6.19445087502,37.1018798503,116.476155989,107.205209552,97.2794414926,9.90576805939,0.02
 01/03  19:00:00,158.966176611,27.3068735176,16.2458641907,0.0,24.7345865669,47.5788473902,81.510570381,76.5376863513,4.9528840297,0.02
 01/03  20:00:00,160.185519093,27.729756928,16.8701053085,0.0336505552642,24.7345865669,47.5788473902,88.0294595102,83.0565754805,4.9528840297,0.02
 01/03  21:00:00,136.56515928,27.1659123808,14.5902405526,0.284696830963,12.3672932834,38.6892022431,110.383880868,98.8036279361,2.97173041782,8.60852251403
 01/03  22:00:00,108.939547113,21.0561164481,9.15536236006,0.0,12.3672932834,27.0668015668,87.9534922839,84.9617618661,2.97173041782,0.02
 01/03  23:00:00,83.4602084002,17.885070435,8.55642427703,0.448438297178,4.12243109448,15.9888894789,78.2164102962,75.2246798784,2.97173041782,0.02
 01/03  24:00:00,107.602470381,24.0478716852,15.2941639094,5.54647683804,4.12243109448,15.9888894789,100.142564552,97.1508341339,2.97173041782,0.02
 01/04  01:00:00,93.3224690741,19.2382973481,10.8416175008,6.63294146074,4.12243109448,15.9888894789,81.9181057994,78.9263753815,2.97173041782,0.02
 01/04  02:00:00,109.658707728,24.0478716852,13.5377843573,10.5512597837,4.12243109448,15.9888894789,103.649670799,100.657940381,2.97173041782,0.02
 01/04  03:00:00,94.9160509051,19.2382973481,10.522420839,10.141031865,4.12243109448,15.9888894789,84.3557953268,81.364064909,2.97173041782,0.02
 01/04  04:00:00,112.362792242,24.0478716852,12.2330615411,14.2690870957,4.12243109448,15.9888894789,106.310293662,103.318563245,2.97173041782,0.02
 01/04  05:00:00,133.664765705,28.0116792015,11.2755606689,10.3425444105,12.3672932834,24.9413748627,120.129999266,115.157115236,4.9528840297,0.02
 01/04  06:00:00,175.823705267,28.4471587579,17.73755683,48.5245965218,12.3672932834,24.9413748627,190.400630935,185.427746905,4.9528840297,0.02
 01/04  07:00:00,214.504796337,28.9181476957,10.1895319766,38.1756282126,24.7345865669,70.7195625826,183.215131078,173.289363018,9.90576805939,0.02
 01/04  08:00:00,226.219038666,28.9795637299,10.8154543343,27.7965850217,37.1018798503,92.3937384068,162.73242932,152.806661261,9.90576805939,0.02
 01/04  09:00:00,223.339095361,29.002721808,13.0796156184,21.7414353994,37.1018798503,104.434947198,146.522745808,136.596977748,9.90576805939,0.02
 01/04  10:00:00,228.271847972,29.0595271314,16.1563362048,16.206885726,37.1018798503,116.476155989,136.32762378,117.794102273,9.90576805939,8.62775344814
 01/04  11:00:00,223.215729828,29.1442639146,18.6190793838,12.2984626585,37.1018798503,116.476155989,115.837722808,105.911954749,9.90576805939,0.02
