Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,61.6774988256,3.2321225764,3.08287938122,0.0,15.863942322,29.242365,55.7237997781,52.4981197781,3.20568,0.02
 01/01  02:00:00,61.5478449391,3.38567902155,2.80179579579,0.0,15.863942322,29.242365,58.6956100315,55.4699300315,3.20568,0.02
 01/01  03:00:00,63.1376949251,4.29345040795,3.47482978782,0.0,15.863942322,29.242365,80.2023515402,74.1139121633,3.20568,2.8827593769
 01/01  04:00:00,61.4707705784,3.34680265812,2.76377538804,0.0,15.863942322,29.242365,62.7042737839,59.4785937839,3.20568,0.02
 01/01  05:00:00,63.4877001172,4.43559185168,3.46752419704,0.0,15.863942322,29.242365,82.9081183202,79.6824383202,3.20568,0.02
 01/01  06:00:00,61.7630079958,3.42455538498,2.77730803194,0.0,15.863942322,29.242365,68.0315112078,61.9430865905,3.20568,2.88274461735
 01/01  07:00:00,63.4802404957,4.43559185168,3.4589959061,0.0,15.863942322,29.242365,84.4159064544,81.1902264544,3.20568,0.02
 01/01  08:00:00,55.3770074179,2.87299784569,2.7202994838,0.0,15.863942322,29.242365,51.5859516727,45.4975420168,3.20568,2.88272965584
 01/01  09:00:00,53.9167019871,3.55723083586,3.42784464707,0.0,15.863942322,29.242365,56.3119317617,53.0862517617,3.20568,0.02
 01/01  10:00:00,51.9328065282,2.23639912826,2.76051864425,0.0,15.863942322,29.242365,35.1711319749,29.0812692249,3.20568,2.88418275003
 01/01  11:00:00,52.9769273373,2.6776541535,3.37602295421,0.0,15.863942322,29.242365,36.4194379452,33.1937579452,3.20568,0.02
 01/01  12:00:00,51.7445903287,1.3568224459,2.75134647533,0.0,15.863942322,29.242365,13.6765860952,7.58668430387,3.20568,2.88422179129
 01/01  13:00:00,46.888645846,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,46.930122065,0.0,0.0,0.0,15.863942322,29.242365,6.08993840825,0.0,3.20568,2.88425840825
 01/01  15:00:00,46.9465796202,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,46.9412884372,0.0,0.0,0.0,15.863942322,29.242365,6.08832886813,0.0,3.20568,2.88264886813
 01/01  17:00:00,46.8459066569,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,53.9902340502,0.0,0.0,0.0,15.863942322,29.242365,6.08838822142,0.0,3.20568,2.88270822142
 01/01  19:00:00,55.418453703,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.6310510575,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,58.9402014758,1.01761683443,2.30422676521,0.0,15.863942322,29.242365,9.87414291275,3.78569541675,3.20568,2.882767496
 01/01  22:00:00,59.6910899127,1.3568224459,2.82612827425,0.0,15.863942322,29.242365,13.6081126281,10.3824326281,3.20568,0.02
 01/01  23:00:00,61.4408530714,2.65983547351,3.42342637215,0.0,15.863942322,29.242365,40.6189702238,34.5305370934,3.20568,2.88275313041
 01/01  24:00:00,61.7983459995,2.97585770381,2.72123888772,0.0,15.863942322,29.242365,51.253871388,48.028191388,3.20568,0.02
 01/02  01:00:00,62.9507340464,4.2023336711,3.37986801073,0.0,15.863942322,29.242365,75.9064964714,72.6808164714,3.20568,0.02
 01/02  02:00:00,61.6902580706,3.64444955557,2.6747507995,0.0,15.863942322,29.242365,77.6525719964,71.5626098821,3.20568,2.88428211439
 01/02  03:00:00,63.1133417243,4.38335147826,3.35349956673,0.0,15.863942322,29.242365,97.2452124747,91.1553231185,3.20568,2.88420935618
 01/02  04:00:00,61.83419969,3.7865909993,2.66533470342,0.0,15.863942322,29.242365,96.7692441794,93.5435641794,3.20568,0.02
 01/02  05:00:00,63.3347951767,4.38335147826,3.35260740784,0.0,15.863942322,29.242365,112.700358337,106.610403593,3.20568,2.88427474332
 01/02  06:00:00,62.6467708147,4.39581856456,2.65855316848,0.0,15.863942322,29.242365,111.704756241,108.479076241,3.20568,0.02
 01/02  07:00:00,65.4502062471,7.46150373591,0.000823592045383,0.0,15.863942322,29.818365,806.65433564,800.56436308,3.20568,2.88429256071
 01/02  08:00:00,124.078179832,7.46150373591,0.0,0.0,80.527626,29.818365,563.075352706,556.981914004,3.20568,2.88775870263
 01/02  09:00:00,166.068116703,7.46150373591,0.00480029694707,0.0,80.527626,75.0917375,435.418802555,402.697538956,24.0426,8.67866359889
 01/02  10:00:00,166.030213335,7.46150373591,0.00202179886154,0.0,80.527626,75.0917375,389.258914395,347.755483373,24.0426,17.4608310222
 01/02  11:00:00,169.998010401,7.46150373591,0.00286801271889,0.0,80.527626,79.0911225,349.55468401,297.115678261,32.0568,20.3822057495
 01/02  12:00:00,170.73125819,7.46150373591,0.0,0.0,80.527626,79.0911225,282.53644506,230.05213646,32.0568,20.4275085998
 01/02  13:00:00,169.960509409,7.46150373591,0.0,0.0,80.527626,79.0911225,257.103261127,204.580245467,32.0568,20.4662156594
 01/02  14:00:00,165.970091366,7.46150373591,0.0,0.0,80.527626,75.0917375,240.41590067,200.974834093,16.0284,23.4126665768
 01/02  15:00:00,165.963870215,7.46150373591,0.0,0.0,80.527626,75.0917375,216.659041593,183.165783696,16.0284,17.4648578975
 01/02  16:00:00,163.941734208,7.46150373591,0.0,0.0,80.527626,73.092045,206.565950541,182.970678955,3.20568,20.3895915861
 01/02  17:00:00,163.838016207,7.46150373591,0.0,0.0,80.527626,73.092045,204.220228856,198.126533499,3.20568,2.88801535773
 01/02  18:00:00,127.744994248,7.46150373591,0.0,0.0,80.527626,29.818365,257.118104557,251.024656608,3.20568,2.88776794983
