Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.4950834051,2.14464333315,0.0,0.0,1.85583932782,5.577,54.481901999,49.7415416427,3.0011,1.73926035626
 01/01  02:00:00,9.49090257503,0.0,0.0,0.0,0.618613109274,5.0,3.59317695049,0.0,3.0011,0.592076950488
 01/01  03:00:00,9.51541307268,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.52782851254,0.0,0.0,0.0,0.618613109274,5.0,3.59315699409,0.0,3.0011,0.592056994087
 01/01  05:00:00,9.67820159798,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.6500589434,2.14464333315,0.0,0.0,1.85583932782,5.577,55.5892104106,50.4954974909,4.50165,0.592062919668
 01/01  07:00:00,28.1246784353,2.14464333315,0.0,0.0,3.71167865564,18.077,58.5007154673,43.8305450167,13.50495,1.16522045056
 01/01  08:00:00,26.1824407877,2.14464333315,0.0,0.0,3.71167865564,18.077,63.4942050834,41.3214344247,21.0077,1.16507065875
 01/01  09:00:00,20.5447582867,2.14464333315,0.0,0.0,3.71167865564,13.077,59.0636106363,42.3201375613,15.0055,1.73797307497
 01/01  10:00:00,20.5508938774,2.14464333315,0.0,0.0,3.71167865564,13.077,57.8455591102,41.6747862934,15.0055,1.16527281679
 01/01  11:00:00,25.5455000728,2.14464333315,0.0,0.0,3.71167865564,18.077,74.1934590178,37.1434131303,33.0121,4.03794588751
 01/01  12:00:00,26.7067738446,2.14464333315,0.0,0.0,3.71167865564,18.077,78.586723145,33.4591024816,40.51485,4.61277066343
 01/01  13:00:00,25.7729327047,2.14464333315,0.0,0.0,3.71167865564,18.077,69.3183541115,30.416589958,36.0132,2.88856415352
 01/01  14:00:00,25.5711857112,2.14464333315,0.0,0.0,3.71167865564,18.077,64.760317241,29.787041663,31.51155,3.46172557805
 01/01  15:00:00,20.5694667279,2.14464333315,0.0,0.0,3.71167865564,13.077,54.4120763007,30.5181146156,21.0077,2.88626168503
 01/01  16:00:00,20.5599999916,2.14464333315,0.0,0.0,3.71167865564,13.077,51.7384464182,29.918407697,19.50715,2.31288872125
 01/01  17:00:00,20.4776123298,2.14464333315,0.0,0.0,3.71167865564,13.077,55.7292790193,30.3348058293,22.50825,2.88622319006
 01/01  18:00:00,27.3778582301,2.14464333315,0.0,0.0,3.71167865564,18.077,59.2954419025,30.8975617553,25.50935,2.88853014724
 01/01  19:00:00,28.0149679987,2.14464333315,0.0,0.0,3.71167865564,18.077,59.7998720902,30.2528981863,25.50935,4.03762390394
 01/01  20:00:00,28.156746055,2.14464333315,0.0,0.0,3.71167865564,18.077,60.383647929,30.2624529636,25.50935,4.61184496536
 01/01  21:00:00,23.1395676349,2.14464333315,0.0,0.0,3.71167865564,13.077,58.5644227519,33.1684509733,22.50825,2.88772177858
 01/01  22:00:00,23.0738251432,2.14464333315,0.0,0.0,3.71167865564,13.077,61.3226185444,36.2773901755,21.0077,4.03752836896
 01/01  23:00:00,22.9702326632,2.14464333315,0.0,0.0,3.71167865564,13.077,61.7854878939,40.3171216071,18.0066,3.46176628678
 01/01  24:00:00,24.1701821495,2.14464333315,0.0,0.0,3.71167865564,13.077,50.1122328475,45.3726954685,3.0011,1.73843737895
 01/02  01:00:00,13.6903024894,2.14464333315,0.0,0.0,1.85583932782,5.577,57.6345031917,52.8951607216,3.0011,1.73824247005
 01/02  02:00:00,9.47945466771,0.0,0.0,0.0,0.618613109274,5.0,3.59318773786,0.0,3.0011,0.592087737861
 01/02  03:00:00,9.50413946732,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.5171827009,0.0,0.0,0.0,0.618613109274,5.0,3.59318332341,0.0,3.0011,0.59208332341
 01/02  05:00:00,9.66733501666,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.6418227497,2.14464333315,0.0,0.0,1.85583932782,5.577,65.9176504722,60.823911265,4.50165,0.592089207168
 01/02  07:00:00,28.1169661355,2.14464333315,0.0,0.0,3.71167865564,18.077,68.3034009061,53.6333536175,13.50495,1.16509728859
