Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,211.57719517,32.4838305941,60.5797520786,0.0,43.513341876,52.539744,149.552459624,144.698199624,4.83426,0.02
 01/01  02:00:00,187.848352135,18.1140331399,51.3944335953,0.0,43.513341876,52.539744,128.359429034,123.505169034,4.83426,0.02
 01/01  03:00:00,215.123587831,32.0283470487,64.4738916364,0.0,43.513341876,52.539744,180.182940043,175.328680043,4.83426,0.02
 01/01  04:00:00,201.462805086,31.2267022024,51.8872705248,0.0,43.513341876,52.539744,130.562451329,125.708191329,4.83426,0.02
 01/01  05:00:00,200.779451208,17.6142840236,64.1089090588,0.0,43.513341876,52.539744,176.601068772,171.746808772,4.83426,0.02
 01/01  06:00:00,204.658926384,33.9986373996,51.9085144099,0.0,43.513341876,52.539744,138.154276126,124.708392573,4.83426,8.61162355223
 01/01  07:00:00,215.478523734,32.0283470487,64.3899416559,0.0,43.513341876,52.539744,176.886540997,172.032280997,4.83426,0.02
 01/01  08:00:00,173.367768753,14.9878355266,51.7077099708,0.0,43.513341876,52.539744,104.083235913,99.2289759126,4.83426,0.02
 01/01  09:00:00,184.003172596,18.660093716,64.3855476753,0.0,43.513341876,52.539744,134.035410738,129.181150738,4.83426,0.02
 01/01  10:00:00,160.68939785,7.86149491998,52.1090425037,0.0,43.513341876,52.539744,90.8313698405,85.9771098405,4.83426,0.02
 01/01  11:00:00,182.64533216,16.1202701774,65.5835660224,0.0,43.513341876,52.539744,121.062565875,107.609716292,4.83426,8.61858958307
 01/01  12:00:00,159.45068608,3.97705891983,53.8385136011,0.0,43.513341876,52.539744,67.0780451733,62.2237851733,4.83426,0.02
 01/01  13:00:00,175.363502428,4.97132364979,69.5104542223,0.0,43.513341876,52.539744,64.1009283269,59.2466683269,4.83426,0.02
 01/01  14:00:00,162.380755829,3.97705891983,57.6854197532,0.0,43.513341876,52.539744,45.7681793733,32.3155395066,4.83426,8.61837986671
 01/01  15:00:00,179.273419389,4.97132364979,73.3152938473,0.0,43.513341876,52.539744,39.0190898013,34.1648298013,4.83426,0.02
 01/01  16:00:00,163.630875328,3.97705891983,58.9349180852,0.0,43.513341876,52.539744,28.2527408217,23.3984808217,4.83426,0.02
